Yr Mo Dy   RPT   VAL   ROS   KIL   SHA   BIR   DUB   CLA   MUL   CLO   BEL   MAL
70  1  1  9.59  2.96 11.79  3.42  6.13  4.08  9.00  4.46  7.29  3.50  7.33 13.00
70  1  2  9.00  4.29  6.75  4.58  5.79  6.58  8.58  6.21  9.59  6.04 10.17 16.96
70  1  3  8.08  7.46 11.71  3.58  4.50  3.63  5.13  4.75  3.13  2.50 12.54 18.25
70  1  4 11.21  7.38 11.58  2.13  3.29  1.13  8.92  4.92  5.54  5.71  7.58 15.54
70  1  5 10.46  5.29 10.83  3.63  4.75  5.29 12.33  5.83  6.79  6.21 11.83 20.21
70  1  6  7.92  3.50  8.12  3.79  2.50  4.29 10.34  4.00  6.63  6.08  7.04 16.66
70  1  7 18.91 17.50 14.75  4.63 12.83  9.00  8.58  9.75  6.92  4.29 10.79 12.17
70  1  8 22.92 20.75 24.08 10.34 17.96 17.29 19.08 15.54 14.17 11.46 17.12 25.62
70  1  9 16.17  8.87 18.25  7.41  8.92  9.08 13.54 10.37 10.67  7.50  9.13 19.21
70  1 10  7.96  5.41  8.25  1.79  3.92  3.50  4.63  2.29  4.50  2.54  1.71  8.50
70  1 11  5.00  3.71  6.34  3.00  4.00  3.21  5.50  4.83  7.67  6.13  9.21  9.62
70  1 12  7.96  7.50  6.08  2.79  4.46  4.75  6.13  3.42  4.63  2.62  6.63  8.04
70  1 13 21.67 18.79 18.41  9.21 15.67 11.54 11.29 14.09 11.38  9.13 13.42 15.96
70  1 14  8.46 11.58  9.38  4.33 10.00  8.12  9.62 11.34  7.71  7.46 14.33 19.92
70  1 15  6.71  5.00  6.38  3.00  3.75  3.37  6.00  1.71  3.54  2.37  5.58  5.96
70  1 16  7.29 10.29  6.17  0.75  6.83  2.54  3.83  4.88  3.75  3.42  7.08 15.75
70  1 17 20.88 18.88 21.42 10.34 17.33 16.21 16.54 16.29 13.25 14.33 18.88 32.00
70  1 18 14.42 15.67 15.16  7.87 12.00 10.04 12.87 10.92 12.58 14.37 15.37 21.79
70  1 19 19.08 22.37 20.91 13.17 18.34 14.96 16.79 15.16 15.37 15.63 23.67 21.87
70  1 20 22.63 23.67 14.71 11.75 18.16 14.25  9.96 17.71 15.71 17.92 28.12 25.37
70  1 21 22.08 17.58 17.92 11.54 12.62 12.67 13.33 14.42 13.33 16.75 23.63 22.67
70  1 22 15.25 15.41 13.13  7.25 13.25 11.38  8.54 10.63  8.25  5.91 12.87 14.75
70  1 23 17.16 13.08 18.46  7.71  8.21  6.79 11.29 10.08  8.79  8.58 10.83 22.75
70  1 24 13.88 14.33 13.37  5.54 10.21  9.71 11.08 11.04  9.17 10.63 15.29 21.67
70  1 25  5.00  4.29  7.58  1.13  4.04  3.42  2.25  4.67  2.62  2.08 10.21 12.33
70  1 26  4.79  2.17  4.42  0.75  3.21  2.46  7.04  2.21  2.71  2.67  5.91 10.83
70  1 27 10.54 19.08  7.83  3.17 10.00  7.00  5.17  8.79  5.21  2.88 12.42  9.96
70  1 28 17.50 17.67 17.83  8.58 17.37 14.62 13.75 14.88 11.42 12.50 18.79 21.25
70  1 29 12.96 11.08 18.12  6.83  9.83  9.46 10.83 10.63 10.17  8.58 10.58 19.00
