id,source,keyword,time,comment,score
1,PTT,蝦皮,2023-06-14,你去那賣家的訊息那邊下方有提示可以靜,0.000705
2,PTT,蝦皮,2023-06-05,聊聊介面按右上方三點->封鎖用戶,0.000046
3,PTT,蝦皮,2023-06-06,聊聊點進去下面有關閉促銷訊息,0.000236
4,PTT,蝦皮,2023-06-06,樓上，這樣做只是靜音，原PO應該是看都,0.005276
5,PTT,蝦皮,2023-06-05,找到一個符合要求的，然後往下拉看類,0.031595
6,PTT,蝦皮,2023-06-05,同樓上，有時候先用搜尋平台還比較,0.007075
7,PTT,蝦皮,2023-06-05,"故意的啊   賣家不買廣告  就算關鍵字打對",0.000603
8,PTT,蝦皮,2023-06-05,"不會在蝦皮亂逛 它的推播蠻讓人討厭的",0.002205
9,PTT,蝦皮,2023-06-05,只覺得找相似滿好用，比價的時候,0.755977
10,PTT,蝦皮,2023-06-07,"關鍵字打二次中間空一格.例：白襪 白襪",0.000252
11,PTT,蝦皮,2023-06-05,似推薦，或是先加購物車再按找相似,0.005069
12,PTT,蝦皮,2023-06-05,蝦皮搜尋就是爛，連比價網站都還比他,0.000042
13,PTT,蝦皮,2023-06-05,們找得到自己要的東西。每次叫我做問,0.288713
14,PTT,蝦皮,2023-06-05,卷我都反應了，反應那麼多次還是差不,0.000053
15,PTT,蝦皮,2023-06-05,蝦皮的搜尋器是某一天突然爛掉的,0.000036
16,PTT,蝦皮,2023-06-05,"不知道是改了啥 後來因為都跑去淘寶",0.000067
17,PTT,蝦皮,2023-06-05,"了 就不是很在乎了 反正台灣還有露天",0.020732
18,PTT,蝦皮,2023-06-05,蝦皮的排名系統算是我覺得最實用的東,0.99768
19,PTT,蝦皮,2023-06-05,西，只要找到一個有進排名的商品就能,0.000679
20,PTT,蝦皮,2023-06-07,但很多賣最好的往往都是低價劣級品,0.069322
21,PTT,蝦皮,2023-06-04,"這這這 選舉時 有候選人小物送這個",0.023405
22,PTT,蝦皮,2023-06-04,這玩具吧，買個銅（除菌）耳掏,0.000256
