Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
hkbornguy (小光頭),[冷氣] 找電商或實體店家買？,Wed Aug 10 23:33:31 2022,本文僅限提出問題讓大家提供意見討論非徵求報價文、心得或抱怨文，徵求報價文將直接刪除不通知，心得或抱怨文請另選其他發文選項。若有廠商開立報價單需諮詢，可用本文，但請使用內建發文格式，資料須填齊。徵求冷氣推薦請先自行作功課，勿當伸手文。是否已閱讀上述說明:是(未回答是或直接刪除上述六行任一文字一犯水桶七日、二犯水桶十四日)以上文字請置頂，內文請寫在下方，勿將上述說明往下排放。下述選項可自行選用或刪除目前租屋，主臥室和客廳裝的是20年以上的分離式一對二老日立冷氣。主臥室約5坪大，高3米，面南（算有西曬），家在2樓（公寓共7層），有很大的陽台，裝兩台以上室外機不成問題。最近因為主臥室冷氣不冷又耗電（4/27-6/27電費6500多...），而且還會滴水，預計自費把主臥室冷氣換成分離式一對一，但保留原本客廳的冷氣（因為客廳冷氣較少使用，而且還算會冷）。（房東表示將來退租後再討論折價買下或是我們拆走。）目前已決定型號是Panasonic RX系列3.6kW的變頻冷暖。MOMO上賣37900，若考慮退稅和MOMO卡5%回饋，實際上約34000（僅含基本安裝）。另外看了家附近一家Google Maps上94個評價平均4.8的Panasonic經銷商（評價主要是稱讚冷氣施工好、價格公道），但同機型報價42200，若考慮退稅和信用卡回饋1.3%，實際上約39700元（亦僅含基本安裝）。兩個管道，實體店面貴了近6000元。不過爬文和做功課看到很多人建議冷氣找家附近實體店面施工，將來有問題的話比較找得到人；也看到一些電商買冷氣但遇到雷包廠商的慘痛施工經驗。想請問各位板友認為將近6000的差價，值得賭一下電商冷氣的施工水準嗎？有什麼應該考量的點？另外，已知跟MOMO買的話，施工廠商的LINE顯示名稱是「依璉」。請問有板友給這家廠商裝過冷氣嗎？心得如何？謝謝。,推,alstonfju   ,: 我第二次買就直接在燦坤買了，至少,08/11 01:01
,,,,推,jcellery    ,: 我問到是實體比較便宜耶,08/11 01:01
,,,,推,pony610     ,: 實體會比較便宜 家電行+1,08/11 02:24
,,,,推,Forcast     ,: 網路只有很久之前買一次移動式冷氣,08/11 04:45
,,,,推,jiankein    ,: 你找電器行來現場測量報價了嗎？網,08/11 07:03
,,,,推,Forcast     ,: 網路上的話要自己會安裝比較保險,08/11 07:15
,,,,推,pubmetal    ,: 跟momo買過兩次威技變頻，目前都沒,08/11 09:13
,,,,推,bluemmb     ,: 自己先評估一下安裝難度跟走線難易,08/11 09:56
,,,,推,loveapple33 ,: 其他家電：電商,08/11 09:57
,,,,推,mytropicfish,: 有信譽的家電行 比較好,08/11 11:11
,,,,推,Mimmature   ,: 運氣問題 不好說,08/11 11:25
,,,,推,roberio     ,: 都要在實體店裝了，怎麼不找全國？,08/11 12:01
,,,,推,bkebke      ,: 全國電子牌價貴網路1-2成,08/11 12:20
,,,,推,bkebke      ,: 電商出問題真的有鳥 要自己追,08/11 12:39
,,,,推,yisian      ,: 全國電子是個不錯的選擇，可以跟店,08/11 14:04
,,,,推,geniusw     ,: 我因為可全額刷卡 選了電商,08/11 16:59
,,,,推,tozi        ,: 不管找哪間買 最好還是做一下功課,08/11 17:48
,,,,推,bkebke      ,: 老實說  這業界沒有所謂專業的,08/11 18:27
,,,,推,DAGI        ,: 之前母親節檔期在集雅社專櫃買，滿,08/12 00:27
,,,,推,alwayswoon  ,: 做功課找附近會維修、有售後服務的,08/12 09:10
,,,,推,wtgcarot    ,: 台灣土炮安裝一堆，很多連扭力板手,08/12 13:49
,,,,推,aegis43210  ,: 國際牌那麼好裝，找便宜的就好,08/12 18:15
,,,,推,jaceda      ,": 感覺要看運氣,我之前問某間全國",08/13 08:32
,,,,→,alstonfju   ,: 有延長保固，當然一方面也是因為第,08/11 01:01
,,,,→,alstonfju   ,: 一次買的冷氣行價格偏貴、態度也很,08/11 01:01
,,,,→,alstonfju   ,: 冷淡。,08/11 01:01
,,,,→,jcellery    ,: 我找的是家電行，不是像燦坤那種,08/11 01:01
,,,,→,jcellery    ,: 雖然施工遲到，但是工還算細緻,08/11 01:02
,,,,→,jiankein    ,: 路上的標價是只有基本安裝唷,08/11 07:03
,,,,→,pubmetal    ,: 什麼問題。但前提要自己監工，對冷,08/11 09:13
,,,,→,pubmetal    ,: 氣安裝位置與管線跑法要有基本的認,08/11 09:13
,,,,→,pubmetal    ,: 知。反而對外面實體印象很差，因為,08/11 09:13
,,,,→,pubmetal    ,: 曾經有過不好的經歷，尤其是現在夏,08/11 09:13
,,,,→,pubmetal    ,: 天，很多師傅都在趕工隨便做，來回,08/11 09:13
,,,,→,pubmetal    ,: 跑了四次都還搞不定。momo至少客訴,08/11 09:13
,,,,→,pubmetal    ,: 還會回,08/11 09:13
,,,,→,inmee       ,: 之前買過m電商，碰到經驗不足的安,08/11 09:41
,,,,→,inmee       ,: 裝冷氣師傅，結果還要請假處理，因,08/11 09:41
,,,,→,inmee       ,: 為你下班他們也下班,08/11 09:41
,,,,→,bkebke      ,: 獨立電器行也有雷的 很難說,08/11 09:53
,,,,→,bluemmb     ,: 位置比較尷尬或複雜的話別找電商吧,08/11 09:56
,,,,→,loveapple33 ,: 要施工的家電：實體（電商外包的施,08/11 09:57
,,,,→,loveapple33 ,: 作廠商都是以量壓價，品質不一，實,08/11 09:57
,,,,→,loveapple33 ,: 體店面看評價，萬一真的怎樣還可以,08/11 09:57
,,,,→,loveapple33 ,: 馬上來處理！,08/11 09:57
,,,,→,loveapple33 ,: 冷氣施工很多可以偷的，例如：銅管,08/11 09:59
,,,,→,loveapple33 ,: 口徑，長度，支架品質、哩哩摳摳，,08/11 09:59
,,,,→,loveapple33 ,: 短時間看不出問題，一年過後發現當,08/11 09:59
,,,,→,loveapple33 ,: 初哪邊沒弄好又要找廠商來也是一筆,08/11 09:59
,,,,→,loveapple33 ,: 費用，不要因小失大,08/11 09:59
,,,,→,bkebke      ,: 租屋 3-4萬這種差價 比較實際,08/11 10:07
,,,,→,bkebke      ,: 只要不要亂釘到房東報怨就好,08/11 10:08
,,,,→,bkebke      ,: 通常開單據 會寫自己公司的好點,08/11 10:22
,,,,→,max00061    ,: 跟家電行不熟，或沒什麼評價，跟,08/11 10:31
,,,,→,max00061    ,: 電商買一樣，賭人品,08/11 10:31
,,,,→,ansinlee    ,: 需要安裝的 不要亂找,08/11 10:46
,,,,→,mytropicfish,: 起碼事後容易找人 還可以給評價,08/11 11:11
,,,,→,mytropicfish,: 電商的 只看網購克服處理態度,08/11 11:11
,,,,→,mytropicfish,: 買電商 就買2-3線品牌就好了y,08/11 11:13
,,,,→,roberio     ,: 門市服務好，安裝師傅也都很專業,08/11 12:01
,,,,→,roberio     ,: 優惠跟信用卡回饋折一折價格也不會,08/11 12:02
,,,,→,roberio     ,: 比網購的還要貴，重點是有問題找人,08/11 12:03
,,,,→,roberio     ,: 也方便,08/11 12:03
,,,,→,bkebke      ,: 沒比較貴是需要什麼條件？,08/11 12:21
,,,,→,yisian      ,: 長詢問有沒有比較推薦的工班安裝，,08/11 14:04
,,,,→,yisian      ,: 自家前後跟全國電子購買了7-8台，,08/11 14:04
,,,,→,yisian      ,: 感覺很好,08/11 14:04
,,,,→,geniusw     ,: 工班有來估價 我覺得還行就試試,08/11 17:01
,,,,→,geniusw     ,: 首選是老家信賴的商家 但因距離,08/11 17:01
,,,,→,geniusw     ,: 放棄 電商這次往來沒太大問題,08/11 17:02
,,,,→,tozi        ,:  安裝師傅素質不管哪家 還是有落差,08/11 17:48
,,,,→,tozi        ,:  我遇過裝17年的師傅 問他問題 回,08/11 17:48
,,,,→,tozi        ,: 的答案明顯錯誤 還一附自己很有經,08/11 17:48
,,,,→,tozi        ,: 驗完全沒有錯 問原廠師傅才知道 那,08/11 17:48
,,,,→,tozi        ,: 個師傅講的完全不對,08/11 17:48
,,,,→,bkebke      ,: 單純冷氣 看完說明書和spec就比師父,08/11 18:30
,,,,→,bkebke      ,: 還強了,08/11 18:30
,,,,→,DAGI        ,: 千送百+專櫃本身折扣+可以小議價，,08/12 00:27
,,,,→,DAGI        ,: 折下來比mo 和詢的ㄧ間家電行划算，,08/12 00:27
,,,,→,DAGI        ,: 配合的安裝師傅很專業，施工價格也,08/12 00:27
,,,,→,DAGI        ,: 很合理,08/12 00:27
,,,,→,alwayswoon  ,: 電器行比較好，不然壞掉等原廠會等,08/12 09:10
,,,,→,alwayswoon  ,: 好幾個月,08/12 09:10
,,,,→,n74042300   ,: Panasonic的後勤維修最好是要等幾,08/12 13:20
,,,,→,n74042300   ,: 個月 ==,08/12 13:20
,,,,→,n74042300   ,: 他們家反而最適合找網購買便宜的,08/12 13:20
,,,,→,n74042300   ,: 然後故障自己找原廠報修,08/12 13:20
,,,,→,wtgcarot    ,: 都沒有，還敢自稱師傅，還會說他的,08/12 13:49
,,,,→,wtgcarot    ,: 手就是扭力板手，看過日本安裝影片,08/12 13:49
,,,,→,wtgcarot    ,: 就會知道差距有多少，而且日本安裝,08/12 13:49
,,,,→,wtgcarot    ,: 費比台灣還便宜，5米標準安裝台幣,08/12 13:49
,,,,→,wtgcarot    ,: 4000-5000而已。台灣就是買冷氣都,08/12 13:49
,,,,→,wtgcarot    ,: 帶安裝，讓安裝品質越來越差。,08/12 13:49
,,,,→,jaceda      ,": 他們配合的技師似乎想灌單,後來我",08/13 08:33
,,,,→,jaceda      ,": 找到專做冷氣工程的,工錢省快兩萬",08/13 08:33
,,,,→,kahaac91g   ,: 冷氣還是比較推實體,08/22 12:10
lpsky (),[冷氣] 大公司電商通路跟水電行的價差,Tue Jun 22 17:45:41 2021,本文僅限提出問題讓大家提供意見討論非徵求報價文、心得或抱怨文，徵求報價文將直接刪除不通知，心得或抱怨文請另選其他發文選項。若有廠商開立報價單需諮詢，可用本文，但請使用內建發文格式，資料須填齊。徵求冷氣推薦請先自行作功課，勿當伸手文。是否已閱讀上述說明: 是(未回答是或直接刪除上述六行任一文字一犯水桶七日、二犯水桶十四日)以上文字請置頂，內文請寫在下方，勿將上述說明往下排放。下述選項可自行選用或刪除－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－(請自行作功課至少寫出兩樣產品(需有型號)供他人討論，伸手文會直接刪文)5.現況簡述：最近看了國際牌的CS-RX36GA2/CU-RX36GHA2 在特力屋看到的報價是38XXX然後去問小水電行冷氣只報33XXX，先不管安裝費，光冷氣主機有可能差到5000塊嗎？當然買大通路的可以不用怕他倒，但是價差到5000我覺得有點多，還是說冷氣主機少的價格小水電行會從安裝費上面賺回來，哈哈 (這是有開發票的價格)想請問有沒有版友有相關經驗，感激不盡！－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－註：填寫清楚才能給適當建議。例如有西曬問題卻沒提出來，建議的冷氣就會不夠用囉~,推,qqzz001     ,: 33000+4000安裝費 三萬七也差不多,06/22 17:55
,,,,推,vInzMing    ,: 重點就是安裝費啊…但冷氣行通常都,06/22 18:25
,,,,推,holdzu      ,: 5000真的有點多...,06/22 18:27
,,,,推,tengerinedog,: 機器有問題都是原廠保固，安裝有,06/22 19:04
,,,,推,vwutopia    ,: 通路可以刷卡分期，冷氣行不知道,06/22 19:28
,,,,推,qsc115      ,": 前陣子裝冷氣,問了全國電子與電器行",06/22 21:56
,,,,推,frog20605   ,: 洗衣機,06/23 21:02
,,,,推,Michola     ,: 像全國電子這種通路的優點就是,06/24 10:55
,,,,推,mike7689    ,: 我都找有口碑的專業空調行/冷氣行,06/24 19:03
,,,,→,qqzz001     ,: 了啊 網路比價有安裝費的也差不多,06/22 17:55
,,,,→,qqzz001     ,: 三萬六開始 差沒多少啊,06/22 17:55
,,,,→,lpsky       ,: 我剛剛看了水電行的安裝費，超貴,06/22 17:58
,,,,→,lpsky       ,: 真的是主機少的都在別的地方賺回來,06/22 17:59
,,,,→,vInzMing    ,": 是已場勘過評估後的總價, 通路的只",06/22 18:25
,,,,→,vInzMing    ,: 是含(標準安裝的價格‘除非你是新,06/22 18:25
,,,,→,vInzMing    ,": 建案有很標準的安裝環境,不然都是現",06/22 18:25
,,,,→,vInzMing    ,: 場到之後在跟你逐條收錢,06/22 18:25
,,,,→,tengerinedog,: 問題都是經銷商負責，少數有些安,06/22 19:04
,,,,→,tengerinedog,: 裝後不冷經銷商處理不來有看過網,06/22 19:04
,,,,→,tengerinedog,: 友分享最後是原廠介入處理後續,06/22 19:04
,,,,→,borriss     ,:  通常要兩個人 加起來差不多吧..,06/22 19:21
,,,,→,vwutopia    ,: 可以嗎？,06/22 19:28
,,,,→,qsc115      ,": ,裝到好的價格差了八千...電器行便",06/22 21:56
,,,,→,qsc115      ,: 宜八千,06/22 21:56
,,,,→,whisky520   ,: 安裝費可貴可便宜呀，管線不用整,06/23 21:26
,,,,→,whisky520   ,: 理,06/23 21:26
