Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
smi1e (smile),[心得] 幾家電商的心得,Thu Dec 24 14:14:16 2020,"這次黑五買了滿多，或說今年買了滿多XD寫一下好的跟非常雷的經驗給大家參考PS 我寄台灣只用selfridge, 其他都是寄美國雷到爆: mac, bobbi brown, laura mercier 美國官網mac:第一次買時非黑五，自訂眼影盤只寄了眼影沒寄盤本身...花了大概一小時跟客服溝通（等排到客服要等很久）結果後來寄了兩個盤給我... 我要空盤也沒用啊!第二次粉底棒顏色寄錯，說因為特價買所以不給換但可以讓我退貨退款，但是return label大概等了三四天然後就到聖誕節了去郵局很不方便，想想$10美元就放棄了...bobbi brown:網站上寫遮瑕膏底妝可退貨，會隨貨附上退貨標籤結果根本沒有，色號不是很合想要退貨or換貨客服完全聯絡不到，$29美元不少但實在沒力氣跟他對抗就放棄了...laura mercier:寄來的時候箱子整個像是被地雷炸過，打開後包裝盒都扭曲好險我訂的只有primer是軟管，雖然有壓到但比較ok我室友看到說這包裝比walmart(廉價超市)還差小雷:cult beauty:箱子裡面灰塵超多，不知道怎麼來的所以包裝打開都要用紙巾擦一遍而且寄送速度非常緩慢，大概三週才到美國大城市讚:beautylish:寄送速度快，包裝好，客服回信速度快sephora:同上，中間有出小錯但只要聯絡客服都會替你處理好而且退貨完全不會多問啥，拿去店裡當場刷退給你nordstrom:同上selfridge:除了試用過不能退貨外，包裝跟寄送速度都沒啥好說的，很棒（比方買底妝不能試色就比較不方便）非常讚:look fantastic / skin store:價格無可匹敵，寄送速度超快贈品送超多，包裝非常完整且乾淨真的是... 相見恨晚啊!!!derm store:同上，沒事 ka 就可以打個 75 折只買個睫毛夾也包超好還額外送一堆samples以後應該能跟 非常讚 的電商買就直接買不然至少找大公司像nordstrom/sephora品牌自己的官網就算了..可能折扣多個5%但退貨麻煩，問題一堆而且sephora/nordstrom可能光贈品或累積點數就超過5%給大家參考囉～",推,foxylady,: 想到之前look fantastic 的爆笑抱怨文,12/24 14:18
,,,,推,kg21,: 我買Bobbi brown 也是出錯...色號都給錯，,12/24 14:20
,,,,推,a22430740,: Mac每單都被砍，不知道是不是集運地址,12/24 14:56
,,,,推,gaga326,: 我也在Selfridges買過被試色過的ND眼盤，,12/24 15:03
,,,,推,landing,: lookfantastic其實出滿多問題的 就是特價,12/24 15:20
,,,,推,yessa32,: cult beauty 寄台灣蠻快，只是包裝蠻簡,12/24 15:28
,,,,推,otakucat,: lookfantastic 11/30買到現在還沒收到,12/24 15:58
,,,,推,chiimk,: cult beauty 12/20下單 12/24到貨,12/24 16:04
,,,,推,christina258,: 我的lookfantastic11/26從12/3就沒,12/24 16:16
,,,,推,gigi1012,: lookfantastic我11/29下單，12/22到貨,12/24 16:55
,,,,推,ablazekandyh,: 你購買時用的信用卡如果是美國卡，,12/24 17:07
,,,,推,oopsono,: lookfantastic 寄台灣很雷啊，紙箱超級軟,12/24 18:47
,,,,推,chenshin,: 我在selfridges 上也買過被摸過的pat Mc,12/24 19:17
,,,,推,lsy1129,: 可能還得用寄達地分開來看比較好 寄台灣,12/24 19:19
,,,,推,hsiehtzujung,: lookfantastic雷到炸，一個月前取,12/24 19:29
,,,,推,LenaViVi,: 同集團的beauty expert服務好蠻多客服也,12/24 19:45
