Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
breaking1209 (可樂阿慶),[開箱] 十銓MP33 512GB MOMO,Sun Apr 16 15:48:29 2023,大家好沒爬文就亂買感覺不妙MP33 512 接十銓EC01 外接盒連接線材EC01 附C to C連接設備imac 27 Thunderbolt掀衣發現字糊的測得結果如下是不妙還是設備硬體不夠？https://i.imgur.com/EEETEky.jpghttps://i.imgur.com/034mT44.jpghttps://i.imgur.com/cHm7Wyl.jpg-----Sent from JPTT on my iPhone,推,Zenryaku,: 外接你是想要多快？內接再來好嗎,"['04/16', '15:52']"
,,,,推,allyourshit,: 外接盒:你頂到我的肺惹,"['04/16', '16:17']"
,,,,推,mingmingki,,"['04/16', '16:20']"
,,,,推,mingmingki,,"['04/16', '16:33']"
,,,,推,harry886901,: 這就好像你4090插pcie 2.0的洞 然後說顯卡很爛一樣,"['04/16', '17:14']"
,,,,推,giorno78,: ZikeDrive 可到 3700Mbps讀 3100Mbps寫,"['04/16', '19:41']"
,,,,推,huckebein12,: 你的4K類成績真的爛爆…甚至輸我用M9PeG跑USB3.0成績,"['04/17', '01:04']"
,,,,推,APC,: 重點是價格好不,"['04/17', '12:49']"
,,,,→,vig077,: 不就外接盒的速度,"['04/16', '15:51']"
,,,,→,Fezico,: 你usb速度不就都這樣，gen3.2好像還沒20gb/s,"['04/16', '15:51']"
,,,,→,breaking1209,: 那要提升速度有建議的外接盒嗎？,"['04/16', '15:53']"
,,,,→,Zenryaku,: usb就只有這樣啊 要快就內接,"['04/16', '15:54']"
,,,,→,Fezico,: 要快找tb4阿，不過我覺得你板子大概沒這孔,"['04/16', '15:54']"
,,,,→,breaking1209,: 感謝解答,"['04/16', '15:54']"
,,,,→,breaking1209,,"['04/16', '15:56']"
,,,,→,breaking1209,: TB接頭規格,"['04/16', '15:56']"
,,,,→,Fezico,: mac阿?看要不要去水果版問問看，水果東西問專板最穩,"['04/16', '15:59']"
,,,,→,babybritney,,"['04/16', '16:00']"
,,,,→,breaking1209,,"['04/16', '16:00']"
,,,,→,breaking1209,: 看到了==,"['04/16', '16:00']"
,,,,→,babybritney,: 這就是你這外接盒的最高速度,"['04/16', '16:00']"
,,,,→,breaking1209,: 感謝各位,"['04/16', '16:02']"
,,,,→,mingmingki,,"['04/16', '16:20']"
,,,,→,bu17,: 3202的512g不好用吧= =,"['04/16', '19:47']"
,,,,→,huckebein12,,"['04/17', '01:04']"
