Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
mecury (mecury),[抱怨] PChome 24h購物 國際牌清淨除濕機F-Y26JH,Thu Mar  4 15:37:29 2021,本文為抱怨、反推文，是否明白本文發出後不可回頭串改內文：是1.反推　：PChome 24h購物、Panasonic國際牌 13公升 W-HEXS雙重高效清淨除濕機 F-Y26JH(SmartAPP)2.廠牌：Panasonic國際牌3.品名及型號：13公升W-HEXS雙重高效清淨除濕機F-Y26JH(SmartAPP)4.購買來源：PChome 24h購物5.已使用時間：1天，2/12收到，2/13封箱退貨6.購買憑證：https://imgur.com/QDw8mXS7.額外收費：無8.詳細情況：近期因家裡需要清淨除濕機，故來家電板研究。最後於日立、國際牌二者之間選擇。RD-240HH、F-Y26JH後來於2021/02/11 PChome 24h購物 購買Panasonic國際牌 13公升W-HEXS雙重高效清淨除濕機F-Y26JH(SmartAPP)。反推原因：1.貨物於 2021/02/12 早上到貨，但是是送到別人家裡並且被簽收。購買所留存之手機號碼，未曾有任何來電。至於為什麼知道到貨，是因為家父去泡茶閒聊時，恰巧得知...最後只好回來開車自行去載回來。2.因為購買過3C產品，知道開箱錄影的重要，所以清淨除濕機有開箱錄影。但是一直出現錯誤代碼11，按照說明書無法解決，放置一天後也是無果，決定退貨。有撥打Panasonic 0800想要叫來維修，但是適逢過年休息，等上班時怕超過七天很麻煩。3.後續申請退貨之後，於 2021/02/20 貨運來電收走，但是他手上的退貨單只有一樣產品不過購買時還有贈品二樣，共三樣，故手寫註記。4.於今日 2021/03/04 下午1:32，收到 PChome 線上購物 顧客中心回函https://imgur.com/qa9VT17思考了一下，原廠外箱破損？ 我記得清淨除濕機四面加上方都有Panasonic相關的圖案啊？https://imgur.com/JP7BPL9https://imgur.com/FsBcWyEhttps://imgur.com/JRBwMY3喔喔，原來是到貨之後完全沒有打開過的贈品 曬衣架 SP-2017恩...沒開箱，所以沒有錄影，沒關係看要多少整新費我還出的起。不過以上就是我的問題，我收到貨的時候就應該連贈品也一起先360度錄影，退貨時我也只有錄影封箱清淨除濕機，沒有把未曾拆過的贈品錄影拍照，這就當作一次教訓繳學費。只是一直以來都說PChome>>>>>>>>>>MOMO，笑了。至少我用過MOMO購買SONY XZP、sony Xperia5，這二次都還沒遇過問題(當然都有開箱錄影)當然不排除是我momo運氣好，pc運氣不好。最後，過年結束好一段時間了，希望可以處理快一點，好讓我把錢拿去買新的清淨除濕機嗎？不過是否該考慮其他入手方式以及日立的RD-240HH了？以上，其他等後續更新...P.S 更正二張圖片網址https://24h.pchome.com.tw/prod/DMAU0F-A900AZ678購買的網址，24h出貨,推,benedict76,: 內文多餘的文字可以刪掉嗎？不然閱讀,03/04 16:05
,,,,推,loverlover,: 呃 這是要抱怨商家 還是抱怨產品？,03/04 16:28
,,,,推,benedict76,: 箱子的話可以爭取看看說不定免賠，看,03/04 16:32
,,,,推,alwang,: 你只要說收到的時候就是破的就好了,03/04 16:36
,,,,推,cchcch2,: PCHOME買到機王就退貨嘛...,03/04 16:44
,,,,推,ibaby,: 錯版 網拍版歡迎你,03/04 18:10
,,,,推,Unsullied,: momo的貨運有次自己遲到,03/04 18:50
,,,,推,eggM,: momo也有次兩三周都沒出貨，詢問客服後,03/04 19:03
,,,,推,benedict76,: 24h出貨跟回收回去廠商的狀態有可能不,03/04 20:42
,,,,推,loverlover,: 此文較適合e-shopping版,03/04 20:51
,,,,→,benedict76,: 好痛苦，另外可以po一下賣場看是24h還,03/04 16:05
,,,,→,benedict76,: 是廠商出貨？,03/04 16:05
,,,,→,benedict76,: 破損的狀況比較像運送用壞的不像人為,03/04 16:32
,,,,→,benedict76,: 用，可以請對方舉證送來就是沒破的影,03/04 16:32
,,,,→,benedict76,: 像。另外故障就買到機王而已再買一台,03/04 16:32
,,,,→,benedict76,: 就好。,03/04 16:32
,,,,→,rtoday,: 我也覺得你寫的很亂，產品的缺點才是本版,03/04 17:05
,,,,→,rtoday,: 的重點,03/04 17:05
,,,,→,gn00324893,: 聯吧,03/04 17:14
,,,,→,Unsullied,: 居然說沒人簽收 媽呀 我家大樓耶,03/04 18:50
,,,,→,Unsullied,: 你半夜來也有人簽收好嗎？,03/04 18:51
,,,,→,Unsullied,: 然後打電話詢問 對方只回答 沒辦法,03/04 18:51
,,,,→,eggM,: 又轉給廠商，廠商說出貨了，但貨沒收到呀~,03/04 19:04
,,,,→,eggM,: 結果當天下午廠商自己送貨來..出貨日是剛剛~,03/04 19:05
,,,,→,v3015,: 這種箱子很容易破，已經收過3次類似狀況,03/04 20:31
,,,,→,benedict76,: 一樣，廠商會認為消費者用破，不過跟p,03/04 20:42
,,,,→,benedict76,: c說送來就破他們大部分就自己吞了,03/04 20:42
,,,,噓,gn00324893,: 這也是pchome的問題 跟P牌沒啥太大關,03/04 17:14
