Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ULTIMA1002 (晚點再說),[問題] pchome退貨 印單的必要？,Sat May 27 10:09:32 2023,請問pchome24退貨它說要列印退貨單貼箱子上，但是看網路上其他人分享似乎沒貼也沒差，就東西直接給收貨的司機就好？所以不列印單子應該可以吧？東西到了完全沒拆過，原封不動退貨的那種----Sent from BePTT on my Xiaomi Mi 9T Pro,推,friesmall,: 我只有在空白紙上面寫單號貼在外箱,05/27 11:09
,,,,推,moon0831,: 空白紙寫單號+1 司機好像會對一下確認包,05/27 11:36
,,,,推,wennai,: 空白紙寫單號+1，從沒印過,05/27 14:19
,,,,推,lianpig5566,: 其實完全沒差 你也可以在箱子上寫單,05/27 18:10
,,,,推,supermars,: 不用印，但要手寫姓名電話與訂單編號,05/27 21:56
,,,,推,winterstroll,: 手寫，避免司機收錯,05/28 17:41
,,,,→,catny87059,: 我覺得應該是給個方便吧，你退貨印他,05/27 10:18
,,,,→,catny87059,: 們所要的單子，可能上面有編號、備註,05/27 10:18
,,,,→,catny87059,: 可以讓他們一目瞭然,05/27 10:18
,,,,→,enonrick,: 不貼 沒差， 那張是 pchome 自己要看的,05/27 10:33
,,,,→,enonrick,: 不是司機，司機自己有自己物流的單，收,05/27 10:33
,,,,→,enonrick,: 到貨還是要給你收執聯,05/27 10:33
,,,,→,moon0831,: 裹正確,05/27 11:36
,,,,→,nentendo,: 退貨說明頁中不就有寫無法列印時的做法,05/27 16:28
,,,,→,nentendo,: 了嗎@@？,05/27 16:28
,,,,→,nentendo,,05/27 16:28
,,,,→,nentendo,: 什麼都不寫不標示應該也不是不行，只是,05/27 16:33
,,,,→,nentendo,: 有什麼情況的話也只是徒增自己的困擾吧,05/27 16:33
,,,,→,nentendo,: ？,05/27 16:33
,,,,→,lianpig5566,: 號就好,05/27 18:10
,,,,→,lianpig5566,: 主要是宅配收貨可能不會馬上貼單，或,05/27 18:11
,,,,→,lianpig5566,: 同時有多件要退，有單號比較不會貼錯,05/27 18:11
,,,,→,s910928,: 自己找一張紙寫,05/27 22:16
,,,,→,ashkaze,: 空白紙寫單號+1. 沒印過也懶得印,05/28 13:44
com200221 (弘),[情報] PChome麥香不限金額登記抽好禮,Tue Apr 11 11:55:41 2023,Pchome下單麥香不限金額登記抽好禮其中有個麥香行李箱禮盒雖然圖片小小的 但看起來挺Q而且是不限金額 門檻挺容易的https://i.imgur.com/ZwKJqIG.jpg,推,final007,: 行李箱造型 禮盒吧,04/11 12:06
,,,,推,qenoza,: 買六入組也能抽嗎,04/11 12:19
,,,,推,co0072002,: 行李箱造型禮盒聽起來很雞肋,04/11 13:40
,,,,推,menshou,: 行李箱禮盒很可愛欸！！感謝分享,04/11 14:17
,,,,推,b099275,: 感謝分享,04/11 15:29
,,,,推,chcio101,: 手刀下訂～～,04/11 16:00
,,,,推,john1122boy,: 不限金額好讚 我想要那個悠遊卡,04/11 16:37
,,,,推,fgy37,: 難得看到不限金額可以抽獎,04/11 17:29
,,,,推,melody61029,: 這個之前也有抽過 沒抽到哈哈,04/11 18:00
,,,,推,kdz310,: 已下單～想被抽到rrr,04/11 18:26
,,,,→,peterisme17,: 行李箱禮盒是行李箱還是禮盒?,04/11 12:05
,,,,噓,san5229,: 抽,04/11 11:57
,,,,噓,q2520q,: 這篇是啥鬼？,04/11 12:44
