Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
n74042300 (BACKLIFE),[情報],Tue Feb  1 00:54:04 2022,https://reurl.cc/Kpl0Wg商店券 3495 * 0.88 = 3076再用8Q53YJQGME3076*0.88=2715或是用JCB卡2400-400 JCBFEB4003076-400= 2676若是用富邦J  可以再2% 2676*0.98=2622可搭配LINE導購1%2622*0.99= 25963495=>2596免運還開發票換氣量不差    主機便宜耗材便宜真的不用買到那些貴桑桑廠商包裝的天花亂墜的牌子XD主機貴 耗材又貴 這台佔的空間又小客廳放個兩台都覺得還好去年京東買1台是499 RMB含運費 ~as0825大提供規格比較https://i.imgur.com/xaoxxZF.pnghttps://i.imgur.com/7Y8st12.jpg產品尺寸240 x 240 x 533.5mm產品淨重約 4.8kg有效涵蓋範圍25-43m2噪音 61dB(A)PM CADR360m3 /h查了一下才知道那個人家說中國現在流行的假歐洲牌BLUE AIR 耗材價格這麼精品喔 行銷真強XDhttps://imgur.com/FHHiMp2.jpg,推,chirssu,: 感謝分享,02/01 13:30
,,,,推,macfield,: 感謝分享！,02/01 18:20
,,,,推,qmzoak,: 借版問一下 ，小米高效能濾網是HEPA嗎 ，,02/01 18:56
,,,,推,aegis43210,: H12，blueair是H13,02/01 20:58
,,,,推,hobe,: blueair濾材也在中國買就便宜多了,02/01 21:02
,,,,推,jimehang,: 除臭強嗎,02/01 21:12
,,,,推,qmzoak,: 感謝a大的回答,02/01 21:12
,,,,推,leonard530,: 請問濾芯共用哪一款？,02/04 11:18
,,,,推,loveapple33,: 外面貼一層3M靜電濾網，吊打一堆盤子,02/08 14:32
,,,,→,qmzoak,: 有什麼不一樣呢,02/01 18:56
,,,,→,CJhang,: 四代濾心 是給四代用的,02/04 19:00
,,,,→,loveapple33,: 牌，這種機構簡單的機器可以買到天價,02/08 14:32
,,,,→,loveapple33,: 也是不簡單，不過貴人家還覺得沒效果,02/08 14:32
,,,,→,loveapple33,: 不夠貴,02/08 14:32
,,,,→,loveapple33,,02/08 14:35
,,,,→,loveapple33,: 幫回三樓，不是Hepa，只是小米自創的,02/08 14:35
,,,,→,loveapple33,: 名詞，不能當作Hepa用,02/08 14:35
,,,,→,ww1234528,: 買了4pro 用了兩天超滿意 接入homekit,02/09 00:33
,,,,→,ww1234528,: 自己設定污染閥值 完美解決內建自動模,02/09 00:33
,,,,→,ww1234528,: 式判斷太寬鬆的問題,02/09 00:33
,,,,→,labell,: 不用陸牌,02/09 05:08
,,,,→,labell,: 有噪音,02/09 05:08
ice910 (飛鳥),[情報] Dyson優惠活動(蝦皮),Thu Dec 23 18:45:19 2021,如題目前Dyson有在做活動下面這款HD03吹風機觀望一陣子現在大概7折左右 11999記得領88折券 可以再便宜一點點11999x0.88=10559 感覺可以入手https://imgur.com/a/EO4Jr2A券的部分全站都可以用可能跟其他的品搭起來優惠也還OK有興趣可來看看～https://bit.ly/3IL0xR1,推,notforsale  ,: 88折券在哪裡領啊,12/23 19:43
,,,,推,ballcat     ,: 88折券在哪裡領啊 +1,12/23 19:58
,,,,推,flosser     ,,12/23 20:06
,,,,推,raikkonen10 ,: 感覺只是把原價拉高再給特價而已,12/23 22:42
,,,,推,sandys1012  ,: 謝謝你，劵已售完喇,12/26 08:18
,,,,→,flosser     ,: tt=0.0.9,12/23 20:06
GBO5 (西布勒),[情報] 蝦皮尬電節 手機3C家電可用92折券,Fri Aug 13 16:12:14 2021,最近看到蝦皮有尬電節的活動發現有一些優惠可撿https://imgur.com/FUO0G9s.jpg基本上就是今天到8/17每天都會有兩個手機3C或家電品牌做優惠然後這幾天都會有蝦皮的92折商城券（終於不用人擠人去搶了....再疊加賣場給的折價券 都能有還算不錯的價格不需要等到大檔再下手了我的話應該會鎖定16號的Roborock入手一波很想購入的掃地機器人有興趣的可來一起看看https://bit.ly/3AyRZaW,推,ATand       ,: 石頭最像樣就之前線量3000測試價,08/13 16:37
,,,,推,hsiche      ,: 好想換很多家電....,08/13 17:38
,,,,推,Oolong5566  ,: 還是等1111好了...92折...,08/14 00:23
,,,,→,v3015       ,: 石頭比較像樣的價錢就前幾天的,08/13 16:27
,,,,→,v3015       ,: S5 Max$9999，平常價錢有夠盤就算,08/13 16:29
,,,,→,v3015       ,: 打8折一樣很盤,08/13 16:29
,,,,→,ATand       ,: 買超過都是盤子,08/13 16:37
,,,,→,agunnm      ,: 看到代言人就...,08/14 09:35
,,,,→,DINGAU      ,: 無法停留在這頁..,08/14 21:11
,,,,→,rachechen   ,: 感謝分享,08/16 23:56
