Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
neo19 ((づ′・ω・）づ),[新聞] 蝦皮、誠品挨罰！洩漏消費者個資未改正 ,Tue May 30 19:50:14 2023,1.媒體來源:中時2.記者署名:李奇叡3.完整新聞標題:蝦皮、誠品挨罰！洩漏消費者個資未改正 數位部開鍘了4.完整新聞內文:針對蝦皮、誠品生活以及旋轉拍賣等業者涉及消費者個資外洩事件，數位發展部依據個人資料保護法第 22 條規定辦理行政檢查，並請業者限期改正後，由於蝦皮、誠品生活屆期仍未改正，分別遭罰20萬元、10萬元。數位部表示，蝦皮及誠品生活未依個資法規定採行適當之安全措施，且屆期仍未改正，已違反個資法第 27 條第 1 項規定，因此分別對於蝦皮處以 20 萬元罰鍰，對誠品生活處以 10 萬元罰鍰。至於旋轉拍賣則以持續配合改正，處以限期改正，並持續觀察，如未能改善仍將按次處罰。數位部強調，有關蝦皮涉及個資外洩事件，經數位部多次要求業者完善個人資料保護，並提出相關佐證資料以為證明，該公司在 個資盤點上仍僅提供 4 筆盤點內容，顯有缺漏，且在風險評估分析上，對於風險值較高之流程未提供已採取矯正措施之佐證。另外，蝦皮對委外廠商未落實稽核，未能提供完整的安全管控執行、稽核紀錄 等具體佐證資料，無法證實該公司對保有個資已採行適當之安全措 施，因此依據個資法第48條第4 款併第50條規定，處分業者併同其負責人罰鍰計新台幣 20 萬元。有關誠品生活案，經數位部產業署實地行政檢查，現場已發現在帳號管理上執行未確實，另要求事後提供之補充或佐證資料，該公司個資盤點資料仍不完整，且針對委外廠商監督管理未落實執行，因此依據個資法第 48 條第 4 款併第 50 條規定處分，業者併同其負責人罰鍰計新台幣10萬元。有關旋轉拍賣案，數位部說明，該業者已經提出說明及佐證資料，且已依先前包含警政署等專家建議，強化網站防詐警示、登入採用雙重驗證機制、並禁止用戶利用對話功能傳送未經驗證之網址連結等，惟未提供針對委外廠商整體制度稽核，尚有待改進之處，將限期請業者再行補正。數位部強調，已要求前述業者落實個資法相關規定，並限期請業者再為改正，如屆期未改正，將按次處分。同時數位部要求各電商業者務必重視個資保護，並且數位部也會引入相關解決方案，例如隱碼技術，與電商業者合作，持續強化個資保護措施。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:https://www.chinatimes.com/realtimenews/20230530004962-2604106.備註:--https://imgur.com/G3ODdlv.gifhttps://imgur.com/fixiMf0.gifhttps://imgur.com/vJUWj7w.gifhttps://imgur.com/j2h9k3G.gifhttps://imgur.com/cpXTc2v.gif,推,ffaatt,: 蝦皮的個資好像比政府還安全吧,05/30 19:51
,,,,推,qDaniel,: 政府外流的才嚴重,05/30 20:00
,,,,推,belion,: 政府單位，罰了嗎？,05/30 20:01
,,,,推,waterfully,: 20&10萬 對他們算啥 零錢是會有感覺？,05/30 20:03
,,,,推,cck525,: 數位部現在是個資法的主管機關嗎？,05/30 20:13
,,,,→,razan,: 還以為開罰是百萬起跳,05/30 19:51
,,,,→,sexygnome,: 數位部有在管個資？,05/30 19:51
,,,,→,rabbit83035,: 政府出事無法可管,05/30 19:51
,,,,→,ZhanPeng,: 開鍘什麼老人用詞,05/30 19:51
,,,,→,nrezw,: 笑死,05/30 19:52
,,,,→,ZhouGongJin,: 何時罰到內政部？,05/30 19:52
,,,,→,valley,: 政府不是把你各位個資都洩出去了嗎,05/30 19:52
,,,,→,opm,: 國安會  內政部  衛福部  數位部不用罰?,05/30 19:53
,,,,→,jil,: 罰這點錢就不要出來丟臉了,05/30 19:53
,,,,→,jerrys0580,: 才20萬 10萬 不符合他們營收的比例原,05/30 20:00
,,,,→,lycppt,: 子,05/30 20:03
,,,,→,justice2008,: 重罰20萬 重罰10萬 已經很多了!!!!,05/30 20:04
,,,,→,amphiprion,: 好可怕喔 嚇死企業主了,05/30 20:07
,,,,噓,vul81320,: 你信,05/30 19:51
,,,,噓,s1025342,: 會被笑死,05/30 19:52
,,,,噓,miforward,: 什麼時候開鍘內政部？,05/30 19:53
,,,,噓,lycppt,: 博客來 迪卡儂 沒罰啊 隨便罰幾個做做樣,05/30 20:03
,,,,噓,sse1,: 有夠廢物,05/30 20:15
,,,,噓,chenyeart,: 不知道該說什麼了,05/30 21:06
,,,,噓,Gamelop,: 數位部用個資法開罰？,05/30 21:33
huabandd (我是阿肥巴你頭),Re: [新聞] 巴哈姆特女版主遭惡整！蝦皮帳戶被綁、手機停話　仇家認,Mon May 29 22:14:43 2023,※ 引述《ezJapan (Japan)》之銘言：: 巴哈姆特女版主遭惡整！蝦皮帳戶被綁、手機停話　仇家認罪：我試了1萬多次密碼這其實是一件很可怕的事情很多網站沒有二階段認證甚至封鎖嘗試錯誤登入的功能所以才會讓這貨有機會嘗試一萬多次並且成功印象中好像只有銀行或證券有錯誤三次會封鎖登入的設定如果你用手機門號當一些網站的帳號，然後個資外流剛好某網站又要二階段認證，且沒有關閉多次嘗試只要有人一直踹你帳號，你就會一直收到驗證碼，想想都可怕大多數人都用同一組帳號密碼，只要某個地方被破解其他網站大概也都會被破解了，看來要重新研究一下密碼設定了也難怪蘋果會隱藏email跟自動設定亂數密碼的功能了,推,ISNAKEI,: 我的暴雪帳號被盜 後來就被刪了 幹,05/29 22:31
,,,,→,trywish,: 密碼太簡單的問題，1萬多次算少了。今天,05/29 22:16
,,,,→,trywish,: 你密碼強度夠，試了百萬次都不見得能解開,05/29 22:17
,,,,→,trywish,: 百萬其實算少，英文就26個，大小寫兩倍，,05/29 22:21
,,,,→,trywish,: 數字10個。先不講大小寫，你自己看看36個,05/29 22:21
,,,,→,trywish,: 變化，百萬次的位數多少。現在一堆8碼+中,05/29 22:22
,,,,→,trywish,: 英混合，有些遊戲網站還要求大小寫混合。,05/29 22:22
,,,,→,trywish,": 二階段重點是""密碼被盜""，還要本人同意，",05/29 22:23
,,,,→,trywish,: 而非防暴力破解。,05/29 22:23
,,,,→,ISNAKEI,: 平時沒在登信箱 有天登上去 被try爆,05/29 22:32
,,,,→,trywish,: 遊戲比較相信是帳密流出之後被嚐試。光要,05/29 22:38
,,,,→,trywish,: 知道你帳號，其實就有難度。,05/29 22:39
,,,,→,trywish,: 反正一些怪怪網站和你主要網站的帳號盡量,05/29 22:39
,,,,→,trywish,: 不要一樣，密碼也是。這樣安全很多。之後,05/29 22:39
,,,,→,trywish,: 開二階段，其實是你被盜，對方也登不了。,05/29 22:40
BlueBird5566 ( 唯一支持賴清德),Re: [新聞] 巴哈姆特女版主遭惡整！蝦皮帳戶被綁、手機停話　仇家認,Mon May 29 20:59:37 2023,試一萬多次也還好我有個朋友 他媽媽是女明星 後來被粉絲殺了他懷疑是某個跟他媽有一腿的男子搞的鬼想要從他媽的手機找出線索但他不知道他媽的手機密碼他就這樣試啊試  試了45510次才解開了他媽的手機一共花了四年,推,deathbead,: 有吃媽媽的奶嗎？,05/29 22:12
,,,,→,glen246,,05/29 21:02
,,,,噓,sars7125889,: 哪部糞作 幹,05/29 21:00
,,,,噓,coon182,: 臭死,05/29 21:00
,,,,噓,chadmu,: 左轉臭板,05/29 21:06
