id,source,keyword,time,comment,score
1,facebook,momo,2023-05-14,momo是不是有要搶進c2c的市場？最近momo購物增加了單品銷售數字與產品評價小弟看來這兩種資料似乎是c2c比較常用來管理產品品質的方法之一momo購物原則上是momo開發票給消費者消費模式是消費者跟momo購買產品但是momo的產品評價是不是再給對消費者說我們有販賣劣質品(如果評價很差的)畢竟momo的產品上架不同於拍賣只要不違法都可上而是要經過pm核可而momo上架費用也比拍賣高得多或是momo這兩種機制是要針對廠商進行自然淘汰？,0.001748
2,facebook,momo,2023-05-14,萬一他要C2C不成才的y與p被S家打成這樣，有個台灣品牌大反攻也不錯,0.045827
3,facebook,momo,2023-05-14,"盧冠銘 如果momo要定位成c2c，那收費不知會不會也順便修改",0.031465
4,facebook,momo,2023-05-14,"陳天明 結果是S家先把C2C收到天際Mo家看起來其實也不貴了XD",0.015171
5,facebook,momo,2023-05-14,C2C的利潤低，以他現在的流量和物流使用率，只是兼著做，增加資料量,0.166374
6,facebook,momo,2023-05-14,"Philia Lin 可是產品銷售數字跟評價是加進所有商品，應該不是兼著做，而是一體適用的功能",0.059896
7,facebook,momo,2023-05-14,"以我個人的了解他們沒有想要經營C2C，秀出銷售數及評價是為了讓客人看到真實的商品銷售及評價可以督促廠商做得更好。他們從去年開始導入A I的選品，銷售量比之前人工選品提升50 %以上的準確率￼，再來另外一個重點就是銷售站內廣告，提升他們的獲利。￼",0.022566
8,facebook,momo,2023-05-14,"劉旭騰 不知蝦皮是否也有用ai選品機制？但蝦皮也有做站內廣告銷售與產品銷售數字與評價，感覺兩站的模式逐漸越走越近，這才是小弟提出的疑惑！督促廠商做的更好，當然銷量就會降低，相對而言，廠商如果無法做更好，就要自己考慮退出了！",0.005108
9,facebook,momo,2023-05-14,"劉旭騰 沒錯，我的了解他們並不會想經營C2C，但開始改變總是好的。",0.775476
10,facebook,momo,2023-05-14,"鄭炳秀 正確無誤",0.954434
11,facebook,momo,2023-05-14,"拉一堆C 互相內卷讓有資本成為廠商／代理經銷先看看市場有無商機蝦皮走過的養套殺路 Momo 若也這樣 雖然Low但收割真的快",0.001839
12,facebook,momo,2023-05-14,"Ronin  Lin 所以會有一番腥風血雨？",0.717608
13,facebook,momo,2023-05-14,"陳天明 我有個銷售是個人經營他們業務找上我一次就要我開公司行號 我就不要 逆外流 鑑賞期 刷卡 等等 風險與成本過高 我是玩不起",0.000034
14,facebook,momo,2023-05-14,"Ronin  Lin 感覺他們真的需要的是資本夠粗的廠商，這樣玩下去，小廠商會先死，所以你的決定是對的",0.000221
