id,source,keyword,time,comment,score
19,mobile01,momo,2023/5/5,只有日本還買得到四行程 50 CC 小綿羊，速度慢到難以想像～～,0.00382
20,mobile01,momo,2023/5/6,"hjfrank wrote:速度慢到難以想像 那種動力水準就1980年代初期二行程50cc的水準最多5ps以下極速50以下像10多年前我借當時公司的鈴木蛋蛋車馬力不到3ps,極速42而已2015年借當時同事easy 50,極速約60上下相比我老婆1996年騎到現在的新勁風50和我的風動50約6-7ps左右的動力差異極大單人80kg表速都還有70上下雙載180kg極速還有50-60小當的小當家 wrote:現在真的很少看到50CC了哈哈 台北地區的話最多就是買菜短程用還看的到通勤車流中,這幾年我騎風動50和新勁風50通勤除我之外最多看到1-2輛,且還不是天天看的到這兩週最常看到是Dio 50,外殼換新的車",0.008517
22,mobile01,momo,2023/5/10,大翔黑熊 wrote:50CC就算沒力，買菜也好用，沒看到樓主只是買給媽媽用來做買菜車，要有力是要早點讓媽媽晚七天回家嗎？回文注意一下機車用處，買菜用跟飆車用差很多，買菜帶小孩只要100CC就夠用，125以上等於路上神主牌。 那請問這隻黑熊也是路上神主牌嗎？ 綠蛙唯一興趣就是每天上01被打臉打好打滿,0.029575
23,mobile01,momo,2023/5/16,綠牌50cc吃汽油的已經絕跡很久了從二行程時代淘汰之後，四行程的50cc因為相當沒力，就沒車廠要出現在綠牌的輕型都以電動車為主，像是emoving的EZ1這類的就是綠牌輕型電動機車最近出新顏色「神秘霧藍」我覺得蠻好看的https://2gamesome.com.tw/article/view/3922,0.016433
24,mobile01,momo,2023/4/1,【Samsung Pay及悠遊卡功能】悠遊卡功能是三星強項，不過只有台版具有這個功能，算是點了水貨死穴一定要有的話，就無法買便宜的水貨機，只能乖乖買台版。,0.106784
25,mobile01,momo,2023/5/5,如果自家充電方便的話，還有一輛被忽略的綠牌電車不方便也沒關係，電池可以拆下，提上樓充電三陽E-WOO，扣掉補助價，大約29500-33000之間三陽E-WOO沿用三陽WOO的車殼重點是30A電池所有權是你，三年保固期內只要出電費三陽E-WOO我經常時速40-50之間騎乘，極速不到60應該是唯一缺點,0.002098
26,mobile01,momo,2023/5/5,fox.simon wrote:50CC從第五期環保...(恕刪) ai4補助要看地方，我家人去年8月多買的含補助要4.9萬!,0.008726
27,mobile01,momo,2023/5/5,MOMO 之前有賣這台車 賣88999 但賣完了 貿易商也要賺 我懂,0.007786
29,mobile01,momo,2023/5/5,有是有指是那售價就.......Honda GYRO,0.001058
30,mobile01,momo,2023/4/1,gilywu wrote:這客人真奧~~精...(恕刪) 一般消費者來說，本就是看到名字是自己想買的，有「公司貨」字樣，以及確認沒有水貨或是平行輸入的解釋，且價格實惠就會進入考量要買與不買的環節有相關購買經驗或是電信、手機經驗，才會知道要去查看型號吧不用用太高規格的視角去檢視一般消費者且你仔細去看內文，樓主也沒有針對自己疏忽的地方避重就輕的帶過，反而是很多自省的部分我覺得這比較平常我們會看到的檢討商家文，這已經很客觀公正了.....雖然負評送得很快，但這本就是消費者的一個權益，別拿公司規定這種不成文規定的話語來談，我也對於店家表示要改回評價才能換機這種等價交換(還不對等)的方式保持疑問態度不過此次分享也讓人學到很多經驗，1.電子產品查看型號2.多問一句平行輸入、國際版，還是台灣原廠進貨的來源3.想用的功能是否都正常，先做聊聊詢問4.....最重要的是七日內先確認高單價商品是不是有問題啊...................但是其實1~3點都是賣家標示清楚就可以解決的。,0.010093
