id,source,keyword,time,comment,score
1,PTT,momo,2023-06-14,其實你可以先按退貨，用過也沒關係。之,0.000034
2,PTT,momo,2023-06-14,我也遇過買來裝墨水後測試不能用，先跟H,0.000894
3,PTT,momo,2023-06-14,剛買就發現是瑕疵品，我會申請退貨，,0.000033
4,PTT,momo,2023-06-14,那我就不懂你Po這篇幹嘛了只是單純發洩,0.00006
5,PTT,momo,2023-06-14,放他們門口好像他們就會處理一樣==,0.000209
6,PTT,momo,2023-06-14,雖然有點晚，但我還是想來說一下我,0.025822
7,PTT,momo,2023-06-14,"保固內送修吧 等桃子退貨要等多久",0.000033
8,PTT,momo,2023-06-14,錢太多，就算不能退貨也可以免費維修,0.000033
9,PTT,momo,2023-06-14,"爬了一堆文後 我決定不修也不退了",0.000033
10,PTT,momo,2023-06-14,白天直接連同購買憑證和殘存的包裝,0.00086
11,PTT,momo,2023-06-14,"放MOMO總部門口 讓他們自己處理他們賣",0.001094
12,PTT,momo,2023-06-14,"的垃圾 省去之後溝通受一堆鳥氣",0.000038
13,PTT,momo,2023-06-14,前在Momo買過一個水霧機用了兩個月就壞,0.000033
14,PTT,momo,2023-06-14,掉，我也是直接按退貨他們有退。,0.000034
15,PTT,momo,2023-06-14,總之這種問題建議就是先走他們程序再說,0.000749
16,PTT,momo,2023-06-14,"吧放在門口也沒有什麼幫助= =",0.00238
17,PTT,momo,2023-06-14,而且我的水霧機退貨的時候有備註說使用,0.000033
18,PTT,momo,2023-06-14,兩個月就壞了，Momo方面根本沒有多問什,0.000034
19,PTT,momo,2023-06-14,麼，有一次是買玻璃螢幕保護貼，也是寄,0.000036
20,PTT,momo,2023-06-14,來就裂開了，退貨的時候有備註他們也是,0.000034
21,PTT,momo,2023-06-14,直接給退，我是覺得他們退貨做的不錯啊=,0.000036
22,PTT,momo,2023-06-14,"要也是上班時間  送去辦公室",0.001552
23,PTT,momo,2023-06-14,"直接丟門口   被當亂丟垃圾   有罰則的",0.000036
24,PTT,momo,2023-06-14,"P客服說好，然後Momo 按退貨，最後Momo",0.000033
25,PTT,momo,2023-06-14,"只是過程有點煩，Momo 會一直踢皮球說會",0.00009
26,PTT,momo,2023-06-14,聯繫廠商、廠商不給退。強硬起來之後就,0.000033
27,PTT,momo,2023-06-14,很多瑕疵都是用了才會發現，本來就應,0.00085
28,PTT,momo,2023-06-14,該讓客人退貨的，不然買了電器的人，發,0.000033
29,PTT,momo,2023-06-14,現東西壞的，不就都只能自認倒楣,0.000037
30,PTT,momo,2023-06-14,"嗎= = 兩個做法你都沒做就先補腦會很麻",0.001219
