id,source,keyword,time,comment,score
1,facebook,pchome,2023-05-08,想抱怨一下PChome……,0.02782
2,facebook,pchome,2023-05-08,"P 家就像是一台牛車, 你得要有耐心持續不斷的鞭策, 並等待他趕上你的腳步; 不然就換車...",0.073164
3,facebook,pchome,2023-05-08,半夜做了一個夢……自動跟價系統大概2018左右就有了，桃子最喜歡去釣魚，只要p系統一跟價，桃子的群組就會開始哭天喊地說原廠都不處理p家，只會要求桃子或欺負桃子……負責p家的我馬上會接到主管的賴，要求我立刻回價……我拜託p家改完後，桃子馬上把價格下殺，p家瞬間賣不出去然後變呆滯，我也跟p家的pm越來越處不好，業績也做不起來，就被撤換掉，這時我也驚醒了,0.00559
4,facebook,pchome,2023-05-08,沒事的他們一直補行銷應該很快解決,0.005883
5,facebook,pchome,2023-05-08,PC的總公司在火星(Mars)，送件審核到回傳批准需要時間...,0.000545
6,facebook,pchome,2023-05-08,"他們應該沒這麼AI？人工跟價吧他們就是什麼都人工作業，以前變價還要人工設定，沒有時間設定自動變價，所以pm最討厭週末開始的檔期，他們會自動變成週五提早變或是週一變因為只有人工，現在進步了可以設定時間，但是行銷版位還是人工，所以週五的瘋殺要做到周一，因為週末沒人換圖哈哈哈 這都小事，還有很多很多不合理的地方，所以廠商才無法提供全館活動，看起來就變成桃子比較優惠，主因是活動設定根本問題啊傻pc",0.001918
7,facebook,pchome,2023-03-15,太久沒逛PChome，今天才發現，超感動！執行長加油,0.995368
8,facebook,pchome,2023-03-15,很有感欸,0.999962
9,facebook,pchome,2023-03-15,"陳新安 進步超多",0.999823
10,facebook,pchome,2023-03-15,營收有增加嗎？,0.008795
11,facebook,pchome,2023-03-15,"李柏鋒 應該才剛改不久，不過我要認真經營了",0.037581
12,facebook,pchome,2023-03-15,"三年沒用過PChome 再給他一次機會",0.000045
13,facebook,pchome,2023-03-15,好看是好看了，但總覺得跟東森啊松果阿蝦皮阿好像突然沒鑑別度了,0.986735
14,facebook,pchome,2023-03-15,"WanYu Liao 我是覺得全世界的電商網站都長差不多是有他的道理的，不用太特立獨行",0.156741
15,facebook,pchome,2023-03-15,對優雅是不是有什麼誤會？這只是非常非常基本的UI吧...從不及格變成及格分而已,0.072096
16,facebook,pchome,2023-03-15,"Hong Lin 至少不用再被強姦視覺了",0.000972
17,facebook,pchome,2023-03-15,"Makoto Chiu 是的啊，但這也是非常非常基本的及格而已，離“好看的UI",“符合品牌風格的UI","具有足夠功能的UI"還有很長遠的路...",0.996326
18,facebook,pchome,2023-03-15,"Hong Lin 有沒有推薦比較滿分的想看",0.999936
19,facebook,pchome,2023-03-15,"徐漢驊 我也蠻想看的，尤其是B2B2C",0.99786
20,facebook,pchome,2023-03-15,剛用手機版覺得網頁顯示速度超快，還有注意到CLS的問題，覺得感動,0.99991
21,facebook,pchome,2023-03-15,"一個字 水",0.000041
22,facebook,pchome,2023-03-15,這應該是it終於願意聽設計師的要求去做的結果吧,0.505398
