id,source,keyword,time,comment,score
1,PTT,pchome,2023-05-27,我只有在空白紙上面寫單號貼在外箱,0.00005
2,PTT,pchome,2023-05-27,"空白紙寫單號+1 司機好像會對一下確認包",0.000095
3,PTT,pchome,2023-05-27,空白紙寫單號+1，從沒印過,0.000052
4,PTT,pchome,2023-05-27,"其實完全沒差 你也可以在箱子上寫單",0.000261
5,PTT,pchome,2023-05-27,不用印，但要手寫姓名電話與訂單編號,0.000358
6,PTT,pchome,2023-05-27,我覺得應該是給個方便吧，你退貨印他,0.000033
7,PTT,pchome,2023-05-27,們所要的單子，可能上面有編號、備註,0.001037
8,PTT,pchome,2023-05-27,"不貼 沒差， 那張是 pchome 自己要看的",0.002115
9,PTT,pchome,2023-05-27,不是司機，司機自己有自己物流的單，收,0.000059
10,PTT,pchome,2023-05-27,退貨說明頁中不就有寫無法列印時的做法,0.000033
11,PTT,pchome,2023-05-27,什麼都不寫不標示應該也不是不行，只是,0.00005
12,PTT,pchome,2023-05-27,有什麼情況的話也只是徒增自己的困擾吧,0.001898
13,PTT,pchome,2023-05-27,主要是宅配收貨可能不會馬上貼單，或,0.000062
14,PTT,pchome,2023-05-27,同時有多件要退，有單號比較不會貼錯,0.000038
15,PTT,pchome,2023-05-28,"空白紙寫單號+1. 沒印過也懶得印",0.000033
16,PTT,pchome,2023-04-11,行李箱造型禮盒聽起來很雞肋,0.014187
17,PTT,pchome,2023-04-11,行李箱禮盒很可愛欸！！感謝分享,0.999962
18,PTT,pchome,2023-04-11,"不限金額好讚 我想要那個悠遊卡",0.447055
19,PTT,pchome,2023-04-11,"這個之前也有抽過 沒抽到哈哈",0.020764
20,PTT,pchome,2023-04-11,行李箱禮盒是行李箱還是禮盒?,0.004056
21,PTT,pchome,2023-03-28,"前陣子也遇到一樣的情況 收退貨超過3",0.000033
22,PTT,pchome,2023-03-28,人損判定是廠商判斷非平台判斷,0.000219
23,PTT,pchome,2023-03-28,其實比較像是是索尼的鍋...,0.015224
24,PTT,pchome,2023-03-28,pc只是平台而已，廠商問題大。客服權限,0.000035
25,PTT,pchome,2023-03-28,廠商出貨的商品那你退貨退誰？廠商。所以能,0.000034
26,PTT,pchome,2023-03-28,我覺得你查到退貨兩禮拜，應該要再細查是哪,0.000033
27,PTT,pchome,2023-03-28,"和你有全然不同的購物經驗 之前買三星",0.03399
28,PTT,pchome,2023-03-28,是很拖但你說都pc家的鍋...,0.000051
29,PTT,pchome,2023-03-28,台索手機綠線災情全部判定人損阿,0.002477
30,PTT,pchome,2023-03-28,看股價就知道這家的經營態度~,0.006419
31,PTT,pchome,2023-03-28,"想確定一個點，這個是 PCH24 出貨的",0.001765
32,PTT,pchome,2023-03-28,以前在實體店買到sony全新的壞耳機卻無,0.012193
33,PTT,pchome,2023-03-29,前幾天買訊號線時標示是PChome倉庫出,0.000062
34,PTT,pchome,2023-03-29,我上次也是倉庫出貨但退貨直接退到,0.000034
35,PTT,pchome,2023-03-29,"我自己經驗是看廠商 之前退循環扇也是廠商",0.000034
36,PTT,pchome,2023-03-29,PC有賺錢跟廠商有合約可以施壓，當然有pc,0.001427
37,PTT,pchome,2023-03-30,我東西都沒摸到，3/26辦取消訂單，,0.000033
38,PTT,pchome,2023-03-30,我上次買momo的sony相機也這樣，三萬塊,0.132178
39,PTT,pchome,2023-03-30,搞丟包裹（雙方都踢皮球說東西不在他們,0.000033
40,PTT,pchome,2023-03-31,以前買索尼的東西保固內維修三拖四請,0.000035
41,PTT,pchome,2023-03-31,"上面有提到momo客服廢會被嫌 為什麼這件不",0.000034
42,PTT,pchome,2023-04-03,"pc是平台有抽錢 遇到問題卻都丟給",0.000038
43,PTT,pchome,2023-03-28,還以為你要連原廠索尼一起炮,0.001833
44,PTT,pchome,2023-03-28,這用常理判斷都知道不能這樣回，我半導,0.000433
45,PTT,pchome,2023-03-28,最不爽的是PChome的消極不作為，一個月,0.000033
46,PTT,pchome,2023-03-28,我的筆電送回給技嘉RMA已經第四個月了，客,0.000048
