id,source,keyword,time,comment,score
17,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2023-05-06,我還是選擇pchome的，pchome已經夠方便好用。反而蝦皮現在一堆炸騙、假貨，用沒幾次、被騙一次，就不想再用了。,3
18,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2023-05-06,我還是選擇pchome的，pchome已經夠方便好用。反而蝦皮現在一堆炸騙、假貨，用沒幾次、被騙一次，就不想再用了。,3
21,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2023-04-22,"覺得PCHOME唯一優勢是可以分幾期0利率，買比較貴的東西雖然價錢稍貴一些還是會使用，而且退貨也是比較放心，只是好像都沒有客服電話? 找了很久只能MAIL或網站留言，MOMO有時候綁的量很大才會比較便宜一點點，真的一點點，可是要一次拿出很多錢，最近比較少買蝦皮了，便宜的小東西才會去那邊看看，運費補貼又變少了，最近都要299才免運",3
22,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2023-04-22,"覺得PCHOME唯一優勢是可以分幾期0利率，買比較貴的東西雖然價錢稍貴一些還是會使用，而且退貨也是比較放心，只是好像都沒有客服電話? 找了很久只能MAIL或網站留言，MOMO有時候綁的量很大才會比較便宜一點點，真的一點點，可是要一次拿出很多錢，最近比較少買蝦皮了，便宜的小東西才會去那邊看看，運費補貼又變少了，最近都要299才免運",3
41,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-19,"很少網購真的 蝦皮只有瀏覽看看 無下單買過 松果和mono各網購一次而已 雅虎已經多年無網購 pchome 2-3年網購一次 都是便宜不重要的小商品 只要超過2千以上全都逛街實體店面試穿試用 親眼看摸商品 完全不會網購啥手機球鞋和衣服 單身時買過衣服全不能穿 很誇張又麻煩退或換 從此再也無網購衣服❗️",1
42,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-19,"很少網購真的 蝦皮只有瀏覽看看 無下單買過 松果和mono各網購一次而已 雅虎已經多年無網購 pchome 2-3年網購一次 都是便宜不重要的小商品 只要超過2千以上全都逛街實體店面試穿試用 親眼看摸商品 完全不會網購啥手機球鞋和衣服 單身時買過衣服全不能穿 很誇張又麻煩退或換 從此再也無網購衣服❗️",1
52,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,"PCHOME以前送貨很快 後來疫情就沒那麼快了 改MOMO",2
60,YouTube,"疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒",2023-02-18,"PCHOME以前送貨很快 後來疫情就沒那麼快了 改MOMO",2
69,YouTube,網家虧損宣告不發獎金　詹宏志1月起不領薪｜#鏡新聞,2023-02-09,PCHOME被盜個資我好久沒用了,1
72,YouTube,網家虧損宣告不發獎金　詹宏志1月起不領薪｜#鏡新聞,2023-02-09,PCHOME被盜個資我好久沒用了,1
