id,source,keyword,time,comment,score
1,mobile01,蝦皮,2023/6/13,伶娜 wrote:一直有想找一咖新的露...(恕刪) 拋棄式的是真的不太環保但如果偶爾久久用一次是還好,0.062666
2,mobile01,蝦皮,2023/6/13,一組看起來不貴，買回去用用看就知道了,0.003985
3,mobile01,蝦皮,2023/6/13,人少的話可以人多的話，可能要兩個以上不然會不夠烤,0.000155
4,mobile01,蝦皮,2023/6/13,一組2000出頭塊而已，不貴拋棄式的我之前買，便宜的也要300-400，貴一點500-600所以用這種的大概烤個5次左右就回本了,0.002983
5,mobile01,蝦皮,2023/6/13,有很多標榜無煙的但是烤肉出來都還是有煙啊！那是怎麼個無煙啊？自己拿電風扇吹走？還是用抽油煙機？,0.000036
6,mobile01,蝦皮,2023/6/13,我之前有買過一組就是用貴貴的折扣碼我覺得蠻好用的,0.831822
7,mobile01,蝦皮,2023/6/13,beauty5樓 wrote:拋棄式的是真的不太環...(恕刪) 收和丟的時候每次都是體積蠻大的,0.000658
8,mobile01,蝦皮,2023/6/13,mmellow wrote:一組看起來不貴，買回...(恕刪) 想說多瞭解看看別人的心得不然每次都看了衝動喜歡就買家裡清掃時丟了都覺得痛,0.003419
9,mobile01,蝦皮,2023/6/13,小勞勃盜你帳號 wrote:人少的話可以人多的話...(恕刪) 人多的話......準備兩組？,0.000063
10,mobile01,蝦皮,2023/6/13,吃比瘦更加有福 wrote:一組2000出頭塊而...(恕刪) 我之前拋棄式的蝦皮一次買過兩三組起來還買補充的快速炭後來覺得他的烤網設計洞太大真的不好用結果三組用完，剩下一堆快速炭,0.005764
11,mobile01,蝦皮,2023/6/13,你就是火 wrote:有很多標榜無煙的但是...(恕刪) 這種嗎？,0.000346
12,mobile01,蝦皮,2023/6/13,sheaur wrote:我之前有買過一組就是...(恕刪) 貴貴的折扣碼名字剛好叫貴貴但不是真的貴貴,0.00518
13,mobile01,蝦皮,2023/6/13,伶娜 wrote:貴貴的折扣碼名字剛好...(恕刪) 有貴貴，我就推啦 看起來好像不錯，最近棒球場都有在推烤肉套票，不知道是不是用這種烤爐一樣的?,0.935241
14,mobile01,蝦皮,2023/6/13,有的露營區會幫你準備好烤爐的自己再多帶這個就沒什麼必要這家裡面用應該不錯，但記得保持通風,0.089061
15,mobile01,蝦皮,2023/6/13,伶娜 wrote:一直有想找一咖新的露...(恕刪) 生火應該還是靠技術拿噴槍最快了,0.052948
16,mobile01,蝦皮,2023/6/13,伶娜 wrote:這種嗎？(恕刪) 這種球場帶著跑、可以充電又可以插插頭的電扇蠻好用的欸去到有電力的地方可以固定吹帶好行動電源也都能補電,0.058844
17,mobile01,蝦皮,2023/6/13,01刪我丈耗 wrote:有貴貴，我就推啦 看...(恕刪) 好久沒去看棒球，不太清楚呢,0.006969
18,mobile01,蝦皮,2023/6/13,木星火星 wrote:有的露營區會幫你準備...(恕刪) 在家裡烤當然是盡量要保持通風的甚至在抽油煙機附近烤就好,0.083284
1221,mobile01,蝦皮,2023/6/13,我是於5/12在Game休閒館訂的，他們是說官方表示：第一批預計在端午之前全部發完,0.020927
1222,mobile01,蝦皮,2023/6/13,"我是5/25為了搶第一批預購跑去買momo那個搭3080 xg mobile大禮包的傻B(一般版通通完售)然後他x的 3080 xg mobile 6月1號就寄來我家不過有趣的是這次是看下來他們活動最優惠的居然是用中租的零卡，送4800mo幣，扣掉2%利息(大約1000)等於是3800mo幣，因為接下來還要買工作用的ssd所以這樣配覺得划算就用了。 請各位讀者們支持""無視無理取鬧者""運動~簡單的說就是別去理會惡意回文的言論讓它們自動的消失!還給版面",0.008209
1227,mobile01,蝦皮,2023/6/13,我是5/11 第一批在ASUS官網訂的，目前訂單還在訂單處理中狀態，但是昨天聯絡客服，客服回報說，我的訂單會在6/30開始依照訂單順序依序寄出。怎麼會這樣？？,0.000033
