id,source,keyword,time,comment,score
268,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-22,Shopee集團的金雞母遊戲被印度禁止了，導致集團補貼Shopee的資金沒有了，看來沒辦法再擴張，也會增加營運的收費。,1
271,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-22,"shopee 也难逃成龙代言的诅咒。🤣",5
275,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-22,Shopee集團的金雞母遊戲被印度禁止了，導致集團補貼Shopee的資金沒有了，看來沒辦法再擴張，也會增加營運的收費。,1
281,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-22,"shopee 也难逃成龙代言的诅咒。🤣",5
433,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-05,Shopee請了成龍打廣告。死亡魔咒不是蓋的。,1
434,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-09-05,Shopee請了成龍打廣告。死亡魔咒不是蓋的。,1
1216,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-04,不靠中国？Shopee90%的卖家是来自中国,1
1221,YouTube,在蝦皮不能說的事｜我離職了！｜離職原因大公開！,2022-08-04,"可能我腦袋比較慢, 大家覺得語速很好 但是我感覺快到, 緊湊到, 我有點難懂 &gt;_&lt; 一句話 3個4個 cut, (不誇張) 一直要重聽...<br>還是謝謝您分享shopee 的內慕",3
1232,YouTube,在蝦皮不能說的事｜我離職了！｜離職原因大公開！,2022-08-04,"可能我腦袋比較慢, 大家覺得語速很好 但是我感覺快到, 緊湊到, 我有點難懂 &gt;_&lt; 一句話 3個4個 cut, (不誇張) 一直要重聽...<br>還是謝謝您分享shopee 的內慕",3
1258,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-04,不靠中国？Shopee90%的卖家是来自中国,1
1456,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-02,"PCHOME 的對手不是SHOPEE ，而是MOMO ，這陣子我高價品都是在MOMO下單，完全不會在PCHOME下單。 那怕PCHOME有以前的好經驗，重點還是價格.。SHOPEE我也買很多，不過都是五百元以下的東西（一般電商不會有的產品）",1
1477,YouTube,台灣pchome快掛，印度殺死蝦皮？shopee股,2022-08-02,"PCHOME 的對手不是SHOPEE ，而是MOMO ，這陣子我高價品都是在MOMO下單，完全不會在PCHOME下單。 那怕PCHOME有以前的好經驗，重點還是價格.。SHOPEE我也買很多，不過都是五百元以下的東西（一般電商不會有的產品）",1
2213,YouTube,在蝦皮不能說的事｜我離職了！｜離職原因大公開！,2022-04-08,"用AI 審查就好，比人還可靠。可想而知，shopee 內部IT技術不是太靠譜。用KPI頻繁評估員工，他們壓力會很大。",0
2214,YouTube,在蝦皮不能說的事｜我離職了！｜離職原因大公開！,2022-04-08,"用AI 審查就好，比人還可靠。可想而知，shopee 內部IT技術不是太靠譜。用KPI頻繁評估員工，他們壓力會很大。",0
2415,YouTube,在蝦皮不能說的事｜我離職了！｜離職原因大公開！,2021-09-16,"shopee系統容易出錯 很爛!!",0
2425,YouTube,在蝦皮不能說的事｜我離職了！｜離職原因大公開！,2021-09-16,"shopee系統容易出錯 很爛!!",0
