published_time,search_terms,article,title,link,page_number,Body
2023-06-05T02:27:42+08:00,pchome,電腦,70K左右電腦健檢- Mobile01,https://www.mobile01.com/topicdetail.php?f=174&t=6795371,1,"主要拿來錄歌剪歌 看電影 玩遊戲CPU只想用Intel的,因為目前在用的I5-2500依然硬朗我又重新認真爬了一下文 在新配的一次不是專業電腦人 還請輕打"
2023-06-04T12:38:27+08:00,pchome,理財,【網購信用卡推薦】PChome、MOMO、蝦皮都適用- Mobile01,https://www.mobile01.com/topicdetail.php?f=801&t=6795124,1,過去我是一個能不用信用卡就不用的人，因為如果不小心把原本要繳信用卡的錢再花掉，這樣就變成 2 倍的花費。但有些東西就真的只能刷卡付費或是透過網路購買 ( 例如線上課程、軟體工具 )。所以我開始研究哪些信用卡拿來網購消費是比較划算的，去蕪存菁之後我總結出 21 張比較有吸引力的網購信用卡。主要包含以下兩種類型 :通用現金回饋型 : 只是要網購消費，就能獲得現金回饋，回饋 % 數通常介於 3-5% ( 特殊條件最高回饋可達 19.5% )指定通路消費型 : 像是 PC HOME、蝦皮、momo、Yahoo 等都有合作的聯名信用卡，最高享 10% 回饋========================
2023-06-04T09:57:33+08:00,pchome,居家,都使用什麼冷氣品牌(可投票) (第3頁) - Mobile01,https://www.mobile01.com/topicdetail.php?f=731&t=6795066,4,夏天到了購、換機潮這些年來大家都使用哪些品牌歡迎提出各品牌的優缺點參考陸續都有出智慧聯網的功能好像很值得入手看看
2023-06-01T09:50:15+08:00,pchome,筆電,50K預算想買4060筆電，求推薦- Mobile01,https://www.mobile01.com/topicdetail.php?f=233&t=6793516,2,預算大概40K-50K，想買4060的筆電，G18/G16這種高攀不起，想說看FX707ZV4 ( 12700H+4060)的TUF款式，https://24h.pchome.com.tw/prod/DHAS1U-A900G809I預算內有其他更推薦的型號或是品牌嗎？誠心發問，請收下小弟膝蓋 Orz
2023-05-22T19:40:36+08:00,pchome,相機,5/25第一批預定Z8能拿到貨嗎？ (第3頁) - Mobile01,https://www.mobile01.com/topicdetail.php?f=248&t=6789048,4,入題，有人有內線消息嗎？😂😂現在感覺就是一大堆人隨手都一台！
2023-05-27T22:26:59+08:00,pchome,汽車,[開箱] abee R120 快譯通電子後視鏡評測@一機多用行車紀錄器使用 ...,https://www.mobile01.com/topicdetail.php?f=621&t=6791497,1,台灣品牌快譯通 abee R120 WIFI 全貼合GPS電子後視鏡行車紀錄器，有倒車顯影輔助、測速照相偵測提醒、WIFI app 即時下載影片及更新測速點、即時車速顯示，支援前後140度超廣角、前後2K +HDR高清畫質鏡頭(這應該是目前市面上所有品牌中規格最高的)、Micro SD 記憶卡、11.26 吋觸控螢幕、倒車拍攝角度切換、F1.5 超大光圈夜視功能佳。「R120 電子後視鏡」開箱評測，快譯通行車紀錄器使用心得優缺點分享。相信大家在買新車時，都會花很多時間跟業代討論折扣跟添購的配件，倒車顯影絕對是所有開車人都應該必備的車用產品，但原廠選配件其實費用都不便宜。趁著這次買新車，我決定要
2023-03-04T18:10:35+08:00,pchome,蘋果,為何PCHOME的Macbook比較便宜- Mobile01,https://www.mobile01.com/topicdetail.php?f=483&t=6750553,1,"最近想購入macbook air m1,上PCHOME後看看發現只要26,990，比蘋果官網的教育優惠價還便宜⋯想請問為何pchome會如此便宜呢？"
2022-05-20T13:48:54+08:00,pchome,手機,MOTO Edge 30 討論大樓(第4頁) - Mobile01,https://www.mobile01.com/topicdetail.php?f=567&t=6594433,4,"因為沒有 pro 機型的一個月滿意期, 找到展示也不容易, 請有經驗的大家集中在這裡分享. 感謝."
2023-01-13T16:04:36+08:00,pchome,電腦,老舊光碟機(40pin)能否安裝於新電腦上之請益(第2頁) - Mobile01,https://www.mobile01.com/topicdetail.php?f=493&t=6727284,3,如題 最近家裡近14年的老電腦要淘汰了因新購入的電腦機殼可安裝光碟機(Montech的守護神機殼)而舊電腦的光碟機使用次數不算太多(可能用不到50次)想說看看能否安裝到新電腦上繼續使用但舊電腦的主機板上有40pin的排線而新電腦的主機板沒有(舊主機板:技嘉GA-945GME-DS2，新主機板:技嘉B550M Aorus Elite)是否有什麼方式能讓老機器活在新時代呢感謝各位解答了，謝謝！型號：Pioneer DVR-A12FXD1
2023-01-08T18:35:34+08:00,pchome,相機,請問適馬濾鏡有沒有假貨？？？ - Mobile01,https://www.mobile01.com/topicdetail.php?f=253&t=6723633,2,因為很擔心會買到假貨， 所以想上來問清楚
