Author,Title,Time,Content,Comment url
ncy51200 (Sunny),[心得] momo買到瑕疵吸塵器（爆炸起火）,Tue Jun  6 23:22:58 2023,★物品名稱：【ROYAL LOCKE】USB無線2in1直立手持吸塵器(直立式/站立/車用/輕型/好拿/集塵罩)☆賣家名稱：momo平台購入★拍賣網址：https://momo.dm/yvyvBI☆網誌心得：無今年2/1在momo購入「【ROYAL LOCKE】USB無線2in1直立手持吸塵器(直立式/站立/車用/輕型/好拿/集塵罩)」，主要是整理車子的時候會吸內裝，用了4個月原本覺得還不錯，但昨天（6/5）早上7點它爆炸起火了！先說明使用情況：原先打算6/5上班前整理吸一下車子內裝，所以約莫凌晨1-2點時拿去充電，早上7點突然聽到爆炸聲，隔壁房間瞬間冒出火光跟濃煙，衝過去看時已經起火燃燒，不到10秒的時間已經到小腿的高度，空氣中都是燃燒後的懸浮粒子且伴隨惡臭。滅火後，吸塵器電池被炸出來，木地板也燒毀一大塊，還好發生在有人在家的時候，如果使用到一半爆炸或是沒人在家，後果不堪設想。已經請momo客服與廠商反應，目前專案處理中。購買超過20天無法在商品頁補留評論，但希望可以透過FB社團及ptt e-shopping版替正在找尋簡易車用吸塵器的人避雷，也有看到其他人反應充電有問題，有疑慮的話還是暫停使用吧… 生命誠可貴，不然火球祭直接辦在自己家，很high。吸塵器屍體https://i.imgur.com/If5KP0X.jpg炸飛的電池https://i.imgur.com/CZQtLmN.jpg被燒毀的地板…https://i.imgur.com/D0ikgsn.jpg補上影片連結https://lurl.cc/C4cph題外話：6/7 10:30更新：廠商與保險公司處理中，昨日與前天的等待主要是momo/廠商/保險公司溝通與流程時間，後續將由momo為主要對應窗口。我也表明要委第三方或保險公司需要任何資料或送驗分析，都能配合，廠商也表示正在排查該產品，待排除疑慮前會先暫停販售-----------------------------------------------------------------------------在我打了n次客服電話及直接打給廠商（真的快氣死），表明要提出消保申訴，責任歸屬與賠償大概才有了5%進展，到現在都還沒收到廠商的答覆或他們所說的「保險公司」接洽就是了…,https://www.ptt.cc//bbs/e-shopping/M.1686064980.A.085.html
goby0903 (安寶),Re: [問題] MOMO 買到瑕疵冰箱,Tue Jun  6 21:50:27 2023,6/8更新一下：今天終於收走有問題冰箱了，但是momo說大概要等2-3天冰箱才會回到他們那邊讓他們再次檢查，即使原廠廠商維修師傅已經看過確認是漏冷媒的問題，momo客服說他們也會自己做檢查，確認無誤才會進行配送新的一台冰箱給我，所以等於我5/30收到的故障冰箱，最快也要六月中才能收到換貨的冰箱…還不一定是正常功能的…..希望可以不要再收到機王了- - - - - - - - - - - - - - - - - - - - - - - - - - - - -剛回來台灣不到半年，不知道原來momo不適合買高價家電，上星期一訂了一台冰箱，星期二中午就送來了，當下外觀都沒有問題，師傅說最好隔天再插電，我們就星期三插電，後來星期四、星期五發現即使已經轉到強，也都不會冷，打電話給客服說要再聯繫原廠來看看是否真的有問題。終於等到了這個星期一下午，維修師傅過來了說漏冷媒了，要換一台給我們，但是起碼要等一星期，等他回報公司簽呈主管blabla的流程，要等起碼一星期的換貨時間真的太久了，致電給momo客服，是一個男生客服說這種情況下我退貨可能會還要跟我收取一筆裝機費還是製機費（忘了那個費用叫什麼），當下就很火的說送來的冰箱是故障的我不想等一個星期，要退貨還得再付錢會不會太誇張….星期二也就是今天，維修廠商說他已經上報主管了，但是他們倉庫已經沒有同型號的冰箱，所以就算主管簽呈過了，他也不能跟我保證我要等多久才能等到新冰箱送來…..他建議我去向momo反應詢問momo的倉庫是否有庫存可以換給我，或許會比他們這邊快拿到新冰箱。所以我又打電話給momo更新狀況，詢問是否可以改由他們來換貨，傍晚通知我這兩天會過來收走故障的冰箱，等他們檢查確定沒有缺件後，再送新的一台冰箱過來給我….如果下次還有要購入電視冰箱洗衣機這類的產品，絕對不敢再來momo下單了！！！引述《zeor00g (羽鳥)》之銘言：: 更新進度，下午有網友提醒消保官的部分: 我就寄了一封郵件給他們，請他們儘快給我消息，不然我要訴求消保官了: 結果剛剛就接到電話他們無法給我換貨但是願意給我退貨: 感謝各位網友幫忙，謝謝大家: ————————————————: 最近為了搬了新家然後上了momo買了一台國際牌冰箱: 從此噩夢開始: 12/27號購買  12/30送來: 當我滿心期待的打開冰箱後等待我的是: https://i.imgur.com/xCcex7R.jpg: https://i.imgur.com/sa7yQs7.jpg: https://i.imgur.com/cdCMnve.jpg: 我當下反應想退貨，但是送貨員表示開箱了便不能退貨，他會幫我註記之後請原廠來換零: 我也很傻很天真的同意簽收了，但是之後越想越不對勁: 裡面壞成這樣真的沒有撞擊到嗎？: 我再仔細看一次後才發現外觀有撞凹的痕跡！: https://i.imgur.com/W8gxqBH.jpg: 我當下馬上打momo客服反應，結果得到的回應是原廠會派人來處理: 我最後只能看著我近4萬的冰箱等著他們來: 1/2號 連假結束，國際牌很快的派人過來了，但是看完後直接說是運送途中撞擊導致的，: 我當下只好再打給momo，把所有的情況跟她們說一次，她們當下也回覆請我上傳照片給他: 然後我又很傻很天真的等了: 等了兩天沒有消息我又再打電話過去詢問進度，這次她們一樣很客氣很積極然後叫我再等: 到今天為止打了5-6次了吧    每次都要我等通知: 搬家已經忙翻天了: 請問大家我到底該怎麼辦？: 我只是想拿到我應該拿到的東西而已: -----: Sent from JPTT on my iPhone,https://www.ptt.cc//bbs/e-shopping/M.1686059429.A.262.html
yitato (SID),[情報] 白蘭洗衣球在momo一顆只要4元！,Mon Jun  5 10:57:10 2023,白蘭香氛洗衣球在momo特價https://i.imgur.com/KflPxdX.jpg平均一顆只要４元滿1299又會折100不知道買甚麼味道的人推薦玫瑰跟雪松這兩個味道都很好聞滿1600還會回饋15%的mo幣我是幫家人一起買所以很好湊品牌日只有今天而已大家把握一下~,https://www.ptt.cc//bbs/e-shopping/M.1685933832.A.7E9.html
hoop0227 (HayJu),[問題] MOMO即享券預購取消問題,Tue May 30 19:58:46 2023,各位版友大家好，想請問一個問題，因為我日前使用即享券在MOMO預購掃地機器人，但最近看到有更優惠的品項，不知道如果取消訂單即享券會跑去哪裡，還可以使用嗎？謝謝.,https://www.ptt.cc//bbs/e-shopping/M.1685447928.A.F4F.html
star07 (),[問題] MOMO 最近物流是爆炸了嗎？,Tue May  9 14:33:28 2023,看板上沒人發 想說來問一下順便當作取暖文（？訂貨時間如下https://i.imgur.com/sWRtr0e.jpg最新狀況是從05/05上週五晚上八點卡在中山站轉運作業中 到現在請問這還是正常的嗎？還是可以開始去跟客服吵了----Sent from BePTT--https://imgur.com/7vp1P2Thttps://imgur.com/FrEqNr1https://imgur.com/L3sqF3U,https://www.ptt.cc//bbs/e-shopping/M.1683614011.A.C72.html
Amy1021 (aa),[心得] momo預購科沃斯T10 Omni分享,Fri May  5 13:00:34 2023,★物品名稱：【ECOVACS 科沃斯】DEEBOT T10 OMNI☆賣家名稱：ECOVACS 科沃斯★拍賣網址：https://bit.ly/41K1ja3(當初是買第一波預購的是$23888的，現在正好也有優惠!)☆網誌心得：之前買過石頭的G10，但發現石頭那台沒眼睛還會吃電線，到處亂撞所以就把他退了= =然後在2月的時候在momo上預購了科沃斯的T10 Omni~~這台我已經開始用了，用起來真的超級滿意不會撞來撞去，前面有東西還會自動閃避下面是白色美美的機身https://i.imgur.com/O1g4vvT.jpeg內部的水箱和機身按鍵https://i.imgur.com/6CPvLyw.jpeg下面打開就是這次主打的升級集塵箱~~完全解放我的雙手https://i.imgur.com/ki3Uik7.jpeg放一下他回家的影片https://i.imgur.com/hlCveJh.mp4因為自己之前買過石頭G10，整體的體驗感受真的差太多了T10 Omni的感受是真的好很多，有避障還有集塵機身有自清潔，會自己洗拖布，還有熱風烘乾這個價錢我只能說買下去真的很划算，CP值超高的在多一點閒聊：之前花一萬多買G10，真的覺得不划算這次momo滿兩萬還有回饋7%mo幣，有買到賺到的感覺價錢拉高一點點，還有拿到回饋，整體的體驗感就升級很多最近的優惠很不錯，應該是配合母親節檔期如果又有信用卡可以一起搭配使用拿回饋有在觀望或考慮的話可以下手啦！一起體驗智慧家居生活~~~,https://www.ptt.cc//bbs/e-shopping/M.1683262836.A.948.html
babyjou (我想要當大富翁),[挑選] 無鋼圈內衣挑選 Qmomo、On street、華歌,Mon Apr 17 17:45:49 2023,★挑色/挑尺寸/挑款式:挑款式☆個人資料簡述: 女，75D 上胸肉較豐滿，怕熱體質，之前都穿有鋼圈內衣，聽朋友說無鋼圈內衣穿了舒適度會回不去，想嘗試看看，但又怕胸型走山★挑選需求:  面料舒適透氣，有防擴包覆、支撐力夠等機能性選手1號 Qmomo 【SIMPLE BRA】抗敏棉感蕾絲無鋼圈三角杯內衣(黑)★物品連結: https://reurl.cc/GelN3G☆猶豫不決: 蕾絲蠻美的，但爬了一下文發現負評蠻多，有點怕怕的選手2號 On street 雙C防擴對策 新吸濕竹炭日著內衣-黑色★物品連結: https://reurl.cc/NqENY9☆猶豫不決: 防擴專利很吸引人，但之前沒穿過背心式內衣，怕會穿不習慣選手3號 華歌爾-零肌感減壓B-D罩杯無鋼圈內衣(時尚黑)★物品連結: https://reurl.cc/Y8nkeD☆猶豫不決: 有口碑的老品牌，但價格偏高，要下手會猶豫希望有買過的人可以給我一些意見～謝謝,https://www.ptt.cc//bbs/e-shopping/M.1681724751.A.292.html
hbk20491 (〥夢中情一場夢〥),[問題] MOMO訂單使用ATM付款後 一直沒顯示撿貨,Fri Apr  7 20:47:32 2023,MOMO訂單使用ATM付款後 一直沒顯示撿貨 接獲訂單階段之前經驗 信用卡付款後第一時間都會顯示撿貨跟付款完成時間是一起的但我這次使用ATM付款選項 然後用手機轉帳 手機銀行APP轉帳成功後訂單端還一直顯示 訂購資訊/付款 沒有到下一階段撿貨我查他付款期限到4/7 23:59不然會取消訂單我是成立訂單04/07 19:08同一時間轉帳付款成功(重複對了帳號10幾次帳號正確 我還是用複製的)https://i.imgur.com/9bJWCip.png有人最近使用MOMO ATM付款這樣嗎,https://www.ptt.cc//bbs/e-shopping/M.1680871654.A.BB8.html
ohyii (F_),[問題] momo app被強制登出 登不進去,Fri Mar 31 12:54:34 2023,更新 終於打通客服客服表示目前系統有問題 請我晚點再登入我表示現在密碼被鎖 忘記密碼也沒資料等下會解除嗎客服表示 不確定 但目前系統異常 已經在處理中稍早開啟momo app 畫面很奇怪然後個人資訊那裡都跑不出來點了登入 一直說我密碼錯誤然後就變成錯誤太多次 請按忘記密碼按了忘記密碼 輸入身分證和姓名說查無我的資料!!?https://i.imgur.com/2EqLrqB.jpg嗚嗚裡面還有五千多的mo幣呢現在還在等客服接電話 等好久了,https://www.ptt.cc//bbs/e-shopping/M.1680238477.A.3F7.html
emma0923 (C'est La Vie),[挑選] momo 3M記憶枕或乳膠枕,Thu Mar  9 21:04:29 2023,★挑色/挑尺寸/挑款式:挑款式☆個人資料簡述：因為先生有過敏，家中是3M寢具愛好者（防蟎），有買過纖維枕、水洗枕、涼夏被和棉被，使用起來都蠻滿意，但不知是不是生完小孩還是年紀大了XD有時候會覺得纖維枕好像比較沒有支撐性，所以想要再買一顆3M單價比較高的枕心，希望大家推薦★挑選需求:選手1號【3/9女王節限定★3M】防蹣可調式記憶枕-工學助眠型/側仰舒眠型兩款選(內附防蹣枕套)https://momo.dm/nrn2v2這款我關注蠻久的，之前有看過網紅開箱，今天3/9剛好有活動，$2999還送2支牙刷，加上momo全站加碼活動3%，實在好心動選手2號【3M】馬來西亞天然乳膠防蹣枕-工學助眠型/附防蹣枕套https://momo.dm/yFBVZn本來已經想好要買記憶枕的工學助眠型，但查詢一下竟然還有乳膠款，天秤座馬上陷入兩難，雖然稍微貴一點但活動價3391，也是可以接受的價位不知道有沒有人買過上面兩款的使用評價如何或是乳膠跟記憶的差異（上網查都是主打支撐性）希望版友給一些意見，感謝大家----Sent from BePTT on my iPhone 12,https://www.ptt.cc//bbs/e-shopping/M.1678367072.A.D15.html
