Author,Title,Time,Content,Comment url
ULTIMA1002 (晚點再說),[問題] pchome退貨 印單的必要？,Sat May 27 10:09:32 2023,請問pchome24退貨它說要列印退貨單貼箱子上，但是看網路上其他人分享似乎沒貼也沒差，就東西直接給收貨的司機就好？所以不列印單子應該可以吧？東西到了完全沒拆過，原封不動退貨的那種----Sent from BePTT on my Xiaomi Mi 9T Pro,https://www.ptt.cc//bbs/e-shopping/M.1685153374.A.7F1.html
com200221 (弘),[情報] PChome麥香不限金額登記抽好禮,Tue Apr 11 11:55:41 2023,Pchome下單麥香不限金額登記抽好禮其中有個麥香行李箱禮盒雖然圖片小小的 但看起來挺Q而且是不限金額 門檻挺容易的https://i.imgur.com/ZwKJqIG.jpg,https://www.ptt.cc//bbs/e-shopping/M.1681185343.A.717.html
gogorice (破鑼嗓子),[抱怨] PChome退貨惡意拖延,Tue Mar 28 07:32:30 2023,3/29    更新一下狀況，既然PChome這麼龜又拿廠商沒皮條是吧?　　　　我就自己來，消保當然一定要申請啦　　　　3/28我也找到Sony原廠跟維修商新宇，兩方都很樂意幫忙追蹤這案子        跟SONY這邊說PChome現在賴在你們頭上喔，        就跟我要了PChome訂單號碼給窗口處理　　　　問新宇工程師你們會判定壞點是人損嗎？        他說一般不會啦，給他單子跟產品序號就有辦法查　　　　於是就請PChome請廠商提供維修單號        不久PChome客服主管就打電話來說會進行退款，        當初也覺得廠商回覆有點怪怪的(那你們還回我?)　　　　3/29該主管再度打電話來更新狀況說下午會退款，        廠商也會寄小禮物給我表示一下　　　　剛剛收到退款了，等下再去把消保取消，真的是浪費大家的時間　　　　至於判退流程真相，自己猜吧＊店家名稱：PChome購物＊店家連結：https://tinyurl.com/237svt27＊商品名稱：SONY PlayStation VR2 PS VR2 PSVR2 頭戴裝置＊溝通截圖：https://i.imgur.com/vGEJHby.jpghttps://i.imgur.com/pj9N2qj.jpg＊事發經過：網購幾十年第一次遇到這麼扯的退貨經驗！退貨竟然可以超過一個月！PChome根本惡意拖延再用鬼扯的理由塘塞，難道真的經營困難？111年11月15日 在PChome購物預購SONY PlayStation VR2頭戴裝置112年2月22日 收到貨後開機發現左眼螢幕有綠色壞點2月23日 申請新品瑕疵退貨2月23日 物流人員取件3月6日 PChome通知出貨廠商收到物品，轉送原廠檢驗預計7-14工作天後完成期間多次提醒檢測進度，PCHOME客服卻消極回應廠商確認中，並未有正面回覆超過PCHOME宣稱的14個工作天後也無任何切確回覆3月25日 本人再次反應PCHOME回應已不符消費者保護法網購退貨規定才有客服人員電話通知，該退貨流程確實過久也不該造成客戶等待，就算出貨廠商沒回覆PCHOME購物也該執行退貨退款，會將本案通報高層主管，並承諾3月27日一定會完成確認3月27日 再次提醒文字客服，下班前也未獲回覆，等到下班後最後回覆仍是惡意拖延的待確認。於是火大烙話貼圖電話錄音跟轉消保，晚上八點才有客服做進一步回覆結果答案更誇張，說廠商回覆原廠初步判定人為瑕疵？超級火大的，綠色壞點是人為瑕疵？意思是我拿面板廠的專業工具去打壞點嗎？我還要去拆固定的鏡片不弄壞喔！PChome完全沒有誠意也完全不去思考這回覆合理性！也不知道是不是廠商故意塘塞的藉口(廠商在商品連結裡有)再查了一下今年2月新聞，也有人抱怨PChome退貨拖延兩個禮拜小意思啦，我是一個月耶！！因為人家退螢幕才2688，我的是18880所以要更久嗎？昨天整個爆血管，惡質平台，雖然我都在上面買過N筆了…真是太糟糕的經驗,https://www.ptt.cc//bbs/e-shopping/M.1679959955.A.DFB.html
breakingdown (As time goes by),[閒聊] 接近連假pchome下單避免用i郵箱取件,Sat Feb 25 01:36:37 2023,平時在pchome訂東西如果可以用i郵箱都儘量用i郵箱取件覺得比去超商領還方便週四晚9點多訂購的時候也不疑有他就選了i郵箱以前是有機會隔天就收到 不過現在不比以前了這邊郵局週六沒營業週五沒收到 之後遇到連假看起來要下週三才會收到了想到才覺得也太久了用超商取件說不定週六前就會到了退掉再重訂可能都比較快(不過我懶得走退貨程序了 而且重訂導購回饋就縮水了 雖然沒差很多)以後可能要儘量提醒自己逼近假期(特別是連假)前兩三天不要選i郵箱會差很多天還是用超商收一收就好,https://www.ptt.cc//bbs/e-shopping/M.1677260199.A.02A.html
serpentine (蛇紋),[問題] 完全不能在Pchome購物買東西了...,Thu Feb  9 20:34:46 2023,有點不知道該怎麼起個頭我在PChome購物(24h) 不是商店街或是露天我只是想買記憶卡...這次要買的時候我不管用什麼方式付款或是結帳不管是其他瀏覽器甚至他們家手機App在跳出「訂單成立中」的讀條畫面之後 就直接跳回首頁 什麼錯誤訊息也沒就算是超商取貨付款也一樣不知道有沒有人碰過這種狀況?上個月我打給客服(他們家客服電話還不太容易找)請他幫我查查是為什麼不能買東西回覆這樣================================================================您好：經查詢您所輸入的相關資料因訂單發生其中以下之一因素：1.訂購資料填寫有誤。2.無法確認信用卡持卡人。3.聯絡電話無法聯繫確認交易資料。4.相關帳務未釐清。為保障相關所有人權益，目前確認系統已無法再接受新訂單，敬請理解。================================================================我就有點矇啦完全沒有印象之前任何一筆帳單有這樣的情形於是我又打一次客服想問清楚請他跟我說明到底發生什麼事結果是完全一樣的回覆最近幾天 我從之前最後一次的訂單詢問客服回覆如下================================================================有關於異常的帳號問題，會有相關單位為您確認，請您選擇商品登入結帳頁面，會出現畫面可以點選【向PChome申訴】並留言，謝謝您。若仍有需要再次確認及服務之處，歡迎與我們聯繫。================================================================啊我從頭到尾都沒看見那個 【向PChome申訴】 啊?於是我又回覆 找不到按鈕 這次的回覆如下================================================================很感謝您的來信，與您說明，目前我們僅能針對此訂單相關問題作回覆，如有無法成立訂單的情況，敬請您於購物車頁面>填寫收件人資料畫面>點選確認送出，出現無法完成訂單訊息時點選向「PChome申訴」，後續將由專職單位進行確認並回覆您的提問，謝謝。================================================================啊我就直接跳回首頁了是要按個什麼玩意如果按照第一個客服的說法 可能我這帳號已經被BAN了之類但是為什麼被BAN 還有怎麼解BAN都沒有提示啊我連重新開個帳號都是一樣的狀況了想請問鄉民們有沒有其他更好的方法啊?我這次是要買行車紀錄器用的記憶卡比來比去P家提供的價錢和分類還是最妥當的再來之後我如果永遠都不能在P家買東西也是有些不便啊...,https://www.ptt.cc//bbs/e-shopping/M.1675946088.A.7AC.html
ftseng (安靜),[心得] Pchome Thai 果乾網購心得,Fri Jan 27 23:16:53 2023,★物品名稱：各種口味的水果乾☆賣家名稱：PChome Thai★拍賣網址：https://www.pchome.co.th/tw☆網誌心得：去過泰國的都知道泰國的果乾種類很多價格也相對蠻平價的，所以上次在Pchome Tai買過一些嚐嚐後，這次想來推薦我自己蠻愛的幾款凍乾和果乾。https://i.imgur.com/JvLKvA0.jpg我個人蠻愛草莓、水蜜桃和芒果。https://i.imgur.com/wQThDrC.jpgWel.B的凍乾cp值蠻高，都是100%水果直接去製作的，這款草莓乾是切片草莓，一片一片小孩很好入口，可以當作小點心，蠻健康小孩也非常喜歡吃，水蜜桃凍乾在台灣也比較少見，也是整顆水蜜桃切片後去製作的，我個人非常愛！重點是，泰國凍乾的價格，跟很多市面上的凍乾價格相比真的可愛很多啊！https://i.imgur.com/rEAd2Dd.jpg在 Pchome Tai果乾凍乾的種類和廠牌選擇非常多，我這次買的這三款芒果乾最左邊是Sunny C的減醣版芒果乾吃起來，與中間THAYA的正常版相比，就沒有那麼甜，但芒果乾基本上都還是甜甜的啦！最左邊的我覺得是比較像隨手包，裡面就四片芒果乾，給吃不多又想要吃新鮮的人，蠻適合最左邊的隨手包。https://i.imgur.com/wsog6DD.jpg最後是草莓果乾，我個人很愛，好吃很刷嘴，之前有買過番茄果乾，也超刷嘴超好吃，寫一寫就開始想吃了，現在Pchome Tai只要499元就免運，門檻很低隨便都能免運這點我覺得超讚，現在滿1499元折100元，滿1999元折150元，很適合囤著隨時想吃就有啊！剛剛去逛一下發現還有榴蓮凍乾喜歡榴蓮的可以去買來吃看看，我就謝謝不用了捏！我想試試山竹凍乾和甜玉米粒凍乾，買了好吃再來分享！,https://www.ptt.cc//bbs/e-shopping/M.1674832615.A.CCD.html
paul09253336 (paulma),[問題]  pchome新竹物流卡住了嗎？,Thu Jan 12 23:49:19 2023,大家好，我上禮拜五在pchome訂了一台除濕機，然後在上禮拜六就送到新竹貨運的大園營業所不過到今天了，還在大園營業所，一直顯示整理中請問現在物流是塞爆了嗎？,https://www.ptt.cc//bbs/e-shopping/M.1673538561.A.D04.html
palsuet (.....),[問題] pchome的訂單備註在哪裡?,Mon Jan  2 13:49:52 2023,在PChome的商品頁上說名有，買手錶想由廠商先調整好錶帶，可以將手腕周長寫在備註上，但是在結帳那邊卻不知道備註要寫在哪裡。請問有人知道PChome的備註要怎麼寫嗎?,https://www.ptt.cc//bbs/e-shopping/M.1672638594.A.5A4.html
chen1025 (小陳),[閒聊] 關於momo和pchome的銷售排行榜,Thu Dec  8 20:44:53 2022,"這邊有兩篇pchome和momo的上半年銷售額排行，有興趣的可以參考，基本上商品的強項都是蘋果為主，因為單價高，銷售金額也高。但如果扣除蘋果商品，momo是以民生用品為主，pchome以3C商品為主。比較特別的是momo的律動機排在前面，應該是有電視購物的關係。一台律動機也蠻貴的，所以是高價格產品，所以也很容易排在前面。(大家都懶得動?)pchome銷售額排行(top100)：https://www.amiko.net/archives/3508momo銷售額排行(top100)：https://www.amiko.net/archives/3511[pchome銷售額前15名]1.AirPods Pro (MLWK3TA/A)2.Apple Watch Series 7 GPS, 45mm Midnight Aluminium Case with Midnight SportBand3.Apple iPhone 13 Pro (256G)-天峰藍色(MLVP3TA/A)4.Apple iPhone 13 (128G)-粉紅色(MLPH3TA/A)5.Apple iPhone 13 Pro (128G)-天峰藍色(MLVD3TA/A)6.Apple iPhone 13 Pro Max (256G)-天峰藍色(MLLE3TA/A)7.MacBook Air 13: Apple M1 chip 8-core CPU and 7-core GPU,256GB-Space Grey(MGN63TA/A)8.任天堂 Nintendo Switch（OLED款式）白色 台灣公司貨9.Apple iPhone 13 (128G)-午夜色(MLPF3TA/A)10.Apple iPhone 13 (128G)-星光色(MLPG3TA/A)11.Apple iPhone 13 (128G)-藍色(MLPK3TA/A)12.Apple iPhone 13 Pro Max (256G)-金色(MLLD3TA/A)13.Apple Watch Series 7 GPS, 45mm Starlight Aluminium Case with StarlightSport Band14.AirPods (第 3 代)15.WD Ultrastar DC HC550 企業級 16TB/7200轉/512MB/3.5吋/5Y (WUH721816ALE6L4)[momo銷售額前15名]1.Apple 蘋果 iPhone 13 256G(6.1吋)2.Apple 蘋果 iPhone 13 128G(6.1吋)3.Apple 蘋果 iPhone 13 128G(6.1吋)(超值殼貼組)4.輝葉全身氣動循環垂直健康養生律動機5.Apple 蘋果 iPhone 13 Pro 256G6.iNO 太空人垂直律動機(P600)7.dyson 戴森 SV15 V11 Absolute Extra 無線吸塵器 雙頭旗艦款(內附13配件大全配)8.Apple 蘋果 iPhone 13 Pro 128G9.Apple 蘋果 iPhone 13 Pro 256G(6.1吋)(超值殼貼組)10.輝葉 COZY FIT 律動奇機(垂直律動機/HY-806)11.Frigidaire富及第 11L新1級省電清淨除濕機(FDH-1131Y / FDH-1135Y)12.Apple 蘋果 iPhone 13 Pro Max 256G(6.7吋)13.倍潔雅 花漾柔感抽取式衛生紙(150抽84包/箱)14.保護套+繩組Apple 蘋果 AirPods Pro 搭配MagSafe(MLWK3TA/A)15.TECO 東元 4-6坪 R32一級變頻冷暖分離式空調(MA28IH-HL/MS28IH-HL)",https://www.ptt.cc//bbs/e-shopping/M.1670503497.A.310.html
n1m5w8tsarp (月と星が踊るmidnight),[問題] PChome沒有狀態列就出貨,Sat Nov 26 20:01:02 2022,今天下午在PChome24h買東西，單子分成三個倉庫出貨其中兩個倉庫都有顯示狀態列，就是收到訂單-撿貨...的那條不過其中有一個是完全沒有狀態列就出貨了..後面也沒有附加最晚幾點到這樣，出貨物流是新竹物流這樣是代表要領100的意思嗎QQ明明整張訂單都是應用24小時內到貨的規則附上圖片https://i.imgur.com/yrFbree.png,https://www.ptt.cc//bbs/e-shopping/M.1669464065.A.292.html
