Author,Title,Time,Content,Comment url
vernc (cralvin),[問題] 蝦皮聊聊怎封鎖？,Mon Jun  5 22:14:36 2023,被廣告煩死了只找到「關閉提醒」、但這個不對廣告還是進的來請問封鎖或黑名單是在那？讓特定人無法寄聊聊給我thx,https://www.ptt.cc//bbs/e-shopping/M.1685974478.A.C5E.html
com200221 (弘),[閒聊] 會怎麼在蝦皮上找到自己想要的商品？,Mon Jun  5 15:08:36 2023,不得不說蝦皮的演算法真的偏爛想要靠站內搜尋到自己想要的東西真的是不太容易我自己在嘗試過幾次就放棄了改成先從momo、pinko這些平台逛看到喜歡的再到Google上輸入商品名＋蝦皮來找比起用蝦皮的站內搜尋還容易找到東西現在會直接逛蝦皮都是真的太閒或是不知道自己要買什麼但是手癢想花錢的時候才會去期待破破的演算法可以給我一些驚喜XD好奇問一下有在使用蝦皮的版友都是怎麼找到自己想要的產品的？還是說跟我一樣，只有在不知道要買啥的時候才會在裡面瞎逛看能不能瞎貓碰到死耗子，摸到自己感興趣的東西XD？,https://www.ptt.cc//bbs/e-shopping/M.1685948918.A.9DE.html
maxrpg (MAX),[心得] 蝦皮挖耳朵神器發亮款,Sun Jun  4 17:38:43 2023,先說，我丟進去垃圾桶了★物品名稱：防滑手柄安全發光耳勺 LED燈 發光透明耳勺挖耳勺 三件套☆賣家名稱：蝦皮★拍賣網址：https://reurl.cc/8j2my7☆網誌心得：一開始看網路上很多一千塊上下，有發光功能的掏耳棒想說請家人挖耳朵可以比較方便結果就是....一分錢一分貨東西大概長這樣我覺得透明的掏耳棒有點利所以我就有點流血.. = =https://imgur.com/m5O76yEhttps://imgur.com/t6z2slDhttps://imgur.com/o35MAm8然後就是流血的照片了不喜勿開https://imgur.com/ytdweHV看來該花的錢還是要花一花阿..,https://www.ptt.cc//bbs/e-shopping/M.1685871525.A.8DE.html
fx600 (GO),[問題] 蝦皮賣方的消極態度、不出貨的應對？,Fri Jun  2 17:47:52 2023,5/28詢問了賣家2個功能方面問題賣家惜字如金回2個字「可以」我心想超瞎，有回跟沒回一樣，但算了問題不大5/29下單，禮貌的備註希望賣方早點出貨5/30私訊，禮貌的善意提醒記得出貨5/31賣家毫無動靜，也不回蝦皮系統寫「賣方應於6/1前出貨，否則系統將自動取消」我心想明天就6/1了，到底？6/1二度私訊，提醒賣方今天一定要出貨如果不能出，請告訴我不要讓我空等賣方依舊無聲無息我跑去看他出貨率，唉= =，上了一課不能只看評價（4.9蠻高的），也要到主頁看「不成立率」看到這鬼一般的不成立率，心想八成一堆人想負評他但訂單取消後就不能給負評買不到東西事小，但浪廢買家時間～一顆心掛在那，真的很可惡https://i.imgur.com/fARgxmF.jpeg6/2賣方依舊無聲無息走到今天也不用談什麼禮貌了跟他說不用出貨了，你自己取消訂單吧（由我取消的話，他不會被扣分）詭異的事發生了～https://imgur.com/MWMFYvs.jpeg1.我發現我的商品不明原因下架了（可見他有在線上嘛）2.本來6/2系統理應取消訂單，因為他不出貨。　今早卻延長成6/7！！物流狀態變成「賣家確認訂單後出貨」　所以他是看我說不要了，還硬要出貨？　還是這人就是一個不看私訊的佛系經營啊？= =總結問題：1.我現在應該要做什麼，最不會損失我的權益　而且可以扣賣方分數（不成立率）　若我自己按取消訂單，他不會有事2.如果他一直都不出貨，我也沒按下延長　蝦皮會突然撥款給他嗎？（蝦皮的延長說明真的有夠鳥）3.要讓他損失大一點，好像就是收件後再申請退貨對嗎？感謝各位好買家熱心建議,https://www.ptt.cc//bbs/e-shopping/M.1685699274.A.546.html
shutup (),[問題] 蝦皮買家退貨後，賣家可評價買家嗎,Thu Jun  1 22:54:27 2023,我是買家如果按退貨後且寄回貨物賣家可以再評價我嗎怕賣家不開心被退貨而給我報復性評價謝謝解答,https://www.ptt.cc//bbs/e-shopping/M.1685631269.A.01F.html
kumada9 (swallow),[抱怨]  蝦皮 虎媽購物趣 售後處理不佳,Tue May 30 21:16:00 2023,=============抱怨文開始，從這開始請不要任意刪除、編輯格式項目===============＊抱怨文一旦發文超過10分鐘即不可自行刪除，違反直接水桶5年。  是否已經閱讀過相關新規定？(請回答Y/N)：Y＊店家名稱：虎媽購物趣＊店家連結：https://shp.ee/5whpdzz＊商品名稱：北歐風加厚防水保溫保冷便當袋＊溝通截圖：https://i.imgur.com/6zsLwYa.jpghttps://i.imgur.com/5LB725c.jpg＊商品照片：(至少兩張，不得放入文內)https://i.imgur.com/CejhrPY.jpghttps://i.imgur.com/4EEzPBb.jpghttps://i.imgur.com/px9hJHq.jpg＊事發經過：(僅能文字敘述，不得擅自夾雜圖片連結)之前跟同一家買過兩次保冷袋覺得不錯用，這次就直接買了三個，商品於21號取貨，24號使用；其中一個長型保冷袋後於25號發現商品圖案脫落，與賣家反應後賣家只會用貼圖敷衍，還硬拗說是我刮到袋子，刮到怎麼可能整個圖都掉下來啊？反正賣家就是不做正面回應，只用同一個貼圖持續敷衍，但因不影響商品正常使用於是作罷。結果在27號上午拿出另一款短提袋使用，內裝兩本書(重量約為1.5公斤)，而且我袋子基本上是放在車上，只有上下車的時候才有提起，結果回家後發現背帶幾乎斷掉。與賣家反應後賣家還是持續敷衍，請賣家不要再敷衍買家後直接被封鎖事後去找賣家的評價發現這個賣家根本都是慣犯，一遇到商品瑕疵就封鎖買家找了蝦皮客服也只會用罐頭訊息說沒辦法調解，以上經驗分享給大家，感謝大家抽空看完。-----Sent from JPTT on my iPhone,https://www.ptt.cc//bbs/e-shopping/M.1685452562.A.3B5.html
scars1520 (leeeee0105),[抱怨] 蝦皮藥妝美顏社 理膚寶水 日期標示不明顯,Mon May 29 23:03:00 2023,＊店家名稱：蝦皮 藥妝美顏社＊店家連結：https://shp.ee/fwu8nv6＊商品名稱：理膚寶水極效三重酸煥膚精華 30ml / 3ml (三酸煥膚瓶) 理膚寶水精華 理膚寶水精華液＊溝通截圖：https://i.imgur.com/Le13Fbs.jpghttps://i.imgur.com/W3GBqRJ.jpghttps://i.imgur.com/qmw2V98.jpghttps://i.imgur.com/9EuFEO2.jpghttps://i.imgur.com/2Cj3bqU.jpghttps://i.imgur.com/J7Lf795.jpghttps://i.imgur.com/Xa64Wly.jpghttps://i.imgur.com/sXvrRaG.jpghttps://i.imgur.com/6ZQ3KNA.jpghttps://i.imgur.com/Y98b2qL.jpghttps://i.imgur.com/qj6tmiD.jpg＊商品照片：https://i.imgur.com/JNXSkc6.jpghttps://i.imgur.com/NUjNmoL.jpghttps://i.imgur.com/xt9xZmw.jpghttps://i.imgur.com/aK17j2L.jpg＊事發經過：2023/5/25在此賣場購買化妝水 精華液2023/5/29收到商品拆封後發現日期到2023/6馬上至賣場查看才發現內文有標示30ml促銷日期到2023/6但賣家並沒有像內文表示的（期效短於一年會於標題表示）再我反應完後 賣場已改成（期效短於一年會於表示）—————————————————再我反應後賣家表示已拆封不能退貨這個我能理解我自己沒有看內文也有問題但該賣場已經不是第一次遇到我這種買家（如上圖）卻沒有修正或提醒的意思我發這篇文不是想退貨退款我會努力再六月底前使用完畢只是想分享給想給在此賣場購買保養品的網友記得仔細查看內文表示的保養品期限以免發生跟我一樣的問題（我按退貨只是要讓蝦皮客服處理這個標示問題）-----Sent from JPTT on my iPhone,https://www.ptt.cc//bbs/e-shopping/M.1685372582.A.1D6.html
breakingdown (As time goes by),[問題] 蝦皮部分退款,Mon May 29 15:50:49 2023,"請問一下有沒有人有用過蝦皮的部分退款功能？因為賣家少寄了一半給我我想說直接退差額就好 問賣家要另外轉帳還是透過蝦皮機制賣家同意透過蝦皮的機制退貨原因想說是因為有少就選了""商品缺件／賣家通知缺貨""後來""上傳證明""就把商品照跟與賣家對話記錄的圖片上傳 本來以為這樣就好了過一兩天又通知它還是要輸入取件人取件人地址跟電話等只是少一半是要收取什麼東西？(如果來取是要給他什麼 空箱子嗎？)還是這只是必要程序？填一填就好不會真的來收…填的方式也是有點疑問取件人/取件電話等資訊是要變成圖片上傳的還是填在""補充更多退貨/退款的原因""？https://imgur.com/Ja1mebX(上次有一次賣家型號寄錯按退貨 賣家再議說退差額好像就沒這麼麻煩…)謝謝!",https://www.ptt.cc//bbs/e-shopping/M.1685346651.A.21F.html
SpkSpawn (),[問題] 蝦皮貨品一直在理貨中心不寄送,Sun May 28 19:52:04 2023,"在蝦皮買了一些東西賣家早早就出貨但貨品狀態一直顯示""包裹抵達理貨中心，處理中""已經超過一個禮拜了請問有人有碰過類似情況嘛?要怎麼樣詢問蝦皮客服呢?謝謝",https://www.ptt.cc//bbs/e-shopping/M.1685274726.A.B15.html
EPIRB406 (),[問題] 蝦皮優惠券不能用,Fri May 26 15:56:32 2023,個人是白金蝦加上實名制用戶，在5/18的時候考慮買一支手機，不過該賣場只能用信用卡付款所以下單後要兩小時內付款完畢，不然就會被系統取消，不過當天有在觀望其他平台價格但是又怕折價券被用完，所以就先下單然後被系統取消後又下單，第四次確定要在蝦皮買後就出現M04錯誤碼說違法蝦皮規定 QQ，一直到5/25要用折價券一樣不能用(不用折價券可以下單)，問客服也沒辦法解鎖，所以帳號應該是廢了吧？不知道有沒有人一樣情況後來被解鎖的？,https://www.ptt.cc//bbs/e-shopping/M.1685087794.A.7C1.html
