Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
bUnUd (妖尼姑!!妖尼姑!),[問卦] 鄭家純在找「電~~~~電商行銷助理」,Thu May 25 03:12:11 2023,最近鄭家純在找「電~~~~電商行銷助理」https://i.imgur.com/cGl3zLO.jpghttps://www.facebook.com/photo/?fbid=781461270017881&set=a.270600054437341有誰知道 「電商行銷助理」要做什麼嗎??鄭家純的「電商行銷助理」會有一對一的服務嗎????,噓,xxx60133,: 助理而已。 要做這麼多事情,05/25 10:29
sska (阿帕絲),Re: [問卦] 蝦皮是不是還是很猛的電商？,Mon May  8 14:24:55 2023,※ 引述《Daniel0712 (阿呆)》之銘言：: 如題: 看到很多人覺得蝦皮沒以前優惠: 但是還是看到很多人買: 蝦皮是不是在台灣還是很猛的電商: 有時候要買東西用免運: 有沒有卦: 卦？你指的優惠是什麼？ 免運嗎？那的確是 蝦皮三不五時就有免運 這的確很吸引人但蝦皮只是一個平台 私人店家才是主角吧？一堆賣很貴 甚至也有假貨 你不知道嗎？還是要自己過濾和比較吧便宜也是私人店家便宜 和蝦皮無關啊對了 蝦皮和淘寶都是良莠不齊 好店家 爛店家都有對了 你知道ptt阿金Nice69 有在蝦皮賣帳號嗎？不知道的話就遜了https://i.imgur.com/Avr4Vqi.jpg對了 阿金Nice69有去龍板聚會 和龍板的板友都很好群組長廖化也一起聚會小組長味丹哥也和廖化很好 也有一起聚會過大家一起來尋找 阿金大地主假524凱文哥廖化集團的關聯性建立運動群組制序和破壞制序的會是同一批人嗎？呵呵 有興趣的人 可以多多注意一下對了 阿金的活動範圍很廣 是破壞ptt制序才對還有 阿金大地主假524的帳號幾乎是無限 源源不絕,→,sska,: 不然ptt真的要爛了,05/08 14:53
louiswei1986 (禪寶寶),Re: [問卦] 蝦皮是不是還是很猛的電商？,Mon May  8 14:17:25 2023,蝦皮現在只贏在他有淘寶的跨境，貪小便宜的塔綠斑，又想買淘寶又拉不下臉，所以只能透過蝦皮買騙自己我是買蝦皮阿~小東西通過Y拍面交其實也更便宜，大的電器什麼的反而MOMO之類的還含安裝，蝦皮如果你買純台灣的東西也不見得最便宜。※ 引述《Daniel0712 (阿呆)》之銘言：: 如題: 看到很多人覺得蝦皮沒以前優惠: 但是還是看到很多人買: 蝦皮是不是在台灣還是很猛的電商: 有時候要買東西用免運: 有沒有卦: 卦？,→,kingstongyu,: 竟沒有絕對安全的網路,05/08 15:29
Daniel0712 (阿呆),[問卦] 蝦皮是不是還是很猛的電商？,Mon May  8 14:04:29 2023,如題看到很多人覺得蝦皮沒以前優惠但是還是看到很多人買蝦皮是不是在台灣還是很猛的電商有時候要買東西用免運有沒有卦卦？,推,c800,: 蝦皮爛很久了 現在都改用別家,05/16 11:19
kmter5566 (giveme500),Re: [問卦] 館長最新電商商標登場,Fri May  5 02:56:54 2023,館長最新商標又被酸了跟套圖長的有點像https://i.imgur.com/o2QWuxv.jpghttps://i.imgur.com/dNW87tb.jpg酸民真的很可惡爺爺花大錢用最頂的團隊居然拿去跟便宜套圖比,→,kid8500,: 自己原創...呵,05/05 16:38
songgood (ilovegoodgame),Re: [新聞] 電商「涮肉照」遭控盜圖！館長喊冤：付費,Thu May  4 19:29:36 2023,覺得館長沒意識到一件事是不是有人想搞他今天還好是放Ａ5和牛要是那個東南亞貓肉狗肉兔肉片我看不被噴爆只能慶幸放的是牛肉--https://i.imgur.com/t5F7Jy5.jpg哎呦 你臉紅了,→,qm21,: 長一樣買圖來用,05/04 23:20
leon131417 (),Re: [新聞] 電商「涮肉照」遭控盜圖！館長喊冤：付費,Thu May  4 19:24:31 2023,不是館粉但想說幾句話這才叫高度好嗎啊館已經沈住氣苦口婆心的跟黑粉說明了要是以前的啊館 肯定跟你沒完沒了我很佩服 這才叫氣度黑粉看到沒 換做是你 被人三天兩頭的亂噴你還會平心靜氣的跟人講事情嗎夠了吧不信問聊天室是不是 是不是對ㄚ※ 引述《hbl420ii (REVE)》之銘言：: 1.媒體來源:: 新頭殼: 2.記者署名:: 范婕葳: 3.完整新聞標題:: 電商「涮肉照」遭控盜圖！館長喊冤：付費圖庫: 4.完整新聞內文:: 網紅「館長」陳之漢一直都是熱門的爭議人物，近年來跨足電商產業，先前才被實況主: Toyz（劉偉建）指出，館長電商平台賣的東西，在別的平台上可以用更低廉的價格買到，: 引發爭議。近日又被網友發現，電商網站上兩項冷凍豬肉產品的宣傳照和菲律賓某肉商的: 「撞圖」，被質疑是否盜圖。對此，館長昨(3)日也出面向網友解釋，宣傳照都來自於付: 費的圖庫，可合法作為商業使用。: 近日有網友在PTT以「館長的豬肉宣傳圖怎摸這摸X」為題發起討論，並貼出館長電商平台: 上，台灣梅花豬、台灣豬五花的宣傳照，只見這兩種肉款皆使用同一張刷肉照，且被網友: 發現該刷肉照用的肉是和牛。此外，更有網友指出，菲律賓某肉品批發商臉書貼文使用的: 照片，與館長電商的涮肉照是同一張，因此引來網友們開酸「質感太好了吧，豬肉拍出和: 牛的效果」、「最頂的團隊」、「製圖部厲害」。: 對此，館長昨晚也開直播針對「涮肉照風波」進行解釋，開頭他就強調照片是在網路圖庫: 付費下載的，並曬出付款記錄佐證，並表示公司找和牛的涮肉照當示意圖，只是為了表達: 「肉刷下去，看起來好吃」，並且只是當背景，「你管他是牛肉還是豬肉？好看就好了」: ，更表示品名都寫得一清二楚，「除非你不懂中文字，這個沒什麼好爭執的」。自己公司: 付費買圖，卻被說成是盜圖，讓館長相當生氣，無奈問網友「我想請問一下，我到底哪裡: 做錯事情了？」。: 5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:: https://newtalk.tw/news/view/2023-05-04/869473: 6.備註:: 館長又打臉一次館黑了-----Sent from JPTT on my iPhone,→,kcclasaki,: 為什麼上面是豬肉 下面卻變牛肉,05/04 19:31
hbl420ii (REVE),[新聞] 電商「涮肉照」遭控盜圖！館長喊冤：付費,Thu May  4 15:32:32 2023,1.媒體來源:新頭殼2.記者署名:范婕葳3.完整新聞標題:電商「涮肉照」遭控盜圖！館長喊冤：付費圖庫4.完整新聞內文:網紅「館長」陳之漢一直都是熱門的爭議人物，近年來跨足電商產業，先前才被實況主Toyz（劉偉建）指出，館長電商平台賣的東西，在別的平台上可以用更低廉的價格買到，引發爭議。近日又被網友發現，電商網站上兩項冷凍豬肉產品的宣傳照和菲律賓某肉商的「撞圖」，被質疑是否盜圖。對此，館長昨(3)日也出面向網友解釋，宣傳照都來自於付費的圖庫，可合法作為商業使用。近日有網友在PTT以「館長的豬肉宣傳圖怎摸這摸X」為題發起討論，並貼出館長電商平台上，台灣梅花豬、台灣豬五花的宣傳照，只見這兩種肉款皆使用同一張刷肉照，且被網友發現該刷肉照用的肉是和牛。此外，更有網友指出，菲律賓某肉品批發商臉書貼文使用的照片，與館長電商的涮肉照是同一張，因此引來網友們開酸「質感太好了吧，豬肉拍出和牛的效果」、「最頂的團隊」、「製圖部厲害」。對此，館長昨晚也開直播針對「涮肉照風波」進行解釋，開頭他就強調照片是在網路圖庫付費下載的，並曬出付款記錄佐證，並表示公司找和牛的涮肉照當示意圖，只是為了表達「肉刷下去，看起來好吃」，並且只是當背景，「你管他是牛肉還是豬肉？好看就好了」，更表示品名都寫得一清二楚，「除非你不懂中文字，這個沒什麼好爭執的」。自己公司付費買圖，卻被說成是盜圖，讓館長相當生氣，無奈問網友「我想請問一下，我到底哪裡做錯事情了？」。5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:https://newtalk.tw/news/view/2023-05-04/8694736.備註:館長又打臉一次館黑了,→,hollowlife,: 付費不代表可以不實廣告吧,05/06 01:56
kenny1300175 (蘇湖),[新聞] 電商挨轟「豬肉變和牛」還撞圖！館長揭真相氣炸：我到底哪裡做錯？,Thu May  4 00:34:21 2023,備註請放最後面 違者新聞文章刪除1.媒體來源: 民視※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）※ Yahoo、MSN、LINE等非直接官方新聞連結不被允許2.記者署名: 陳冠宇※ 若新聞沒有記者名字或編輯名字，請勿張貼，否則會被水桶14天※ 外電至少要有來源或編輯 如:法新社3.完整新聞標題: 電商挨轟「豬肉變和牛」還撞圖！館長揭真相氣炸：我到底哪裡做錯？※ 標題沒有完整寫出來 ---> 依照板規刪除文章4.完整新聞內文:網紅「館長」陳之漢除了發展健身房事業，近年來更跨足電商、餐飲業，屢屢掀起話題，然而近日卻被網友發現，館長電商網站上的宣傳照疑似出包，兩項豬肉產品都使用同一張和牛「刷肉照」，還和菲律賓肉商「撞圖」，引來網友疑慮。對此，館長今（3）日晚間也在直播上澄清，強調所有的圖片都是來自付費網路圖庫，曬出付款紀錄澄清沒有盜圖，對於網友質疑豬肉商品卻用「和牛」的刷肉照，他回說放那張圖的用意，就只是照片拍的不錯「有好吃的感覺！」，才會拿來當示意圖，且文案都有標明肉品是豬肉或牛肉。有網友日前在PTT發文，以「館長的豬肉宣傳圖怎摸這摸X」為題，原來他發現館長電商平台上，在台灣梅花豬、台灣豬五花的頁面都使用同一張刷肉照，仔細一看，卻發現刷肉照用的肉是和牛，忍不住吐槽「質感太好了吧，豬肉拍出和牛的效果」，儘管下方註明「圖片僅供參考，以實物為準」，但仍引來不少網友的批評。https://i.imgur.com/e8LM9nl.jpg館長電商平台宣傳照疑似出包，兩項豬肉產品都使用同一張和牛「刷肉照」。（圖／翻攝「惡名昭彰」官網）除此之外，也有眼尖網友發現館長電商平台使用的刷肉照片，與菲律賓一間肉品批發商「The Holy Gyu」2020年貼文使用的是同一張，再度引來網友議論。對此，館長也在3日晚間開直播澄清，針對「撞圖」疑慮，他曬出付款紀錄澄清所有圖片都是來自付費圖庫，到期日為今年10月13日，強調所有圖片都是付費購買、合法使用，「我想請問一下，我到底哪裡做錯事情？」，並沒有盜圖疑慮。https://i.imgur.com/25zxe6n.jpg館長曬出圖庫購買證明澄清，強調圖片都是付費購買、合法使用。（圖／翻攝館長惡名昭彰YouTube頻道）另外對於外界質疑平台「放錯圖片」，用和牛當豬肉的示意圖，館長解釋「他那個東西就是肉刷下去，看起來好吃（的圖片），只是拿來當背景，你管他是牛肉還是豬肉？他不代表我賣的是什麼肉，他只是刷火鍋的示意圖」，強調他們只是認為這張照片漂亮，才會付費購買拿來當背景，「除非你不懂中文字，這個沒什麼好爭執的」。※ 社論特稿都不能貼！違者刪除（政治類水桶3個月)，貼廣告也會被刪除喔！可詳看版規5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:https://www.ftvnews.com.tw/news/detail/2023503W0341※ 當新聞連結過長時，需提供短網址方便網友點擊6.備註:※ 一個人一天只能張貼一則新聞(以天為單位)，被刪或自刪也算額度內，超貼者水桶，請注意※ 備註請勿張貼三日內新聞(包含連結、標題等),→,tadanobuta,: 受？,05/04 16:26
KENDO777 (KENDO777),[問卦] 館長最新電商商標登場,Wed May  3 22:18:33 2023,如題館長剛剛直播釋出最新的惡名昭彰商標不用前員工設計的二流閃電商標現在館長選擇求新求變https://i.imgur.com/gD64jzN.jpgNS以後大家看到NS會想到館長嗎有沒有八卦？,推,heavenlyken,: 25茶屋,05/05 12:49
