Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
csp7382 (771001),[情報] 三大電商母親節活動整理,Mon May  8 17:58:48 2023,"最近要買一些比較高單價的家電，就順便研究了一下幾間比較常買的網購平台，分享一下。PChome活動主頁：https://reurl.cc/0E37dkhttps://i.imgur.com/K9CI3Nv.png1.今天5/8 20:00-23:00，LINE Pay單筆滿$30,000享2,500點回饋2.即日起到5/14，全站指定消費滿額總計送520P幣3.即日起到5/14，全站單筆滿$5,000天天抽萬元旅遊購物金4.即日起到5/14，APP消費累積滿3000登記抽麥當勞蛋捲冰淇淋券5.36大銀行最高21%回饋信用卡回饋活動：https://reurl.cc/7Ra5Kl>>PChome花旗聯名卡最高21%回饋（限量需分期並登錄）>>Pi錢包綁定Pi信用卡最高6%回饋（新卡首刷再享1500P幣）>>中國信託ALL ME卡最高12%回饋6.各大品牌優惠券（現領現折）單品優惠我是看家電為主：https://i.imgur.com/P0x886c.png實際計算優惠分享>>我這次母親節禮物是打算買這組dyson吹風機https://i.imgur.com/Tl7UEyu.png$14,600結帳現打95折（領券現折）=$13,870可領取P幣>>520P（指定小家電滿額登記送）+694P幣（Dyson滿萬送5%P幣）+388P幣(全盈+PAY支付滿額送)=$12,268（未含信用卡回饋）PS這組紅色的有送專屬收納底座（只有紅色送）登記抽活動>>小家電指定品累積滿$5,200登記抽dyson吹風機>>家電指定品單筆消費滿$1登記抽Nespresso 膠囊咖啡機>>APP指定品累積滿$3,000登記抽【麥當勞】蛋捲冰淇淋即享券(排除儲值/電子票券商品)>>家電指定品單筆滿$5,888登記抽10,000P幣>>Dyson指定品單筆滿額登記送碧兒泉日夜奇蹟水/LANVIN淡香精MOMO主頁：https://reurl.cc/RvMyjDhttps://i.imgur.com/Xlno3Gw.png1.每日搶五折券（即日起到5/14，每日各60名，有滿1,000折500和滿500折250）2.到5/8，全站當日滿6,000登記送300mo幣3.到5/9，流行精品 滿2,000登記送200mo幣4.5/1~5/31，當月累積購買4次，且金額達10,000，可登記加碼1%5.今日5/8，消費滿5,000登記送蘭芝超能亮睡美人晚安面膜70ml6.4/26~5/14，不限金額下單登記抽 歌詩達郵輪莎倫娜號雙人海景套房7.5/1~5/14，美妝保養 消費滿100，下單登記抽iPhone 14 Plus8.5/1~5/20，7-11超取免運登記送真飽涼麵-蒜辣麻醬9.銀行最高回饋20%信用卡回饋活動：https://reurl.cc/Ge0KV3>>新光銀行 OU點點卡 最高回饋19.5% (限量登陸)>>momo卡每筆回饋4%無上限（指定品牌最高回饋8%）10.各品牌優惠券Yahoo：主頁：https://reurl.cc/AdZ00Qhttps://i.imgur.com/CTitrGn.png1.銀行最高回饋10%信用卡回饋活動：https://reurl.cc/9V8RvY>>刷花旗/星展/永豐10%回饋（限量需登錄）>>Yahoo聯名卡最高6%回饋2.全站滿5000送500購物金3.超商取貨抽購物金、珍珠黑糖撞奶4.不限金額下單登記抽tokuyo mini零重力玩美椅5.不限金額登記抽cama caf? 500消費折價券6.5/12 LINE導購每筆回饋LINE POINTS 3%7.各品牌優惠券因為我要搶活動名額，比對下來PChome的dyson回饋活動比較多，所以我就先買了，另外也在研究美妝保養品類要在哪裡買除了網站本身的特價之外，記得在買之前也可以比較一下各家導購給的回饋%數，如果跟我一樣要買比較高單價的東西，也可以連信用卡的新戶禮一併研究，這樣CP值會更高。以上簡單分享一下，希望有幫助。",→,luvenfei,: 這款好像比較划算,05/11 09:13
XI (MAN),[新聞] 電商祭優惠 決戰雙12,Fri Dec  2 23:59:19 2022,"https://www.chinatimes.com/newspapers/20221202000189-260204?chdtv電商祭優惠 決戰雙1204:10 2022/12/02 工商時報 何英煒https://images.chinatimes.com/newsphoto/2022-12-02/1024/A15A00_P_02_02.jpg雙12購物節是今年電商最後一檔促銷，各家業者均各出奇招。圖／業者提供年終最後一檔購物節雙12即將到來，蝦皮、雅虎、樂天、創業家等業者均祭出優惠。業者表示，由於戶外口罩解封，看好化妝品的銷售，而通膨議題持續延燒，消費者購物更加精打細算。蝦皮購物品牌行銷部長廖君凰表示，雙12做為今年最後一檔購物盛宴，該平台祭出全站免運費及85折優惠。該公司也觀察，今年下半年四大電商趨勢，第一，高通膨時代的來臨，消費者購物更加謹慎，民生用品的銷售量大幅成長。第二，點數經濟成為兵家必爭之地。隨著手機App積點形式的崛起，電商業者紛紛加入積點活動的大餅。第三，免運費、豐富的品牌選擇、划算的價格，以及準確的商品搜尋功能，這四大優勢成為蝦皮購物受到歡迎的主要因素。第四，與病毒共存已經成為常態，逐步解封，戶外旅遊美食商品買氣翻倍。蝦皮購物觀察下半年熱搜關鍵字，口罩居首，益生菌、葉黃素、維他命的保健食品成為熱銷榜常勝軍。隨著國境開放，國內外旅遊商機升溫，行李箱、手提袋，買氣都較去年同期成長1.5倍，露營商品也有2成以上的成長。加上年底聚會多以及足球盛世火熱開打，美食相關的品類需求量也有3成以上的成長。Yahoo奇摩表示，由於戶外口罩解禁令已經頒布，預期將帶動保養化妝品類的買氣。關鍵搜尋字來看，倒數月曆的搜尋成長120倍。交換禮物的搜尋量也增加10倍。看好化妝品的銷售，該公司也祭出消費滿5,000送500的優惠。每天都送最高1,212的購物金。樂天市場表示，雙12購物節是第四季年終壓軸的購物節，該公司從即日起到12月13日，提供千萬優惠，指定銀行還有10％的回饋，月底之前不限金額到7-11取貨可免費喝巧克力熱可可歐蕾。另外如果在樂天國際銀行帳戶開戶，綁定樂天會員帳戶可以賺1,000元。至於創業家，則是提供雙點回饋，包括生活幣有8％，而LINE則是有點數7％的回饋。#銷售 #口罩 #成長 #回饋 #搜尋--佛沒說小乘、大乘。上座部佛教馬哈希尊者《具戒經講記》拆穿假佛教大乘經典的騙局。上座部佛教明昆《南傳菩薩道》是真釋迦牟尼佛的菩薩成佛之道  大乘是假菩薩成佛之道妙法蓮華經 華嚴經 心經 金剛經 楞伽經 梵網經菩薩戒 圓覺經 楞嚴經 是 大乘假佛經阿彌陀佛 藥師佛 是 大乘假佛  觀世音 文殊 普賢 維摩詰 龍樹 地藏王 是 大乘假菩薩https://www.ptt.cc/bbs/IA/M.1588944610.A.D9C.html上座部佛教目犍連子帝須和那先破偽經大乘十方諸佛",噓,rabbit6642,: 連色都不上？,12/04 19:32
yachi2016 (),[情報] 高雄首選電商平台 小農補助,Tue Oct 18 14:45:27 2022,#情報分享 目前高雄市有提供政府補助，邀請合作社跟momo配合輔導農民參加電商平台，讓在地小農可以多一個管道曝光來提升收益https://kaohsiungbest.1shop.tw/free2022 不過有限制必須要是「高雄在地」(今年剛開始的好像也可以)而合作後，momo上的照片、文案、排版、訂單追蹤跟管理都會有人幫忙處理，也會協助消費者的退貨農民只需要印標籤出貨和提供產品報價多少，實收多少，不抽成手續費 有需要的都可以推廣給身邊的親朋好友~~ 如果有問題的話，下面聯絡方式也都有人可以解答(周一至周五，9:00-12:00，13:00-17:00)>LINE：http://line.me/ti/p/@012oniur>電話：07-616-5672>地址：高雄市燕巢區中華路200號>粉專：https://www.facebook.com/kaohsiungbest ,→,mike508,: 這樣真的對農民來說，有更多機會被看,10/20 12:26
hank940011 (少女情總是詩),[情報] Lenovo gaming3系列618電商優惠,Fri Jun 17 16:03:15 2022,"Lenovo電競筆電配3050價格來到最低點，比了一下Momo跟Pchome的價格，同款但規格不太一樣，Momo這台3050最近很划算，不知道活動價什麼時候結束https://i.imgur.com/vz6TvBI.jpg金額：22,900型號: IdeaPad Gaming 3 15ACH6 82K201GQTW處理器：CPU AMD Ryzen 5 5600H (6C / 12T, 3.3 / 4.2GHz, 3MB L2 / 16MB L3)內建記憶體：1x 8GB SO-DIMM DDR4-3200擴充：Up to 16GB DDR4-3200 offering顯示晶片：NVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500 / 1635MHz, TGP 85W硬碟容量/轉速：512GB SSD M.2 2242 PCIe 3.0x4 NVMe螢幕尺寸：15.6"" FHD (1920x1080) IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer贈品：有送包鼠https://i.imgur.com/7uFQOiC.jpg比價各平台，這是看到最便宜的RTX(光追)筆電https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9857692https://i.imgur.com/r6TkFVo.jpg金額：27,990型號：Lenovo Gaming 3 82K201GDTW 15.6吋電競處理器：AMD RYZEN_7_5800H_3.2G_8C_MB記憶體：16GB_DDR4_3200_SODIMM硬碟：512GB_SSD_M.2_2242_NVME_TLC獨立顯卡：RTX3050TI_4GB_G6_128B獨顯顯示器：15.6FHD_AG_300N_165Hz_N_SRGB其他：白光背光鍵盤作業系統：Windows 11 Home (64-bit)保固：2年保固+首年尊榮家用服務 Premium Care贈品：1TB 1年雲端空間https://i.imgur.com/BC7IkYV.jpgPchome的是開高規R7/16G/3050Ti ，3萬內這規格我目前沒看過https://24h.pchome.com.tw/prod/DHBA3X-1900DVBRQ?fq=/S/DHBA3Xhttps://i.imgur.com/kuusQjv.jpg金額：20,990型號：Lenovo Gaming 3 82K201GPTW 15.6吋電競處理器：AMD RYZEN_5_5600H_3.3G_6C_MB記憶體：8GB_DDR4_3200_SODIMM硬碟：512GB_SSD_M.2_2242_NVME_TLC獨立顯卡：GeForce GTX_1650_4GB獨顯顯示器15.6FHD_IPS_AG_250N_120Hz其他：白光背光鍵盤作業系統：Windows 10 Home (64-bit)保固：2年保固+1年 Premium Care贈品：1TB 1年雲端空間https://i.imgur.com/CTBXdfA.jpg或也有開更低規的GTX，不需要光追的話2萬就能打遊戲https://24h.pchome.com.tw/prod/DHBA3X-1900F5F6C?fq=/S/DHBA3X",→,ashianQQ,: 0的p幣有釋出一份出來，要買請快,06/18 17:43
Dolphinin10 (snamnm),[情報] 悠遊付電商618年中慶最高回饋策略,Fri Jun 17 11:20:35 2022,"momo：最高 8% 回饋活動期間：2022/6/13 00:00 ~ 2022/6/30 23:59https://lihi1.com/SyuTq/jun_ECC使用悠遊付於 momo 購物網消費，單筆滿 10,000 元回饋悠遊付「800 元指定網購現金回饋券」一張，每訂單限回饋 1 次，單筆不累贈，每悠遊付帳戶於活動期間最多回饋一張，活動限量 625 張PC：最高 8% 回饋活動期間：2022/6/6 00:00 ~ 2022/6/30 23:59https://lihi1.com/X2eiV/jun_ECC使用悠遊付於 PChome 消費，單筆滿 10,000 元回饋悠遊付「800 元指定網購現金回饋券」一張，每訂單限回饋 1 次，單筆不累贈，每悠遊付帳戶於活動期間最多回饋一張，活動限量 310 張東森：最高 16% 回饋活動期間：2022/6/15 00:00 ~ 2022/6/30 23:59https://lihi1.com/zwYT6/offer活動一：悠遊付單筆滿額1,200元送「【東森購物網】100元悠遊付現金回饋券」1張，每訂單限回饋一次，每悠遊付帳戶最多3張，回饋上限2,000張。活動二：活動期間註冊之悠遊付新客，如符合活動一回饋條件，另再加碼回饋「【東森購物網】100元悠遊付現金回饋券」1張，每悠遊付帳戶限回饋一次，回饋上限500張。※活動一、活動二可疊加回饋活動皆是發完為止，額滿將於悠遊卡 Facebook 官方粉絲頁公告目前是還未看到有公告額滿momo、PC是同案型，單筆滿萬回饋800(僅一次)如果6月會買破萬可以選擇momo、PC東森單筆滿額1,200回饋100(可回饋三次)如果首筆是新戶還可以再拿100回饋等於1,200回饋200適合消費金額不大的消費者如果以策略來說就是先找張卡combo然後去東森拿到新戶後面就依照自己購買的金額選擇適合的回饋平台至於各家618的活動很多神人整理了這就不提囉先預祝版友們回饋滿滿大豐收",推,huh71,: 悠遊付帳號換別部手機可以結帳...,06/25 09:27
edwin (こんちゃ～),[情報] 7-11 電商平台取貨 送$7抵用券 3/16開始~,Mon Mar 14 17:55:11 2022,活動3/16後天00:00開始!活動3/16後天00:00開始!活動3/16後天00:00開始!【電商平台包裹安心取，限定優惠！】(含交貨便&賣貨便)7-11取件 送7元7-ELEVEn購物抵用券！活動時間：2022/03/16(三)～03/22(二)23:59止兌換時間：2022/3/31(四) 23:59止限量150萬組送完為止！https://imgur.com/OUpk0v1提供給有考慮 蝦皮318活動購物的板友們還有選小7還沒取貨的板友們~再取件時限內 可以選擇等後天午夜之後再去小7取貨＊請記得務必跟店員索取此次活動單!!!不要被某些有心店員的話術瞞混過去＊,推,wayne9616,: 沒看到   QQ150萬提早用完了嗎,03/23 19:58
mmmkefr (龍沙騎士),[情報] 鮮拾電商 金條限時63折 ,Sun Mar 13 18:33:06 2022,如果有一天世界大戰了什麼東西最值錢房子、股票、基金、鈔票 這些應該都不值錢了吧那就買黃金吧這賣68888元 37.5克 1837/克Yahoo 購物中心 2504/克https://bit.ly/3w2wZKAPCHOME  2559/克https://bit.ly/3w3VfMy活動網址：https://bit.ly/36e2PJM活動時間：售完為止活動內容：金條63折，LINE PAY 最高回饋10%價格很殺，不過數量沒幾條,噓,burnsy0018,: 你買了嗎？,03/14 22:43
edwin (こんちゃ～),[情報] 7-11 電商平台取貨 送$7抵用券 2/9開始~,Tue Feb  8 18:18:14 2022,"活動2/9明天00:00開始!活動2/9明天00:00開始!活動2/9明天00:00開始!電商平台購物安心取(含交貨便&賣貨便)包裹來7-11取件 送7元7-ELEVEn購物抵用券！活動時間：2022/02/09～02/17(四)23:59止兌換時間：2022/02/09～03/03(四)23:59止限量200萬組送完為止！https://imgur.com/e3v4VH2有選小7還沒取貨的板友們~可以選擇等明天午夜之後再去小7取貨＊請記得要跟店員索取,不要被某些有心店員的話術欺騙＊",推,yeahiamrd,: 有些店員會偷券 要記得請他們列印出來.,02/16 11:06
books131 (b88554311),[情報] 電商歷史價格查詢網站,Wed Nov 10 14:16:39 2021,看新聞介紹這個電商歷史價格查詢的網站https://twbuyer.info/半信半疑測試了一下MOMO上的麥香紅茶箱購網址，跑出了下面這個圖，恩…它說現在是歷史最低價$199https://i.imgur.com/yoBoxXI.jpg上MOMO APP下單後購物車內真的是折價到$199/箱24入https://i.imgur.com/13qBbww.jpg覺得好用~ 分享給大家 :),推,angelology,: 有加給推,11/11 09:24
goldfishfour (goldfishfour),[情報] 街口購物節突襲加碼電商券,Wed Nov  3 22:55:18 2021,剛看省錢版還沒有這個資訊速來分享！！！！！https://i.imgur.com/wi7QwSJ.jpghttps://i.imgur.com/34MFTh4.jpg明天真的要設鬧鐘了,→,sgracee,,11/11 19:58
