Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ctr29 (CTR),[問卷]#抽獎 電商平台限時特賣對衝動購物的影響,Thu Feb  2 16:39:43 2023,先感謝weifish版主的協助審核！各位版友好，我是國立高雄科技大學的研究生，目前正在進行「電商平台限時特賣活動對衝動購物的影響」之研究。問卷名稱：以SOR理論探討電商平台限時特賣之衝動購物行為意圖－以MOMO購物為例研究目的：探討使用者在電商平台的限時特賣活動中，是否會因為其他因素影響其衝動購買行為意圖。填答條件：有瀏覽或使用過MOMO購物之限時特賣者佳。其他聲明：本問卷僅供學術調查研究使用，不做其他用途，也不會公開您的個人資料，請您放心填寫，非常感謝您的參與，祝您萬事順心！問卷截止時間：有效問卷達360份，即關閉填答。問卷連結：https://bit.ly/3Wl6M3p回饋獎品：為了感謝您寶貴的意見，完整填寫完問卷者，將可參加本研究的抽獎活動(亂填者及重覆填寫者將會被取消抽獎資格)，本研究提供獎品為「星巴克飲料券$135」，共計抽出10名幸運得主，以茲感謝，並以E-mail聯繫。研究單位：國立高雄科技大學 資訊管理系電子商務碩士班研究者：趙亞就聯絡方式：[email protected],推,lookeye,: done,02/02 16:56
,,,,推,rice10845,: done,02/02 18:27
,,,,推,superrock,: Done,02/02 18:40
,,,,推,l9217,: Done,02/02 18:42
,,,,推,rukakageyama,: Done,02/02 19:47
,,,,推,greensdream,: done,02/02 20:59
,,,,推,argk181111,: Done,02/02 22:08
,,,,推,babyrun,: Done,02/03 02:32
,,,,推,alicefang199,: done,02/03 12:01
,,,,推,yorurin,: done,02/03 14:10
,,,,推,GATSBYWAVE,: done,02/04 01:14
,,,,推,ritisy,: done,02/04 13:05
,,,,推,MT80623,: Done,02/07 00:11
,,,,推,h56y,: Done,02/08 21:45
takaco (去哪裡找熱情??),[問題] 電商購物關稅預收 清關卻顯示業者代繳,Thu Jan 26 10:53:24 2023,年前在cettire購物結帳時已預收關稅一千多元今天卻在ezway看到清關資訊顯示「進口稅款已由快遞/報關業者代繳」春節期間DHL客服暫停中想請問有版友遇過這種情況嗎？實在很擔心又要被收一千多元,推,Terahara,,01/26 12:04
,,,,→,Terahara,: 過的文章，cettire是DTP（結帳時預繳關,01/26 12:05
,,,,→,Terahara,: 稅，若有關稅產生會由DHL去跟cettire收,01/26 12:05
,,,,→,Terahara,: ，你不用再繳關稅）,01/26 12:06
,,,,→,takaco,: 了解，感謝樓上T大，放心多了～,01/26 12:29
chk963258 (chk963258),[心得] 電商24S 初體驗-MaxMara羊毛大衣開箱,Tue Dec 20 18:02:13 2022,"★物品名稱：Max Mara Esturia coat☆賣家名稱：24S★拍賣網址：https://reurl.cc/6Le7jb☆網誌心得：無 單純文圖分享基於台灣近期都是暖冬的狀態,已經很多年沒買羊毛外套的慾望雙11.12處於工作大爆炸的情況下, 在某一天滑手機的時候被Max Mara實穿照給打到就覺得很需要安撫一下心靈 於是就下標了！！（想買東西什麼爛理由都可以曾經在專櫃摸過一次101801型號的外套, 當下覺得驚為天人,不論是版型材質還是價格都是一件十萬的外套嚇得我沒再踏進那間店過 ＸＤ後來發現其實MaxMara有較平價的副線產品 雖然不是羊絨材質,但是純羊毛的質感已經完勝我所有買過的日韓品牌外套！！不過如果是原價,我的理智線還是黏的很緊的～雖說副線是『較為平價』, 但是原價也大概在台幣5-7萬之間不死心的我在網路上瘋狂比價各大歐美電商網站, 最常買的Mytheresa是最便宜的但是所有尺寸都沒了 只剩下FR40左右的其餘的selfridges/ luisaviaroma 等電商都在5-7萬之間不等突然間發現了24S 竟然只要32000 (價值觀偏差）但是只剩下FR 34（IT36)這個尺碼 因為他們家衣服尺碼實在是太迷樣了我爬了一輪小紅書大概知道FR跟IT 應該是差了兩碼,跟我身高體重差不多的人大多買IT 36-38 ,但是不同型號差距很大就在我猶豫不決的時候 ,突然發現一個雙12折扣碼可以折到300歐元而且當天還是最後一天！！？？  於是就毫不猶豫直接下標了含關稅2萬元可以買到Maxmara還是覺得超值得以上廢話結束直接來上圖原po:166cm/體重48kg剛穿上的時候覺得袖子有點短好像少了一點慵懶鬆弛感https://i.imgur.com/DiEmUzp.jpghttps://i.imgur.com/Zl5mpDU.jpg但是回頭看了一下模特兒實穿照發現他穿起來比我更短 我就釋懷了 ＸＤhttps://i.imgur.com/Fq49B2A.jpg衣服本身版型很挺 從箱子裡拿出來沒有燙整就很平順這長度搭裙子也很適合因為露出來的部分很少 沒什麼穿搭問題https://i.imgur.com/KWAuxnZ.jpg搭配褲子就更俐落一點https://i.imgur.com/hlpHK1k.jpghttps://i.imgur.com/Cb3oQmX.jpg綁帶我是讓他自然垂放而已,沒有刻意綁他因為這種版型如果綁在前面很容易有浴袍感.....https://i.imgur.com/eVv93cn.jpghttps://i.imgur.com/gZz1N9K.jpg以上就是簡易開箱分享明年如果有特價想要再入一件不同版型淺色的（握拳",推,kiki1235678g,: 好好看喔！！你穿起來比model 燒火,12/20 18:16
,,,,推,xlarcx,: 我也是買副線的對折不到2萬 款式比較年輕,12/20 18:18
,,,,推,sylviehsuan,: 好想要一件,12/20 18:24
,,,,推,li1y,: 好看好看,12/20 19:38
,,,,推,bawit,: 好好看 推心得,12/20 19:55
,,,,推,meeiyi,: 的確穿起來比官圖好看，版主令羨慕的身高,12/20 20:45
,,,,推,kuraki156,: 好好看啊,12/20 20:46
,,,,推,chiahui7713,: 好看,12/20 20:47
,,,,推,happyclamp,: 好看,12/20 20:57
,,,,推,YugiHao,: 好好看喔！所以最後是買副牌？好奇保暖程,12/20 21:19
,,,,推,d004093,: 會很重嗎？好好看,['']
,,,,推,liwithfish,: 好生火 版型很好的感覺,12/20 21:55
,,,,推,gg4835,: 版主穿這外套超好看！大生火,12/20 22:15
