Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
carrylot (克萊迪),[情報] momo 理膚寶水三重酸精華,Mon May  8 09:57:21 2023,是否已讀取發文須知並詳閱版規(Y/N)：之前看到版友分享藥局佑全藥局但我家這邊的沒什麼折扣（好像只有79折還8折 沒有送其他東西）所以當時沒有買今天要補貨發現momo 有送30ml 的活動雖然是送小樣 但容量也等於正貨了這樣總共60ml 還送潔膚凝膠加上折價券折下來才1230應該算很划算 供大家參考https://i.imgur.com/AZ2y0b5.jpg補一下心得我覺得這瓶用下來大概一兩週就會有感粉刺代謝額頭下巴顆粒感會減少（但鼻子皮脂管絲無感）目前還在觀望新肌小綠瓶希望有用過的版友可以分享！,推,noocar,: 跟極光水比較效果如何呢,05/08 10:09
,,,,推,e6110188,: 剛出就買了 大過敏 直接去皮膚科報到（,05/08 12:30
,,,,推,tsanning,: 小樣比較不好用 去年有次蝦皮滿3000送,05/08 12:57
,,,,推,qi3qi3,: 心動 但寶拉水楊酸還沒用完....,05/08 13:07
,,,,推,iamflying,: 領過試用結果大過敏，敏感肌要考慮一下,05/08 16:19
,,,,推,RoseNam,: 感謝分享！理膚三酸煥膚瓶我用完好幾罐了,05/08 17:17
,,,,推,zexing,: 我覺得理膚的臉上膚感好些，寶拉效果很好,05/08 20:23
,,,,推,zexing,: 個人覺得，寶拉的除粉刺顆粒很強！理膚的,05/08 20:24
,,,,推,wenchichi,: 謝分享～～我超愛理膚三重酸精華，都,05/10 08:28
,,,,推,nwordy,: 好希望可以直接送跟正貨同品項的小樣XD,05/10 18:17
,,,,→,e6110188,: 本人臉皮堅強 第一次遇到這樣）,05/08 12:30
,,,,→,tsanning,: 正貨三重酸雖然門檻高些但方便使用,05/08 12:57
,,,,→,tsanning,: 還是謝謝分享 這瓶蠻好用的,05/08 12:57
,,,,→,qi3qi3,: 寶拉用起來感覺皮膚光滑很多 比較淺的小顆,05/08 14:13
,,,,→,qi3qi3,: 粒會消失 不過臉頰的閉鎖粉刺跟下巴顆粒,05/08 14:14
,,,,→,qi3qi3,: 還是很頑強...,05/08 14:14
,,,,→,RoseNam,: 擦完後粉刺稍微夾一下就掉出來了,05/08 17:18
,,,,→,RoseNam,: 刷酸初心者大愛,05/08 17:18
,,,,→,zexing,: ，但白天有點沒辦法使用，會變反光板.....,05/08 20:23
,,,,→,zexing,: 除發炎紅痘比較有感,05/08 20:24
,,,,→,wenchichi,: 拿來代謝臉上的內包粉刺，認真擦的話,05/10 08:28
,,,,→,wenchichi,: 粉刺都能代謝得很乾淨！,05/10 08:28
qmovic (qmovic),[請益] 修麗可momo組合 CEF抗氧化精華/色修,Sun Apr 30 18:39:49 2023,是否已讀取發文須知並詳閱版規(Y/N)：已爬文關鍵字：修麗可、skinceuticals被板上的修麗可的心得燒到想買看看比較多人推薦的抗氧化精華跟色修精華目前有看到momo上面有試用組合是4ml的CE抗氧化精華、4ml色修+4ml紫米精華還有一個是30ml的CE抗氧化精華組合 多送200mo幣https://i.imgur.com/O6le8nG.png不知道如果第一次買的話會推薦三個小樣都一起體驗看看還是到時候等momo其他組合都上架直接買正貨呢？先感謝大家,推,Justapig,: 有小樣當然是先買小樣ㄚ，特別是修立可,04/30 19:01
,,,,推,welfareau,: 兩個試用組感覺都滿划算～也有在考慮,04/30 19:15
,,,,推,poison24k,: 沒有適合油性的抗氧精華小包裝..,04/30 22:07
,,,,推,jingchan0618,: 我會等5/6 紫米+色修+CE精華$999的,05/01 00:19
,,,,推,poison24k,: 之前做功課cef偏油 pcf scf相對適合油,05/01 13:02
,,,,推,kforcat,: 小樣組一直被搶光！買不到QQ,05/01 18:20
,,,,推,gens50,,05/03 10:58
,,,,推,c1inique,: 混合肌用cef 不會覺得油,05/04 11:11
