Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
qwe50706 (小象小象),[問卦] MoMo下單就馬上出貨算正常嗎？,Thu May 18 08:31:51 2023,小弟下單完發現沒改到超商取貨想說取消再買一次結果不給取消顯示已經出貨了??整個過程不到一分鐘就進入撿貨程序雖然有叫我可以拒收但是也太快了吧 完全不給思考的有沒有八卦,推,dai26,: 要不然七天後出如何？,05/18 08:32
,,,,推,yafx4200p,: 可能是機器人倉儲,05/18 08:34
,,,,推,benson502,: 上次3小時就到了，超扯,05/18 08:34
,,,,推,ltytw,: 4   點下去門鈴就響才是正常的,05/18 08:34
,,,,推,willieliu,: momo知道不能比客人慢啊☺,05/18 08:34
,,,,推,konanno1,: 你以爲手機麥克風的作用是什麼,05/18 08:35
,,,,推,MbvLectA,: 有一次禮拜六凌晨3.下單 週日早上9.到,05/18 08:37
,,,,推,Dirgo,: 時機歹歹,05/18 08:38
,,,,推,okichan,: 有腦子的人下單前就思考了,05/18 08:39
,,,,推,q123212,: 一般認知就是下單就確定要買了,05/18 08:42
,,,,推,boykid,: 已經超越pc home了,05/18 09:10
,,,,推,x007,: 下單前就要思考好,05/18 09:23
,,,,推,g1254501,: 我還在開電腦 門鈴已經響了,05/18 09:34
,,,,推,kisweet999,: 最近也超愛用 momo,05/18 09:38
,,,,推,osalucard,: pchome網頁還在轉圈圈 簡訊就先到了,05/18 09:43
,,,,推,leotompp,: XDD我剛在想~~就送到了....,05/18 09:44
,,,,推,a23268744,: 問就是小精靈,05/18 09:45
,,,,推,waitu0526,: 還是要買pchome啦！如果最後只剩momo那,05/18 09:48
,,,,推,DWR,: 很多都是自動化揀貨啊 倉庫有就直接開始,05/18 09:51
,,,,推,tikowm,: 我手機剛解密碼就通知已出貨了,05/18 09:52
,,,,→,kawazakiz2,: 4,05/18 08:32
,,,,→,roywow,: 最近那個6hr確實不錯,05/18 08:32
,,,,→,duelaylomo,: 不太正常，點下去就到貨才是正常速度,05/18 08:32
,,,,→,koromo1991,: 要考慮你下單幹嘛,05/18 08:33
,,,,→,willieliu,: 你都這麼快了 他能慢？,05/18 08:35
,,,,→,johnhmj,: 當你按下確認鍵 就表示填寫的資料沒問題,05/18 08:36
,,,,→,MbvLectA,: 原本還以為可能周一周二才會收到貨,05/18 08:37
,,,,→,virnux,: 正常點下去門鈴就要響了,05/18 08:39
,,,,→,una283,: 上次燒的智慧型出貨倉你沒看嗎,05/18 08:41
,,,,→,porkX,: 人員太閒,05/18 08:42
,,,,→,Dhack5321,: pchome的小精靈被挖角了,05/18 08:49
,,,,→,neck116,: 很正常 效率高,05/18 08:55
,,,,→,x69toki,: 反觀Pchome 24Day,05/18 09:01
,,,,→,x69toki,: 5千元微軟手把，北部24H送不到，怒退,05/18 09:03
,,,,→,kisweet999,: 尤其是體育用品類的 不怕買到假貨,05/18 09:38
,,,,→,waitu0526,: 就慘了,05/18 09:48
,,,,→,frontin,: Pchome可以收了啦,05/18 09:49
,,,,→,TomChu,: 太慢了 我之前還沒下單就出貨了,05/18 10:04
,,,,→,Mograine,: 講坦白 快沒啥用 Pchome不行 反而讓MOM,05/18 12:39
,,,,→,Mograine,: O越賣越貴 活動越來越差 對消費者不是,05/18 12:39
,,,,→,Mograine,: 好事,05/18 12:39
,,,,→,frontin,: 慘,05/19 13:15
,,,,噓,HDSM,: 太慢出又嫌慢,05/18 08:32
,,,,噓,johnhmj,: 你沒注意到是你自己要檢討啊 網購耶,05/18 08:34
,,,,噓,frontin,: Pchome 經營的跟屎一樣 還要情緒勒索 好,05/19 13:15
