Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
Yihsin0311 (人生得意須盡歡~),[情報] momo倩碧腮紅買一送一,Mon May 15 14:49:18 2023,http://i.imgur.com/qpW5XoU.jpg小花腮紅買一送一喔～有需要的趕快衝～很好用！推推-----Sent from JPTT on my HUAWEI HMA-L29.,推,tiiyuway,: 色號很多 快衝,05/15 15:15
,,,,推,lizwen,: 謝謝分享,05/15 16:20
,,,,推,quiiina,: 謝謝情報，終於買到21號了,05/15 16:33
,,,,推,anatasuki,: 謝謝分享！,05/15 17:17
,,,,推,Uwontknow,: 買了15跟19 ，21怕太淺,05/15 19:27
,,,,推,Uwontknow,: #15 製造日期2022/3/1 #19 2022/5/1,05/15 19:35
,,,,推,annoh,: 推 新手花農剛入手5跟8,05/15 20:06
,,,,推,Chaojeme,: 謝謝好心情報分享,05/15 20:39
,,,,推,melody388,: 送的是廠商決定嗎？,05/15 20:43
,,,,推,ponhooo,: 感謝分享～～,05/15 20:45
,,,,推,toma410,: 可以自己挑阿,05/15 21:04
,,,,推,wan0129,: 我剛結帳的是01.02.12，3色選1，更早之前,05/15 21:08
,,,,推,kimja,: 送的只有1.2.12 都不太喜歡 只好PASS,05/15 21:25
,,,,推,mini0818,: 謝謝分享！！,05/15 21:25
,,,,推,toma410,: 下午快四點的時候，送的大概有6~7色可以,05/15 21:35
,,,,推,allloveme,: 早上買，送的大概有8色可選,05/15 23:06
,,,,推,Eoamberf,: 我在省錢版早上7:00多有po文， 那時候,05/15 23:23
,,,,推,shing1990,: 感謝分享！已下單～～,05/15 23:25
,,,,推,yu1314,: 推,05/16 14:27
,,,,推,tweets,: 上次買一送一兩顆效期都剩不到一年,05/16 14:51
,,,,推,petti957,: 感謝分享！,05/16 16:43
,,,,推,nilikai,: 感謝分享,05/17 09:55
,,,,推,tigerly,: 感謝 分享,05/17 10:52
,,,,推,Eoamberf,: 有拿到的可以分享一下製造日期嗎? 因為,05/17 12:50
,,,,推,annoh,: 買的兩個分別是2022年5月跟7月，其中一顆腮,05/17 18:18
,,,,推,yano320,: 我買的也是2022/5月和7月～,05/17 23:45
,,,,推,allegralee,: 我的是2022/3跟12月,05/18 00:07
,,,,推,iceprincess,: 錯過了...前天還在看沒看到,05/18 02:20
,,,,推,e84235,: 5/20還有買一送一活動！！,05/18 06:42
,,,,推,allloveme,,05/18 18:50
,,,,推,e84235,: 抱歉一時看太快，是5/24才對，謝謝樓上大,05/18 23:36
,,,,推,Eoamberf,: 不是看錯，是之前寫5月20，昨天才改成24,05/19 17:01
,,,,推,YuXun2021,: 繼續煩惱色號,05/20 21:41
,,,,推,shing1990,: 今天收到製造日分別是2022/07、2022/08,05/21 00:59
,,,,→,wan0129,: 不知道還有沒有別色可以選？,05/15 21:08
,,,,→,toma410,: 選，選了1.12.15,05/15 21:36
,,,,→,Eoamberf,: 還很多... 下次這裡也放好了,05/15 23:23
,,,,→,missvita,: 謝謝分享,05/16 10:15
,,,,→,kakasun0930,": 5/15下單,5/16收到,10號真的好美啊",05/17 11:14
,,,,→,Eoamberf,": 比較便宜, 我可以接受保存年限 一年半~",05/17 12:50
,,,,→,Eoamberf,: 兩年，再少就要退貨了,05/17 12:50
,,,,→,annoh,: 紅竟然脫殼 哭,05/17 18:18
,,,,→,e1240948147,: 感謝分享,05/18 11:31
,,,,→,e84235,: 大,05/18 23:36
,,,,→,Eoamberf,: 因為我還有跟我朋友講說要不要再幫他買,05/19 17:01
,,,,→,Eoamberf,: 一次,05/19 17:01
,,,,→,shing1990,: ，覺得很可以～,05/21 00:59
,,,,→,lydia781028,: 推推,05/24 20:03
Eoamberf (綠寶石),Re: [情報] MOMO倩碧小花腮紅買一送一,Mon Mar 20 08:12:48 2023,剛剛吃早餐看到... ＝ ＝不過今年漲價了從920變成1000附上人權圖：https://i.imgur.com/kXkXUEm.jpg※ 引述《wan0129 (wan)》之銘言：: MOMO小花腮紅任選買一送一: 顏色選擇還蠻多的: https://i.imgur.com/fEKHbjg.jpg: 送的: https://i.imgur.com/lwEktwC.jpg,推,winni10,: 可選的顏色滿多的，送的也可以選，還不錯,03/20 09:25
,,,,推,redhaha,: 我凌晨下單 好像有使用到折價券 最後是90,03/20 12:39
,,,,推,day2j04,: 凌晨下單有折扣100,03/20 13:34
,,,,推,ning009n,: 凌晨下單+1折100，買14送5（本來預計買5,03/20 14:59
,,,,推,ruru0902,: 準備下單 結果送的不能選腮紅 只有打亮,03/20 15:36
,,,,推,ptpp,: 我看好像也只有送打亮QQ,03/20 17:48
,,,,推,redhaha,: 剛拿到包裹 腮紅製造日期是2021年的 明年,03/20 18:07
,,,,推,mandy740512,: 好險我沒買,03/20 19:31
,,,,推,openlien,: 明年到期也太快了吧 差點要下單了,03/20 21:35
,,,,推,smi1e,: 推14!,03/21 01:02
,,,,推,cytw,: 1000有點滅火… 而且這個效期也太…,03/21 09:41
,,,,推,jjpl,: 竟然還漲價…,03/21 10:09
,,,,推,summer1314,: 送的只剩打亮，剛好幫我滅火...哈,03/21 11:00
,,,,推,Yihsin0311,: 清倉還漲價。。笑了,03/21 12:10
,,,,推,scherzer5566,: 大家可以去倩碧美網買 有七折還送,03/21 13:18
,,,,推,ssspati,: 10號是2021.11月,03/21 21:28
,,,,推,chacha5044,: 凌晨下單是900+1 ，小花在倩碧官網也,03/21 21:29
,,,,推,kchuan,: 昨天收到，14號是2022年3月，15號是2022,03/24 00:46
,,,,推,banana1997,: 今年2月去櫃上買，拿到的也是明年10,03/24 19:47
,,,,→,Eoamberf,: 顏色還蠻多的， 不過只能下單一次， 所,03/20 08:22
,,,,→,Eoamberf,: 以要選好啊,03/20 08:22
,,,,→,Eoamberf,,03/20 08:23
,,,,→,Eoamberf,,03/20 08:23
,,,,→,redhaha,: 0元耶,03/20 12:39
,,,,→,Eoamberf,: 我看他上面是寫說不能使用折價券....,03/20 12:57
,,,,→,Eoamberf,:  樓上運氣好好喔,03/20 12:57
,,,,→,Eoamberf,: 那時候的贈品色號有比較多嗎？ 我本來在,03/20 14:35
,,,,→,Eoamberf,": 14跟15之間考慮, 結果贈品只剩15了不用",03/20 14:36
,,,,→,Eoamberf,: 考慮了,03/20 14:36
,,,,→,ning009n,: 但發現送的色號都收過了，改買14送5）,03/20 14:59
,,,,→,ruru0902,: 盤耶,03/20 15:36
,,,,→,Eoamberf,: 所以送的有限量？,03/20 17:56
,,,,→,redhaha,: 到期..,03/20 18:07
,,,,→,Eoamberf,: 如果是明年到期的， 那就是我5年來第一,03/20 20:55
,,,,→,Eoamberf,: 次momo的退貨了， 這也太誇張， 至少要,03/20 20:55
,,,,→,Eoamberf,: 有一年半,03/20 20:55
,,,,→,Eoamberf,: 如果是2023 .12月， 勉強接受， 六月以,03/20 22:25
,,,,→,Eoamberf,: 前就太過份了,03/20 22:25
,,,,→,scherzer5566,: 一堆東西 現在,03/21 13:18
,,,,→,scherzer5566,: 美國有些購物網站已經不擋國外的卡,03/21 13:18
,,,,→,scherzer5566,:  再找集運商自,03/21 13:18
,,,,→,scherzer5566,: 己轉運回來就好,03/21 13:18
,,,,→,Eoamberf,: 剛收到，5號是2022.5製造，14號是2022.2,03/21 16:55
,,,,→,Eoamberf,: 製造， 還可以接受,03/21 16:55
,,,,→,chacha5044,: 已經漲價了,03/21 21:29
,,,,→,kchuan,: 年2月,03/24 00:46
,,,,→,banana1997,: 月過期,03/24 19:47
cd0909 (cd0909),[情報] Momo買KATE 太划算啦啦啦,Thu Feb  9 17:57:41 2023,如題～～小女子剛好逛到KATE在MOMO有不錯的活動 (只到2/14 00:00）1. 所有商品77折2. 滿499再折503. 滿788送三色眼影盤、滿1088再送亮顏蜜粉餅(數量有限要記得以購物車為主哦)https://i.imgur.com/VS6cQ18.jpghttps://i.imgur.com/qe75B5u.jpg再加上Momo卡的8%回饋真的是打到骨折～～～小女子已無腦下單零瑕肌密柔霧粉底液和眼線膠筆了分享資訊給大家！！！,推,ooooooxxxxxx,: 好划算XD 但沒東西要買,02/10 16:57
,,,,推,lydia09,: 謝謝分享，77折又8%好划算,02/10 19:27
,,,,推,pungucat,: 請問Kate 飾底乳好用嗎？想買紫色或綠,02/12 02:52
,,,,推,MCMJ,: 校色綠色超雞肋，用起來無感所以被我丟一邊,02/15 01:19
,,,,→,winterice20,: 好划算但沒東西要買+1哈哈,02/11 12:41
,,,,→,pungucat,: 色的！現在架上只有粉色試用QQ,02/12 02:52
,,,,→,MCMJ,: 某次想再給它機會時已經油水分離沒救了,02/15 01:20
julia79 (茱莉亞),[心得] momo 11月美妝盒分享,Sat Nov 26 09:52:36 2022,https://i.imgur.com/4rj2zr3.jpg來...我缺一個...鏡子和下班收禮物的療癒看之前人家分享的菜色超值這次不猶豫的給它週期配下去https://i.imgur.com/tpWjovg.jpg外層還有塑膠袋包裝再加一層momo牛皮紙箱粉紅盒本尊乾乾淨淨有硬度可續利用https://i.imgur.com/FWFOLTq.jpg附的小本本裡邊圖文並茂有化妝步驟、產品市價和個別功能介紹不爽翻還可以掃Qr codehttps://i.imgur.com/TVV3n7f.jpg888元花得很超值記得霧唇前某次靠櫃MAC姊試圖推我買美妝盒裡的妝前唇霜我嫌它包裝和容量太開不起了啦！風水輪流轉...開架價錢得到它https://i.imgur.com/h8tKLXi.jpg正貨容量就那兩支唇部用品和鏡子製造日期2021年水凝乳和玫瑰乳是2022年https://i.imgur.com/OSDnyPR.jpg拿到#660寶藏漿果很秋冬但非日常起碼不是拿到其中兩個淺色#661和#666黃黑皮完全不行https://i.imgur.com/8Hz9Rnv.jpg剛下班拿到這個真的很爽雖然戴口罩塗口紅一直都沾染到咪咪茂茂但這麼超值的MAC不來一盒嗎？！週末愉快,推,senttreepay,: 感覺有划算！！,11/26 10:31
,,,,推,pollymina,: 看起來好澎湃～,11/26 10:34
,,,,推,sunnyday617,: 我也買了收到一樣的色號 沒想到這次,11/26 13:45
,,,,推,joria,: 我一開賣就入手了，而且也是為了那隻手拿,11/26 14:40
,,,,推,beaver520,: #130感覺好美啊！ 我拿到660就送媽媽了,11/26 16:52
,,,,推,miamie,: 口紅的色號跟你一樣…我超難過的，後來仔,11/26 18:36
,,,,推,scully1003,: 有買+1,11/26 18:40
,,,,推,djuri,: 謝謝分享，一直很想要訂購這個美妝盒這次,11/26 19:53
