Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
rachechen (芮蒂),[新聞] 台灣大、momo打造跨界生態圈 用mo幣衝一,Wed May  3 18:18:47 2023,"範本格式 (請依序謄寫，禁止更動格式，綠色範例可刪除)──────────────────────────────────────1.原文連結：連結過長者請使用短網址。https://reurl.cc/qkelM02.原文標題：標題須完整寫出且須符合內文(否則依板規刪除並水桶)。台灣大、momo打造跨界生態圈 用mo幣衝一波業績3.原文來源(媒體/作者)：例:蘋果日報/王大明(若無署名作者則不須)中時新聞網 記者王逸芯4.原文內容：請刊登完整全文(否則依板規刪除並水桶)。台灣大(3045)自2020年推出串聯電信、電商的「mo幣多」獨門專案，每月提供用戶獨享momo幣回饋，成功發揮集團綜效，為回饋「mo幣多」用戶支持，台灣大再度找來電商龍頭momo，將今年5月20日首度舉辦專寵會員的24小時限時「mo幣多會員日」活動，盼藉此讓電信業務、電商相互拉抬，轉化成業績貢獻。台灣大個人用戶事業群商務長林東閔表示，後疫情時代，用戶早已習慣更便利、快速的消費行為，在momo購物網消費除了享受購物樂趣，更期待能獲得momo幣回饋。momo幣作為貫穿集團服務重要工具，不僅能用於momo購物網採買商品，還能折抵台灣大電信帳單、在MyVideo租、購片等，同時也是台灣點數經濟發展的箇中指標。林東閔進一步談到，台灣大推出「mo幣多」專案後，即深受網購族青睞，為了感謝用戶長期支持，今年特別規劃「mo幣多會員日」，讓「mo幣多」用戶在momo購物網消費，獨享超越百貨周年慶的優惠，並贈送包含純金9999「黃金mo幣」在內等超過1,000個活動獎項，專寵用戶打造極致購物體驗，帶給用戶既有趣又驚喜的消費樂趣。本次台灣大與momo攜手端出的「mo幣多會員日」一大特色，就是「購物爭霸 終極10強」PK戰，活動當日在momo全站內消費總金額最高的「mo幣多」用戶，將直接贈送價值10萬元的1兩純金9999「黃金mo幣」，以優質大禮回饋用戶。5.心得/評論：內容須超過繁體中文30字(不含標點符號)。台哥本業xmomo的異業活動，類似蝦皮618的節慶活動，只要是mo幣多用戶都能參加，不知道中華和遠傳未來會不會也有類似福利──────────────────────────────────────",推,ktasl,:  中華不就是提供 HamiPoint 嗎?,"['05/03', '19:25']"
,,,,推,spirit119,: 不就都你們集團的 講的好像什麼大突破,"['05/03', '19:58']"
,,,,推,yuweime,: 台星被併也能適用嗎？,"['05/03', '23:44']"
,,,,推,abcd425heart,: 難怪台星門市現在在推門號送momo,"['05/04', '15:34']"
,,,,推,hyghmax1202,: 富邦集團啊,"['05/04', '21:22']"
,,,,推,gogo3333,: 遠傳幣被遠傳自己搞爛,"['05/05', '09:15']"
,,,,推,c3d,: 亞太被併也能適用嗎？,"['05/06', '10:17']"
,,,,→,h22112603,: 遠傳不就難用的遠傳幣,"['05/03', '19:38']"
,,,,→,johnhmj,: 不是每年都攜手嗎？很奇怪耶,"['05/03', '21:15']"
,,,,→,sam613,: 左手攜右手,"['05/03', '21:24']"
,,,,→,lucian5566,: 笑死 跟貝納頌和林鳳營跨界合作一樣,"['05/04', '01:23']"
,,,,→,Godofthebutt,: momo購物個資沒保障,"['05/04', '12:51']"
,,,,→,jay0215,: 三家的幣中只有偉大中華的Hami Point最好用且最值錢！,"['05/04', '13:13']"
,,,,→,neil112379,: 都自己集團的= =,"['05/04', '13:40']"
,,,,→,styyu1281,: 企業不要錢難不成做功德？,"['05/04', '13:49']"
,,,,→,flypenguin,: 中華 hami ponit，遠傳 happy go 都用幾年了 XD,"['05/05', '09:13']"
,,,,→,thomaschion,: 轉型成購物公司吧！,"['05/05', '10:48']"
,,,,噓,blacwhte,: 獲利王 什麼錢都要,"['05/04', '10:11']"
etnie (我的福報要來了),[問題] 請問momo的舊機回收,Wed Mar 29 20:26:58 2023,請問有人在momo回收過三星手機嗎？會不會標準很嚴格？怕什麼都沒換到最後不能回收還要自付郵資寄回感覺很虧還是要去三星智慧館估價會比較好嗎？謝謝,推,EPIRB406,: 你要賣什麼手機，如果不是三星蘋果基本上沒什麼價,"['03/29', '20:28']"
,,,,推,ICQ5920,: 他說了三星,"['03/29', '20:47']"
,,,,推,EPIRB406,: 忘了問,"['03/29', '20:49']"
,,,,推,EPIRB406,: 智慧館要換新機才有加碼最多3000，momo看估價全部都正常,"['03/29', '21:01']"
,,,,推,hypoge,: 要賣二手隨便賣都比momo上的回收價格好,"['03/29', '22:37']"
,,,,推,pecst10,: 面板有裂痕應該對掉價，也可以去創宇網站估價看看，懶得,"['03/31', '10:21']"
,,,,→,EPIRB406,: 忘了問型號,"['03/29', '20:49']"
,,,,→,etnie,: a51 5g,"['03/29', '20:55']"
,,,,→,EPIRB406,: 最多2300紅利金。,"['03/29', '21:01']"
,,,,→,EPIRB406,: momo照實填應該沒問題,"['03/29', '21:01']"
,,,,→,etnie,: 如果面板右下有裂痕但其他功能都正常 有價值嗎,"['03/29', '21:30']"
,,,,→,pecst10,: 跑店面他也可以到府收件,"['03/31', '10:22']"
snowmanmax (Snow),Re: [問題] 有人有搶到S23U登記送的MOMO幣嗎,Sun Feb 19 21:08:12 2023,momo 的 s23 登記活動都結束了。一點都不意外的，全部都是1秒內搶光。今天沒搶到2000，再來就等21號到貨了。※ 引述《jueihsinlin (Dean Lin)》之銘言：: 請問用MOMO卡最多能折多少?: 折扣寫的很多: 現在搞不清楚正確數字: 假設登記MO幣全拿到: 贈品不計算在內: 1.下單使用折價券2694後價格$42206:   使用MOMO卡41920+MO幣286: 2.MOMO卡5%回饋41920*0.05=$2096: 3.免登 $2500: 4.2/14 $1500: 5.2/19 $2000: 6.2/19 $1200: 42206-2096-2500-1500-2000-1200=32910: 請問這樣正確嗎?,推,chillybreeze,: 沒搶到,"['02/19', '21:10']"
,,,,推,Moses1985,: 只登記到眼罩 本體沒超過40000登記不了1200 不過折2000,"['02/19', '21:14']"
,,,,推,RAA1144557,: 恭喜,"['02/19', '21:15']"
,,,,推,amgn997,: 搶不到2000改領700，活動唯一搶到的,"['02/19', '21:28']"
,,,,推,amgn997,: 本來預購都完售了，剛頁面又多了十幾支256g,"['02/19', '21:33']"
,,,,推,chuxue,: 請問悠遊卡加值金再哪看到呢？謝謝,"['02/19', '21:35']"
,,,,推,CyberSoul,": 除了94折猶豫就沒了換成晚上的直播2000,其餘的全部拿到","['02/19', '21:37']"
,,,,推,mongduo,: 笑死 一堆退費,"['02/19', '22:01']"
,,,,推,iamrw,: 折一萬一 不就S23價格了 哈哈哈 三星,"['02/19', '22:33']"
,,,,推,EPIRB406,: 那個是mo幣又不是現金，你要消費才能抵掉，大概要打個85,"['02/19', '22:35']"
,,,,推,color1758,: 目前訂單狀態還是接獲訂單，各位也是嗎？,"['02/19', '22:52']"
,,,,推,q2605,: MO幣可以一個訂單全額折抵  滿好用的阿~,"['02/19', '22:58']"
,,,,推,EPIRB406,: mo幣是不錯，但是如果要買一個一萬的東西，用信用卡可以,"['02/19', '22:59']"
,,,,推,jueihsinlin,: 1500+1200+眼部按摩,"['02/19', '23:03']"
,,,,推,kaiba,: mo幣真的好用,"['02/19', '23:03']"
,,,,推,breeze13,: 只有耳機加眼部按摩器QQ,"['02/19', '23:10']"
,,,,推,komorin,: 你如果常用MOMO，就不會有這種困擾，你1萬以上用分期,"['02/19', '23:10']"
,,,,推,lily20,: 只搶到1200,"['02/19', '23:32']"
,,,,推,Tahuiyuan,: G7人BBB，G油好難喝,"['02/19', '23:35']"
,,,,推,leegogo,: 不知為何啥都沒搶到 我盡力了,"['02/20', '04:04']"
,,,,推,hedy12371,: 0.3秒內吧我覺得，開著秒數時間到按、每一個都說額滿,"['02/20', '05:54']"
,,,,推,tantai99,: 沒搶到才是正常的阿,"['02/20', '06:36']"
,,,,推,davidfirsttw,: 用mo幣還不錯一次直接折掉還蠻乾脆的，沒有在設上,"['02/20', '07:07']"
,,,,推,mongduo,: momo登記有準時通常都搶的到啊 去年PS5才真的是G7人大戰,"['02/20', '09:31']"
,,,,推,pocketer,: momo幣好用，期限長又可全額抵,"['02/20', '10:42']"
,,,,推,CyberSoul,": 不用機器人，都是app手按的,只是抓老婆小孩手機一起按@","['02/20', '10:46']"
,,,,推,hedy12371,": 我的也停在接獲訂單, 理論上今天應該準備出貨了","['02/20', '12:28']"
,,,,推,komorin,: momo不是有一排紅字告訴你預計出貨時間嗎？,"['02/20', '12:30']"
,,,,推,ni830720,: 三個登記都有搶到 剛好山上訊號很好,"['02/20', '15:22']"
,,,,→,jay11357,: 今天搶了眼部按摩＋700＋1200 XD,"['02/19', '21:10']"
,,,,→,Moses1985,: 還是算贏,"['02/19', '21:14']"
,,,,→,EPIRB406,: 四百五十個的樣子，不太好搶正常啦！搶到的就恭喜,"['02/19', '21:14']"
,,,,→,EPIRB406,: 之後還有悠遊卡加值金，這次賣不錯應該第一批拿到的都有,"['02/19', '21:16']"
,,,,→,EPIRB406,: 機會登錄到。,"['02/19', '21:16']"
,,,,→,CyberSoul,": 了,共抵11373","['02/19', '21:37']"
,,,,→,snowmanmax,,"['02/19', '21:42']"
,,,,→,tennyleaz,: 我什麼都沒有...,"['02/19', '22:06']"
,,,,→,EPIRB406,: 折到9折才能算實際價值,"['02/19', '22:35']"
,,,,→,chun07,: mo幣超好用呀 我們一家每個月都在買momo 幾天就一個包裏,"['02/19', '22:48']"
,,,,→,EPIRB406,: 拿5%跟參加刷卡金回饋1000可以拿回1500，但是用mo幣折掉,"['02/19', '22:59']"
,,,,→,EPIRB406,: 就沒辦法參加了,"['02/19', '22:59']"
,,,,→,komorin,: 幾百塊或1.2千的東西就用MO幣直接抵掉，有時候還能調整,"['02/19', '23:12']"
,,,,→,komorin,: 信用卡回饋上限，比如永豐SPORTS剛好吃滿5000拿8%之類的,"['02/19', '23:13']"
,,,,→,Notevenclos3,: 只有最後的1200沒搶到 含信用卡總共回饋12000左右,"['02/19', '23:26']"
,,,,→,lily20,: 不過有搶到3000的花旗，44900-2000-2500-3000-1200-200=3,"['02/19', '23:37']"
,,,,→,lily20,": 6000,可惡沒有問問少了1000，又沒搶到3500","['02/19', '23:37']"
,,,,→,icexfox,: 機器人大戰,"['02/20', '06:35']"
,,,,→,davidfirsttw,: 限,"['02/20', '07:07']"
,,,,→,keigowei,: 所以一開始說，這種要搶得請先當作沒有…搶不到是正常,"['02/20', '09:06']"
,,,,→,Tahuiyuan,: 其實有沒有G7人不存在，而是平台根本沒釋出的可能性？,"['02/20', '09:25']"
,,,,→,mongduo,: 昨天的2000難搶是因為有偷跑,"['02/20', '09:32']"
,,,,→,chun07,: momo 停在接獲訂單...,"['02/20', '10:24']"
