Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
kinki999 (QQk 廢文被劣文中),[閒聊] 為什麼MOMO跟PC轟不玩直播帶貨呢？,Mon Apr 17 15:09:08 2023,直播帶貨中國跟臉書都玩得什麼招都出來了中國有各種人設跟翻車、實測的帶貨直播，流量跟銷售也不差放一堆網站的限時特價的東西，一般人也不會去特別去翻網頁裡幾日幾點特價請個各種人設的直播帶貨主來賣貨，也可以帶動APP的黏著度為什麼MOMO跟PC轟不開發直播帶貨這塊??,推,VoV,: 蝦皮已經有了,04/17 15:19
,,,,推,james1993730,: 總白癡化是真的,04/17 15:42
,,,,推,Hdimension,: momo有直播阿 但大概沒什麼人care,04/17 15:51
,,,,推,BenShiuan,: 購物台？,04/17 15:54
,,,,推,Chungking,: 未必會看搞那有什麼用,04/17 16:04
,,,,推,anselhsuen,: 我就很討厭看直播，浪費時間,04/17 23:25
,,,,→,ymx3xc,: 3 2 1 上連結,04/17 15:10
,,,,→,xxx60133,: 規模成本,04/17 15:17
,,,,→,xxx60133,: FB一堆海鮮 假精品,04/17 15:17
,,,,→,q2520q,: 我瞎？,04/17 15:40
,,,,→,kinki999,: QQ 人家習慣用電腦逛,04/17 17:19
,,,,→,acer2587,: 我記得有啊,04/18 13:48
,,,,噓,q2520q,,04/17 15:40
,,,,噓,deepdish,: 明明就有,04/17 16:33
mandy740512 (在天橋下的天使),[閒聊] momo是不是線上網購平台霸主,Fri Mar 17 16:24:03 2023,最近看專櫃彩妝類，很多品牌都有在momo設櫃然後想買什麼手指點一點，隔天貨運就把貨送到家也不用看櫃哥櫃姐的臉色，想問momo台是不是線上網購類的霸主大家覺得呢？？,推,marsonele,: momo雙北ok 但以外pchome比較快,"['03/17', '16:26']"
,,,,推,xeoma,: 我都用蝦皮,"['03/17', '16:29']"
,,,,推,Hsins,: 電子產品選 Amazon 或京東,"['03/17', '16:31']"
,,,,推,VoV,": momo的價錢不漂亮,比其他家貴很多","['03/17', '16:45']"
,,,,推,jiemayday,: 4 超方便,"['03/17', '17:52']"
,,,,推,NEWOLD,: 比價的時候 最低價很少是momo 聽說他們給貨運人員的薪水,"['03/17', '18:12']"
,,,,推,chocopoodle,: 4,"['03/17', '19:06']"
,,,,推,NEWOLD,: 他們送貨效率才沒那麼高 常常都拖到我都快忘記有買,"['03/17', '19:32']"
,,,,推,mazinnng,: momo幾乎都近原價,"['03/18', '14:28']"
