Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ringfan (一生二人三餐四季),Re: [情報] 網家24HR購物 JVC 5.1 J3851大特價,Tue Jun 21 10:52:41 2022,之前在版上搜尋5.1時就有看到這台，現在PCHOME又更低了，特價5888還送Google Chromecast，但畢竟是有點舊的機型了，我也還在評估中，但還是把特價訊息分享給可能有需要的朋友。https://24h.pchome.com.tw/prod/DPAH1Z-A9009PF29,推,nathan2000,: 沒HDMI的聲霸，要接喇叭線的聲霸....,"['06/21', '11:03']"
,,,,推,GuanLu,: 一年多前買了這台，不過可能設定不到位，一直無法展現出,"['06/21', '13:06']"
,,,,推,sam352306,: 推,"['06/23', '11:43']"
,,,,→,GuanLu,: 不錯的環繞效果，有人可分享設定參數嗎？謝謝。,"['06/21', '13:06']"
wilburliu (grass),[情報] PCHOME SONY DH-790降價13900,Wed Dec 15 02:02:30 2021,https://24h.pchome.com.tw/prod/DMAAEC-A900AH830?fq=/S/DMAAF7最近剛好在組入門環繞，這幾個月觀察DH790價格都在17900就先早買早享受了，沒想到過一週就看到pchome降價…..雖然不是史低，但這價格已經比絕大多數平台便宜了，供有興趣的版友參考！-----Sent from JPTT on my iPhone,推,samopp,: 比去年最低價還多3k,"['12/15', '08:16']"
,,,,推,sa950502,: 如果7天內就退貨重買? 不然跟客服輝看看了,"['12/15', '08:16']"
,,,,推,djboy,: 年底衝業績，1212這波，3C價格都不錯。,"['12/15', '08:31']"
,,,,推,a2785795,: 請問這台建議搭配什麼喇叭,"['12/15', '08:37']"
,,,,推,djboy,: AV環擴 就隨便配啦，我都直接拿來接 TANNOY 了,"['12/15', '08:46']"
,,,,推,tomdanny75,: 有附喇叭才勉強划算,"['12/15', '10:36']"
,,,,推,yaya7785,: 這台好像沒有wifi連接，請問有推薦wifi連接同級的機種,"['12/15', '19:17']"
,,,,推,delay815,: DH-590 + CS5能再降到9999就立馬收一套了呀Q_Q,"['12/15', '20:41']"
,,,,推,wudd,: 去年 DH790 雙11 折扣後買 98XX,"['12/15', '23:19']"
,,,,→,djboy,: AV擴的原因是HDMI，市場上有HDMI的擴大機太少太少了,"['12/15', '08:47']"
,,,,→,djboy,: Nuprime有一台，但是這三年漲了1倍！！！,"['12/15', '08:47']"
,,,,→,yaya7785,: 嗎？,"['12/15', '19:17']"
,,,,→,wilburliu,": 我自己是配klipsch reference theater pack, 因為他下","['12/15', '21:04']"
,,,,→,wilburliu,": 一代剛出最近價格蠻不錯的，玩遊戲看電影小空間很ok,","['12/15', '21:04']"
,,,,→,wilburliu,: 聽音樂慘不忍睹（甚至只是跟我的A80比而已,"['12/15', '21:04']"
,,,,→,wudd,: pchome,"['12/15', '23:20']"
,,,,→,crono0,: 今年還有看過DH790 送天空聲道也是17900,"['12/16', '10:56']"
