Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
alan1231005 (Alan),[情報] BenQ E75-730 75吋 PCHOME 4萬有找,Fri Nov  4 14:50:41 2022,看PCHOME有兩個價格 39680-39900相關評測可以在YT搜尋3C Dog E75-730大尺寸 3年保固 護眼追求便宜跟畫質的人可以直接跳過這台了我想板上的業代之後應該也會跟進這個價格看E65-730的活動是送啤酒機給大家參考,推,eno03,: 蝦皮商城 BenQ大型液晶授權旗艦館 也這價位 可等活動日用券,"['11/04', '15:05']"
,,,,推,deray,: 3萬6就有了,"['11/04', '15:14']"
,,,,推,l98,: 某蔡 XD,"['11/04', '15:21']"
,,,,推,Gatubii,: 樓上太殘暴了,"['11/04', '18:29']"
,,,,推,mars1985,: 你啊！XD,"['11/04', '20:00']"
,,,,推,jkespn,: 15年已經粉轉黑了xda,"['11/05', '10:27']"
,,,,推,rirunnmw,: 推文好笑,"['11/05', '14:02']"
,,,,推,eric6568,: 他布了這個局有15年之久..,"['11/07', '18:21']"
,,,,→,deray,: 但還是不建議買,"['11/04', '15:14']"
,,,,→,deray,,"['11/04', '15:21']"
,,,,→,alan1231005,: 我是想要買65吋的給長輩 不知道之前板上灰階有問題,"['11/04', '15:24']"
,,,,→,alan1231005,: 的那位 後來BenQ保固如何處理,"['11/04', '15:24']"
,,,,→,deray,: 電視是買來看的 不是買來修/換的,"['11/04', '15:25']"
,,,,→,newz,: 追求便宜跟畫質的可以跳過這台？所以是既不便宜又沒畫質嗎,"['11/04', '15:25']"
,,,,→,newz,: XD,"['11/04', '15:25']"
,,,,→,alan1231005,: 是啊 70吋以上很多2萬的機種,"['11/04', '15:28']"
,,,,→,alan1231005,: 這台沒有區域控光 亮度也沒有優勢 更沒有120hz,"['11/04', '15:29']"
,,,,→,alan1231005,: 但這台是DC調光不閃頻 只能說需求不同,"['11/04', '15:30']"
,,,,→,alan1231005,: 可以看一下3c dog的評測 會知道這台的優勢,"['11/04', '15:32']"
,,,,→,deray,: 他舔遙控器太威脅 已棄追,"['11/04', '15:33']"
,,,,→,alan1231005,: 他只舔有標榜抗菌的遙控器 我後來是看他有沒有舔遙,"['11/04', '15:37']"
,,,,→,alan1231005,: 控器來判斷廠商有無主打這個功能 其實這樣的開箱標,"['11/04', '15:37']"
,,,,→,alan1231005,: 準還蠻一致的,"['11/04', '15:37']"
,,,,→,halee,: 怎會有人想買B牌的@@,"['11/04', '15:45']"
,,,,→,alan1231005,,"['11/04', '15:54']"
,,,,→,ornv,: 樓上XDDDDDDDD,"['11/04', '17:36']"
,,,,→,weisofta,: 75吋沒有65k不會有像樣的,"['11/05', '01:54']"
shankstrf (shankstrf),[情報] PChome的海爾65吋OLED只要4萬2有找,Tue Aug  2 16:25:21 2022,如題，前兩個禮拜是看到MOMO打折49999剛剛去看MOMO的漲回到5萬了再去PCHOME看，反而打到骨折預算不夠又想要OLED的可以試試看有支援Dolby Vision和Atmoshttp://i.imgur.com/yqXMHno.jpg-----Sent from JPTT on my LGE LM-V600.,推,sa950502,: 前面有說海爾改兩年保 不用看了,"['08/02', '17:48']"
,,,,推,ryan821102,: 這價格感覺可以往飛利浦看@@,"['08/02', '18:19']"
,,,,推,snake0214,: 往下便宜有706 價格差不多有806 這台只能pass,"['08/02', '18:23']"
,,,,推,bbmari,: 菲利浦806，65吋4萬買得到嗎,"['08/02', '18:28']"
,,,,推,sa950502,: 好像有45k的吧 算差不多 這台也要42了,"['08/02', '18:32']"
,,,,推,hihihiccc,: 買過海爾，不知道是不是比較便宜機種，根本電子___…,"['08/02', '19:21']"
,,,,推,snake0214,: 對不起目幹看錯尺寸,"['08/02', '20:07']"
,,,,推,sa950502,: 對耶 看錯尺寸...那就看要不要賭了,"['08/02', '20:54']"
,,,,推,sa950502,: 期待你朋友的勇者心得,"['08/03', '01:52']"
,,,,→,hihihiccc,: 後來配了chromecast才比較好,"['08/02', '19:22']"
,,,,→,cerryx,: 菲利浦806四萬多是55吋吧上面,"['08/02', '19:54']"
,,,,→,eno03,,"['08/03', '00:24']"
,,,,→,eno03,,"['08/03', '00:25']"
,,,,→,eno03,,"['08/03', '00:28']"
,,,,→,eno03,: 也沒打到骨折 6月初能買到47K 兩樣贈品值5千 當時mo卡8%,"['08/03', '00:30']"
alvistan (Avalon),[情報] 55QN85A pchome特價31410,Sat Jun 25 15:09:51 2022,https://24h.pchome.com.tw/prod/DPADWQ-A900EVF8Spchome特價34900，還可以再用九折券折完變31410雖然已經出新款了，但新款這個價格連量子點都買不到遊戲支援方面，版上的評價是LG是神，聯發科是垃圾那沒有被提到的三星想必是不錯的吧！,推,sa950502,: 三星遊戲模式 pwm調光120hz 分區控光效果也略差,"['06/25', '23:21']"
,,,,推,sa950502,: 不過這價格沒什麼好挑 還是很可以,"['06/25', '23:33']"
,,,,推,splendidpoem,: 三星的VRR沒有問題，但有其它問題要注意一下。,"['06/26', '11:50']"
,,,,推,as111531,: 打遊戲請遠離三星,"['06/26', '12:04']"
,,,,推,King826,: 請問折扣怎麼用,"['07/03', '21:30']"
,,,,→,splendidpoem,: (一)遊戲模式可能太過追求低延遲，導致分區控光的,"['06/26', '11:50']"
,,,,→,splendidpoem,: 運算被降級，高反差畫面下的光暈效果會比其它模式,"['06/26', '11:50']"
,,,,→,splendidpoem,: 明顯。但如果你的觀影環境很亮，應該感受不大。,"['06/26', '11:50']"
,,,,→,splendidpoem,: (二)HGiG依然有動態映射，導致在遊戲機上校正HDR亮,"['06/26', '11:50']"
,,,,→,splendidpoem,: 度非常傷腦筋。,"['06/26', '11:50']"
,,,,→,splendidpoem,: (三)遊戲模式萬年的120Hz可怕低閃頻(除非開啟VRR),"['06/26', '11:50']"
,,,,→,splendidpoem,: 。如果你的觀影環境不夠亮，眼睛可能會更易感到疲,"['06/26', '11:50']"
,,,,→,splendidpoem,: 勞。,"['06/26', '11:50']"
,,,,→,splendidpoem,: (四)年底應該會透過更新內建XGP。但三星電視始終不,"['06/26', '11:50']"
,,,,→,splendidpoem,: 支援Dolby Vision，可惜無法完整發揮DV遊戲的實力,"['06/26', '11:50']"
,,,,→,splendidpoem,: 。,"['06/26', '11:50']"
,,,,→,talon0222,: 大電視打遊戲爽歸爽但脖子真的很酸,"['06/26', '23:53']"
aij (bbb),Re: [問題] pchome買電視的送貨問題請教~,Fri Jun 17 23:10:22 2022,各位好借標題想問一下，momo 買電視的話，頁面上寫不附基本安裝但有加註會有專人聯繫送貨時間。Pchome 買電視如果也是不附基本安裝是否在送貨之前會有人主動聯繫時間？還是要主動聯絡客服？兩家都能約週末送貨嗎？謝謝※ 引述《mosquito147》之銘言: 各位先進們好 我肥熊啦: 眼看有一筆績效獎G要入帳: 然後pchome又剛好在特價BENQ E50-720: 看起來目前頁面有付基本安裝: 想請問有買過pchome家電的各位: pchome周末有在送嗎?: 還是下訂後會有人打電話給我約送的時間?: 不然平常日的話還要想辦法搞請假回去等電視: (新北三重區): 先謝謝各位惹~: --: ▄    ▄ ▄   ▄: Nyan cat!                                        ▄ ▄     ▄: NYAN!NAYN!NYAN!NYAN!NYAN!                          ▄    ▄: ▄▄                  ▄▄: ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄  ▄   ▄     ▄     ▄: ▄    ▄▄    ▄▄▄  ▄▄▄   ▄▄    ▄▄  ▄▄            ▄▄  ▄  ▄▄----Sent from BePTT on my iPad Air 4,推,kopio,": 兩家都會先打電話約時間，momo會開封檢查面板,pchome不會","['06/19', '10:42']"
,,,,推,ballcat,: 不附基本安裝的，要是打開來是破的…..,"['06/23', '08:31']"
,,,,→,Sam999,: momo我是買有基本安裝的，配送會打電話約時間，有週六安裝,"['06/18', '16:48']"
,,,,→,happy1b1c,: momo如果要加裝壁掛 是直接現場跟師傅講?給現金?,"['06/18', '19:02']"
,,,,→,happy1b1c,: PCHOME我五年前有約過 星期六送~ 但是現在不確定,"['06/18', '19:03']"
,,,,→,Sam999,: 電話直接跟送貨的人約，不然當天不會安排裝壁掛，我的那家,"['06/19', '10:18']"
,,,,→,Sam999,": 網站是寫含壁掛1500,但是我自己另外買喜歡的壁掛，我一樣","['06/19', '10:18']"
,,,,→,Sam999,: 給師傅1500,"['06/19', '10:18']"
m72313 (五花豬),[問題] PChome販賣的Chromecast 4代 Google TV,Sat Jul  3 18:51:13 2021,我在24H PChome有看到Chromecast 4代 Google TV。https://24h.pchome.com.tw/prod/DCAM3V-A900BGQ50?fq=/S/DMAABB想請問一下，這是水貨嗎?,推,benedict76,: 保固一年不錯喔,"['07/03', '18:54']"
,,,,推,for40255,: 水貨啊 台灣有沒代理商代理,"['07/03', '19:01']"
,,,,推,ctes940008,: 水貨沒錯,"['07/03', '19:37']"
,,,,推,htthgt,: PC24也有賣水貨啊 相機之類的,"['07/03', '19:46']"
,,,,推,po5566,: 貴一點有保固還比較好,"['07/03', '20:17']"
,,,,推,savag,: 拍賣水貨2200，p家也水貨2580含一年保（壞了就換給你吧）,"['07/03', '20:39']"
,,,,推,for40255,: 找鄉民買吧 買之前問問如有問題能不能換新或保固,"['07/03', '20:40']"
,,,,推,venatici,: 水貨價格若不包含保固，買了就不應要求有問題換貨。,"['07/03', '20:47']"
,,,,推,for40255,: 那你也不能在文章中標明有保固一年或依原廠啊 你寫這樣,"['07/03', '20:52']"
,,,,推,f11IJ,: pchome的保固怎麼算啊？pchome那邊直接換新?,"['07/03', '21:28']"
,,,,推,n26911823,: 沒看到是提供那間的影音序號及期限,"['07/04', '01:48']"
,,,,推,n26911823,: 看到是catch play 一個月,"['07/04', '01:50']"
,,,,推,qmaper,: 這個也沒再修的吧 保固內直接換新才快,"['07/04', '13:09']"
,,,,推,s23325522,: 我蝦皮賣水貨幫忙保固2300都還沒人買..,"['07/04', '13:42']"
,,,,推,y2k6wu,: PChome可以刷卡，我也看不到送的影音是什麼及送多久，不,"['07/04', '14:05']"
,,,,推,CJhang,: 才2580 至少刷卡會考跟導購金是能穩穩拿到的,"['07/05', '00:26']"
,,,,推,ctes940008,: 原來國外才賣49美金@@,"['07/05', '10:59']"
,,,,推,benedict76,: 國外含稅大概55美，不過水貨買回來沒保固麻煩，之前不,"['07/05', '18:17']"
,,,,推,lalaBar,: 不能更新那個還好 google說未來會釋放新的韌體可以刷,"['07/07', '09:22']"
,,,,→,for40255,: 又,"['07/03', '19:01']"
,,,,→,for40255,: 我有問google客服 他們說台灣還沒有代理chronecast消息,"['07/03', '19:03']"
,,,,→,for40255,: Chrome 4th,"['07/03', '19:03']"
,,,,→,savag,: ，看你囉,"['07/03', '20:39']"
,,,,→,for40255,: 鄉民都賣2100也比較便宜,"['07/03', '20:41']"
,,,,→,for40255,: 就是代表你願意負責之後的問題啊,"['07/03', '20:52']"
,,,,→,for40255,: 我的邏輯應該沒錯吧？,"['07/03', '20:52']"
,,,,→,f11IJ,: 他們也沒辦法修啊,"['07/03', '21:28']"
,,,,→,venatici,: 也許他們是認為原廠有一年保，但如何出保是另一問題。,"['07/03', '22:06']"
,,,,→,KENGOD0204,: pchome也會淘寶貨，原廠維護自負運費,"['07/04', '10:07']"
,,,,→,y2k6wu,: 然我覺得還算可以。,"['07/04', '14:05']"
,,,,→,CJhang,: *刷卡回饋,"['07/05', '00:27']"
,,,,→,CJhang,: 水貨國外定價也才US$49.99 賣兩隻就打平了吧,"['07/05', '00:30']"
,,,,→,benedict76,: 是有幾台不能更新，等於虧55美。,"['07/05', '18:17']"
,,,,→,yahahah,: 有保固阿,"['07/06', '21:05']"
mosquito147 (肥熊),[問題] pchome買電視的送貨問題請教~,Fri Apr 16 16:19:07 2021,各位先進們好 我肥熊啦眼看有一筆績效獎G要入帳然後pchome又剛好在特價BENQ E50-720看起來目前頁面有付基本安裝想請問有買過pchome家電的各位pchome周末有在送嗎?還是下訂後會有人打電話給我約送的時間?不然平常日的話還要想辦法搞請假回去等電視(新北三重區)先謝謝各位惹~--   ▄ ▄ ▄ ▄               Nyan cat!                               ▄ ▄    ▄                NYAN!NAYN!NYAN!NYAN!NYAN!                 ▄   ▄    ▄▄      ▄▄   ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄  ▄ ▄  ▄ ▄   ▄    ▄▄    ▄▄▄ ▄▄▄ ▄▄    ▄▄  ▄▄     ▄▄  ▄  ▄▄ ,推,wezmag,: 我在PCHome買電視的經驗，下訂後點聯絡客服，留言送貨前，,"['04/16', '18:29']"
,,,,推,tommy449,: 下單後可聯絡約時間無誤,"['04/19', '16:40']"
,,,,→,wezmag,: 請先聯絡約時間,"['04/16', '18:29']"
KarlJhan (),[問題] PCHOME、MOMO上買冷氣,Sun Jul 19 11:37:51 2020,請問在PCHOME和MOMO上買冷氣到府安裝的服務品質如何？主要想知道若對安裝品質不滿意，電商的售後態度如何？看到日立的凍結洗淨技術，再看看家裡20年的老冷氣，該換了。,推,leo8339,: 都是外包廠商以後有問題你是找不到人的,"['07/19', '12:31']"
,,,,推,Addressg,: 我momo買三菱的用了4年，沒什麼需要售後，再來保養可能,"['07/19', '15:24']"
,,,,推,k122157508,: 全國電子保固似乎有多一點時間,"['07/19', '17:36']"
,,,,推,uke823,: 很要求安裝就不要找電商 為了那一點錢事後反而燒更多,"['07/20', '18:33']"
,,,,→,Addressg,: 找就近的,"['07/19', '15:24']"
,,,,→,tamakochan,: 電商家大業大  怎麼可能找不到人  頂多是找到人人家不,"['07/19', '20:26']"
,,,,→,tamakochan,: 理你而已 XD,"['07/19', '20:26']"
