Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
spirit4442 (小橡皮),Re: [情報] PChome電腦周邊最高回饋20% 快閃9折,Tue May 30 17:53:09 2023,有看到XM ERGO 2490 應該是新低有點心動 https://i.imgur.com/dJTTmqN.jpg有找了應該是較低的價格！..不過還在猶豫太久沒用軌跡球…其他的感覺就看個人了…※ 引述《carter200188 (歐巴馬是歐密碼)》之銘言：: 剛剛收到推送: https://i.imgur.com/9lvqOnt.jpg: 今天是電腦周邊日活動: 指定商品是9折現抵: 活動頁：: https://reurl.cc/OvXArv: 有些比價後發現算蠻優惠的: 分享給大家: 羅技 G512 RGB 機械遊戲鍵盤(青軸)$1990: https://i.imgur.com/mHIA29D.png: https://reurl.cc/Eo24em: 其他平台2390以上: 羅技 K780 Multi-Device 跨平台藍牙鍵盤 $1490: https://i.imgur.com/YhCt0gy.png: https://reurl.cc/Rz6Wgg: 其他平台2490以上: Razer BlackWidow V3 Pro 黑寡婦 V3 Pro 無線機械鍵盤 (中文/黃軸) RZ03-03531900-R3T: 1 $3790: https://i.imgur.com/CGEpNhQ.png: https://reurl.cc/WGERoy: 其他平台4999以上: Razer DeathAdder V2 Pro 煉獄奎蛇 V2 Pro 電競滑鼠: RZ01-03350100-R3A1 $1990: https://i.imgur.com/6z02KRZ.png: https://reurl.cc/01D9bK: 其他平台2490以上: 羅技價錢還行，有加上回饋就蠻ok的，但雷蛇的鍵盤感覺可以入手，還在研究要買哪一個: 先分享給大家-----Sent from JPTT on my iPhone,推,issemn,: 借問 有推薦的垂直滑鼠嗎？羅技的好貴,05/30 18:16
,,,,推,sinkerwang40,: pchome3c真的讚,05/30 18:56
,,,,推,dd3213,: 推delux的便宜垂直滑鼠,05/30 19:09
,,,,推,ayanami00,: 這支真的舒適,05/30 20:11
,,,,→,RippleOnRoad,: 要便宜就是淘寶，35塊人民幣，用起,05/30 18:21
,,,,→,RippleOnRoad,: 來還是有落差，但是這個價差也沒什,05/30 18:21
,,,,→,RippleOnRoad,: 麼可以嫌棄了,05/30 18:21
,,,,→,ohyeah5566,: 鋰電池 皮革漆...pass,05/30 18:41
,,,,→,dd3213,: 但羅記也是真的香,05/30 19:09
,,,,→,Sarasto,: 那個軌跡球我用到大拇指好痛QQ可能先天,05/30 19:40
,,,,→,Sarasto,: 不合,05/30 19:40
