Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
Ohgogogo (God),[問題] 請問PChome訂閱iPhone的問題,Fri Mar 10 20:42:16 2023,訂閱方案標榜第一時間拿到新機，請問我今天開始訂閱iPhone 14 Pro Max，假使今年10月訂閱者可換新機iPhone 15 Pro Max，我是否也符合資格？還是說我必須先繳完12期才可換新機？謝謝-----Sent from JPTT on my HUAWEI MHA-L29.,推,abc0922001,: 該繳的繼續繳不是嗎,"['03/10', '20:54']"
,,,,推,ch410773,: 可以,"['03/10', '20:57']"
,,,,推,f77928,: 這裡崇尚精打細算 會訂閱iPhone年年換機的在隔壁,"['03/10', '22:04']"
,,,,推,hugh509,: 它訂閱好像是你也要出機第一時間訂閱，約要走完,"['03/10', '22:55']"
,,,,推,srhkami,: 訂閱還要約走完才能換下一隻，那不就等於租一年的合約嗎,"['03/11', '00:17']"
,,,,推,ken2508g,: 有點盤合約 想清楚,"['03/11', '06:38']"
,,,,推,ch410773,: 合約本來就很盤，只對年年換機且懶得脱二手的方便點。,"['03/11', '07:41']"
,,,,推,oldfish1,: 當成分期付款也許還行啊,"['03/11', '08:58']"
,,,,推,oldfish1,: 研究了一下覺得如果出個三個月或半年一期，每期價格可,"['03/11', '09:05']"
,,,,推,ludashi,: 訂閱制是給不差那幾萬有錢沒閒又想年年換新機的人用,"['03/11', '10:37']"
,,,,推,kaltu,: 樓上那種幹嘛不每年直接買新的，都有錢了幹嘛還要被合約綁,"['03/11', '13:49']"
,,,,推,oldfish1,: 時間到換新手機還能順便幫忙處理舊手機，方便省心啊,"['03/11', '16:04']"
,,,,推,isaka,: 蘋果官方無腦trade in都比較划算阿...,"['03/11', '19:54']"
,,,,推,roger840410,: 比trade in還貴又強迫綁一年 唯一的優勢好像是有保,"['03/11', '23:27']"
,,,,→,ch410773,: 更正，不能無痛換，但是可以直接把約繳完買斷換新約,"['03/10', '21:03']"
,,,,→,Ohgogogo,: 好的，了解！謝謝,"['03/10', '21:07']"
,,,,→,Ricey,: 訂閱？,"['03/10', '23:14']"
,,,,→,ch410773,: 我自己是因為當初賭明年一定換typec才訂閱,"['03/11', '07:41']"
,,,,→,oldfish1,: 以高一點會更靈活，不然照原po的需求應該就是要把一年,"['03/11', '09:05']"
,,,,→,oldfish1,: 約走完,"['03/11', '09:05']"
,,,,→,kaltu,: 來綁去？,"['03/11', '13:49']"
,,,,→,roger840410,: 險,"['03/11', '23:27']"
,,,,→,axipo,: 有訂閱的喔,"['03/11', '23:37']"
,,,,噓,deeping774,: 問客服,"['03/10', '20:44']"
,,,,噓,peatle,: 我們他媽看起來像PCHOME嗎,"['03/10', '20:56']"
ashow (修~(￣▽￣)~(＿△＿)~),[討論] S23U Pchome已出貨變出貨準備？,Wed Feb 22 10:04:17 2023,http://i.imgur.com/gZvuURB.jpgPchome預購第一天中午12點就訂了S23U昨天2/21早上9點系統顯示已經出貨本來以為昨天可以收到但到晚上看都沒有今天查變成出貨準備 理貨中XD手機是被收回去嗎這樣到底何時可以收到呀有人Pchome收到的嗎？記得以前Pchome預購手機都當天可以到啊這次是想說速度應該跟以前一樣不然Pchome回饋也沒比較多,推,ASOH,: PC昨天晚上收到，但這次是聯強出的..跟PC應該沒什麼關係,"['02/22', '10:06']"
,,,,推,EPIRB406,: 昨天聯強貨運大哥說超量，送不完的就隔天送。,"['02/22', '10:08']"
,,,,推,williecka,: pchome第一天預購，昨天早上就到了,"['02/22', '10:09']"
,,,,推,chiang627,: 昨天等了一天都還沒收到~下午4:49改成配送中，到現在,"['02/22', '10:09']"
,,,,推,zy116pj,: PChome 2/9預購21號上午收到,"['02/22', '10:10']"
,,,,推,XiaoLi,: pchome也是昨天早上就到了,"['02/22', '10:12']"
,,,,推,nobleman,: 同樣是預購當天12點，目前同樣進度在等待中,"['02/22', '10:20']"
,,,,推,aspeter,: 會不會和取貨地點有關？,"['02/22', '10:23']"
,,,,推,zzas,: 問一下大家pc買的，預購禮是一起收到嗎？,"['02/22', '10:26']"
,,,,推,nobleman,: 台中，終於在10：25轉配送狀態了,"['02/22', '10:42']"
,,,,推,nathan2000,: MOMO也是今早上收到.,"['02/22', '10:44']"
,,,,推,sana113821,: PC 2/7訂 2/21中午就收到了,"['02/22', '11:13']"
,,,,推,Combatant,: 我台中昨天早上就配送中了 結果到現在還是配送中==,"['02/22', '11:18']"
,,,,推,song7775,: pchome昨天到,"['02/22', '12:03']"
,,,,推,steve1212,: 2／7預購商城，也還沒收到，好遙遠呀！,"['02/22', '12:07']"
,,,,推,riverkidj,: 那你要好好要求聯強要送好吧 重點是那個狀態真的是會讓,"['02/22', '12:22']"
,,,,推,bnb89225,: 神腦早上就收到了,"['02/22', '12:28']"
,,,,推,EPIRB406,: 這次pc是接到訂單給聯強，感覺pc不想跟這次預購，預購優,"['02/22', '12:35']"
,,,,推,q2605,: 第一天晚上紅包發送時段預購  台中 今天上午收到,"['02/22', '12:57']"
,,,,推,forever05520,: 7號商城預購手機加耳機，22號到。8好商城預購純手機,"['02/22', '12:58']"
,,,,推,lantimes,: pc家 218訂 221中午收到,"['02/22', '13:06']"
,,,,推,jackie30219,: PCHome 優惠蠻多的啊，而且登錄很從容,"['02/22', '13:34']"
,,,,推,denix,: PCHOME 第一天預購 2/18順豐發貨 2/21早上收到 聯強包裝,"['02/22', '13:43']"
,,,,推,EPIRB406,: pc直播送2000後去下單回饋差不多被領完了，除非一開始有,"['02/22', '13:45']"
,,,,推,hey1003,: 今年pc預購一開不到10分鐘那些p幣就差不多沒名額了，都,"['02/22', '13:53']"
,,,,推,alexgp02,: pc昨天早上收到，住內地,"['02/22', '14:25']"
,,,,推,jacj888,: 神腦門市昨天中午發貨到現在都還沒到門市,"['02/22', '15:15']"
,,,,推,D8716770,: 今天早上神腦宅配就到貨了,"['02/22', '15:19']"
,,,,推,s7024546,: 企業商城頁面寫21發貨到現在連個消息都沒有.....,"['02/22', '15:42']"
,,,,推,aspeter,: 神腦昨天到 比預期快,"['02/22', '16:17']"
,,,,推,Carrarese,: 高雄還沒收到QQ,"['02/22', '16:34']"
,,,,推,killer75115,: 2/7晚上預購 2/22下午到,"['02/22', '17:57']"
,,,,推,cvbndbjzxcv,: 2/7有加購耳機的23u，今天出貨今天到,"['02/22', '19:02']"
,,,,→,BlackBird,: PChome預購的都是給聯強出貨,"['02/22', '10:08']"
,,,,→,BlackBird,: momo倒是自己出貨,"['02/22', '10:09']"
,,,,→,chiang627,: 還沒收到....手機都壞掉到很不爽,"['02/22', '10:11']"
,,,,→,linkunyin,: pc第一天預購，我昨天早上就收到了,"['02/22', '10:21']"
,,,,→,ashow,: 我是在板橋區 可能貨真的太多吧QQ,"['02/22', '10:25']"
