Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
fake0824 (fake),"[情報]Pchome Samsung 980 Pro 2TB 3,799",Mon May 29 15:14:56 2023,"NVMe (PCIe Gen 4.0 x4) 2TB版本循序讀寫速度大概在7,000/5,000MB/s但前幾天金金Fury特價也是這個價錢不知道有沒有鄉民願意買來抽獎XD",推,water903,: 抽獎(X 吃冷筍(O,"['05/29', '15:16']"
,,,,推,Leoreo,: 冷筍不飽,"['05/29', '15:16']"
,,,,推,waldo34,: 抱歉太危險了,"['05/29', '15:20']"
,,,,推,jack0419,: 我不要吃冷筍！,"['05/29', '15:20']"
,,,,推,GTR34,: 抱歉 這太危險,"['05/29', '15:21']"
,,,,推,fatfat5566,: 靈異冷筍我怕,"['05/29', '15:22']"
,,,,推,LizardLand,: 3799金金跟3999Solidigm完勝 想不到自願吃冷筍的理由,"['05/29', '15:28']"
,,,,推,reaturn,: 無保的東西就算了,"['05/29', '15:28']"
,,,,推,BrunoBao,: 冷筍讚,"['05/29', '15:29']"
,,,,推,lioujeryuan,: 當初1T買5K 現在2T免4K,"['05/29', '15:33']"
,,,,推,weltschmerz,: 幹你們一直講冷筍 害我好想買鹽水雞喔,"['05/29', '15:33']"
,,,,推,lioujeryuan,: 然後剛剛和一下我的980PRO 0E變2 是不是悲劇了,"['05/29', '15:38']"
,,,,推,guolong,: 這有冷藏運輸嗎？,"['05/29', '15:39']"
,,,,推,negotiates,: 好吃,"['05/29', '15:50']"
,,,,推,virus2007,: 把自己的品牌價值都玩掉了,"['05/29', '15:54']"
,,,,推,ZEYU,: 金金Fury在海鮮買更便宜為何要吃冷筍,"['05/29', '15:55']"
,,,,推,peatle,: 沒送桂冠沙拉醬我可是不買ㄉ喔,"['05/29', '15:56']"
,,,,推,cevs,: 等待990 pro 4tb中,"['05/29', '16:00']"
,,,,推,Gsanz,: 要花這錢為什麼不買金金fury,"['05/29', '16:29']"
,,,,推,zweihander99,: 那我買金金就好啦,"['05/29', '16:32']"
,,,,推,roc074,: 我運氣沒那麼差，賭看看ㄅ,"['05/29', '16:36']"
,,,,推,randykaku,: 金金那條不是kc3000的上位版，怎麼可能選三爽,"['05/29', '16:42']"
,,,,推,MK47,: @rgo要出來了,"['05/29', '17:06']"
,,,,推,metroid0104,: 冷筍Gen4 2T現在要低於3k才有人願意吃吧,"['05/29', '17:40']"
,,,,推,nextpage,: 只值1999啦,"['05/29', '18:06']"
,,,,推,php4,: 零異0E是不是還在燒,"['05/29', '18:06']"
,,,,推,skywgu,: 要不是fury也在特價，我還蠻想在吃一條的XDD......,"['05/29', '18:06']"
,,,,推,s9545012,: 不夠冷  我可是不吃的哦  笑死,"['05/29', '18:12']"
,,,,推,class21535,: 可以吧 蝦皮旗艦店卷先-300 再怎樣都是自有顆粒,"['05/29', '18:18']"
,,,,推,bluezero000,: 吃筍好吃,"['05/29', '18:18']"
,,,,推,Ken210430,: 冷筍吃不飽,"['05/29', '18:29']"
,,,,推,a8312116,: 最近送了一條970EVOPLUS掉碟不開機，展碁給的是2023年/3,"['05/29', '18:45']"
,,,,推,changmary,: 冷筍沒切不好吃,"['05/29', '19:11']"
,,,,推,jahnson,: 冷筍往生,"['05/29', '19:30']"
,,,,推,coolmayday,: 同價格膝蓋想都選金金Fury,"['05/29', '19:44']"
,,,,推,jiaxie,: 夏天吃冷筍,"['05/29', '19:57']"
,,,,推,Ipluck,: 這個我不要,"['05/29', '20:01']"
,,,,推,warlidot,: 冷筍我不愛,"['05/29', '20:27']"
,,,,→,gwofeng,: 靈異冷筍,"['05/29', '15:15']"
,,,,→,Flowsun32,: 冷筍好吃,"['05/29', '15:16']"
,,,,→,otosaka,: $3799不買Fury renegade買冷筍 笑死,"['05/29', '15:25']"
,,,,→,tomsawyer,: 今天這麼熱 吃點冷筍有益身體健康,"['05/29', '15:26']"
,,,,→,coneflwer,: 0e警告,"['05/29', '15:27']"
,,,,→,MrDisgrace,: 金金完勝,"['05/29', '15:37']"
,,,,→,LastHuman,: 金金那條是打990 pro,"['05/29', '17:20']"
,,,,→,LastHuman,: 買這條的真的有愛,"['05/29', '17:20']"
,,,,→,skywgu,: 這效能跟耐寫前段班的，奇亞之亂的時候用這條來,"['05/29', '17:32']"
,,,,→,skywgu,: 操，寫入25TB時CDI還在100%....後來寫完500T左右,"['05/29', '17:32']"
,,,,→,skywgu,: 健康度還有83%....一代妖碟，冷筍可惜了...,"['05/29', '17:32']"
,,,,→,class21535,: 前提是0E問題已經解決了,"['05/29', '18:18']"
,,,,→,a8312116,: 月的新品，來回快一個月，應該有比星睿奇好還可以接受啦,"['05/29', '18:45']"
,,,,→,kivan00,: 高階套裝機跟筆電才會用PM9A1 是糖果還毒藥就不知道惹,"['05/29', '19:09']"
,,,,→,sezna,: 冷筍,"['05/29', '19:44']"
,,,,→,tomsawyer,: 來回一個月 大哥,"['05/29', '20:46']"
,,,,→,gameguy,: 再便宜也不買，0E out,"['05/29', '21:53']"
,,,,→,a951l753vin,: 這我不要,"['05/30', '12:27']"
,,,,→,uneso,: 冷筍降價我也不要啦 同價位我買金金跟P44啦,"['05/30', '20:24']"
,,,,→,toprunner,: 已經入手P44pro2t當作系統碟，金金fury考慮中冷筍放棄!,"['05/30', '20:35']"
,,,,噓,oppoR20,: 韓國冷筍 泡菜首選,"['05/29', '15:15']"
,,,,噓,rx1304,: ...,"['05/29', '15:46']"
,,,,噓,bartwang,: 萬一冷筍了，3799就噴掉了，我最近剛好有SSD也冷筍,"['05/29', '15:49']"
,,,,噓,ABA0525,: pass 冷筍,"['05/29', '15:59']"
,,,,噓,Kowdan,: 冷筍糞廠別貼來害人了,"['05/29', '15:59']"
,,,,噓,E7lijah,: 冷筍牌我見一次噓一次,"['05/29', '16:13']"
,,,,噓,tn601374,: 嘻嘻,"['05/29', '16:14']"
,,,,噓,allyourshit,: 推廣冷筍484想害人?,"['05/29', '16:25']"
,,,,噓,bu17,: 冷筍好雌？,"['05/29', '16:30']"
,,,,噓,LastHuman,: 都不考慮，謝謝下面一位,"['05/29', '16:34']"
,,,,噓,xp987987,: 爛牌子,"['05/29', '17:04']"
,,,,噓,sm981512,: 笑了 如果是兩年前我一定選三爽 現在不可能,"['05/29', '17:12']"
,,,,噓,jill7905,: 臭死了,"['05/29', '18:19']"
,,,,噓,LastHuman,: 0E才是大魔王吧，自有顆粒所以勒？,"['05/29', '18:32']"
,,,,噓,Lemming,: 噓***,"['05/29', '18:51']"
,,,,噓,ackes,: 噓冷筍 別再分享冷筍了啦,"['05/29', '19:04']"
,,,,噓,yiloca,: 好啦  999就幫你清庫存   不敢就下去,"['05/29', '21:17']"
,,,,噓,happy1712,: 冷筍,"['05/30', '01:42']"
,,,,噓,Snack,: 冷筍牌 你敢貼我不敢看,"['05/30', '07:21']"
Dcpp2015 (DC),[情報] pchome Acer N50-640 31900,Mon May 29 12:07:47 2023,Acer N50-640(i5-12400F/16G/1TB SSD/RTX3060Ti/W11)以品牌機來說這價錢還可以了。除了板子、電源特規。保固：原廠台灣區三年保固/到府收送。----Sent from BePTT on my Realme RMX2020,推,reaturn,: 板子跟電源特規就過保直接換新,"['05/29', '12:13']"
,,,,推,E7lijah,: 不過能撐過3年保的套裝機通常都能撐更久,"['05/29', '12:29']"
,,,,推,SuperSg,: 真好，還送WII,"['05/29', '12:33']"
,,,,推,carstenlh,: 都2023了，送wii也沒人要吧,"['05/29', '12:36']"
,,,,推,taihao,: 31900我還是自己組實在,"['05/29', '12:54']"
,,,,推,jkespn,: 500w會不會有點勉強啊,"['05/29', '12:57']"
,,,,推,a1379,: 這組是不是賣很久了...,"['05/29', '13:18']"
,,,,推,OlaOlaOlaOla,: 31900??!,"['05/29', '17:33']"
,,,,推,chanollili,: 很多都特規,"['05/29', '19:46']"
,,,,推,ganbee,: 熱+熱，剛好蒸蛋。,"['05/30', '00:44']"
,,,,推,kiki0089,: 有不特規的原廠保固3年（？,"['05/30', '01:15']"
,,,,推,chanollili,: 找華碩,"['05/30', '02:34']"
,,,,→,Dcpp2015,: w11不是wii不要看錯。,"['05/29', '12:34']"
,,,,→,dickey2,: 3060TI .......,"['05/29', '12:35']"
,,,,→,white08,: 這瓦數配4060ti才對吧,"['05/29', '13:15']"
,,,,→,ninnyshadow,: 保內顯卡出問題的話待料要小心...,"['05/29', '13:24']"
,,,,→,ackes,: 賣很久了 不過之前印象好像是39000吧,"['05/29', '13:41']"
,,,,→,kisia,: 這種套裝SSD通常都是QLC,"['05/29', '13:43']"
,,,,→,milk830122,: 套裝機保固麻煩 因為套裝都要在,"['05/29', '16:25']"
,,,,→,Dcpp2015,: 品牌機就適合不懂電腦的人買，想升級就不要考慮這個了,"['05/29', '16:30']"
,,,,→,Dcpp2015,: 。,"['05/29', '16:30']"
