Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
tw1019 (tw1019),[情報] A7000蝦皮有店家特價,Sun Dec  4 16:11:05 2022,如題關注這個聲霸半年以上了[超級等等黨]都要進4萬特價也要35~36上下剛剛無聊逛一下蝦皮配上優惠卷和蝦皮信用卡 只要不到35比很多人賣中古還便宜而且還免費保送到府....一堆中古自取還比這貴有需要的可以去選購,推,sonorous777,: A7000是不是有問題啊？看到兩三個剛買就要賣,"['12/04', '18:07']"
,,,,推,l98,: 沒啥問題吧，就 scenter連自家電視問題，不過那是電視的問題,"['12/04', '18:13']"
,,,,推,sake0803,: 請問優惠券來源是？,"['12/04', '19:27']"
,,,,推,cka,: A9就中置聲道很小聲,"['12/06', '02:09']"
,,,,推,jforce,: 樓上HT-A9之前mobile01網友分享 音訊設定->進階自動音量,"['12/09', '17:34']"
,,,,→,sake0803,: 150那個？,"['12/04', '19:27']"
,,,,→,sake0803,: 想說要不要改a9,"['12/04', '20:29']"
,,,,→,jforce,: 打開，聲音就變大聲了...,"['12/09', '17:35']"
pmirhs (肉塊),[問題] 蝦皮上的B&O p2真偽？,Thu Apr 22 13:33:24 2021,上週去三創的經銷門市打算試聽p2聽店員說已經停產很久了本來想轉考慮A1二代，但爆預算、重量也是兩倍多...從京東訂p2含運也都超過3千板上交易約3000-3500但蝦皮上有幾家賣3千不知道是否為真？,推,l98,,"['04/22', '13:36']"
,,,,推,l98,": 蝦皮現在強制要標 NCC/BSMI,你看賣家敢不敢標就知道","['04/22', '13:37']"
,,,,推,doglegbow,: 現在京東有特價阿！含運698人民幣不是！前陣子才買,"['04/22', '14:59']"
,,,,推,Ohgogogo,: B&O的盜版在蝦皮非常猖獗，基本上還是只能看評價以及看,"['04/22', '20:49']"
,,,,推,uke823,: 不急的話等京東618或5月的活動吧 折下來都很便宜 大部分,"['04/23', '03:30']"
,,,,推,taipoo,: 我會買京東的，因為台灣的騙子太多了,"['04/23', '03:40']"
,,,,推,a1960021,: 京東購買還是比較穩,"['04/23', '06:32']"
,,,,推,BryantChan,: 京東最近越來越貴,"['05/04', '23:03']"
,,,,→,l98,,"['04/22', '13:42']"
,,,,→,PCMAN2005,: 太便宜肯定是假 但貴也不一定真 這種錢還是別省,"['04/22', '20:06']"
,,,,→,Ohgogogo,: 這賣家上架的其它商品有沒有什麼特別的端倪，但也只能拿,"['04/22', '20:49']"
,,,,→,Ohgogogo,: 到後才能進一步確認！,"['04/22', '20:49']"
,,,,→,Ohgogogo,: 喇叭無法連接 手機的Bang & Olufsen App是重點之一，但,"['04/22', '20:49']"
,,,,→,Ohgogogo,: 我覺得蝦皮的好處是，發生這種盜版爭議，蝦皮通常都會傾,"['04/22', '20:49']"
,,,,→,Ohgogogo,: 向消費者這邊,"['04/22', '20:50']"
,,,,→,uke823,: 蝦皮便宜的也都海外特價買回,"['04/23', '03:30']"
hshk (hshk),[問題] 蝦皮上的google nest mini真偽?,Wed Sep 30 09:59:07 2020,想購買google nest mini，官方定價1785但是蝦皮上一堆800左右的，評價也都不錯價差有點大，不知道有沒有人買過確認不是假貨,推,djboy,: 你直接問賣廠，壞了能否送去GOOGLE維修即可。,"['09/30', '10:06']"
,,,,推,jones1223,: 我買過2次，不同賣家，都ok,"['09/30', '11:31']"
,,,,推,kaienchou,: 之前送4500點數很多...大家沒東西買,"['09/30', '12:45']"
,,,,推,kobe760903,: 美國買進來水貨差不多這價格,"['09/30', '21:05']"
,,,,推,snake570,: 通常是正版的沒錯，因為台哥大促銷太多,"['10/01', '02:47']"
,,,,推,shinane,: 看一下評價吧 價差大的話可以參考銷量和賣家評價,"['10/01', '21:12']"
,,,,推,Ohgogogo,: 不等Nest Audio 上市嗎？,"['10/02', '06:06']"
,,,,→,pigers,: 台哥大贈品,"['09/30', '12:09']"
,,,,→,GoodFriday,: 我買的上面都有台灣大哥大貼紙..,"['09/30', '22:18']"
