Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
bigRose (小美),[情報] 理膚寶水蝦皮旗艦店~新品B5眼部精華!,Tue May  9 20:43:34 2023,低消699可以用25%蝦幣回饋劵沒有領到的話基本是15%(要消費滿999元)https://i.imgur.com/b2SImI0.png每天都有發放5折券00點、10點、12點、15點、18點我今天是錯過…有興趣的可以挑戰明天另外我最感興趣的是這個新品眼霜 買1送6冰珠設計感覺蠻不錯的https://i.imgur.com/xepPyaP.png不過這組1480要多湊一組商品比較好滿額3500因為3500送的珠寶盒我覺得蠻不錯的下單可以再抽日本雙人來回機票https://i.imgur.com/gpJXji0.png另外經典的精華液都有開買二送二的規格出來https://i.imgur.com/Y2iOBlO.pnghttps://i.imgur.com/DOBtkxe.pnghttps://i.imgur.com/P4i3Q6S.png全護潤色防曬也有買二送二https://i.imgur.com/EcnRPqZ.png最後彩蛋是有冰吃~不限口味 最近吃的白葡萄口味真的讚不知道到可以換的時候還有嗎XDhttps://i.imgur.com/l6TWygj.png,推,tsanning,: 有次送panasonic小吹風機還不錯用,05/09 23:07
,,,,推,showhshow2,: 珠寶盒感覺還行～樓上拍拍 電風扇就隨,05/10 01:14
,,,,推,loli8,: 這次好像還行,05/10 10:06
,,,,推,iYolanda,: 眼霜那組好像蠻划算的，送好多～,05/10 12:02
,,,,推,bimo055,: 眼霜是這個月的新品嗎？,05/10 15:27
,,,,推,mego86,: 冰珠！感覺可以試試看,05/10 17:03
,,,,推,mandm,: 眼霜不是新品，冰珠眼部精華才是,05/10 17:06
,,,,推,betty30304,: 滿額贈是可以累加嗎？,05/10 19:21
,,,,推,didarlook,: 不知道藥局通路有沒有優惠組合？蝦皮,05/11 09:37
,,,,推,hippo7432,: 下單了眼部精華，等收到有機會再來分,05/11 11:24
,,,,推,didarlook,: 我剛去藥局，藥局還沒賣，也下單蝦皮13,05/11 13:05
,,,,推,lilyoperater,: 謝謝分享～昨天最後一刻補了防曬！,05/11 13:47
,,,,推,BEBEBABA,: 已到貨，但我覺得設計有點…詭異,05/13 22:30
,,,,→,tsanning,: 有次爛死了送usb風扇第一次就壞掉 評論,05/09 23:07
,,,,→,tsanning,: 區還有人充電冒黑煙,05/09 23:07
,,,,→,showhshow2,: 他去,05/10 01:14
,,,,→,minatoku,: 珠寶盒不錯耶~B5眼部精華不知道好不好,05/10 13:08
,,,,→,minatoku,: 用，買來試試看好了,05/10 13:08
,,,,→,bimo055,: 不知道有沒有人買過,05/10 15:27
,,,,→,wennia,: 我有搶到！這次蝦皮理膚送超狂！B5凝乳買2,05/11 01:53
,,,,→,wennia,: 送8和B5修復霜200送90都超划算很可以囤起,05/11 01:53
,,,,→,wennia,: 來啊！,05/11 01:53
,,,,→,didarlook,: 看的好眼花,05/11 09:37
,,,,→,hippo7432,: 享心得,05/11 11:24
,,,,→,didarlook,: 00元,05/11 13:05
,,,,→,lilyoperater,: 瑰蜜霜庫存剛好有點緊繃，推薦給朋,05/11 13:48
,,,,→,lilyoperater,: 友他也愛上，就直接揪團湊到3500了,05/11 13:49
,,,,→,falllin,: 我也覺得蝦皮看得好亂，贈品還要自己加購,05/12 15:12
,,,,→,falllin,: 物車才有，果斷放棄,05/12 15:12
flyaway1030 (天蠍王子病),Re: [心得] 蝦皮上假的蘭蔻試用包,Fri Mar 31 10:51:51 2023,"看完下方留言以及一些網友回饋，選擇用版面寫一篇文章。不是針對原PO或者下面留言是我自己的觀點在看待這件事情首先我的觀點是我覺得試用包假貨機率不高。但我也不會完全確認都是正品。以下是我個人經歷不代表每人都如此先回應為何會有這麼多試用包。上一篇某位ID應該知道阿水，如果從事相關產業。百貨業業績真的不是天天過年，會因為位置，品牌百貨公司地理位置等原因而影響業績。所以有時候你看到某些小百貨櫃姐能領到獎金其實是靠阿水阿水在做的工作我就不詳細，因為以前朋友關係我曾經看過他們交易(都是合法)而且試用包會以批發的數量再給(沒誇大)所以市面上流通的試用裝大部分來自這裡這也是他們強調來自專櫃原因接下來我想說說我的論點就是為什麼機率不高。小弟家人有在做食品產線的老闆另外也有去中國去深的朋友家人先前想換掉生產丸子的器具這器具主要就是導入原料攪拌擠出丸子疫情前詢價為300多萬 疫情後直接500萬QQ這只是生產某類丸子產線(大概兩種產品)朋友之前是為某品牌OEM中間的員工他們產線的複雜跟客製化更高機器大概是千萬等級產線能用的產品也少要更貴的有就是客製化要更多$$$$$$然後貼標機人工場地水電等不要跟我說蝦皮那種幾千塊就有的貼標機如果你要的是大量生產大量批發絕對不會用那個會貼到往生這些東西處理好後 就要處理販售的問題啦很多人會覺得開網路店鋪是不太需要什麼成本這件事情沒錯 可怕的是你後面的交易被抽阿還有免運的贈送其實都算在商家頭上居多一來一往 假設你賣20-30一包試用包 扣掉交易還有你自己店鋪人士的成本我們還沒扣到上機器那些有的沒的這時一定會有網友說他大量生產阿中國市場這麼大 還有臺灣人有在中國開過類似淘寶就知道你要是被檢舉就停權個幾天 再來就是掰掰而且他們還抓很嚴 警察相關單位都會介入請問是有賺很多需要這樣鋌而走險另外就是品牌單做一個牌子要事都賣不掉怎辦?真的沒有想像中容易品牌下還有品項n*n 還有不同 原料成本那需要多少的前置資金投入阿做出來還要跟專櫃試用品競爭真心想想就累之前也有一個業界研發大老師最近一直在找出6博士錯誤那位質疑過 不過他舉例的品項都蠻貴的品牌(這部分我等等後面說明)我有跟他提過產線跟台灣專櫃生態他應該有接受產線說法畢竟他自己也是有品牌但想法有無改變我不是很清楚但是我真心覺得還是有這類假試用包做成功的單價販售應該會比較高為何單價高容易成功 一個是正品價格昂貴可能也沒有用過 就一直用下去另外就是這類試用品也貴 才有利可圖就跟為什麼正貨容易有假貨價差大利潤高就跟賣假的air pods 一樣另外我會一直覺得機率低原因就是蠻多人會說自己買""便宜""試用包是假貨但是很少看到後來真的有驗證他是假貨(真的找機構 倆倆比對)比較常看到的文章沒有後續居多-----Sent from MeowPtt on my iPhone",推,c012177,: 我對試用包假貨也比較存疑，畢竟利潤不,03/31 11:02
,,,,推,serene469,: 大推研發老師的防曬產品,03/31 11:20
,,,,推,Renee0811,: 阿水、水客、大宗也是櫃姐對這個行業,03/31 13:12
,,,,推,Athens,: 請問什麼是阿水？（抱歉我是真的沒聽過所,03/31 13:15
,,,,推,Renee0811,: 回樓上，簡單來說阿水是幫助櫃姐業績,03/31 13:37
,,,,推,vezart,: 那會不會有改有效日期的疑慮呢？畢竟的確,03/31 15:36
