Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ssd15c (波波利),[情報] 蝦皮雅詩蘭黛修護露特價,Fri Apr 28 15:23:56 2023,https://i.imgur.com/BAjQhOW.pnghttps://bit.ly/3Nbs179這次特價1699搭配美妝全站滿999折50也算不無小補券看起來蠻多，不用急著搶覺得比秒殺的還可以接受，至少不會看的到吃不到 = =有需要補貨的可以看個,推,annatzang,: 錯板,04/28 19:34
mooooooon (moon),[情報] 蝦皮品牌日-資生堂5折起,Wed Apr 19 12:37:17 2023,"這次的折扣有分這幾種大家可以先領完再看要買哪些$499折$50、$799享88折、$1,299享85折$2,000折$200、$3,000折$300專櫃限定$1,000折$100券整點再搶5折券滿額贈品的部分有送Panasonic的奈米水離子吹風機https://bit.ly/41gBEVG目前看到折扣最多的是ELIXIR 小金管折完是1350左右保濕乳液、隔離霜、防曬乳，三效合一我自己用過是有點像乳液狀的質地推開後是水乳狀非常好推https://i.imgur.com/sU5PHpM.pnghttps://bit.ly/3mmusIW另外有看到INTEGRATE跟卡納赫拉聯名的粉餅有喜歡卡納赫拉可以買XDhttps://i.imgur.com/ytLjJc3.pnghttps://bit.ly/43dqSl3給大家參考唷~~",推,abby99,: 順便分享艾杜莎雙色眼影兩件$498，顏色都,04/19 13:56
,,,,推,durian0816,: 雙色眼影好用嗎@@,04/19 14:41
,,,,→,abby99,: 還很齊全！,04/19 13:56
,,,,→,lelechiba,: 雙色眼影好用 粉蠻細顯色度也好,04/19 21:47
breezenelly (breeze),[閒聊] 在蝦皮買到Tom Ford 眼影假貨,Fri Apr  7 19:49:43 2023,發個文提醒大家避雷～～我在蝦皮上購買三盤Tom Ford 限量眼影Naked Pink 跟 Metallust ，這兩個色號是限量的很難買到，之所以會誤信該代購是因為我看到主頁上有貼出很多代購物品跟加拿大護照，雖然這兩盤價格她賣的真的便宜但是我記得這兩盤的確有人分享過有買過折扣價，所以就自我腦補或許她是大量購入所以還有囤貨。不過當我請我媽幫我拆開替我檢查的時候發現她寄錯色號給我，當下我還沒發現是假貨，只是很生氣我已經跟她確認過色號結果還是寄錯。後來她說要退我兩盤的錢並且眼影不用退回我才覺得奇怪。剛剛好我手邊有她寄錯色的正品，一比對才確定果然是假貨，三盤都是假貨….只是當下已經錯過了了退貨期所以還是決定先按兵不動等她退回兩盤的錢給我再說。紙盒沒有明顯的差異https://i.imgur.com/J7fwpxe.jpg絨布套開始有差（左為假，右為真）質感有不同，logo 位置也不同https://i.imgur.com/FzDVrrE.jpg背面最為明顯，真的眼影盤背面漸層做到非常細緻，而假貨就是糊糊的不明顯https://i.imgur.com/lK4ad0S.jpg眼影差距也很大，真的顏色非常的亮，而假的除了顏色不對也比較暗。眼影棒的形狀也不同～明顯短很多https://i.imgur.com/oWeKBCT.jpg以上就是提醒大家在買的時候要注意一些～我有留一星評價說眼影是假貨，我想應該該賣家有不少東西是假的，也有跟蝦皮檢舉但是也沒有下文～知道蝦皮有假貨，但是自己真的買到還是很桑心。我的錢錢就這麼飛走惹,推,raagi,: 現在蝦皮好像有正品保障標示，雖然還是有,04/07 20:16
,,,,推,amelierain,: 請問可透露是哪個賣家嗎？,04/07 21:04
,,,,推,nancy74,: 可以講出完整的賣家帳號嗎？以免踩雷,04/07 22:07
,,,,推,earthperson,: 有看過原文找到賣場，蝦皮從桃園出貨,04/07 22:13
,,,,推,QQmouse,: 渐变水泥盘就簡體了啊,04/08 00:38
,,,,推,QQmouse,: 海外 小仙女 啞光 質量 發出 都中國用語,04/08 00:41
,,,,推,cut20090227,: 我都只敢買賣家真的在美國的，還有,04/08 10:57
,,,,推,nancy74,: 這家店的評價看起來好像自己給的，很假,04/08 17:38
,,,,推,pttkobe5566,: 這個描述一看就假的……很明顯…..,04/08 20:27
,,,,推,lowrysfarm,: 這個賣場的標題跟敘述很明顯是對岸用,04/09 20:58
,,,,推,cjy0321,: 光看賣場就一定是假貨,04/10 10:12
,,,,推,accord3688,: 退貨吧 不要自己吞,04/11 19:58
,,,,推,sos747,: 拜託報警處理，避免其他人買到,04/12 02:04
,,,,推,uskpdv4dv,: 蝦皮的東西是真的不行，塗抹的還是在p,04/14 23:49
,,,,→,raagi,: 買到假貨的風險，但至少有蝦皮當擔保的樣,04/07 20:16
,,,,→,raagi,: 子，對賣家也有懲罰,04/07 20:16
,,,,→,breezenelly,: 英文名代購，A**代購,04/07 21:48
,,,,→,earthperson,: 很高機率是中國賣家,04/07 22:13
,,,,→,breezenelly,: 一開始以為是所謂的國外代購從加拿大,04/07 23:27
,,,,→,breezenelly,: 寄來的，所以也沒有多想～,04/07 23:27
,,,,→,breezenelly,: 蝦皮搜尋「正品代購 雪映流光四色眼,04/07 23:32
,,,,→,breezenelly,: 影盤 渐变水泥盘 四色眼影盤 聖誕限,04/07 23:32
,,,,→,breezenelly,: 定 」就有了，已經賣了一百多盤眼影,04/07 23:32
,,,,→,tiiyuway,: 這兩盤超稀有 價格放在那不可能是正品,04/08 00:21
,,,,→,QQmouse,: 賣場一星有粉餅香水也說是假貨,04/08 00:47
,,,,→,QQmouse,: 不是買官方認可的通路就有可能假貨,04/08 00:49
,,,,→,linda17a3,: 蝦皮安心退 你快去訂單退貨！,04/08 10:25
,,,,→,cut20090227,: 些色號是真的出清的，以及自己買的tc,04/08 10:57
,,,,→,cut20090227,: cs雅詩蘭黛集團出清店,04/08 10:57
,,,,→,lowrysfarm,: 語...,04/09 20:58
,,,,→,pepehua124,: 這評價超怪的，通常這種我就不太會買,04/10 23:47
,,,,→,uskpdv4dv,: chome或是直接上官網買比較好，品質會,04/14 23:49
,,,,→,uskpdv4dv,: 有保障,04/14 23:49
Kaboko (勇敢一點),[問題] 中國彩妝用淘寶官方買還是蝦皮代購,Fri Mar  4 18:05:15 2022,不喜歡中國美妝的人可以先左轉不好意思打擾到你了雖然中國品牌在這個版上滿容易被酸的但小紅書跟一些網紅的試色真的太生火了 荷包君只好哭我自己是可以接受彩妝 但保養類還有一些心理障礙以前我都是在蝦皮代購 沒想到淘寶現在可以直接買這是新服務嗎？ 還是我太久沒有買了如果蝦皮跟淘寶都可以買到大家會選擇在哪邊買呢？還是也是看價格？https://i.imgur.com/g6vYO2n.jpg,推,mewkiss,: 不用蝦皮，蝦皮並不好，寄送速度還很慢,03/04 18:07
,,,,推,tiiyuway,: 蝦皮 我自己買蠻快不到三天寄出,03/04 18:10
,,,,推,wu8311199494,: 淘寶天貓官方店鋪直接買,03/04 18:11
,,,,推,frankiehaha,: 淘寶有官方店鋪就直接在淘寶上買,03/04 18:37
,,,,推,l1122223a,: 請問原po是下載哪一個app啊？,03/04 18:46
,,,,推,neptunefish,: 淘寶官方直接買,03/04 18:50
,,,,推,sunset0511,: 好奇這需要走特貨嗎？官方應該不能運,03/04 19:35
,,,,推,babypot,: 空運可以，別蝦皮了，贈品又沒有淘寶多，,03/04 20:16
,,,,推,babylove5566,: 我買了一些宣傳寫得好浮誇好驚豔的,03/04 20:20
,,,,推,Terahara,: 也很好奇官方可寄化妝品嗎？？？,03/04 20:28
,,,,推,u04vul,: 我剛下一單，但很多只能海運直郵,03/04 21:01
,,,,推,LUSTBOY,: 特貨喔 好像因為液體關係,03/04 22:17
,,,,推,Terahara,: 液體只能走特貨，粉狀可走官方？？,03/04 22:20
,,,,推,liberating,: 板上有人用過花西子嗎,03/05 01:03
,,,,推,MAYFS,: 他活動頁面寫空運直寄台灣 這樣也不行嗎？,03/05 02:23
,,,,推,ptpp,: 淘寶官方呀 有些有假貨,03/05 05:25
,,,,推,cjtaotao,: 蝦皮買=他幫你叫貨而已。從大陸寄來你家,03/05 10:38
,,,,推,u04vul,: 樓上好專業,03/05 10:57
,,,,推,Rita42,: 謝謝cj大專業分享,03/05 12:45
,,,,推,oilbody5566,: 之前買一堆unny化妝品，連同其他淘寶,03/05 17:53
,,,,推,gxuvi,: 我都蝦皮直接買 方便 而且出貨也蠻快的,03/05 18:22
,,,,推,yvian,: 我買過好幾次 有些韓國代購彩妝我也找淘寶,03/05 19:26
,,,,推,sarah818,: 松鼠集運可以走海快,03/05 22:36
,,,,推,roi1114,: 絕對是淘寶天貓旗艦店自己買 用折價券會,03/05 23:47
,,,,推,shunre,: 有的是品牌在蝦皮開直營可以買。我是比較,03/06 02:26
,,,,推,lesgonowt,: 淘寶直接買，但我用了好多，真的都是包,03/06 21:30
,,,,推,GEKKAKAJIN,: 蝦皮有商城的話會直接在蝦皮買，搭配,03/07 02:05
,,,,推,biofuel,: 蝦皮代購很多也是假貨要小心，連淘寶也,03/08 09:03
,,,,→,sunset0511,: 送化妝品類？,03/04 19:35
,,,,→,babypot,: 還算一次關稅紀錄呢,03/04 20:16
,,,,→,babylove5566,: ，收到根本不好用 XDD,03/04 20:20
,,,,→,aroma123,: 當然走淘寶，另外找私人集運還可以買其,03/04 21:54
,,,,→,aroma123,: 他東西～,03/04 21:54
,,,,→,PinkEvelyn,: 花西子散粉好用 從蝦皮,03/05 01:06
,,,,→,MAYFS,: 不行那他官方活動啥意思....？,03/05 02:23
,,,,→,cjtaotao,: ，超過兩千還是會被課稅，而且也沒售後,03/05 10:38
,,,,→,cjtaotao,: 服務。對方是大陸人的話，搞不懂台灣海,03/05 10:38
,,,,→,cjtaotao,: 關，商品卡了他也不能處理。之前我就超,03/05 10:38
,,,,→,cjtaotao,: 取收過空包裹以為被詐騙，原來是被海關,03/05 10:38
,,,,→,cjtaotao,: 拆寄到我家了。自己買的話，部分集運倉,03/05 10:38
,,,,→,cjtaotao,: 會幫你吸收稅額，只要付運費就好。但要,03/05 10:38
,,,,→,cjtaotao,: 注意粉類膏類都是「特貨」，要找能運的,03/05 10:38
,,,,→,cjtaotao,: 私人集運～,03/05 10:38
,,,,→,continue84,: 當然是掏寶啊,03/05 17:19
,,,,→,oilbody5566,: 購買的商品一起用私人特貨寄來台灣運,03/05 17:53
,,,,→,oilbody5566,: 費200以內，沒有想像中貴,03/05 17:53
,,,,→,gxuvi,: 最近在觀望萬花鏡眼影 買了唇釉覺得有點塗,03/05 18:23
,,,,→,gxuvi,: 不均勻小雷,03/05 18:23
,,,,→,yvian,: 代購買 用私人集運走特貨就可以,03/05 19:26
,,,,→,CHJ1412,: 沒用淘寶 請人幫買過刷具 有些中國彩妝在,03/05 20:22
,,,,→,CHJ1412,: 蝦皮有官方商城很方便 之前看過有人問艾,03/05 20:22
,,,,→,CHJ1412,: 諾琪官方說用蝦皮就好,03/05 20:22
,,,,→,roi1114,: 便宜很多 也不用擔心買到假貨 送貨歷程,03/05 23:47
,,,,→,roi1114,: 還可以自己掌握 ps.花西子的蜜粉真的很好,03/05 23:47
,,,,→,roi1114,: 用,03/05 23:47
,,,,→,shunre,: 價格。蝦皮折價券折上去有時還不錯。,03/06 02:26
,,,,→,lesgonowt,: 裝美而已,03/06 21:30
,,,,→,GEKKAKAJIN,: 蝦皮活動其實買起來也蠻便宜的,03/07 02:05
,,,,→,Lachner,: 樓上有專業大大,03/07 16:11
,,,,→,castjane,: 很多盜版的,03/07 17:30
,,,,→,biofuel,: 有假，以前看雨哥說他們雨輯的產品在淘寶,03/08 09:03
,,,,→,biofuel,: 上很多假貨,03/08 09:03
puflower (在水ㄧ方),[情報] 蝦皮媚點妝前乳$135,Wed Oct 13 16:29:29 2021,剛好趁今天有免運跟299-30 補貨一下傳送門: https://bit.ly/3v5wCwzhttp://i.imgur.com/etbCv3d.jpg共買了三條405又免運 平均一條135這家有新舊款可挑，我是買舊款https://bit.ly/3aAI8Xjhttp://i.imgur.com/n8uVTYo.jpg情報提供給大家-----Sent from JPTT on my Asus ASUS_X01AD.,推,chacharu00,: 媚點妝前乳cp質蠻高的  謝謝分享,10/13 17:03
,,,,推,d84306,: 謝謝分享 媚點妝前乳真的是我的蜜糖 修飾,10/14 10:24
,,,,推,justsnoopy,: 推！便宜好用,10/14 22:35
,,,,→,d84306,: 膚色很有感,10/14 10:24
yuico (yuico),[情報] solone蝦皮限時搶購9元唇膏!,Tue Jun 22 09:50:43 2021,618一堆優惠，有些有搶到，有些手速太慢沒跟到momo那天的整點搶貨大家都在搶原本也想搶apple watch，但….我手速輸阿剛剛看到solone在蝦皮上也有滿多折扣這波終於有趕上了!https://i.imgur.com/QMP1dID.jpghttps://i.imgur.com/AcyRkcX.jpg先搶了一支9元唇膏和幾顆49元眼影，眼影顏色滿多可以選(雖然唇膏沒用過而且不是新品，但9元不搶會心痛XD)不過9元好像是今天的限時活動 https://i.imgur.com/4sk4Pv3.jpg眼線膠筆也只要99元!這支眼線膠筆我回購好幾次，我覺得很好畫又不會暈唯一缺點就是要自己削覺得有點小麻煩但它有附削筆器覺得還OK~ https://i.imgur.com/hHn29R1.jpg然後湊免運也買了睫毛膏我看比官網還要便宜!朋友前陣子有買，他很推~而且說手殘很適合，所以買來試試 https://i.imgur.com/5pmp5W2.jpg喔對~最後還可以用蝦皮的優惠卷!!折下來覺得優惠，慰勞了身心俱疲的小心靈分享給大家~,推,withnamie,: 居然有睫毛膏太燒了,06/22 09:56
,,,,推,siuu271,: QQ唇膏沒了,06/22 10:50
,,,,推,ru8fu6ly,: 搶好快！等等12點還有9元的眼影筆，我要,06/22 11:27
,,,,推,kiddkenshin,: 感謝分享!!活動有三天的樣子~來看看,06/22 12:13
,,,,推,elysium102,: 糖霜唇膏超好用…,06/22 12:42
,,,,推,Kempner,: 嗚嗚 玫瑰糖霜好用 可是沒搶到QQ,06/22 16:01
,,,,推,Drummer14,: 這價格實在是有夠便宜的，我也有跟到,06/22 17:59
,,,,推,shinane,: 有搶到就很好啦~ 不可能每個平台每個限,06/22 18:21
,,,,推,julylight,: 現在才看到..希望想買的東西還有,06/22 18:32
,,,,推,Cunlites,: 之前就夠便宜了 這次清倉價囤起來慢慢用,06/22 23:10
,,,,推,Jeran,: 剛好最近想補貨solone彩妝!! 趁活動買一波,06/23 16:41
,,,,推,roy025,: 可惜。沒趕上。太晚看到了,06/23 17:25
,,,,推,MissMolly,: 這真的有划算到 solone最近活動很多,06/23 23:52
