Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
IMCENTER (Grom),[情報] 蝦皮 蛇蛇D4-3200C16 32G 1G約50,Thu May 18 11:19:21 2023,蝦皮商城 巨蟒 DDR4 3200 32GB(16GBX2)帶白色散熱片 3200 CL16 $1698賣場折價券-10蝦幣折價券5% 返還蝦幣84.4折下來1604(蝦幣滿好兌的可以這樣算吧)1604/32= 1G台幣50.125元散熱片/3200/C16 給蛇蛇一個雞肺,推,ctjh900805,: 已買博蒂，蛇蛇不用了,"['05/18', '11:24']"
,,,,推,ltytw,: viper也算是蛇蛇的一種,"['05/18', '11:27']"
,,,,推,shock415052,: 散熱片上印 給蛇蛇一個雞肺+rgb燈效 說不定銷量upup,"['05/18', '11:33']"
,,,,推,zorro1111,: 這個蛇蛇沒用了,"['05/18', '11:34']"
,,,,推,reaturn,: 覺的可以,"['05/18', '11:49']"
,,,,推,mlpsaa,: 剛剛看完售了,"['05/18', '11:56']"
,,,,推,qqq3q,:              QQ 請蛇蛇給我們一個雞肺,"['05/18', '11:59']"
,,,,推,vsbrm,: 只插32G 就要浪費兩個插槽!!!,"['05/18', '12:25']"
,,,,推,nextpage,: 各位，現在是插槽珍稀的時,"['05/18', '12:47']"
,,,,推,Yonhao,: 選品牌價值,"['05/18', '13:15']"
,,,,推,popbitch,: 16GB X2大部分情況夠用了，不過現在32GB x2價錢也不貴..,"['05/18', '13:19']"
,,,,推,kenkuo1688,: 給蛇蛇一個機會,"['05/18', '13:37']"
,,,,推,gwofeng,: 給蛇雞,"['05/18', '13:59']"
,,,,推,mrme945,,"['05/18', '14:00']"
,,,,推,DimlyLit,: 運彩的D4無散熱丐版也算便宜了,"['05/18', '14:17']"
,,,,推,kenphin0729,: 沒心靈加成的RGB，Pass,"['05/18', '14:51']"
,,,,推,leo3258,: 蛇蛇博帝pny各位覺得誰品牌分最好,"['05/18', '14:54']"
,,,,推,Xaotic,: ram隨便買沒差吧,"['05/18', '15:07']"
,,,,推,nextpage,: 顆粒半斤八兩買誰出的也啥差了吧?畢竟DDR4都末期了,"['05/18', '15:22']"
,,,,推,tennyleaz,: 什麼時候高頻率筆電D5才降...,"['05/18', '15:48']"
