Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
scars1520 (leeeee0105),[抱怨] 蝦皮藥妝美顏社 理膚寶水 日期標示不明顯,Mon May 29 23:03:00 2023,＊店家名稱：蝦皮 藥妝美顏社＊店家連結：https://shp.ee/fwu8nv6＊商品名稱：理膚寶水極效三重酸煥膚精華 30ml / 3ml (三酸煥膚瓶) 理膚寶水精華 理膚寶水精華液＊溝通截圖：https://i.imgur.com/Le13Fbs.jpghttps://i.imgur.com/W3GBqRJ.jpghttps://i.imgur.com/qmw2V98.jpghttps://i.imgur.com/9EuFEO2.jpghttps://i.imgur.com/2Cj3bqU.jpghttps://i.imgur.com/J7Lf795.jpghttps://i.imgur.com/Xa64Wly.jpghttps://i.imgur.com/sXvrRaG.jpghttps://i.imgur.com/6ZQ3KNA.jpghttps://i.imgur.com/Y98b2qL.jpghttps://i.imgur.com/qj6tmiD.jpg＊商品照片：https://i.imgur.com/JNXSkc6.jpghttps://i.imgur.com/NUjNmoL.jpghttps://i.imgur.com/xt9xZmw.jpghttps://i.imgur.com/aK17j2L.jpg＊事發經過：2023/5/25在此賣場購買化妝水 精華液2023/5/29收到商品拆封後發現日期到2023/6馬上至賣場查看才發現內文有標示30ml促銷日期到2023/6但賣家並沒有像內文表示的（期效短於一年會於標題表示）再我反應完後 賣場已改成（期效短於一年會於表示）—————————————————再我反應後賣家表示已拆封不能退貨這個我能理解我自己沒有看內文也有問題但該賣場已經不是第一次遇到我這種買家（如上圖）卻沒有修正或提醒的意思我發這篇文不是想退貨退款我會努力再六月底前使用完畢只是想分享給想給在此賣場購買保養品的網友記得仔細查看內文表示的保養品期限以免發生跟我一樣的問題（我按退貨只是要讓蝦皮客服處理這個標示問題）-----Sent from JPTT on my iPhone,推,QQmouse,,05/29 23:53
,,,,推,ashkaze,: 只能說當學個經驗，最好養成內文一定要,05/30 18:26
,,,,推,gamemamy,: 價格差那麼多，你也想想怎麼那麼便宜吧,05/30 18:57
,,,,→,scars1520,,05/29 23:09
,,,,→,scars1520,: 補一個賣家修改後的內文,05/29 23:09
,,,,→,QQmouse,: 一星好幾個人提到即期品,05/29 23:53
,,,,→,aq7778,: 內文包裝上都寫了…是還要多防呆,05/30 10:51
,,,,→,ashkaze,: 看的習慣,05/30 18:26
,,,,→,gamemamy,: ，拆封前只能多檢查囉,05/30 18:57
,,,,→,scars1520,: 謝謝各位意見 我發這篇只是想提醒網友,05/30 19:17
,,,,→,scars1520,: 避免跟我一樣,05/30 19:17
,,,,→,scars1520,: 我知道自己沒看仔細要自行承擔 價格的,05/30 19:17
,,,,→,scars1520,: 話蝦皮其他一樣即期品的價格是399 我想,05/30 19:17
,,,,→,scars1520,: 是沒有特別便宜,05/30 19:17
breakingdown (As time goes by),[問題] 蝦皮部分退款,Mon May 29 15:50:49 2023,"請問一下有沒有人有用過蝦皮的部分退款功能？因為賣家少寄了一半給我我想說直接退差額就好 問賣家要另外轉帳還是透過蝦皮機制賣家同意透過蝦皮的機制退貨原因想說是因為有少就選了""商品缺件／賣家通知缺貨""後來""上傳證明""就把商品照跟與賣家對話記錄的圖片上傳 本來以為這樣就好了過一兩天又通知它還是要輸入取件人取件人地址跟電話等只是少一半是要收取什麼東西？(如果來取是要給他什麼 空箱子嗎？)還是這只是必要程序？填一填就好不會真的來收…填的方式也是有點疑問取件人/取件電話等資訊是要變成圖片上傳的還是填在""補充更多退貨/退款的原因""？https://imgur.com/Ja1mebX(上次有一次賣家型號寄錯按退貨 賣家再議說退差額好像就沒這麼麻煩…)謝謝!",推,wi22900,: 缺件沒填過住址+1  也是直接退蝦皮錢包,05/29 19:40
,,,,推,saluawu,: 沒填過取件人資料 跟賣家確認完後直接去,05/29 22:39
