Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
purefalse (粹),[消息] 蝦皮出現一隻疑似冬之景,Thu Oct  6 21:14:03 2022,只要8300元需要快上！我不是賣家！https://i.imgur.com/XXqQnDF.jpg,推,ttd752861,: 這是女錶 34mm的 價格就一般行情,"['10/06', '21:41']"
,,,,推,gn771226,: 多好笑才可以～,"['10/06', '22:00']"
,,,,推,mrji3g4xjp6,: 自己的大三針鏡片也有點傷畢竟不是藍寶石,"['10/07', '13:30']"
,,,,→,ccasabulu,: 這是女錶吧！而且鏡面有傷,"['10/06', '21:21']"
,,,,→,purefalse,: 不知道，只覺得便宜,"['10/06', '21:26']"
,,,,→,ccasabulu,: 這錶況…也不便宜吧,"['10/06', '21:31']"
,,,,→,tracy563,: 這隻是女錶吧？看起來感覺不大，三點鐘的日期盤旁邊沒,"['10/06', '21:33']"
,,,,→,tracy563,: 有再多一小塊時標,"['10/06', '21:33']"
,,,,→,ttd752861,: 手笑的可以嘗試,"['10/06', '21:41']"
,,,,→,ct20100806,: 鏡面刮到 直接掰,"['10/07', '02:15']"
,,,,→,FujimotoMiki,: 狀況那麼差又女錶，沒比較便宜,"['10/07', '07:51']"
,,,,→,mrji3g4xjp6,: 等刮痕多一點再換藍寶石請問有推薦的商家嗎,"['10/07', '13:30']"
yowei5678 (小鳶),[討論] 蝦皮 錶帶屋 超瞎購買經驗,Fri Dec  3 12:36:36 2021,因急需代用ㄇ型錶帶扣的緣故想說這種零件在台灣買也都是淘寶轉賣單價有高有低，大概50-200都有，想說找個價格中間，應付一下應該還好後來找到蝦皮 錶帶屋 圖片看起來尚可，價格150，就給他訂下去收到後真的鳥到不行，大概淘寶5-10元的品質吧表面一堆金屬咬傷、帶扣感覺一掰就會斷彈簧棒和帶扣孔距不合，感覺裝上去若要拆應該是拆不下來雖然訂了兩個也才300元，但賣的東西和圖片差太多，品質真的爛掉咽不下去想說單價也小，和賣家申請退貨退款http://i.imgur.com/8v5cEbn.jpghttp://i.imgur.com/mjACUR3.jpghttp://i.imgur.com/HNOgudG.jpg然後我就被封鎖了XDXD只能請蝦皮中間協調了真的是花錢找罪受XD看錶帶屋那個負評多到滿出來沒想到都2021了鐘錶業還有這麼鳥的店家分享給大家希望別像我一樣踩到坑...-----Sent from JPTT on my Samsung SM-G9500.,推,dailylily,: 負評多到滿出來你還去踩坑XD,"['12/03', '12:41']"
,,,,推,tom282f3,: 原PO辛苦了,"['12/03', '13:31']"
,,,,推,frank7897,: 錶帶屋超雷，買過一次黑灰錶帶，寄墨綠的來，當人家色,"['12/03', '15:24']"
,,,,推,mudafucka,: 網路一堆賣錶帶的都很雷，只敢去實體店面親自挑選,"['12/03', '15:34']"
,,,,推,lersnbfm,: 去趟萬華那邊應該會好很多,"['12/03', '17:25']"
,,,,推,piece178,: 謝謝告知,"['12/03', '18:06']"
,,,,推,herbert0716,: 買過兩次發現品質不怎好 也便宜不到哪去 還是自己去,"['12/03', '19:11']"
,,,,推,cnns,: 我前陣子也遭殃 這家真的雷到爆,"['12/03', '22:04']"
,,,,推,DPP1450,: 推，之前買過一次，自己出貨搞錯顏色、要退貨還心不甘,"['12/03', '22:47']"
,,,,推,Herblay,: 我買過Y拍「錶帶家」的尼龍錶帶 品質不錯,"['12/04', '10:15']"
,,,,推,kikuch,: 蝦皮太多都從淘寶淘過來賣啊，品質很容易天地，評價必看,"['12/06', '19:21']"
,,,,推,jayz5566,: 蝦皮商城的店家比較有保障啦.....也可以用安心退的服務,"['12/07', '19:17']"
,,,,推,bobo0307,: 蝦皮直接按申請退貨就好 有爭議通常也都是買家贏,"['12/09', '10:02']"
,,,,→,massclouds,: 感謝您的排雷XDD,"['12/03', '13:01']"
,,,,→,yowei5678,: 澄清一下，我是事後才看到他的負評XD,"['12/03', '13:36']"
,,,,→,frank7897,: 盲分不出來？,"['12/03', '15:24']"
,,,,→,frank7897,: 最後還自己花運費寄回去退貨,"['12/03', '15:24']"
,,,,→,herbert0716,: 錶店挑比較快,"['12/03', '19:11']"
,,,,→,DPP1450,: 情不願&態度很差,"['12/03', '22:47']"
,,,,噓,Brightheat,: 負評一堆你還買,"['12/03', '13:20']"
,,,,噓,hayboy5,: 上次打電話過去詢問 態度也很差 呵呵,"['12/03', '18:44']"
meter0329 (VanHelsing),[討論] 蝦皮上買 Garmin Vivolife,Mon Feb  1 10:01:06 2021,最近想入手一隻入門的 Garmin看了一下覺得 Vivolife最符合我的需求但是看了一下價錢 從官網定價6990到大型電商平台的4.5千還有蝦皮的3880原先以為蝦皮的是假貨 畢竟價格都砍快一半但是看到店家評價還有購買數量都感覺是真品（雖然不排除是灌水而且也很多家在賣 其中也有蝦皮嚴選商城主要是想問現在 Vivolife的市場價到底在哪個價位蝦皮上的有人有買過嗎？陷入一個想貪小便宜又怕踩雷的困境第一次錶板發文 請各位大大幫忙 謝謝,推,advocate,: 蝦皮不是可以退貨？買就對了,"['02/01', '11:34']"
,,,,推,makuso,: 請賣家提供商品資訊~再決定要不要買~~,"['02/02', '19:34']"
,,,,推,tim20082010,: 如果是商城可以買哦! 比較有保障,"['02/02', '19:37']"
,,,,推,weselyong,: 我在知名網購買三隻壞三隻 雖然都有保固但還是很不爽,"['02/08', '18:45']"
gogoro2plus (狗肉2),[問題] 蝦皮上面的勞力士代購可靠嗎,Sat Jan  9 09:13:58 2021,最近在蝦皮看到有人經營從法國代購手錶https://shopee.tw/product/350062756/4071801822?smtt=0.15017139-1610153652.9水鬼系列都比定價還便宜連綠水鬼都不到30有勇者在上面買過嗎他們說支持專櫃驗貨 驗不過可以告他們付款透過平台 他們也不會馬上收到錢如果假貨蝦皮都可以扣住金額提供資料報警想問國外真的可以拿到折數這麼高嗎-----Sent from JPTT on my iPhone,推,qazqaz321z,: 我的購物原則：電商平台開放自行經營賣家商場的 我一,"['01/09', '09:16']"
,,,,推,eyecolor,: 他的地點在信義區，跟他約RSC驗錶面交就好了,"['01/09', '09:21']"
,,,,推,verdandy,: 這種高價物品不面交，一律當有鬼,"['01/09', '09:35']"
,,,,推,Beetch,: 找AD吧,"['01/09', '09:36']"
,,,,推,cloverdiary,: 感覺是新帳號 評價是近幾週才有,"['01/09', '09:42']"
,,,,推,verdandy,: 評價的圖拍得蠻專業的,"['01/09', '09:46']"
,,,,推,zeratulbt,: 期待勇者開箱文...,"['01/09', '10:10']"
,,,,推,TDKnight,: 他就是出事不怕你告 讓你告 盡量告 但是你要先找到人,"['01/09', '10:17']"
,,,,推,Baumgartner,: 有腦的都不會信吧,"['01/09', '10:26']"
,,,,推,hgelbeen,: 是說付款透過平台，發現假貨的話，蝦皮會協助退款嗎？,"['01/09', '10:27']"
,,,,推,abc7119842,: 我之前在蝦皮上看到一間商店有賣水貨美度海星價差還蠻,"['01/09', '10:29']"
,,,,推,skdup677,: 你看他評價間隔時間就可以判斷了,"['01/09', '10:30']"
,,,,推,JamesWorthy,: 蝦皮一堆假貨猖獗，就知道他們的管理方式……,"['01/09', '10:32']"
,,,,推,stu9557032,: 別鬧了...怎麼可能20萬,"['01/09', '10:36']"
,,,,推,Baumgartner,: 1. 全世界都在排 就他不用排 2. 市價50萬的賣20萬，,"['01/09', '10:41']"
,,,,推,RobinsonINT,: 確定機芯有序號.？,"['01/09', '10:58']"
,,,,推,cpks,: 賣場的愛馬仕要多少有多少，先不論定價合不合理，這是超級v,"['01/09', '11:10']"
,,,,推,lsnikimo,:  當然不可靠...,"['01/09', '11:26']"
,,,,推,sleeeve,: 很好奇 如果仿錶賣到20萬  那是多高級的仿錶阿?,"['01/09', '11:33']"
,,,,推,saintmen,: 首先要找的到人，再來談提告,"['01/09', '11:35']"
,,,,推,DavidGuetta,: 你叫他開chrono24給你下標,"['01/09', '11:58']"
,,,,推,Eisd,: 注意看，他一些字簡轉繁失敗，如潛和蠔,"['01/09', '12:08']"
