Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
may820806 (OvO小仙女),[討論] 蝦皮給四星,Thu May 18 02:21:00 2023,"google地圖不能給一星會釣出玻璃心老闆突然想到蝦皮的賣家更誇張你要是給他們四星就會出來問你為什麼給四星之前還遇過東西跟照片完全不一樣, 還有瑕疵裂掉他跑過來情勒我 要給我折價券換回五星我這個人被情勒大的 所以竟然聽話了後來想想我根本就不會再買他們家的東西 氣死拜託這些生意人可以老實點嗎東西不好還怕人說都不檢討自己",推,TaiYiMan,: 不要留不就好了 你當自己是部落客嗎,05/18 05:11
,,,,推,jajoy,: 我都不評價的,05/18 06:00
,,,,推,lact,: 所以都不留評論，省麻煩,05/18 06:26
,,,,推,xulu0,: 我蝦皮如果給一星一定附理由兼證據照片，,05/18 09:26
,,,,推,mmaj1589,: 我也覺得  為什麼一定要五顆星== 其他他,05/18 09:36
,,,,推,flert,: 幾乎沒在留評價的，省麻煩,05/18 09:55
,,,,推,hotaka,: 我也覺得蠻奇怪的，5分制裡4星就是滿意，,05/18 09:57
,,,,推,Ratucao,: 話說蝦皮某些個體戶賣一看就知道是詐欺商,05/18 10:33
,,,,推,et030030,: 留評論都寫原因還被問真的很煩,05/18 11:50
,,,,推,zhizhi,: 五星制乾脆變成滿意跟不滿意就好，設計成,05/18 13:49
,,,,推,zhizhi,: 既然給消費者自由選擇的裁量空間，就不應,05/18 13:57
,,,,→,b0310021,: 我不爽和超滿意會留 要槓大家來槓,05/18 08:58
,,,,→,a3050909,: 其實是蝦皮系統制度的關係，只要不是五,05/18 09:08
,,,,→,a3050909,: 星都算不好,05/18 09:08
,,,,→,xulu0,: 賣家給折價券太爛了，要給現金才有誠意,05/18 09:26
,,,,→,mmaj1589,: 們不爽也可以回評價買家啊  又不是沒這,05/18 09:36
,,,,→,mmaj1589,: 功能,05/18 09:36
,,,,→,hotaka,: 如果中規中矩的服務跟普通的商品品質給到,05/18 09:57
,,,,→,hotaka,: 4星很可以了，商品很讚服務很好才值得給,05/18 09:57
,,,,→,hotaka,: 到5星非常滿意吧，現在變成給4星好像什麼,05/18 09:57
,,,,→,hotaka,: 過錯一樣,05/18 09:57
,,,,→,Ratucao,: 品(ex.超大容量卻超低價格SSD) 蝦皮本身,05/18 10:34
,,,,→,Ratucao,: 卻都沒在管 這是甚麼原理?,05/18 10:35
,,,,→,Ratucao,: 重點是該商品的評價還多數是五星 只有少,05/18 10:36
,,,,→,Ratucao,: 數受害者留言一星提醒,05/18 10:37
,,,,→,Ratucao,: 那些五星到底是怎麼刷出來的?,05/18 10:37
,,,,→,zhizhi,: 五顆星卻不能給四星也太不合邏輯。我會給,05/18 13:49
,,,,→,zhizhi,: 四顆的理由不外乎是收到的商品不符合期待,05/18 13:49
,,,,→,zhizhi,: 或是有瑕疵這類的，在商家眼裡似乎只有一,05/18 13:49
,,,,→,zhizhi,: 顆星跟五顆星（滿意/不滿意）而已。,05/18 13:49
,,,,→,zhizhi,: 該限制人家該給多少顆。消費者也不是只有,05/18 13:57
,,,,→,zhizhi,: 一個人，最後的星星也是所有購買者給評價,05/18 13:57
,,,,→,zhizhi,: 平均下來的值，給四顆不錯了，給一顆更難,05/18 13:57
,,,,→,zhizhi,: 看反而拉低平均值。,05/18 13:57
,,,,噓,jameshcm,": 聽話了就不要越想越不對勁,這不是me too",05/18 09:35
CA581A101 (水中一條魚),[討論] 請問有人真的抽到過蝦皮的免運卷嗎,Tue Apr  4 00:53:32 2023,每次進入蝦皮有看到免費機會必抽必抽必抽抽了三四年從來沒有中過都是再接再厲這種失望的字語請問真的有人抽中過蝦皮的免運卷嗎是不是我真的太倒霉？ ,推,IDfor2010,: 沒抽中過,04/04 01:41
,,,,推,thisu,: 我也沒有,04/04 02:06
,,,,推,ilikefalali,: 沒抽中過…..,04/04 02:15
,,,,推,cmrz2sky,: 從沒抽中過後來就不抽了,04/04 03:32
,,,,推,lkdsa,: 沒，後來就不抽了，騙人的玩意,04/04 04:48
,,,,推,bboywhite,: 你講我才想到我跟女友還真的在打賭比誰,04/04 05:06
,,,,推,irina0629,: 沒有,04/04 05:29
,,,,推,oceanfishwu,: 從沒抽中過，後來就不抽了，浪費時,04/04 09:32
,,,,推,hikaru1309,: 沒中過,04/04 10:18
,,,,推,xgMd1trtw,: 沒中過 但活動一堆…,04/04 11:10
,,,,推,vilovej,: 沒有,04/04 11:25
,,,,推,Eligor41,: 沒有,04/04 12:41
,,,,推,cashko,: 從沒抽中，每天那個抽蝦幣也永遠都是0.01,04/04 13:51
,,,,推,ga3322165,: 不是都有直接拿的嗎？,04/04 14:41
,,,,推,cjy0321,: 從來沒有,04/04 15:59
,,,,推,hedgehog112,: 從沒中過，折扣也越來越少，感覺最,04/04 17:56
,,,,推,SweetLee,: 我沒在用蝦皮 可是我老婆每個月買一堆,04/04 23:19
,,,,推,yang122,: 沒有,04/05 01:01
,,,,推,happyecho,: 原來不是只有我有這樣的疑問,04/05 02:50
,,,,→,q2520q,: 抽中過一次，但也就那次,04/04 01:50
,,,,→,wendyks234,: 0,04/04 02:07
,,,,→,WilliamTaft,: 天天抽抽了幾年沒中過,04/04 03:08
,,,,→,bboywhite,: 先抽到,04/04 05:06
,,,,→,tinybunny,: 活動的用不完抽做啥?,04/04 06:26
,,,,→,tinybunny,: 常買的一定不能用,04/04 06:26
,,,,→,greenshow,: 沒有抽中過,04/04 09:14
,,,,→,oceanfishwu,: 間,04/04 09:32
,,,,→,Jiyyan,: 我朋友說他兒子有抽到一雙鞋子 也是每天在,04/04 11:02
,,,,→,Jiyyan,: 那邊抽沒有在花錢的那種 我是中都沒中過,04/04 11:02
,,,,→,Jiyyan,: 不想抽了,04/04 11:02
,,,,→,kenndy,: 幾年天天抽沒有中過一次,04/04 11:13
,,,,→,jgs0213,: 嘿啊嘿啊,04/04 11:49
,,,,→,hedgehog112,: 近蝦皮應該快不行了,04/04 17:56
,,,,→,SweetLee,: 都是免運的耶,04/04 23:19
,,,,→,sodahaini,: 沒有,04/05 01:12
naipin2003 (紅蘋果),[討論] 在蝦皮做個小生意還真難！,Fri Mar 24 17:48:02 2023,https://i.imgur.com/HXSeGew.jpghttps://i.imgur.com/SAV60Mg.jpg宅叔白天照顧媽媽，晚上在蝦皮做點水晶網拍賺點生活費，再加上蝦皮有限制流量，所以根本賺不了多少錢。結果今天還碰上一個不知道是國稅局查帳的還是什麼原因，一直追著問我有沒有開發票，然後我用開玩笑的語氣回答他，最後還被他封鎖了。請問這種人到底是來幹嘛的？,推,IDfor2010,: 綠營人士用錢恐急 體諒一下,"['03/24', '17:54']"
,,,,推,lessonone,: 在蝦皮消費本來就有發票 紙本三聯式發票也不會蓋大小,"['03/24', '18:03']"
,,,,推,bboywhite,: 我一概不回聊聊XD,"['03/24', '18:06']"
,,,,推,qmei,: 要報帳？,"['03/24', '18:14']"
,,,,推,XDdong,: 他是要報帳吧==,"['03/24', '19:03']"
,,,,推,XDdong,: 可能覺得你一直跳針法律或政府很煩，說沒有就好了才封鎖,"['03/24', '19:13']"
,,,,推,azasibyl,: 他強調要台灣的收據，可能怕你是對岸的賣家吧,"['03/24', '19:22']"
,,,,推,abyepi,: 這就封鎖，對方也滿無聊,"['03/24', '19:26']"
,,,,推,cado0824,: 你的回答很煩躁... 這樣不適合賣東西,"['03/24', '19:40']"
,,,,推,stockings,: 需要報帳不行嗎,"['03/24', '19:53']"
,,,,推,clwlhf,: 身為公務員能體會他的情境，人家用詞都很禮貌也要公審……,"['03/24', '19:55']"
,,,,推,soy5566,: 幹 蝦皮一堆免洗帳號下單不取貨 雞掰,"['03/24', '20:01']"
,,,,推,seansho,: 人家就是要報帳 你還一直不回答…,"['03/24', '20:09']"
,,,,推,dinotea,: 台灣法規說可以噓,"['03/24', '20:18']"
,,,,推,Texsogood,: 就需要報帳啊,"['03/24', '20:46']"
,,,,推,leeszuyuan,: 要注意真的不要超過八萬，現在都科技辦稅的，不用人,"['03/24', '20:49']"
,,,,推,Rainknight,: 現在都要登記行號了吧,"['03/24', '21:05']"
,,,,推,finis,: 就書局那種一疊的收據單，上面寫好品項金額，有章蓋章，沒,"['03/24', '21:12']"
,,,,推,finis,: 開實體店面也有客人會索取,"['03/24', '21:15']"
,,,,推,draving,: 對方蠻客氣的，確認不符合需求也是說謝謝,"['03/24', '21:34']"
,,,,推,knik119,: 你為什麼講話這麼沒效率，我看了也想封鎖XD,"['03/24', '21:44']"
,,,,推,jrfish,: 網路上奧客本來就多，常遇到亂出價的，直接殺對半，我都,"['03/24', '21:47']"
,,,,推,hermithsieh,: 習慣就好了,"['03/24', '21:51']"
,,,,推,a2003515,: 妳搞不清楚公務報帳餅多大吧？,"['03/24', '22:46']"
,,,,推,seedboxs,: 這種是要報帳的啦……拜託這樣不要出來賣了,"['03/24', '23:17']"
,,,,推,guanting886,: 你該補的登記還是早點辦一辦吧  要做生意就是要做大,"['03/24', '23:33']"
