Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
olite (olite),[問題] 運送喇叭，不讓喇叭受傷？宅配要選那家,Wed Feb  1 10:16:50 2023,近期賣JBL 305P MKII X2有以下問題：1.近日出售一對喇叭，有留下紙的外包廂及保麗龍，是否可以把保麗龍蓋住，放入紙箱，再套上一層塑膠袋，然後找郵局或宅配寄送喇叭？還是有其他不讓喇叭受傷的眉角（台語）或需要注意的？2.大家交易都用哪一個平台出售？比較沒爭議或糾紛？蝦皮嗎？希望能保障兩方面權益的。3.宅配要選那一家，才能寄送喇叭這種大宗物件？希望是運費別太高的。4.錢的方面如何收受，透過哪種方法，流程及步驟？5.有否其他買賣喇叭要注意的事情嗎？,推,Reshiram,: 有原廠包材其實沒差,"['02/01', '10:57']"
,,,,推,gamewed,: 不推薦蝦皮 下標完買家可以隨便按退貨退費你就有得忙,"['02/01', '14:01']"
,,,,推,mick1104,: 運費要低首推郵局，包裹費用低也因此運量大，需要堅固,"['02/01', '14:36']"
,,,,推,bibibibibitw,: 可以用7-11賣貨便  免手續費,"['02/01', '19:41']"
,,,,推,awangya,: 要避免爭議還是用蝦皮比較方便，手續費躲不掉,"['02/02', '10:53']"
,,,,→,SURREALTMR,": 我用順豐寄過咖啡機,汽座.都沒什麼問題.服務也不錯","['02/01', '10:18']"
,,,,→,GLUESTICK,: 跟貨運無關 主要是你的包材 用超厚水果箱 人整個踩上去,"['02/01', '10:20']"
,,,,→,GLUESTICK,: 都壓不壞的那種去裝最堅固,"['02/01', '10:21']"
,,,,→,shukushoku,: 黑貓 順豐 新竹,"['02/01', '10:35']"
,,,,→,sheng7515,: 我是找黑貓用原箱包裝而已當然前提是得在運送限制內，,"['02/01', '10:51']"
,,,,→,sheng7515,: 金錢的話跟買方協商有的不想被扣手續會採私下匯款 想要,"['02/01', '10:51']"
,,,,→,sheng7515,: 有保障就找第三方平台，至於爭議想要避免就是面交只能,"['02/01', '10:51']"
,,,,→,sheng7515,: 試貨,"['02/01', '10:51']"
,,,,→,sheng7515,: 試貨後雙方都確認無誤一手交錢一手交貨最有保障,"['02/01', '10:53']"
,,,,→,olite,: 大家是如何收受款項的？,"['02/01', '13:03']"
,,,,→,GLUESTICK,: 蝦皮要抽差不多一成了 這邊都匯款或面交,"['02/01', '14:13']"
,,,,→,mick1104,: 點的包材，要再保險就是加點錢報值，有到付，快捷會比,"['02/01', '14:36']"
,,,,→,mick1104,: 包裹保險點，但費用和其它貨運比就沒差很多了,"['02/01', '14:36']"
