Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
bzx12021 (奶油餅),[情報] 各平台普發六千優惠整理,Fri Apr  7 20:24:03 2023,"大家應該都領到六千了嗎？我們家五人共三萬打算拿來合買母親節禮物所以研究了一下各平台的優惠內容以下稍微整理分享【PChome】活動主頁：https://reurl.cc/pLXb0xhttps://i.imgur.com/sK82bq7.pnghttps://i.imgur.com/kUenz3b.png限定儲值品項活動(等於先儲值再花的概念)第一重好禮： 1%加碼回饋金第二重好禮：各品牌折價券>> LG結帳金額滿15000元現抵1500折價券>> iRobot結帳金額滿10000元現抵1000折價券>>禾聯空調指定品單品滿20000元現抵600元折價券>> TOSHIBA液晶電視指定品單品滿15000元現抵1000折價券>>三星旗艦機結帳金額滿20000元現抵1000折價券>> ASUS指定筆電單品滿24000元現抵800折價券(單筆滿12000元現底400折價券)第三重好禮：抽6000現金積點第四重好禮：搶摩斯漢堡即享券*儲值金額分(注意，1%是送加碼金)>>6000刷指定卡購買最高送600刷卡金，最高可回饋720(900P+18000*1%)(=11%)>>12000刷指定卡購買最高送600P幣，最高可回饋720(600P+12000*1%)(=6%)>>18000刷指定卡購買最高送900P幣，最高可回饋1080(900P+18000*1%)(=6%)>>24000刷指定卡購買最高送2500P幣，最高可回饋2740(2500P+24000*1%)(=11%)回饋：即日起到4/16 23:59>>指定品單筆滿6000享5%P幣回饋(上限500P幣，每日限量200名)>>全站指定品累計滿6000送總價值6000折價券(限量3000名)信用卡優惠https://reurl.cc/klvber整理回饋最高的有：>>Pi錢包綁Pi信用卡最高回饋6%(新卡首刷再享1500P幣)>>中國信託ALL ME卡最高享12%回饋(含原本8%回饋)>>花旗PChome聯名卡最高享22%回饋(需分期並登錄)【Momo】活動主頁：https://reurl.cc/Q4D5x2https://i.imgur.com/RtEfuHn.pngAPP限定活動：mo幣滿滿>>4/1-4/30累積購買次數4次以上且消費金額滿$10,000以上，可登記加碼送1%全站滿千送百>>4/7當日單筆消費滿6000送300mo幣(限量1000名，須登記)清空萬元購物車>>4/7～4/17期間內不限金額下單，即可登記抽萬元購物車免費資格>>上限一萬，5/31前抽出10名>>每人每日限登記一次，當日訂單限當日登記>>若使用信用卡分期限1、3期，期他期數支消費皆無法登記整點搶mo幣>>4/7～4/13每天09:02、11:02、13:02、15:02、17:02、19:02、20:02、21:02共8個時段灑幣，可搶最高999 元mo幣。滿額送美食>>4/7～4/13累積消費滿1,200元，即可登記抽【美食禮物卡】一次，並獲得卡牌上相對應的人氣美食(每日限量4,300名)滿額三重送4/7～4/13指定商品單筆消費達門檻免登記即送限量好禮：●滿5,000元，送【LocknLock 樂扣樂扣】PET輕鬆壓1.2L冷水壺(白)●滿10,000元，送【Disney 迪士尼】怪獸電力公司-毛怪造型超柔擦手巾●滿20,000元，送【HELLO KITTY】珍藏食光玻璃罐4/17限定>>「玩大富翁最高送18% mo幣回饋」累積消費滿6,000元可擲骰玩大富翁1次，回饋趴數從3% 起跳，最高回饋18%>>「滿額送1元進口零食」凡下單滿2,000元登記送1元「Nature Valley天然谷」燕麥棒1盒銀行加碼回饋>>https://reurl.cc/RvDLre儲值：Momo卡 >>4/1-12/314%回饋無上限(3%原權益+1%限時加碼)台新銀行 >>4/1-4/30儲值$5,000登記送$300兆豐銀行 >>4/1-4/30儲值$5,000登記送$200第一銀行 >>4/1-4/30儲值$5,000登記送$180臺灣銀行 >>4/1-4/30儲值$5,000登記送$150momo紅利金【蝦皮】活動主頁：https://reurl.cc/0En46x蝦皮相關活動主要集中於18號(當日為會員日)4/18 加碼https://i.imgur.com/4IHmPd8.png>>全站95折，最高折$6,000限4/18 00:00-23:59使用，數量有限，先用先贏相關折價券https://i.imgur.com/JWNjrOs.jpghttps://i.imgur.com/vMSuMst.jpg>>商城85折、93折、95折>>全站蝦幣回饋券>>品牌蝦幣回饋券>>品牌8折優惠券看下來PC、momo都有儲值加碼回饋不過回饋%數部分還是PChome儲值6000、24000的11%最高蝦皮的活動就比較沒有什麼特別目前我們挑的禮物應該是以買家電為主就看這幾天有沒有其他快閃優惠價了",推,cutelin23,: 感謝分享,04/07 20:45
,,,,推,eupa1973,: 推,04/07 20:51
,,,,推,ginlom,": 蝦皮會員日跟普發$6,000沒有毛關係",04/07 20:52
,,,,推,kitoik5427,: 謝謝分享 雖然沒有感興趣,04/07 21:14
,,,,推,ihfreud,: 詹綠汁有夠噁心網家早點倒最好,04/07 21:19
,,,,推,amen123,: 一堆限量登記的沒啥誠意，但謝謝整理,04/07 21:53
,,,,推,amo0717,: 這樣看下來PChome的先儲值再買 好像真的,04/07 21:57
,,,,推,kqq2012,: 蝦皮的活動看起來沒啥誠意,04/07 21:59
,,,,推,hshshs,: 推！,04/07 22:16
,,,,推,m54k600ive80,: 好認真,04/07 22:37
