Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
kashima228 (承),[問卷] (抽禮券)消費者對購物平台上評論的採用,Thu Feb 16 19:03:22 2023,首先感謝weifish版主的審核！各位板友大家好，我是彰師大的學生，正在做有關「影響消費者對購物平台上評論的採用因素」的研究，希望大家能夠幫我填寫問卷。問券名稱：影響消費者對購物平台上評論內容的採用因素之研究研究目的：了解消費者在購物平台購物時，對於購物平台上評論內容的感知與採用情形。填答條件：在線上購物平台購買商品時會參考購物評論的使用者其他聲明：問卷每人限填一次，重複或隨意填寫視為「無效問卷」。研究單位：國立彰化師範大學 資訊管理系碩士班研究者姓名：柯承毅聯絡人姓名：柯承毅聯絡方式：[email protected]回饋獎品：為感謝各位參與作答，填答問卷並留下可正常收發e-mail之信箱地址即有機會獲得「超商電子禮券100元」一張。問卷收集完成後將會從有效問卷中抽取30位得獎者，得獎者將透過e-mail進行通知與贈獎。問卷截止時間：收齊為止。問券連結：https://forms.gle/pkFPunjhLFHU1KXB8謝謝各位的幫忙～-----Sent from JPTT on my iPhone,推,lookeye,: 已填,02/16 19:20
,,,,推,pocky100,: Done,02/16 21:20
,,,,推,hamapopo,: done,02/17 02:13
,,,,推,vio80588,: Done 祝研究順利,02/17 07:03
,,,,推,yorurin,: done,02/17 08:08
,,,,推,pinkrain244,: done,02/17 11:04
,,,,推,lolowowing,: Done,02/17 15:55
,,,,推,drisso,: done,02/17 23:21
,,,,推,rotiars,: done,02/18 01:06
,,,,推,duziererder,: Done,02/18 10:56
,,,,推,shiwagi,: Done,02/18 11:15
,,,,推,viory,: Done,02/18 11:19
,,,,推,knoe770880,: Done,02/18 12:17
,,,,推,crazyclown91,: done 祝研究順利,02/18 13:52
,,,,推,yunQQQ,: done,02/21 18:57
,,,,推,sophiaasdf,: Done,02/25 08:42
,,,,→,kashima228,: 謝謝各位 目前還缺150份左右。,02/17 15:38
,,,,→,kashima228,: 感謝各位填寫，有算了一下有效樣本數,02/19 19:47
,,,,→,kashima228,: 扣除無效部分 還缺80份。,02/19 19:47
ctr29 (CTR),[問卷]#抽獎 電商平台限時特賣對衝動購物的影響,Thu Feb  2 16:39:43 2023,先感謝weifish版主的協助審核！各位版友好，我是國立高雄科技大學的研究生，目前正在進行「電商平台限時特賣活動對衝動購物的影響」之研究。問卷名稱：以SOR理論探討電商平台限時特賣之衝動購物行為意圖－以MOMO購物為例研究目的：探討使用者在電商平台的限時特賣活動中，是否會因為其他因素影響其衝動購買行為意圖。填答條件：有瀏覽或使用過MOMO購物之限時特賣者佳。其他聲明：本問卷僅供學術調查研究使用，不做其他用途，也不會公開您的個人資料，請您放心填寫，非常感謝您的參與，祝您萬事順心！問卷截止時間：有效問卷達360份，即關閉填答。問卷連結：https://bit.ly/3Wl6M3p回饋獎品：為了感謝您寶貴的意見，完整填寫完問卷者，將可參加本研究的抽獎活動(亂填者及重覆填寫者將會被取消抽獎資格)，本研究提供獎品為「星巴克飲料券$135」，共計抽出10名幸運得主，以茲感謝，並以E-mail聯繫。研究單位：國立高雄科技大學 資訊管理系電子商務碩士班研究者：趙亞就聯絡方式：[email protected],推,lookeye,: done,02/02 16:56
,,,,推,rice10845,: done,02/02 18:27
,,,,推,superrock,: Done,02/02 18:40
,,,,推,l9217,: Done,02/02 18:42
,,,,推,rukakageyama,: Done,02/02 19:47
,,,,推,greensdream,: done,02/02 20:59
,,,,推,argk181111,: Done,02/02 22:08
,,,,推,babyrun,: Done,02/03 02:32
,,,,推,alicefang199,: done,02/03 12:01
