Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
kinki999 (QQk 廢文被劣文中),[新聞] 財政部「電子發票平台」爆資安漏洞　超過,Tue May 16 13:44:54 2023,財政部「電子發票平台」爆資安漏洞　超過130家上市櫃公司「會員資料恐被看光」吳哲宜 + 追蹤 2023-05-16 09:22灣公部門又傳資安疑慮！近日一位民眾發現財政部「電子發票整合服務平台」爆發資安缺失，只要輸入企業統編、政府提供之預設密碼，就可以瀏覽器企業會員資料；根據爆料，受影響的企業共有超過130家上市櫃公司。[啟動LINE推播] 每日重大新聞通知跟據「READr」報導， 一名不願具名的資安人士爆料，台灣1789間上市櫃公司，有超過7的企業沿用政府提供的預設密碼，其中78間上市、56間上櫃公司，其中以光電業者最多，其次為半導體、電子零組件業；此外，連中華郵政、台鐵等國營事業或行政法人等組織，也有相同問題。對此財政部回應指出，大部分企業在申請電子發票時，是用工商憑證，一開始就可以設定平台密碼，可能有少部分公司因為方便沒有改，使用國稅局預設密碼，已經發通知給各公司強制更改電子發票平台密碼，但是為了不影響現在的營業稅收申報作業，先通知企業更換密碼，待申報期結束後會推動新版認證作業，再既有的登入流程之外，再加一個認證機制https://www.storm.mg/lifestyle/4791525沒事台灣有成立數位部，還有許多●●辦公室，會做事的政府，好安心！,推,kaotammy,: 這算財政部的鍋嗎？感覺企業便宜行事沒,05/16 14:40
,,,,推,marsonele,: 不意外,05/16 14:40
,,,,推,C6H8O7,: 要多一個初次登入後要求改密碼的設定吧 不,05/16 15:05
,,,,推,milk7054,: 挨踢大臣：財政部又不歸偶管,05/16 19:37
,,,,推,YiYaochAng,: 沿用預設密碼…不過設計上應該也要強,05/16 23:50
,,,,推,Gamelop,": 如果預設密碼是隨機給串數字,也沒那麼好",05/19 17:52
,,,,→,CTQ8523,: 扯...,05/16 14:24
,,,,→,kaotammy,: 改密碼心也是蠻大的,05/16 14:40
,,,,→,kinki999,: 註冊時，設計步驟問題吧,05/16 14:41
,,,,→,C6H8O7,: 然還真的一堆人用預設密碼,05/16 15:05
,,,,→,graysyu,: 數發部表示：,05/16 16:10
,,,,→,YiYaochAng,: 制要求企業更改密碼啦,05/16 23:50
,,,,→,Gamelop,: 猜到吧,05/19 17:53
mandy740512 (在天橋下的天使),[閒聊] momo是不是線上網購平台霸主,Fri Mar 17 16:24:03 2023,最近看專櫃彩妝類，很多品牌都有在momo設櫃然後想買什麼手指點一點，隔天貨運就把貨送到家也不用看櫃哥櫃姐的臉色，想問momo台是不是線上網購類的霸主大家覺得呢？？,推,marsonele,: momo雙北ok 但以外pchome比較快,"['03/17', '16:26']"
,,,,推,xeoma,: 我都用蝦皮,"['03/17', '16:29']"
