Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
chirex (沒有銅鋰鋅),Re: [消息] Pchome Casio 槍魚系列 限時價$1699,Sat Jun  5 17:53:14 2021,※ 引述《DirkMavs (唷齁齁)》之銘言：: ※ 引述《chirex (沒有銅鋰鋅)》之銘言：: : https://24h.pchome.com.tw/store/DICH9B: : https://imgur.com/JaJCief.jpg: : ▼百貨年中戰▼: : 超限量原廠公司貨: : CASIO 新槍魚系列黑水鬼200米潛水錶/全黑/MDV-107-1A1: : 《瘋搶折扣★再抽豪禮》: : 開始：０５／１８（二）１１：００: : 結束：０５／２５（二）１１：００: : 網路價＄２４００．限時價↘＄１６９９: : 防反向旋轉錶圈: : 日期顯示，200米防水: : 夜光指針、時標: : 型號：MDV-107-1A1: : ...........: : 也太便宜了吧= =: : 在家防疫太無聊，不小心看到，: : 也太便宜了吧？: : 手滑就訂了支來玩玩。: : 生平第一次在網路買表…，: : 不曉得P家的穩不穩？: 上星期買的馬上被打臉: https://imgur.com/RBSUArk: 真想知道網家到底可以拿多低的價格 居然這樣都還有賺: 這樣實體錶店真的難生存啊 大家變成現場看錶 網路買錶各位，要注意一下，我當初也差點買錯。MDV-106系列才是槍魚，是2020年出品的六點鐘方向才有魚。https://www.casio.com.tw/wat/detail/MDV-106-1AMDV-107系列是今年新出的表，雖然也是潛水表，長得也像，但最大特徵就是沒有魚https://www.casio.com.tw/wat/detail/MDV-107-1A1記住，要捕魚的買家，要魚的，請記得買型號MDV-106，不是107，雖然都是好表。但107是新款，沒魚的。我後來是下單下到MDV-106，所以有魚@@但其實我是下錯，我本來以為107有魚，我也要下107，結果點到的卻是106，然後有魚。算是歪打正著嗎？,推,Greedguilty,,"['06/06', '04:39']"
,,,,推,black55,: 錶帶搭配不錯看,"['06/06', '10:07']"
,,,,推,Jerry1128,: 感謝一樓滅火,"['06/06', '14:54']"
,,,,推,rockhero,: 一樓直接滅火,"['06/06', '15:03']"
,,,,推,black1x2y3z,: 一樓哈哈哈哈哈,"['06/06', '16:08']"
,,,,推,swatch44,: 一樓UCCU,"['06/06', '19:28']"
,,,,推,x8296940,: 滅火+1,"['06/06', '22:25']"
,,,,推,yuyustacy,: 哈哈大滅火,"['06/12', '11:03']"
,,,,→,Greedguilty,: 可樂圈實品比照片好看很多,"['06/06', '04:39']"
,,,,→,Greedguilty,,"['06/06', '04:39']"
DirkMavs (唷齁齁),Re: [消息] Pchome Casio 槍魚系列 限時價$1699,Wed May 26 17:10:16 2021,※ 引述《chirex (沒有銅鋰鋅)》之銘言：: https://24h.pchome.com.tw/store/DICH9B: https://imgur.com/JaJCief.jpg: ▼百貨年中戰▼: 超限量原廠公司貨: CASIO 新槍魚系列黑水鬼200米潛水錶/全黑/MDV-107-1A1: 《瘋搶折扣★再抽豪禮》: 開始：０５／１８（二）１１：００: 結束：０５／２５（二）１１：００: 網路價＄２４００．限時價↘＄１６９９: 防反向旋轉錶圈: 日期顯示，200米防水: 夜光指針、時標: 型號：MDV-107-1A1: ...........: 也太便宜了吧= =: 在家防疫太無聊，不小心看到，: 也太便宜了吧？: 手滑就訂了支來玩玩。: 生平第一次在網路買表…，: 不曉得P家的穩不穩？上星期買的馬上被打臉https://imgur.com/RBSUArk真想知道網家到底可以拿多低的價格 居然這樣都還有賺這樣實體錶店真的難生存啊 大家變成現場看錶 網路買錶--2019/4/10 [email protected]PLAYERS      MIN  FGM-A 3PM-A FTM-A +/- OR DR TR AS PF ST TO BS BA PTS EFFNowitzki  F 32:42 11-31  5-14   3-3 +11  1  7  8  3  3  0  2  1  1  30  20,推,ro155023,: 點上都是看毛利率居多。換言之如果今天毛利3%可過。成,"['05/26', '17:42']"
,,,,推,Radiomir,": 7折是1,680...我猜店家的進貨價在5~6折","['05/26', '17:59']"
,,,,推,JAnusKinase,: 找moon大更便宜吧？？？,"['05/26', '20:42']"
,,,,推,garth0629,: 考慮到最後還是買一代有logo的,"['05/26', '23:34']"
,,,,推,truthmanman,: 賣這個價格 成本估計不到1200,"['05/28', '11:15']"
,,,,→,ro155023,: 本只要1600就可以做,"['05/26', '17:42']"
,,,,→,ro155023,: *電商,"['05/26', '17:43']"
,,,,→,mornstar524,: 沒槍魚logo 失敗～,"['05/26', '21:58']"
,,,,→,ken7788441,: 對欸 新版沒槍魚logo,"['05/26', '23:14']"
chirex (沒有銅鋰鋅),[消息] Pchome Casio 槍魚系列 限時價$1699,Sun May 23 18:07:44 2021,https://24h.pchome.com.tw/store/DICH9Bhttps://imgur.com/JaJCief.jpg▼百貨年中戰▼超限量原廠公司貨CASIO 新槍魚系列黑水鬼200米潛水錶/全黑/MDV-107-1A1《瘋搶折扣★再抽豪禮》開始：０５／１８（二）１１：００結束：０５／２５（二）１１：００網路價＄２４００．限時價↘＄１６９９防反向旋轉錶圈日期顯示，200米防水夜光指針、時標型號：MDV-107-1A1...........也太便宜了吧= =在家防疫太無聊，不小心看到，也太便宜了吧？手滑就訂了支來玩玩。生平第一次在網路買表…，不曉得P家的穩不穩？,推,keyboyno1,: v5 特價了 看這邊,"['05/23', '18:27']"
,,,,推,edwei,: wow4brian 大有在改裝藍寶石鏡面,"['05/23', '18:33']"
,,,,推,X400,: 這特價好久了...,"['05/23', '19:02']"
,,,,推,verdandy,: 這不是正常網路價而已嗎?  ...,"['05/23', '19:08']"
,,,,推,eaton1202,: 槍魚推,"['05/23', '20:07']"
,,,,推,verdandy,: 我在蝦皮甚至在momo訂的都沒這麼慢到，應該是pchome內部,"['05/23', '20:55']"
,,,,推,hsakuya,: pchome有員工確診,"['05/23', '22:03']"
,,,,推,energy100203,: 為了那隻魚 還是買舊的,"['05/23', '22:43']"
,,,,推,Muratlo,: ㄟ 沒有魚沒fu耶,"['05/23', '23:12']"
,,,,推,claymath,: 這價格很便宜,"['05/24', '12:07']"
,,,,推,DirkMavs,: 這價格比南部名店還便宜了,"['05/24', '21:57']"
,,,,推,apple7433922,: 沒魚不帥,"['05/26', '21:10']"
,,,,→,uashan,: 槍魚真的cp值高，但是我覺得新槍魚看不到魚有點可惜,"['05/23', '18:11']"
,,,,→,kishke,: PChome24h 最近運送超慢餒，我訂的泡麵零食等了一個禮拜,"['05/23', '18:12']"
,,,,→,kishke,: 還沒出貨,"['05/23', '18:12']"
,,,,→,chirex,: 反正我不急…，還要在家待好久了Q_Q,"['05/23', '18:16']"
,,,,→,chirex,: 到貨也不曉得何時有機會帶出門…,"['05/23', '18:16']"
,,,,→,Radiomir,: 有出藍寶石鏡面嗎?,"['05/23', '18:25']"
,,,,→,justoncetime,: 物流量變高，運送人員也會擔心自己曝險變高，慢點,"['05/23', '19:44']"
,,,,→,justoncetime,: 很正常吧,"['05/23', '19:44']"
,,,,→,verdandy,: 理貨有問題,"['05/23', '20:56']"
,,,,→,verdandy,: 而且我買的東西有新竹、宅配和黑貓都有，唯一慢到的共通,"['05/23', '20:56']"
,,,,→,verdandy,: 點就是PChome,"['05/23', '20:57']"
,,,,→,vayeate,: 點進去看滿滿槍魚哪招 XD 各式各樣,"['05/25', '21:45']"
a1234a123499 (alah),[討論] 在pchome買勞力士安全嘛？,Mon Oct 12 21:24:37 2020,看pchome上有賣勞力士，價錢也不會貴太多，想在上面買但是想到是黑貓或是宅配通送來的，勞力士這種有點價錢的東西，在運送過程會不會摔到或是震到之類的阿？想問一下大家有在pchome買過勞力士嘛？心得好嘛？想請教一下大家>.<,推,a9509028,: 探二哥要貼圖片了,"['10/12', '21:37']"
,,,,推,HsnuYutaka,: 就算原廠配送到AD也是貨運業者配送的啊,"['10/12', '21:42']"
,,,,推,verdandy,: 應該是購物網的物流,"['10/12', '21:51']"
,,,,推,pharmacist05,,"['10/12', '22:15']"
,,,,推,DavidGuetta,: 探二哥的媽媽跟探二掉到海裡不知道他會救誰,"['10/12', '22:19']"
,,,,推,powerjr,: 荷包不安全,"['10/12', '23:25']"
,,,,推,LienFong,: 你自己都擔心發問了，自己應該知道答案了，貴重品還是,"['10/12', '23:36']"
,,,,推,coldsummer,: 明明貴很多吧XD,"['10/13', '07:50']"
,,,,推,biaw,: momo我買過 還不錯阿,"['10/13', '12:06']"
,,,,推,verdandy,: 摸摸是指之前NS 板的慘劇吧？,"['10/13', '12:13']"
,,,,推,magicgreet,": pchome會有仿冒品啊,保重","['10/13', '12:47']"
,,,,推,ms01096,: PC什麼時候買過仿冒品了？ 願聞其詳,"['10/13', '13:26']"
,,,,推,magicgreet,": 新聞應該找的到如果沒有買花錢下架,朋友也有買過","['10/13', '13:52']"
,,,,推,magicgreet,: 我說的是pchome線上購物,"['10/13', '14:42']"
,,,,推,biaw,: pchome不太管的到的是pchome商店街吧 但即使這樣 在那裡買,"['10/13', '14:44']"
,,,,推,magicgreet,": 真實面就不用想了,不是你說仿冒品就是仿冒品...","['10/13', '14:48']"
,,,,推,biaw,: 我之前買東西的確是打電話聯絡客服就先凍結金額的 根本不需,"['10/13', '16:05']"
,,,,→,simontu,: 為什麼你在隔壁單眼版也洗了一篇==,"['10/12', '23:00']"
,,,,→,ld3067498,: 確定不會貴太多嗎==？,"['10/12', '23:13']"
,,,,→,LienFong,: 當面看買最放心囉,"['10/12', '23:36']"
,,,,→,magicgreet,": pchome的態度就我只是平台不關我的事情,自己找廠商","['10/13', '13:53']"
,,,,→,magicgreet,: 所以高單價又看不到機芯的..加油,"['10/13', '13:53']"
,,,,→,jim543000,: pchome不是店家的話不會有假貨吧,"['10/13', '14:19']"
,,,,→,biaw,: 到有問題的還是可以打客服 然後pchome商店街就會把錢凍結不,"['10/13', '14:44']"
,,,,→,biaw,: 發給廠商 還是安全的,"['10/13', '14:44']"
,,,,→,magicgreet,: 第一你要有原廠證明他才能凍結.,"['10/13', '14:48']"
,,,,→,eyecolor,: 怕就別買，買了就不需要擔心。貨到開箱全程錄影，把序號,"['10/13', '15:18']"
,,,,→,eyecolor,: 也錄進去，拿到RSC驗錶。不過提告都有憑有據。,"['10/13', '15:18']"
,,,,→,eyecolor,: 但是都是拉高價錢在賣的，沒道理賣假貨擺在那邊讓人告，,"['10/13', '15:19']"
,,,,→,eyecolor,: 所以也不用太過擔心,"['10/13', '15:19']"
,,,,→,eyecolor,: 筆電、相機等高價單品買過非常多次，都沒壞過，3C都沒壞,"['10/13', '15:20']"
,,,,→,eyecolor,: 了，錶更不用擔心了,"['10/13', '15:20']"
,,,,→,eyecolor,: P購、M購、Y購，雖然都是外面公司配合賣的，但真買到仿,"['10/13', '15:22']"
,,,,→,eyecolor,: 的提告不會找不到對口，反而版上交易找不到對口才有可能,"['10/13', '15:22']"
,,,,→,eyecolor,: 都沒人擔心過版上約面交了（約RSC驗錶的除外），幹嘛擔,"['10/13', '15:24']"
,,,,→,eyecolor,: 心這些追得到公司的購物中心,"['10/13', '15:24']"
,,,,→,eyecolor,: 版上面交沒有約RSC的話，有拍下對方證件嗎？ 況且對方可,"['10/13', '15:27']"
,,,,→,eyecolor,: 能留假名假資料，後來就算發現仿冒品，追得到人嗎？,"['10/13', '15:27']"
,,,,→,eyecolor,: 都不擔心個人賣家了，幹嘛擔心這些大公司賣的東西？,"['10/13', '15:28']"
,,,,→,eyecolor,: 版上還可以左手Po，右手賣，累積假好評，製造好形象，沒,"['10/13', '15:30']"
,,,,→,eyecolor,: 人擔心了，幹嘛擔心這些大型購物中心？,"['10/13', '15:30']"
,,,,→,eyecolor,: 況且版上賣錶有的寫自行驗錶為佳，以目前的仿冒技術自行,"['10/13', '15:45']"
,,,,→,eyecolor,: 驗錶覺得自己可以的恐怕沒幾個,"['10/13', '15:45']"
,,,,→,eyecolor,,"['10/13', '15:49']"
,,,,→,eyecolor,: 度在哪，自行驗不太可能驗的完全的。,"['10/13', '15:49']"
,,,,→,biaw,: 要什麼證明,"['10/13', '16:05']"
,,,,→,am163178,: 這還只是基本的 隨便在看幾個地方 隨便都能識破,"['10/13', '19:58']"
,,,,→,eyecolor,: 實心針早被破解了,"['10/13', '20:46']"
,,,,→,am163178,: 大部分假的實心針都還是罩門 主要有用實心針是水鬼系列,"['10/14', '08:41']"
,,,,→,am163178,: 其他款都還沒更新 仿錶水很深 不懂不要裝懂,"['10/14', '08:41']"
,,,,噓,am163178,: 勞自己驗就夠了 不需要RSC 光是錶盤是不是實心針就夠了,"['10/13', '19:57']"
,,,,噓,am163178,: 破解就長一樣？只有你在研究嗎 錶帶破綻也一堆,"['10/14', '08:38']"
syxuan (肥宅是一種態度),[討論]  PChome價格追蹤bot,Thu Dec 27 16:39:20 2018,是這樣子的潛水潛久了被燒的不要不要的剛好最近公司人事調整倒楣被選到上班閒閒寫了個telegram的pchome手錶價格追蹤機器人雖然大家都去綠茶店買可是發現有些手錶會打85折過一天又變回去好像滿有趣的ob’_’ov大概像這樣https://i.imgur.com/kOFbEXx.jpg連結https://t.me/pchomeWatch還在開發中還有些問題過濾掉日本代購跟工具的分類不知道會不會有人想用XD-----Sent from JPTT on my iPhone--星期日　星期一　星期二　星期三　星期四　星期五　星期六　☁　　　☁　　　☂　　　☁　　　☼　　　✈　　✂╰ひ╯,推,a200147,: 推,"['12/27', '17:21']"
,,,,推,ken21231,: 好強推！,"['12/27', '17:34']"
,,,,推,alomar2000,: 覺得有發展潛力！推！,"['12/27', '17:37']"
,,,,推,xup6284co,: 請問有想開放公測嗎XD,"['12/27', '17:37']"
,,,,推,bfacsls,: 這很讚欸,"['12/27', '17:53']"
,,,,推,level37,: 想要,"['12/27', '18:24']"
,,,,推,massclouds,: 推，感谢分享！,"['12/27', '19:44']"
,,,,推,gp03dan,: 推,"['12/27', '21:44']"
,,,,推,piggod00,: 這個厲害！推～～,"['12/28', '02:44']"
,,,,推,meloxxl,: 哇 這個可以用來追蹤3c嗎,"['12/28', '04:42']"
,,,,推,piqidibi,: 好用！,"['01/06', '17:51']"
