Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
e223445 (然然愛老公(ˊ˙_˙ˋ)),[閒聊] 大家習慣用露天、Pchome，還是蝦皮？,Tue Mar  7 16:55:55 2023,大家好蝦皮常常有免運和優惠活動，甚至已經開店到店了露天也有優惠，但好像比較少Pchome其實也蠻好用的看身邊的人好像都是用蝦皮比較多但蝦皮的手續費還蠻高的，讓許多賣家都叫苦連天@@大家都習慣用什麼呢？-- 　　　　　　　　　　　　　　　　　　　　　　　　　　　▁▁▁　    ＠    ＠　　　　　　　　　　　　　　　　　　 　▕小天然▏⊙  ⊙　　　　　　　　　　　　　　　　　　　　▕呆呆獸▏　　　 ▼▼▼　　　　　　　　　　　　　　　　　　　　  ￣￣￣　　　　 ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄,推,Limeowo,: Momo 有時候比價起來比較便宜,"['03/07', '17:05']"
,,,,推,kinki999,: 那麼醜的介面,"['03/07', '17:06']"
,,,,推,wl00553953,: 都用購物中心,"['03/07', '17:08']"
,,,,推,AOBOl,: 看哪個便宜,"['03/07', '17:15']"
,,,,推,sdamel,: 淘寶啊，你說的那幾間也沒多少原產貨了,"['03/07', '17:26']"
,,,,推,Flyshinesky,": 分開看 Momo>pchome ,蝦皮>露天","['03/07', '18:46']"
,,,,推,g29186280,: 很想支持本土用露天，但那毫無效率的入帳速度...,"['03/07', '19:07']"
,,,,推,nds999888,: 買玩具用露天,"['03/07', '19:30']"
,,,,推,snoopyconnie,: 蝦皮送卷也不乾脆...,"['03/07', '19:44']"
,,,,推,ketao,: 淘寶 反正台灣電商也都貼牌,"['03/07', '19:45']"
,,,,推,xulu0,: 這陣子幾乎只用蝦皮了,"['03/07', '20:48']"
,,,,推,hiXD,: 之前露天被盜,"['03/07', '20:56']"
,,,,推,neighbor2022,,"['03/07', '20:58']"
,,,,推,neighbor2022,: 厝邊是免費平台 沒有上架服務費,"['03/07', '21:00']"
,,,,推,response,: 蝦皮介面友善度 完勝,"['03/07', '21:21']"
,,,,推,codehard,: 我還是用露天啊,"['03/07', '21:34']"
,,,,推,lovesm8627,: 蝦皮關鍵字完勝，還能用圖搜產品,"['03/07', '21:58']"
,,,,推,aswq80128,: 都用 但是蝦皮越來越難用,"['03/07', '22:41']"
,,,,推,arthur8787,: 抱歉 蝦皮真的太好用了==,"['03/07', '23:33']"
,,,,推,opel5438,: 樂天優惠比較多,"['03/08', '00:16']"
,,,,推,sysant,: 那邊便宜那邊用,"['03/08', '08:38']"
,,,,推,ks99010,: 露天超容易被盜 後來我只有買二手書會去露天找,"['03/08', '09:28']"
,,,,推,albuca0603,: 露天被盜過一次很可怕(還好追回來)，後來沒告知把歷史,"['03/10', '01:05']"
,,,,推,baafgjv,: 我是都習慣用PChome，用過其他的平台都覺得不行，還是覺,"['03/14', '12:15']"
,,,,→,VVizZ,: 現在沒有人在用露天跟網家吧 你2000年穿越來的?,"['03/07', '16:56']"
,,,,→,kinki999,: 除了露天，其他都會用,"['03/07', '17:00']"
,,,,→,e223445,: 為什麼不用露天了@@?,"['03/07', '17:05']"
,,,,→,e223445,: 原來XD,"['03/07', '17:06']"
,,,,→,dean1990,: 露天早已沒用，蝦皮是其他購物網站都買不到時才會用,"['03/07', '17:09']"
,,,,→,kinki999,: y拍也沒啥人在用了吧～一堆又不是真的拍賣，找不到才用,"['03/07', '17:15']"
,,,,→,VVizZ,: 以前拍賣網站是賣二手貨的初衷20年前就不存在了,"['03/07', '17:24']"
,,,,→,molamolajump,: 露天還活著喔？,"['03/07', '17:26']"
,,,,→,LiveInNow,: 用最多的是比價網 哪個便宜就買,"['03/07', '17:45']"
,,,,→,g29186280,: 本土不爭氣，不能怪中資入侵台灣,"['03/07', '19:07']"
,,,,→,jerrylin,: momo,"['03/07', '19:56']"
,,,,→,sdamel,: 有去淘過就知道，人家好歹也是養活13E人口的地方，除了電,"['03/07', '20:08']"
,,,,→,sdamel,: 壓要注意以外幾乎沒有輸給台灣的東西,"['03/07', '20:08']"
,,,,→,sesame307,: 賣貨便,"['03/07', '20:08']"
,,,,→,neighbor2022,: 可以試試上面的二手app,"['03/07', '20:58']"
,,,,→,CrackedVoice,: y拍買二手唱片,"['03/07', '21:55']"
,,,,→,hsineyi,: 哪個平台便宜用哪個,"['03/07', '22:40']"
,,,,→,appleabcwsa,: 蝦皮,"['03/07', '23:59']"
,,,,→,makelove0938,: 蝦皮搜尋器爛到爆,"['03/08', '07:47']"
,,,,→,MailEvent,: 都用momo 比較多 現在也開始大量用淘寶 只能說淘寶真,"['03/08', '12:09']"
,,,,→,MailEvent,: 的屌打蝦皮 蝦皮一直漲手續費砍免運券 對蝦皮印象越來,"['03/08', '12:09']"
,,,,→,MailEvent,: 越差,"['03/08', '12:09']"
