Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
aaa5981113 (蜜),情報shopee限時特賣,Thu Nov 29 11:48:32 2018,桂格北海道特濃鮮奶麥片$69買4包用愛買折價卷，運費10元，平均一包，71.5-----Sent from JPTT on my Asus ASUS_Z01KDA.,推,kenkuo1688  ,: 1F別醬,"['11/29', '12:00']"
,,,,推,jakeblue    ,: 幫補血,"['11/29', '12:01']"
,,,,推,kenkuo1688  ,: 我看運費是100耶,"['11/29', '12:02']"
,,,,推,susanna026  ,: 保存期限？不會是即期品吧？？,"['11/29', '12:40']"
,,,,推,longlydreami,: 結果算起來含運一包是71.5沒錯,"['11/29', '14:43']"
,,,,推,s60324      ,: 感謝 已買,"['11/29', '15:03']"
,,,,推,rsps1008    ,: 消失的分類，推,"['11/29', '15:05']"
,,,,推,bwibwi      ,: 謝謝分享 已買,"['11/29', '15:21']"
,,,,推,CanonG7X    ,: 1F 糗男,"['11/29', '15:29']"
,,,,推,pretzel     ,: 1樓又沒加運費 還有人覺得他算對XD,"['11/29', '17:33']"
,,,,推,simon978    ,: 你們數學是體育老師教的嗎,"['11/29', '17:38']"
,,,,推,yoeven      ,: 本來69變71.5就是運費,"['11/29', '18:04']"
,,,,→,deray       ,: ( (69 x 4 ) - 50 ) / 4 = 71.5,"['11/29', '11:58']"
,,,,→,kenkuo1688  ,: 我看錯了 沒4,"['11/29', '12:03']"
,,,,→,kenkuo1688  ,: 1F沒加運費R~~ 的確是71.5,"['11/29', '12:09']"
,,,,→,longlydreami,: 含運費平均一包是59…大家的數學老師是怎麼了？,"['11/29', '14:40']"
,,,,→,longlydreami,: 剛剛被誤導，折價卷不能扣抵運費，也不能說運費是1,"['11/29', '14:46']"
,,,,→,longlydreami,: 0元,"['11/29', '14:46']"
,,,,→,aaa5981113  ,: 第一次發文，找不到手機版的編輯做分類，唉，等著被,"['11/29', '15:18']"
,,,,→,aaa5981113  ,: 刪文了,"['11/29', '15:18']"
,,,,→,jesus4047   ,: 1F糗糗,"['11/29', '15:51']"
,,,,→,pk20972000  ,": 愛買的出貨包裝很差,千萬別買受擠壓會破損或變型的","['11/29', '17:11']"
,,,,→,hit1205     ,: 手機版其實直接編輯標題就可以了，分類其實就只是,"['11/29', '17:41']"
,,,,→,hit1205     ,: 標題的一部分  @@,"['11/29', '17:41']"
,,,,→,hit1205     ,: 咦？這邊看的沒變的說 O _ O,"['11/29', '18:49']"
,,,,→,hit1205     ,: 啊沒事，我看錯了，原po忘了加上中括號,"['11/29', '18:50']"
,,,,→,hit1205     ,: [分類] 標題 ← 格式是這樣的說,"['11/29', '18:50']"
,,,,→,justoncetime,: 只有麥片應該寫在標題吧,"['11/29', '22:56']"
,,,,噓,deray       ,: 算數好好,"['11/29', '11:57']"
,,,,噓,chen0625    ,": 限時特""賣""","['11/29', '12:13']"
,,,,噓,HTCdesire   ,: 你的分類呢？,"['11/29', '14:03']"
,,,,噓,o4862753    ,: 糗爆,"['11/29', '17:11']"
onthewind (乘風而來),[情報] SHOPEE折扣碼499-80,Tue Apr  3 12:05:38 2018,蝦片折扣碼SPE0403滿499-80我剛剛是買24H商城是否限定24H不確定,推,urban01     ,: 限24小時 pass,"['04/03', '12:08']"
,,,,推,da1985      ,: 商城不能用，好爛,"['04/03', '12:11']"
,,,,推,smily26     ,: 總感覺蝦皮四月業績會掉很多…,"['04/03', '15:15']"
,,,,推,CTC0115     ,: 業績掉越多，蝦皮賠越少,"['04/03', '15:32']"
,,,,推,carol0880   ,: 為了拼上市櫃，眼前怎麼賠都不是問題,"['04/03', '17:20']"
,,,,推,tdkblur     ,: 把商店街被打到全額交割了 看來蝦皮的牛肉會少很多,"['04/03', '19:54']"
,,,,→,ethan016    ,: 打趴商店街優惠馬上縮水,"['04/03', '12:39']"
,,,,→,maryegg     ,: 4月都不想買了 省錢,"['04/03', '18:21']"
