Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
vince19 (文森),Re: 哈根達斯蝦皮超品日 品脫折後$179/個,Sat May 27 20:17:04 2023,請問有人訂馬卡龍派對品脫組收到藍莓口味的嗎？我收到萊姆葡萄，詢問客服他說是圖片放錯，原組合就是萊姆葡萄…※ 引述《zilyo (Better than yesterday)》之銘言：: 剛剛被打到蝦皮哈根達斯超級品牌日的廣告: 越逛口水越分泌: 買一組的話可以用: 賣場優惠券折80: 蝦皮優惠券折70: 直接買了新口味 馬卡龍派對品脫4入折完$719: 平均一個179 超便宜！！這組好像其他地方還買不到: 好像是我近期看到最便宜的價格了: 推薦給大家 已經開始熱到受不了的夏天需要來點涼的: 這邊可以逛 還有藍莓塔的看起來也很好吃 可惜家裡冰箱太小: https://shopee.tw/m/haagendazssbd0522: 附上剛剛下單的訂單 還有送保冷袋( ′ ▽ ` ): https://i.imgur.com/Zx83dU5.jpg-----Sent from JPTT on my iPhone,推,enjoy8041,: 藍莓塔太甜 換掉也好,05/27 20:22
,,,,推,morphyster,: 這可以申請退錢嗎？,05/27 21:02
,,,,推,azuma1367,: 回一樓 不是藍莓塔吧 是藍莓,05/27 21:31
,,,,推,kwinner,: 心情很糟,05/27 21:58
,,,,推,VkevinV,: 原po提醒後才發現自己是一樣的狀況！,05/27 23:32
,,,,推,GoodMemory,: 馬卡龍還未出貨,05/27 23:37
,,,,推,sos14422,: 一樣收到蘭姆葡萄,05/28 00:28
,,,,推,ringfan,: 退貨吧，這店家的問題,05/28 00:29
,,,,推,noodleroy,,05/28 00:42
,,,,推,chien703,: 超喜歡蘭姆葡萄 賺到了XD,05/28 02:14
,,,,推,momo3334,: 一樣收到蘭姆葡萄,05/28 08:01
,,,,推,deray,: 史萊姆好ㄘ,05/28 08:26
,,,,推,cingguy,: 問版?,05/28 11:07
,,,,推,GRD3,: 我星期五反應是說會補寄單球券  退貨背後成,05/28 14:34
,,,,推,Rayray0314,: 剛回應也是補單球券,05/28 15:03
,,,,推,rivers,: 補單球券＋1，萊姆葡萄也很好，剛好家人也,05/28 15:18
,,,,推,bochengchen,: 客服補單球券,05/28 17:09
,,,,推,edison3333,: 藍姆葡萄好吃,05/29 11:55
,,,,推,kellychun,: 萊姆比藍莓好吃喔！,05/29 12:14
,,,,推,AKLOVER,: 啊，那天就是因為藍莓沒買，吃過藍莓覺,05/29 12:17
,,,,推,mr5212,: 我的直接沒寄來 只來了另外一個組合XD,05/29 14:21
,,,,推,JONAMI14,: 給三球券很不錯,05/29 15:22
,,,,推,sydney2001,: 我是收到藍莓，如果收到蘭姆我會退,05/30 11:05
,,,,推,sydney2001,: 回太快.. 我是買午茶藍莓塔組合，有,05/30 11:07
,,,,→,RC8377,: 蛤,05/27 20:51
,,,,→,er5820,: 馬卡龍還沒收到貨,05/27 21:19
,,,,→,meeiyi,: 客服回覆也太糟糕，圖片放錯本就屬商家問,05/27 22:23
,,,,→,meeiyi,: 題誤導消費者下單的行為！可以退貨吧？！,05/27 22:23
,,,,→,capacitor,: 萊姆葡萄好吃,05/27 22:48
,,,,→,sos14422,,05/28 00:28
,,,,→,noodleroy,: 是寫藍莓耶,05/28 00:42
,,,,→,aweikids,: 硬起來~ 退貨吧~  不過我還沒收到XD,05/28 00:52
,,,,→,sos14422,: 反應客服後有補償,05/28 00:57
,,,,→,nbook,: 跟客服確認有沒有在前100名單內 拖了好幾天,05/28 09:32
,,,,→,nbook,: 才說要出貨前才能確定,05/28 09:32
,,,,→,GRD3,: 本太高 客服說食品只能報廢  就接受了 qq,05/28 14:34
,,,,→,a9910330,: 蘭姆葡萄+1..不過家人都開封吃了XD,05/28 15:14
,,,,→,rivers,: 喜歡,05/28 15:18
,,,,→,bochengchen,: 大家記得客服問問,05/28 17:10
,,,,→,AKLOVER,: 得很難吃，如果知道是蘭姆葡萄就買了@@,05/29 12:17
,,,,→,peipeiishere,: 我覺得樓主真的很在意的話，看能不,05/29 17:02
,,,,→,peipeiishere,: 能跟他們聯繫，叫他們換貨，不然就,05/29 17:02
,,,,→,peipeiishere,: 蝦皮安心退退掉吧,05/29 17:02
,,,,→,sydney2001,: 收到藍莓塔。然後客服回覆完全不ok啊,05/30 11:09
,,,,噓,falllin,: 省錢點？,05/27 20:24
,,,,噓,Sfortunate,: 問誰，直接水桶,05/27 21:17
,,,,噓,ex250203,: 我看起來像客服嗎,05/27 21:39
,,,,噓,aa97531aa,: 退貨啊,05/27 21:56
,,,,噓,jgfu,: 省錢板 發文要有省錢點,05/28 01:24
ssd15c (波波利),"[情報] 蝦皮6.18 先領免運拿8,888",Fri May 26 14:07:09 2023,"6 張是6.18當天的https://bit.ly/426Elcx先領免運有一張是 $8,889-$8,888的一看就太扯不可能搶到ㄏ6.6有2張免運搭配小額的$499-$50這個還有機會一點https://bit.ly/4284GXAhttps://i.imgur.com/VGz2EHY.png想買日常消耗品的可以趁6.6先下手應該會好比6.18搶一點沒這麼多人然後有一區是5/26-5/31的小額券有剛好要下單的可以加減用一下https://bit.ly/436z0mZhttps://i.imgur.com/3ajj2pl.png還有一張$1000-100的全站券可以天天來領https://bit.ly/3OCnEmfhttps://i.imgur.com/ryNIPfT.png",推,bird7913,: 謝謝整理,05/26 14:09
,,,,推,kevin061799,: 6/6沒有活動？,05/26 15:52
,,,,推,james2092,: 也太難搶了吧,05/26 16:35
,,,,推,popbitch,: 499-50是8%蝦幣回饋吧?,05/26 16:35
,,,,推,Askalaphos,: 真的是蝦皮,05/26 17:11
,,,,推,bbbb25487,: 機皮割大,05/26 17:32
,,,,推,diyaworld,: 現在是沒生意到需要提前20多天宣傳？,05/26 18:47
,,,,推,lopwer,: 現在露天賣的常比蝦皮便宜，最近買一個二,05/26 22:47
,,,,推,OldBeeCome,: 活動日手續費10多趴？？？公然搶劫了,05/27 11:36
,,,,推,iPhoneX,: 露天搜尋太爛了 每次都一堆無關的東西,05/27 18:30
,,,,推,fasd72,: 49樓正確，完全展現出台灣人商人的智慧，,05/28 06:54
,,,,推,seatan,: 露天難用，但蝦皮也漲到有時換邊更划算了,05/28 20:53
,,,,→,sun24220499,: 機器人準備,05/26 14:30
,,,,→,SRT0619,: 還有3週.... 另外也沒看到499-50,05/26 15:14
,,,,→,SRT0619,: 哦 看到了是自動歸戶 這種券量一定不多,05/26 15:16
,,,,→,ixdezalex,: 一直漲手續費，賣家一直轉嫁成本,05/26 15:21
,,,,→,kelon,: 一般人只拿得到93折最高2000,05/26 15:28
,,,,→,mono1023,: 其實根本不需要用高額卷做活動了,05/26 15:33
,,,,→,laker7634,: 先領券結果到時候還是要跟別人搶使用名,05/26 16:21
,,,,→,laker7634,: 額，真的是有夠北七的設定…,05/26 16:21
,,,,→,Sfortunate,: 什麼垃圾,05/26 17:25
,,,,→,aerosecced,: 一堆券越來越難搶根本用不到,05/26 17:26
,,,,→,andy0055,: 機器人：感謝分享,05/26 19:17
,,,,→,joan33235,: 只有一張吧 = =,05/26 20:04
,,,,→,henryabout15,: 機器人大戰,05/26 20:52
,,,,→,mevellous,: 我昨天搶到85折早上起床想說取消再一次,05/26 22:39
,,,,→,mevellous,:  才發現85折改成0點到2點能用而已…,05/26 22:39
,,,,→,mevellous,: 發-8888還不如發100-88*100張比較有效,05/26 22:41
,,,,→,mevellous,: 益,05/26 22:41
,,,,→,lopwer,: 手擷取盒，露天只要一千，蝦皮要一千五以,05/26 22:47
,,,,→,lopwer,: 上，全新的露天也便宜兩三百元,05/26 22:47
,,,,→,bigbigbadboy,": 還有先登記,六月看直播,送熊貓99-50",05/26 23:15
,,,,→,bigbigbadboy,: 6/26開始用 但數量有限,05/26 23:16
,,,,→,bigbigbadboy,: 會不會也只有個位數,05/26 23:16
,,,,→,searchroy,: 假模式。,05/27 02:43
,,,,→,OldBeeCome,: 吧,05/27 11:36
,,,,→,joe931,: 其實還好啦！在上面賣東西就先把價格拉上,05/27 12:34
,,,,→,joe931,: 去就不怕手續費了,05/27 12:34
,,,,→,fasd72,: 手續費漲就偷漲價就好，反正一堆人不會去,05/28 06:54
,,,,→,fasd72,: 官網看原價多少,05/28 06:54
,,,,→,oread168,: 機器人大戰,05/29 11:34
,,,,噓,kevenshih,: pass,05/26 14:31
,,,,噓,INTIME123,: 看得到吃不到,05/26 14:41
,,,,噓,ixdezalex,: 從來沒搶到過,05/26 15:21
,,,,噓,MailEvent,: 沒搶到過...,05/26 15:26
,,,,噓,Garrys,: ??,05/26 15:40
,,,,噓,deray,: 機器人都沒興趣了,05/26 16:00
,,,,噓,love61106,: 完全搶不到,05/26 16:23
,,,,噓,userkka,: 以為618是大節日 結果竟然還要$199才免運,05/26 17:34
,,,,噓,kkuri,: 要搶的幾乎都搶不到,05/26 17:49
,,,,噓,Barefoot24,: 瞎皮,05/26 17:51
,,,,噓,art118520,": 不如給101-100一百張,勝過-8888一張",05/26 18:20
,,,,噓,tn601374,: pass,05/26 19:30
,,,,噓,searchroy,: 有膽回復0元免運啦！,05/26 21:42
,,,,噓,yiyin330,: momo都快追上了,05/27 01:38
,,,,噓,searchroy,: 活動日手續費10多趴，一堆賣家直接放,05/27 02:43
zilyo (Better than yesterday),[情報] 哈根達斯蝦皮超品日 品脫折後$179/個,Mon May 22 14:00:11 2023,剛剛被打到蝦皮哈根達斯超級品牌日的廣告越逛口水越分泌買一組的話可以用賣場優惠券折80蝦皮優惠券折70直接買了新口味 馬卡龍派對品脫4入折完$719平均一個179 超便宜！！這組好像其他地方還買不到好像是我近期看到最便宜的價格了推薦給大家 已經開始熱到受不了的夏天需要來點涼的這邊可以逛 還有藍莓塔的看起來也很好吃 可惜家裡冰箱太小https://shopee.tw/m/haagendazssbd0522 附上剛剛下單的訂單 還有送保冷袋( ′ ▽ ` ) https://i.imgur.com/Zx83dU5.jpg ,推,kintboos,: 感謝分享，但還是要推大哥！,05/22 14:04
,,,,推,stanley12646,: ( ′ ▽ ` ),05/22 14:05
,,,,推,cs7151,,05/22 14:19
,,,,推,kadolong,: 謝謝原po 還送保冷袋真的很不錯,05/22 14:35
,,,,推,iamjojo,: 馬卡龍好吃嗎..?,05/22 14:42
,,,,推,youtrue,: 已買感謝,05/22 14:47
,,,,推,breezeautumn,: 70的好像要用手機才能用,05/22 14:51
,,,,推,INTIME123,: 變花錢版了 已下,05/22 14:51
,,,,推,KAEN,: 請問70的券去哪領？,05/22 14:52
,,,,推,wadezero,: 70的找不到+1要去哪領呢？還是有代碼,05/22 14:53
,,,,推,chosen,: 感謝 已經購買,05/22 14:55
,,,,推,ltlai,: 有買有推，感謝分享,05/22 15:06
,,,,推,JONAMI14,: 買了 推,05/22 15:07
,,,,推,stinchen,: 感謝，已下單,05/22 15:12
,,,,推,eric80157,: 找不到70 放棄,05/22 15:12
,,,,推,falllin,: 70沒了，不用找了,05/22 15:13
,,,,推,freeawei,,05/22 15:14
,,,,推,Weinuts,: 買了2組可惜120的抵用券被用完了,05/22 15:23
,,,,推,lime1207,: 冷凍庫放不下了= =,05/22 15:26
,,,,推,LDHK,: 70沒了吧,05/22 15:30
,,,,推,b28932889,: 感謝分享,05/22 15:30
,,,,推,Hbodo,: 120好像補了 小編在偷看ptt嗎,05/22 15:35
,,,,推,ooohohoho,: 用1599折180加1200折120，買兩組4品拖,05/22 15:43
,,,,推,michael23140,: 想問問120的折價券要到哪領!?,05/22 15:45
,,,,推,Bogy,: 馬卡龍派對好吃嗎??,05/22 15:46
,,,,推,bupodadi,": 補120券了,買起來, 折價券在連結滑到中",05/22 15:48
,,,,推,Hbodo,: 120(HAG121D2),05/22 15:49
,,,,推,snakeyen,: 蝦皮優惠券是不是沒有了,05/22 16:00
,,,,推,Hbodo,: HAG697A2,05/22 16:04
,,,,推,KAEN,: 樓上好人,05/22 16:06
,,,,推,BMB2698,: H大大好人一生平安啊^_^,05/22 16:12
,,,,推,LDHK,: 感謝H大,05/22 16:15
,,,,推,sydney2001,: 已用H大折扣碼下單，好人一生平安,05/22 16:17
,,,,推,gary00222,: 感謝H大,05/22 16:19
,,,,推,chinaeatshit,: 不能任選  只服街口大哥,05/22 16:21
,,,,推,suchiachi,: 感謝H大有成功使用折扣碼！,05/22 16:23
,,,,推,arashivivian,: 謝謝,05/22 16:30
,,,,推,ghostland,: 謝H大,05/22 16:31
,,,,推,ch710181,: 感謝折扣碼,05/22 16:36
,,,,推,Eric85768,: 是不是沒袋子了,05/22 16:38
,,,,推,LoveNote,: 保冷袋的加購選項怎出現的呢?,05/22 16:38
,,,,推,LoveNote,: 只有品脫4入的才有0元送,05/22 16:41
,,,,推,tim199980,: 感謝H大,05/22 16:46
,,,,推,ogkdm256300,: 沒了…,05/22 16:47
,,,,推,LoveNote,: 不是折80嗎?,05/22 16:51
,,,,推,PPTmilktea,: 省錢板根本就是花錢板==,05/22 16:54
,,,,推,eric131269,: 買了謝謝,05/22 16:57
,,,,推,airla,: 謝謝分享,05/22 17:02
,,,,推,owhaha,: 要用app結帳 用電腦板折價卷無法使用,05/22 17:04
,,,,推,mcgugu,: 這會不會也有A肝莓的問題?看到莓果類都不,05/22 17:04
,,,,推,aweikids,: 感謝樓上折扣,05/22 17:07
,,,,推,leutk,: 感謝h大,05/22 17:08
,,,,推,aids893001,: 街口我大哥,05/22 17:20
,,,,推,indolentcat,: 真的是花錢版...QQ,05/22 17:47
,,,,推,rivers,: 花錢版＋1，上一波的冰棒還沒吃完冷凍庫也,05/22 17:53
,,,,推,kanghsu,: 剛剛70元沒了 結果有打三折最多折100元,05/22 18:09
,,,,推,xlargeshane,: 有買有推！,05/22 18:12
,,,,推,winemoon3,: 對喔還有一張3折可以再折100元,05/22 18:17
,,,,推,ooohohoho,: 請問3折在哪?,05/22 18:18
,,,,推,heavenbing,: 有買有推，折100還有,05/22 18:35
,,,,推,RGTsupply,: 感謝已買 不過只用了70卷 找不到三折,05/22 18:41
,,,,推,asxc530530,,05/22 18:44
,,,,推,ooohohoho,: 感謝推文提醒100元 換單成功 。品拖時,05/22 18:49
,,,,推,asxc530530,: 不過忘記按加購保冷袋QQ,05/22 18:50
,,,,推,aaaa2004,: 70沒了QQ,05/22 18:55
,,,,推,skyluka,: 沒先看到這篇沒選到保冷袋...,05/22 19:06
,,,,推,juiray,: 請問3折券要到那邊領？,05/22 19:08
,,,,推,RGTsupply,: 活動頁面有 不過被領完了,05/22 19:08
,,,,推,winemoon3,,05/22 19:20
,,,,推,kikujiro,: 贈品9999薛翻,05/22 19:52
,,,,推,yesnosong,: 贈品設9999只是為了避免消費者誤買,05/22 20:05
,,,,推,rubur,: 折70又出現了,05/22 20:13
,,,,推,koronenodog,: 幹 買完才補==,05/22 20:25
,,,,推,GoodMemory,: 買了馬卡龍組合 都沒吃過 有點怕怕的X,05/22 20:30
,,,,推,uj1518,: 有買有推,05/22 20:40
,,,,推,ipipi99,: 謝謝已買,05/22 21:15
,,,,推,ooohohoho,: 現在是1599-190得哈根卷，蝦皮卷1200-,05/22 21:20
,,,,推,LordBubble19,: 省錢版真的是花錢版 好爽喔,05/22 21:22
,,,,推,AngeQ,: 冰箱不夠大（momo買的4罐799+4球還沒吃）,05/22 21:26
,,,,推,yuyao,: 怎麼加購購物袋啊,05/22 21:29
,,,,推,ada1988,,05/22 21:35
,,,,推,g30601,: 蝦皮的折扣碼還有嗎,05/22 21:39
,,,,推,do4313,: 不是很推,05/22 23:22
,,,,推,vwutopia,: 如果可以全家冷凍超取就好了,05/23 00:00
,,,,推,tony90125,: 請問現在買還會有保冷袋嗎 我都找不到,05/23 07:52
,,,,推,Bergoglio,: 昨天晚上就都沒出現保冷袋選項y,05/23 07:53
,,,,推,tony90125,: 原來已經沒了 晚了一步,05/23 07:58
,,,,推,valkylin2,: 運送時間怎麼這麼久?,05/23 12:32
,,,,推,dreamsletter,: 我下單的時候很確定有選 但我現在看,05/24 19:12
,,,,推,valkylin2,: 我訂兩組 今天只來一組冰淇淋.........,05/25 10:17
,,,,推,ivan901229,: 跟樓上一樣,05/25 11:02
,,,,推,bluefish77,: 已收到冰，但贈品說分開寄不知道什麼,05/25 16:20
,,,,推,RGTsupply,: 所以收到只有冰是正常的？？？我的袋,05/25 20:28
,,,,推,morgan77123,: 我也是只來冰淇淋，所以官方有說分開,05/26 10:23
,,,,推,JohnnyDell,: 有人馬卡龍組的藍莓也變成 萊姆葡萄,05/26 17:13
,,,,推,jumbohar,: 我看馬卡龍的規格都是寫473阿，是不是寄,05/26 20:47
,,,,推,JohnnyDell,: J大在那邊看到馬卡龍款寫473ml？,05/27 02:08
,,,,推,jumbohar,,05/28 11:12
,,,,→,cs7151,": 謝謝原po,但你可能沒選到加購贈品",05/22 14:19
,,,,→,gameboy666,: 感謝po跟樓上C大提醒，取消重訂了,05/22 14:31
,,,,→,sos14422,: 謝謝 有便宜,05/22 14:33
,,,,→,LMgogo,: 沒保冷袋阿 見鬼,05/22 14:37
,,,,→,LMgogo,: 喔喔..懂了要自己點...不是直接跑出來,05/22 14:38
,,,,→,faiyu00,: 蝦皮優惠券70無法套用，不知哪裡有問題,05/22 14:44
,,,,→,falllin,,05/22 15:13
,,,,→,ooohohoho,: 不負責任猜測:晚一點可能會有第二波折,05/22 15:32
,,,,→,ooohohoho,": 扣碼,可以等看看,但沒有不要找我要…",05/22 15:32
,,,,→,ooohohoho,: 這次真的便宜 上次我買的日本口味都因,05/22 15:33
,,,,→,ooohohoho,: 為腸胃炎還沒吃 結果現在便宜100元…,05/22 15:33
,,,,→,ooohohoho,: ，也是一個179元,05/22 15:43
,,,,→,bupodadi,": 網頁滑到中間就會看到領取按鈕,",05/22 15:49
,,,,→,Hbodo,: 70隨便試一試就出來了 怒買4盒,05/22 15:50
,,,,→,ghostland,: 70有嗎？,05/22 16:00
,,,,→,freeawei,: 湊一個摺疊收納車,05/22 16:08
,,,,→,fanhsiao1115,: 整天在那街口…笑死,05/22 16:35
,,,,→,ooohohoho,: 某蝦皮折扣團把-70優惠碼列出，還說不,05/22 16:41
,,,,→,ooohohoho,: 准抄襲……,05/22 16:41
,,,,→,a0927651691,: 找不到 放棄了,05/22 16:45
,,,,→,LoveNote,: 我剛還在用,05/22 16:51
,,,,→,PPTmilktea,: 看到就忍不住跟著買了,05/22 16:54
,,,,→,eric131269,: 活動頁可以直接領券,05/22 16:59
,,,,→,arashivivian,: 一堆分潤群組抄襲來抄襲去，根本沒,05/22 17:13
,,,,→,arashivivian,: 人知道來源是哪,05/22 17:13
,,,,→,ooohohoho,: 新的-70的折扣碼可以在活動頁面領了,05/22 17:13
,,,,→,ooohohoho,: 這個折扣碼蝦皮沒有要藏 自己猜碼就可,05/22 17:14
,,,,→,ooohohoho,: 以試出來,05/22 17:14
,,,,→,ooohohoho,: 蝦皮真要藏的折扣碼是不能用輸入的,05/22 17:16
,,,,→,ooohohoho,: 大哥何時可以再顯神威?我想吃咖啡口味,05/22 17:23
,,,,→,rivers,: 有新貨，哈根自由真好～,05/22 17:53
,,,,→,kanghsu,: 更便宜！,05/22 18:09
,,,,→,ooohohoho,: 品拖幾乎沒貨了……,05/22 18:24
,,,,→,aids893001,: 我家冰箱滿了 誰都不能成為我大哥,05/22 18:34
,,,,→,asxc530530,: 謝情報,05/22 18:44
,,,,→,ooohohoho,: 不時會加數量,05/22 18:49
,,,,→,ex250203,: 折100的更爽 早買了QQ,05/22 19:54
,,,,→,GoodMemory,: D,05/22 20:30
,,,,→,ooohohoho,: 120又出現了,05/22 21:20
,,,,→,ada1988,: 右上角點新增可以加袋子,05/22 21:35
,,,,→,icuteasd,: 他怎麼好像三不五時都在特價？？,05/23 00:27
,,,,→,c90370,: 感謝情報,05/23 12:40
,,,,→,pukii9687,: 感謝分享 不過跟杜老爺不知道要吃什麼,05/23 15:23
,,,,→,kiwikelly,: 已買,05/24 10:04
,,,,→,dreamsletter,: 訂單袋子完全不見了 超惡質,05/24 19:12
,,,,→,newhooo,: 分開寄的樣子，網頁上有寫,05/25 09:54
,,,,→,bluefish77,: 時候會寄...物流單號只有一個啊,05/25 16:20
