Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
fish19850104 (chih),[選購] 蝦皮店到店供客人按電話號碼的平板,Fri Feb  3 17:25:31 2023,※ 請詳填下列重要條件!  **勿填寫在與題目同一行上!**※ 內容請填寫在>之後，不符格式者刪文-----------以上可用ctrl+y刪除整行，或自行刪除> 預算範圍 5000內> ①看股②Chrome> ①辦公②有> ①台灣 ②台北> ①10寸吧 ②薄邊框> 否> 補 充 項 目近期去蝦皮店到店按號碼時？發現是一台平板觸控的win10 覺得挺方便，想買來當隨身用，但在網上找不到這台的資訊，有鄉民懂這台嗎https://i.imgur.com/w9zzOCN.jpg-----------以下可用ctrl+y刪除整行，或自行刪除※ (以上皆為重要的條件 敬請詳細填寫)※ (禁止公開徵求業代!! 違者板規懲處),推,cooltedbear,: 不知道是不是surface go 3?,02/03 17:31
,,,,推,dhzzzj,: 看成防身用,02/03 18:13
,,,,推,hermithsieh,: 中國白牌平版啊,02/03 18:33
,,,,推,macgyveryu,: 看成防身用+1,02/03 21:56
,,,,→,kyrc,: surface go,02/03 17:31
,,,,→,gbcg9725,: 很明顯是surface go3,02/03 17:36
,,,,→,gbcg9725,: 5000買不到的，你還是買安卓平版吧…,02/03 17:37
,,,,→,gbcg9725,: 5000頂多只能買對岸小廠出的win10平板,02/03 17:40
,,,,→,fish19850104,: 預算只是粗抓 至少知道機型了 謝謝,02/03 18:45
,,,,→,fish19850104,: 各位,02/03 18:45
tututoto (禿頭王),[討論] 蝦皮順發a5-k1 RTX3060 $28059,Thu Aug 25 00:13:26 2022,原價31999 - 賣場折價券1500 - 92折2440 = 28059這樣OK嗎 還是有別台推薦的3060?,推,macgyveryu,,08/25 00:29
,,,,推,macgyveryu,,08/25 00:37
,,,,推,macgyveryu,,08/25 00:45
,,,,→,macgyveryu,: a5-kl? what?,08/25 00:27
,,,,→,tututoto,,08/25 00:33
,,,,→,macgyveryu,,08/25 00:37
,,,,→,tututoto,: 不過蝦皮這台是5600h,08/25 00:38
,,,,→,macgyveryu,: 3060這台CP高↑,08/25 00:38
,,,,→,tututoto,: 謝謝提供別的型號,08/25 00:40
,,,,→,macgyveryu,: 電商平台的OK.可參考上面的看看,08/25 00:45
qqqptt (阿榮a小世界只容得下阿榮),[討論] asus蝦皮上的官網是標錯價嗎？,Sun Aug 15 06:57:42 2021,,推,zjes40604,: 這種很容易會把其他沒動到的也一併換,08/15 07:21
,,,,推,abc110857,: 下標看看會不會出貨阿,08/15 08:13
,,,,→,zjes40604,: 成便宜的版本   而且升級成1tb搞不好,08/15 07:21
,,,,→,zjes40604,: 是藍盤變綠盤  總之商人絕對不是笨蛋,08/15 07:21
,,,,→,qqqptt,: 可是是asus 耶…有必要做這種小動作嗎,08/15 07:23
,,,,→,teddy,: 一個原價一個特價吧 反正那個價一定還是有,08/15 08:35
,,,,→,teddy,: 利潤的,08/15 08:35
,,,,→,asdf1041,: 這標錯價到時被下標又鬧消費糾紛,08/15 08:47
,,,,→,WFSGT,: 華碩這種大公司直營的話都會吃下去啦,08/15 15:03
,,,,→,wkwtctw,: 橫槓一條 特價無誤,08/15 15:29
berelentless (米鼠爸),[討論] 華碩蝦皮商城下單幾日後告知無庫存,Sat May 22 19:02:45 2021,在疫情爆發前的5月初就有買筆電的打算已經看好要買Asus vivobook S533 JQ朋友提醒5/18 在蝦皮華碩商城可以用折價卷+優惠卷及信用卡回饋可以很優惠的價錢入手在5/18 凌晨0點順利下單5/18  晚上19:30左右系統提醒包裹已安排出貨，5/19就顯示預計5/24送達但是就在剛剛客服卻突然傳以下訊息告知目前無庫存是否要退費or繼續等(但不確定等待日期）有點傻眼...請問大家有過類似的經驗可以分享如何對應嗎？我覺得很不合理，感覺很像被陰了https://i.imgur.com/CcQhUQk.jpg,推,chchwy,: 今年筆電都缺貨得很嚴重,05/22 19:17
,,,,推,edchen,: 推原Po 疫情關係難免延誤，但應該給個時,05/22 19:17
,,,,推,DoublemoodMJ,: 嘖嘖，哪有人安排出貨，卻又說沒貨,05/22 19:23
,,,,推,wetor,: 這波突然全面停課當然缺QQ  買套裝PC吧,05/22 19:27
,,,,推,Or3,: 我覺得可以等啦  這波筆電真的夯,05/22 20:44
,,,,推,jimmyloveu,: 想問大家都在蝦皮或是pc上面買嗎？我,05/22 20:54
,,,,推,ihatebee5566,: 在ASUS store買比較快的樣子,05/26 13:10
,,,,→,chenlimath,: 這台本來就很夯,05/22 19:04
,,,,→,edchen,: 間區間吧...,05/22 19:17
,,,,→,DoublemoodMJ,: ！吃人夠夠喔！,05/22 19:23
,,,,→,wetor,: I3-10100都跟i7-7700一樣強惹，I5也很划算,05/22 19:29
,,,,→,wetor,: 去年雙11也電蝦也爆發過訂惹等超過一個月,05/22 19:31
,,,,→,edchen,: 樓上這樣最後有給補償措施嗎？ 離預期預定,05/22 19:36
,,,,→,edchen,: 時間差太多這樣真的不行,05/22 19:36
,,,,→,Or3,: 如果你蝦皮不買  其他店家可能也沒貨要等,05/22 20:45
,,,,→,jimmyloveu,: 只知道momo好像不建議買電子產品,05/22 20:54
,,,,→,justoncetime,: 公司幾個月前下百台都有無法如期交,05/23 00:21
,,,,→,justoncetime,: 貨的違約金產生了...,05/23 00:21
,,,,→,berelentless,: 想問各位大大如果一直等不到出貨，,05/23 09:21
,,,,→,berelentless,: 最後取消訂單只有退原費用嗎？還是,05/23 09:21
,,,,→,berelentless,: 可以要求賠償呢？,05/23 09:21
,,,,→,labbat,: 可以打官司索賠利息損失吧,05/26 01:03
davidhsian (栗子),Re: [選購] 蝦皮打折筆電選購,Wed May  5 12:00:35 2021,看到這篇文章買了 swift 5 i5 16g ram32690配上89折跟折600買下來大概28537還可有信用卡回饋這價格應該算是蠻划算的了不確定89折卷還有嗎如果沒有認真多刷幾次應該還可以刷到少量開出的給有需要的人參考一下,推,HaHaPoint,: 我也訂了GP76 3070版 省了6000,05/05 16:07
a0955092287 (baldwin),[選購] 蝦皮打折筆電選購,Mon May  3 11:22:44 2021,> 預算範圍 (禁填不限)40k> ①用途 ②常用軟體主要是文書處理跟玩遊戲> ①攜帶頻率 ②使用場所有無插座每天都會使用，有插座> ①使用國境 ②如在台使用請寫地區台北> ①螢幕尺寸範圍 ②外觀偏好13-15寸> 是否 必須內建光碟機不需要> 補 充 項 目目前看上的是這兩款ROG GA503 43900元https://i.imgur.com/aGOAzyR.jpgTUF Gaming FX516 41200元https://i.imgur.com/tBTqpQh.jpg記憶體，顯卡，硬碟都是規格都差異不大唯一需要考慮的就是CPUGA503這台CPU是AMD的，等級比較高。價格也稍微貴了兩千塊但另外一台也不差，兩台都已經符合我的需求但是目前還是很糾結CPU要選Intel還是AMD一直都是用Intel的CPU之前聽說AMD有過熱的問題不知道是不是已經有改善了如果是桌機還好筆電我就會比較在意散熱的問題畢竟目前查到的資料來說其實AMD各種評價都相當猛兩台的價格在搭配上蝦皮五月五日的折扣之後都滿殺的八五折券上限可以折兩千https://i.imgur.com/KYzE6OJ.jpg八九折券上限則是折五千https://i.imgur.com/WP6axJJ.jpg這樣折下來如果有搶到89折的卷ROG GA503是39071元TUF Gaming FX516是36668元想知道要選哪台比較好感覺上應該是要五月五日的時候搶一下Orz※ (以上皆為重要的條件 敬請詳細填寫)※ (禁止公開徵求業代!! 違者板規懲處),推,amoebaba,: 當然GA503,05/03 13:29
,,,,推,asdf1041,: intel 11代發熱量真的大，電競機目前散,05/03 13:38
,,,,推,Gsanz,: 這兩台差2000元根本不用考慮,05/03 13:41
,,,,推,skybluemay,: 準備要買，看這篇才知道蝦皮55有活動,05/03 13:45
,,,,推,www123442,: 5800h是8核 11370h只有4核 別被i7騙了,05/03 13:54
,,,,推,xva,: 完了 本來就已經怕搶不到券.....,05/03 13:59
,,,,推,chchwy,: 這兩台的CPU 根本不同等級 差很多很多,05/03 14:17
,,,,推,fbiciamib123,: 感謝資訊 五號來搶折價券,05/03 14:43
,,,,推,logus,: 會被取消單 別問我為啥知道哈哈哈哈哭啊我,05/03 16:31
,,,,推,amoebaba,: 到時g15可能會缺貨，F15應該有機會，我,05/03 18:54
,,,,推,jenq0011,: 這兩台有啥好比 價格差不多肯定選上面,05/03 19:41
,,,,推,jenq0011,: 11370輸幾條街,05/03 19:43
,,,,推,xva,: 好險有搶到...,05/05 00:11
,,,,推,davidhsian,: 感謝 搶了Swift 5 i5 16g版，折下來2,05/05 00:50
,,,,推,bluewolf,: 樓上好準 還真的拿掉,05/05 00:52
,,,,推,mmm333,: 華碩在蝦皮果然把CP值高的電競筆電都下架,05/05 18:50
,,,,推,papajaja,: 華碩從四月開始就故意拿掉高價品,05/05 20:55
,,,,推,Go2,: 蝦皮對活動日下單抽的平台手續費有多% 不意外,05/30 16:44
,,,,→,saimeitetsu,: 說AMD熱是10年前的事了；現在反過來,05/03 12:15
,,,,→,saimeitetsu,: Intel拼命拉高頻率美化分數比較熱,05/03 12:15
,,,,→,asdf1041,: 熱設計還勉強壓的住這些CPU，反觀一堆,05/03 13:38
,,,,→,asdf1041,: 輕薄機還在設計單管單散來壓，結果降頻,05/03 13:38
,,,,→,asdf1041,: 一堆,05/03 13:38
,,,,→,skybluemay,: 感謝原PO XDD,05/03 13:46
,,,,→,chchwy,: i7 11370只有名字叫i7 實際上差遠了,05/03 14:19
,,,,→,adolf302,: 千萬別買i7，要買也要等h45,05/03 15:17
,,,,→,bonjovi0930,: 別傻了.5/5他們會被拿掉不然就是漲價,05/03 15:55
,,,,→,logus,: 的ssd,05/03 16:31
,,,,→,amoebaba,: 之前有買到,05/03 18:54
,,,,→,davidhsian,: 8多，很划算了,05/05 00:50
,,,,→,mmm333,: 了，樓上有人料事如神，呵呵。,05/05 18:50
,,,,→,papajaja,: 這種折扣不是蝦皮本身出錢嗎為什麼華碩,05/05 20:56
,,,,→,papajaja,: 要把產品拿掉 有點疑惑,05/05 20:56
JustBecauseU (ki),Re: [選購] 蝦皮特價 Acer筆電選擇（內有選手）,Wed Mar 24 23:43:02 2021,"借串問 acer predator 2060這台好嗎=基本資訊=◆ 型號： PH317-54-731U(升級)◆ 貨源：原廠公司貨◆ 保固：二年台灣地區完全保固/一年國際旅約保固/電池保固一年/第一年58分鐘快速完修◆ 標準配件：變壓器+電源線, 滑鼠, 原廠側背包=詳細規格如下=◆ 作業系統：WIN10◆ 處理器CPU：Intel Core i7-10750H 6核心/12緒 2.60 GHz 超頻 5.00 GHz / 12M Cache◆ 顯示晶片：NVIDIA GeForce RTX2060 6GB DDR6◆ 記憶體(實際出貨)：16GB DDR4 3200MHz◆ 記憶體支援容量(總插槽數量/總容量)：共2個插槽，已經使用1個，最高支援32G◆ 螢幕LCD：17.3"" FHD 1920x1080 IPS 144Hz 霧面◆ 解析度：1920x1080◆ 儲存/硬碟：512GB PCIe NVMe SSD + 1TB HDD◆ 光碟機：N◆ 尺寸(mm)：403.5 (W) x 280 (D) x 24.7 (H) mm◆ 重量：2.9Kg◆ 無線網路：802.11a/b/g/n/ac 2x2 MU-MIMO Killer Wireless-AC◆ 藍牙：Bluetooth v5.0◆ RJ-45：N◆ 電源變壓器：180W◆ 電池：58.7 Wh 3815 mAh◆ Battery Life：Up to 15 hours (MobileMark2014)◆ Webcam：(前) HD (1280 x 720)/SHDR◆ 介面 (I/O 連接埠)：1 x TypeC USB3.1 Gen23 x TypeA USB3.0感覺近期不會有3060 17吋了這台螢幕是ok的嗎",推,davidd0314,: 你有po價錢嗎？沒po比較難判斷,03/24 23:51
,,,,推,davidd0314,: 當然一分錢一分貨，台灣高階rog都6萬,03/24 23:58
,,,,推,enping,: 這台面板是N173HCE-G33，72% NTSC。國外,03/25 00:01
,,,,推,JAY751016,: 沒有wifi6喔？,03/25 08:45
,,,,推,davidd0314,: wifi6如果沒有就要多花600裝一張,03/25 09:09
,,,,→,davidd0314,: 之前有很長一段時間，我一直是Predato,03/24 23:51
,,,,→,davidd0314,: 的死忠支持者，現在也是,03/24 23:51
,,,,→,davidd0314,: 但是ROG用了幾台之後，會覺得Predator,03/24 23:52
,,,,→,davidd0314,: 稍微有點偏重，不過如果是美版的性價,03/24 23:52
,,,,→,davidd0314,: 比還是很好，效能發揮也是十分足,03/24 23:52
,,,,→,davidd0314,: 如果您這一台，有兩點主要考量,03/24 23:53
,,,,→,davidd0314,: 一個是重量，一個是解析度,03/24 23:53
,,,,→,davidd0314,: 1080p在 15.6吋下可能還是夠用,03/24 23:53
,,,,→,davidd0314,: 但是上到17吋螢幕之後，我比較建議,03/24 23:53
,,,,→,davidd0314,: 至少要有2k屏，新一代的rog全面都會搭,03/24 23:53
,,,,→,davidd0314,: 2K 165HZ，2k是搭配rtx30系列應運而生,03/24 23:54
,,,,→,davidd0314,: 若沒有30顯卡，也run不動2k的解析度,03/24 23:54
,,,,→,davidd0314,: 美國會便宜大概1.5萬，看你的需求,03/24 23:58
,,,,→,davidd0314,: 如果這一台能夠四萬初頭買到是不錯的,03/24 23:58
,,,,→,davidd0314,: 選擇，但遺憾就是解析度、重量,03/24 23:58
,,,,→,davidd0314,: 我用過Predator 的rtx2060系列,03/24 23:59
,,,,→,davidd0314,: 效能發揮十分好。,03/24 23:59
,,,,→,davidd0314,: 但我是你的話，17吋我可能會從GE系列,03/25 00:00
,,,,→,davidd0314,: 的等美國特價一兩萬時後入手,03/25 00:00
,,,,→,davidd0314,: msi我比較推高階機種,03/25 00:00
,,,,→,enping,: 有評測表現比15吋用的AUO面板還要好一些,03/25 00:01
,,,,→,enping,: ，所以應該不用擔心。,03/25 00:01
,,,,→,davidd0314,: 17吋相對選擇性真的不多,03/25 00:01
,,,,→,AriaPokoteng,: 刷了一台nitro5 等到貨用用看,03/25 00:54
,,,,→,AriaPokoteng,: 不知道這台用的NV156FHM-N4K有沒有,03/25 00:55
,,,,→,AriaPokoteng,: PWM 看雷蛇用這片有 其他有些檢測卻,03/25 00:55
