Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ccplayer (發財天使),[情報] momo Toshiba 55z770kt特價,Mon May  1 18:28:23 2023,"         一直在注意這台電視，前陣子桃子都3萬5左右，昨天看特價26,900,還可以用折價卷（1620）及MOMO卡的momo幣回饋，很適合想下手的人出手了喔。        同台加映65z770kt的售價為34,999 可以抵用的折價卷比較少只有150。----Sent from BePTT on my Google Pixel 7 Pro",推,eno03,: 推分享 他有兩個賣場 有個能用 會員$1500 折價券 如果沒有,"['05/01', '23:14']"
,,,,推,vaseaquarius,: 好便宜...已買,"['05/02', '17:26']"
,,,,推,bluerainbow,: 今天也下單了，但是發現沒含基本安裝，不知這樣OK嗎,"['05/03', '10:34']"
,,,,推,eno03,,"['05/05', '18:11']"
,,,,推,bluerainbow,: 後來電話聯絡師傅，加800基本安裝,"['05/05', '20:19']"
,,,,推,bluerainbow,: 看了一下，現momo只有一個還，含安裝，可惡，我之前,"['05/05', '20:31']"
,,,,→,eno03,: 也能去app亂領券有個1520券,"['05/01', '23:14']"
,,,,→,eno03,,"['05/01', '23:15']"
,,,,→,eno03,: 55的也有 或許你接到電話問一下師傅 加安裝+多少錢,"['05/05', '18:13']"
,,,,→,bluerainbow,: 的沒得選,"['05/05', '20:31']"
alan1231005 (Alan),[情報] MOMO PHILIPS 65PUH8217 $21900 送聲霸,Sun Mar  5 02:21:48 2023,https://reurl.cc/RvXoqZ【Philips 飛利浦】65吋4K android聯網液晶顯示器(65PUH8217)65吋 4KANDROID 11 4規HDR4G記憶體3年保固送聲霸 TAB5105 70W 藍芽https://reurl.cc/lveOyd再送USB風扇 家樂福200元MOMO登記回饋上限 1000-1050元分享給大家參考,推,ce588072,: 菲牌電視沒有背景光好像就沒那個價值？,"['03/05', '14:33']"
,,,,→,eno03,: 2萬左右也只有它內存4+16GB ambilight約要再+6K 65PUH8516,"['03/05', '19:12']"
,,,,→,alan1231005,: 3/5活動已結束,"['03/06', '10:47']"
sagwow (不是我),[問題] momo電視配送問題,Tue Nov 15 21:25:42 2022,想請問在momo買電視，不管買哪款，出貨前都會先電話聯絡才送嗎?因為住社區大樓，很怕物流直接送到社區櫃台，然後我還得自己搬上樓= =並且因為想用壁掛，我看有些電視的頁面有安裝的價目表，有些沒有。是頁面有放安裝價目表的款式才可以請配送人員幫忙安裝嗎?還是每一台都可以跟出貨的人預約說要安裝壁掛呢?最後，有些電視的頁面有寫安心配，有些沒有。請問差異在哪呢?查超久都查不到解答，問線上客服它顯示看不懂問題…也找不到可以詢問真人客服的方法Orz麻煩大家解答了，謝謝~,推,alulululu,: 配送前會有專人電聯，把需求告知聯絡你的人員,"['11/15', '21:48']"
,,,,推,bowgee,: 會先問吧 壁掛另外收費,"['11/15', '21:49']"
,,,,推,eno03,: 網頁沒寫含基本安裝的 有些就沒有 50吋以下有些沒有,"['11/15', '22:36']"
,,,,推,br2658,: 不是有個問問功能嗎？,"['11/15', '22:37']"
,,,,推,FishGreen,: 可以搜尋客服電話喔！直接詢問應該最快,"['11/15', '23:57']"
,,,,推,kbkb4300,: 上週買國際牌，經銷商有先電話聯繫詢問是否要壁掛等等,"['11/16', '00:32']"
,,,,推,alulululu,: momo的貨物送到前其實都可以點退貨吧，東西到了之後說,"['11/16', '10:40']"
,,,,推,mars1985,: 神腦也是配東源,"['11/16', '14:32']"
,,,,→,weisofta,: 因為有不同賣家 所以資訊不同,"['11/15', '21:45']"
,,,,→,weisofta,: 有的有寫 有的沒,"['11/15', '21:46']"
,,,,→,weisofta,: 理論上要先問時間安裝,"['11/15', '21:47']"
,,,,→,weisofta,: 有的大型家電不是有寫配送前會連絡,"['11/15', '21:48']"
,,,,→,eno03,: 買完在訂單頁問問題 通常回復較快 沒信心買別家也可,"['11/15', '22:37']"
,,,,→,kbkb4300,: 問題，隔幾天出貨前，還有打電話約時間,"['11/16', '00:32']"
,,,,→,baw88,: 8月才買過一台，會先打電話給你約時間，基本安裝是幫你拆箱,"['11/16', '01:45']"
,,,,→,baw88,: 定位，開機測試沒問題，所以不可能只送到大樓櫃檯，壁掛你,"['11/16', '01:45']"
,,,,→,baw88,: 要再問一下,"['11/16', '01:45']"
,,,,→,baw88,: 如果只送到櫃檯結果電視壞了，那誰要負責呢？任何一間通路,"['11/16', '01:48']"
,,,,→,baw88,: 商只要是送貨都不可能冒這種風險,"['11/16', '01:48']"
,,,,→,alulululu,: 已點選退貨不收即可,"['11/16', '10:40']"
,,,,→,luecat,: 會有出貨廠商打電話溝通送貨時間，你把壁掛需求跟他說，,"['11/16', '14:01']"
,,,,→,luecat,: 問他們怎麼收費，壁掛架用那個型號，他們應該都能回覆,"['11/16', '14:01']"
goodluckyho (干城特戰隊),[情報] MOMO 液晶電視優惠,Thu Jul 21 15:37:42 2022,在MOMO看到的優惠https://reurl.cc/A7VjWd蠻多電視都有好幾重優惠主要看這檔是送比較的MO幣https://i.imgur.com/iM2KaGv.jpg之前版上討論度很高的Philips 55OLED706現在49999也有送兩千多MO幣、音響、行李箱、藍芽耳機、傳輸線等等小東西脫手加上信用卡5%也是不無小補看了我也有些心動,推,adolf510,: 現在價格如果抓49999-2500(mo卡5%)-2777-4000(soundbar),"['07/22', '15:30']"
,,,,推,vict1,: 問題之前六月39990還有送禮卷耳機 扣完都更低喔,"['07/22', '15:32']"
,,,,推,tsou,: 706最好入手時間是4~5月份時候，一樣49999送15000 soundbar,"['07/24', '22:11']"
,,,,推,eno03,,"['07/26', '00:04']"
,,,,推,anywayluvu,: 4~5月也送太多東西了,"['07/26', '23:42']"
,,,,→,nisioisin,: 之前沒送東西才賣$39999 現在送這些又不值一萬,"['07/22', '11:09']"
,,,,→,nisioisin,,"['07/22', '11:09']"
,,,,→,gwofeng,: 55吋賣五萬真的不行啊,"['07/22', '13:24']"
,,,,→,adolf510,: 的話是40k多一點，三四月是各家都下殺 現在要找到之前那,"['07/22', '15:30']"
,,,,→,adolf510,: 種價格應該難了,"['07/22', '15:30']"
,,,,→,talon0222,: 還可以再等更低點！！,"['07/22', '20:02']"
,,,,→,tsou,: 還有3000的大廈扇還有其他小東西跟mo幣回饋價格大約30000,"['07/24', '22:12']"
,,,,噓,nisioisin,: 太葉了吧  至少有這篇戰力再來吧,"['07/22', '11:09']"
rcf150cc (絕狼ZERO),[心得] 真的不要在MOMO買電視,Sat Jan  8 19:17:37 2022,如題https://i.imgur.com/z6RQw0z.jpg到貨當天試用完 覺得不行隨即辦理退貨 然後就是跟客服的抬槓拖了一個禮拜等到的是原廠維修客服方反應要檢驗 確定有瑕疵才能退我之前在PCHOME買也沒這樣包好 貨運就來收走了雖然電視沒多少錢 但是感覺很差瑕疵1連接藍芽喇叭看內建YT嚴重延遲瑕疵2連接喇叭 電視還是有聲音其它影像的部分就算了 便宜貨不能要求我已經做好退不掉的心理準備也一定會去消保會投訴親身體驗給各位當個例子QQ,推,vincent14,: 嚴重延遲是多嚴重,"['01/08', '19:27']"
,,,,推,snake0214,: 連藍芽喇叭延遲是很多三線安卓機的通病,"['01/08', '19:27']"
,,,,推,Nalo,: 可能是廠牌的問題..？,"['01/08', '19:42']"
,,,,推,Addressg,: 電視藍芽會延遲的機率很高,"['01/08', '19:44']"
,,,,推,justin521,: 真的不要為了省錢買雜牌電視 要就存久一點,"['01/08', '19:55']"
,,,,推,mcyangtw,: 夜市吃東西不好吃一般不退費啦,"['01/08', '21:07']"
,,,,推,s800525,: 43吋8千多XD 老實說這價位你還期待產品也是一絕，能亮撐,"['01/08', '22:07']"
,,,,推,s800525,: 猜是中國雜牌，以現在海運那麼貴43吋也不小了，扣掉運費,"['01/08', '22:09']"
,,,,推,chaselove610,: 網購不是本來就七天無條件退費嗎 樓上怎麼這麼氣,"['01/09', '21:44']"
,,,,推,yaoa327,: 我覺得你自己的問題比較大,"['01/10', '13:49']"
,,,,→,weisofta,: 買雜牌就是不要期待會有多好的售後,"['01/08', '19:23']"
,,,,→,snake0214,: 我遇過聲音延遲（1-2s) 還有聲音正常 影像延遲…,"['01/08', '19:28']"
,,,,→,crono0,: 延遲要舉證是本體問題基本上沒辦法 相容性非本體問題,"['01/08', '20:20']"
,,,,→,mio30002000,: 聲音延遲跟momo沒關係。,"['01/08', '20:34']"
,,,,→,s800525,: 得過一年我覺得就超值了,"['01/08', '22:07']"
,,,,→,s800525,: 中國那可能只賣4-6K台幣，以現在原物料漲價這價格也真的,"['01/08', '22:09']"
,,,,→,s800525,: 蠻誇張的,"['01/08', '22:09']"
,,,,→,d5168,: 連接喇叭後電視仍有聲音是設定沒弄好吧 = =,"['01/08', '22:26']"
,,,,→,gamewed,: 比較大 跟mo沒什麼關係,"['01/08', '23:54']"
,,,,→,tw1019,: 大家都跟你隨便一樣試用都退貨 大家都不用做生意了,"['01/08', '23:58']"
