Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
cathrynjp (相逢何必曾相識),[冷氣] MOMO東元冷氣福利品,Wed Nov  9 10:59:03 2022,本文僅限提出問題讓大家提供意見討論非徵求報價文、心得或抱怨文，徵求報價文將直接刪除不通知，心得或抱怨文請另選其他發文選項。若有廠商開立報價單需諮詢，可用本文，但請使用內建發文格式，資料須填齊。徵求冷氣推薦請先自行作功課，勿當伸手文。是否已閱讀上述說明:是(未回答是或直接刪除上述六行任一文字一犯水桶七日、二犯水桶十四日)以上文字請置頂，內文請寫在下方，勿將上述說明往下排放。下述選項可自行選用或刪除3.是否東西曬、頂樓、挑高、多熱源(如魚缸、電腦、多燈具)＼使用習慣與時間長短？：－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－沒有，如果小孩在房間就會都開著估計接下來都不會開到但這幾天的確是有點熱4.希望品牌、系統、型號 → 變頻、定頻＼專冷、冷暖＼壁掛、吊隱：－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－MOMO這台東元HS福利品 好便宜https://imgur.com/ZTAbHBt5.現況簡述：－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－現在的冷氣是不是都很不耐用阿去年家裡裝的歌林最近出現問題，才買不到一年會想換東元是因為我店裡東元冷氣每天這樣對外吹操了4.5年還是冷爆https://imgur.com/undefined當初裝潢師傅幫我裝的現在聯絡不到裝潢師傅了https://imgur.com/MaSeKfa想到最近雙11檔期看到MOMO那台東元HS福利品大家覺得可行嗎?自己開店小本生意賺錢不易先謝謝大家了6.大略預算：－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－註：填寫清楚才能給適當建議。例如有西曬問題卻沒提出來，建議的冷氣就會不夠用囉~,推,nhjjy8      ,: 在MOMO買本身就是一件很恐怖的事情,11/09 11:25
,,,,推,steve1986000,: 這才1年保固...我賣其他三線一級冷,11/09 11:33
,,,,推,fop945t     ,: 以前冷氣都是定頻所以耐操，但冷氣,11/09 12:30
,,,,推,smallkop    ,: 東元可以福利品不行,11/09 12:51
,,,,推,qw22329603  ,: 認同1F，momo買冷氣已經是一件夠可,11/09 19:23
,,,,推,chusandy    ,: 我家是裝HS系列很不錯啦！,11/10 09:50
,,,,推,popbitch    ,: 乖乖買7年保固不用擔心一堆的不好嗎,11/12 10:23
,,,,推,dkfs789     ,: momo服務很好你可以在本版搜尋momo,11/12 11:56
,,,,推,mytropicfish,: momo安裝水準很看人品 人品不好 還,11/12 18:27
,,,,推,jahnson     ,: 東元冷氣ok，若保固一樣福利品沒差,11/16 13:47
,,,,→,nhjjy8      ,: ，更何況還是福利品，建議直接到賣,11/09 11:25
,,,,→,nhjjy8      ,: 場買全新的HS，雙11他們優惠也很多,11/09 11:25
,,,,→,steve1986000,: 暖也不用2萬 三年保,11/09 11:33
,,,,→,Antihsieh   ,: 冷氣適合買福利品嗎？發問,11/09 12:14
,,,,→,bcs         ,: 可以啦，店裡的冷氣能多冷就多冷，,11/09 12:21
,,,,→,bcs         ,: 不像家用冷的剛好。,11/09 12:22
,,,,→,fop945t     ,: 電費算下來可能沒有比較划算，現在,11/09 12:30
,,,,→,fop945t     ,: 電費又貴,11/09 12:30
,,,,→,pentw       ,: 同事momo買東元很滿意但不是福利品,11/09 12:49
,,,,→,qw22329603  ,: 怕的事了，再加上福利品，出問題找,11/09 19:23
,,,,→,qw22329603  ,: 不到人修的機率超大,11/09 19:23
,,,,→,qw22329603  ,: 想要便宜去看看全國，這台大概才3萬,11/09 19:24
,,,,→,qw22329603  ,: 還是全新品，先預約一下免費場勘吧,11/09 19:24
,,,,→,mafin0325   ,: 看推文才知道momo....,11/09 22:55
,,,,→,plethora    ,: 福利品如果事後遇到維修的錢更多吧,11/11 15:49
,,,,→,mytropicfish,: 是買日系的 起碼出事原廠多層保險,11/12 18:27
,,,,→,jahnson     ,: 。,11/16 13:47
qpmzw (無名),[抱怨] Momo購買冷氣經驗,Sun Jun 20 14:57:03 2021,本文為抱怨、反推文，是否明白本文發出後不可回頭串改內文：是*[31;1m(刪除上述任一文字、未回答是或者回答否，文章不通知直接刪除，水桶7日、二犯水桶14日)*[m以上文字請置頂，內文請寫在下方，勿將上述說明往下排放。1.反推　： 賣家 (請寫出是反推賣家或者是反推商品，          反推賣家請至少事發七日後才可發文，反推商品請到貨使用十四日後才可發文)2.廠牌：三菱電機富士通3.品名及型號：冷暖變頻空調MUZ-GR35NJ/MSZ-GR35NJ冷暖變頻空調ASCG036KZTA/AOCG036KZTA4.購買來源：Momo (未寫清楚直接刪文，二犯水桶14天)            (網購可貼網頁截圖，勿直接張貼賣場，違者刪除，            二犯水桶14天)            (購買來源若為小蔡/米米實業，請清楚寫明)5.已使用時間：5/7安裝至今 (自購買日收到貨起須超過14天使用後才可發文，            未寫或未超過14日即刪文，二犯水桶14天，            資料若與購買證明上時間不符， 視同造假、廣告文，退文及永久水桶處理)            (抱怨商家請至少事發七日後後才可發文，期間請先和商家溝通)6.購買憑證：https://imgur.com/9fUOP7dhttps://imgur.com/K514btc(若無購入證明(發票、訂購記錄，須清楚的年月日)刪文，            二犯水桶14天；資料造假以退文處理及永久水桶，            (超過一年以上商品已遺失購買證明，請提供保卡，            上面需有廠商印章跟保固年月日)            (購買來源為小蔡/米米實業，商家名稱不需隱藏)非自行購入商品請附上保固卡，上面需載明清楚的保固日跟商家發票章)7.額外收費： 有，詳述如下8.詳細情況：我第一次在Momo買大型家電，只是體驗真的很差，包括廠商安裝問題與Momo價差問題，決定寫下來分享，請大家之後注意這些細節===================我四月底在Momo下單了兩台冷氣，參考了眾多分享後，決定買富士通Z系列跟三菱電機靜音大師這兩台，想說反正買同種兩台也沒折價，差不多價錢，剛好都實際用用看，誰知道Momo就是有辦法讓我兩台都覺得不爽…4/28 我下單了兩台冷氣5/3 三菱電機安裝廠商來電約定5/7安裝5/6 富士通安裝廠商先來勘查、報價一般安裝架連工帶料800元窗型冷氣孔封板連工帶料800元電源線費用1000元報價就是我上面寫的這些，雖然沒安裝過冷氣，但是心得也看了不少，封板還第一次聽到要收這麼貴的…然後電源線費用？我是窗型換分離式，本來就有窗型220V的插座，並且距離分離式室外機安裝位置的窗台走線不到兩公尺，他跟我說要收電源線迴路費用！？「迴路費」意思應該是從電表拉一條獨立電過去吧？細問之下，他說就是從我的插座接電到室外機的費用…我聽後覺得太不合理，跟現場負責師傅問一下，他就說要請其他人跟我聯絡因為他的報價讓我嚇到了，我就自己買不鏽鋼安裝架(180元/組)跟比較好的封板材料(300元/片)，打算給師傅賺工錢，因為要裝兩台，我直接買了兩組5/7 三菱電機來安裝，昨天買的材料就給他們用，室外機安裝架工錢收了300元，另外收個上樓費100元，不過後來發現他們室外機安裝架沒鎖在地上… 工錢我覺得ok啦接著富士通來電聯絡，我猜是他們老闆或工頭，他說他們標準安裝價目表有寫冷氣迴路費用https://imgur.com/IH2OyZM我仔細看了一下他標準安裝，明明第4條就寫著：室內機與電源插座距離，需在所附電源線需可直接插於預留插座長度內，不需另外配線…他：「這條的意思是如果是室內供電的才是看室內機跟插座的距離」我：「現在分離式沒有人在室內供電的，意思是你們安裝所有分離式冷氣都一定要收這條錢囉？」他：「對。」我：「這條的意思明明就是指室內機跟室外機間，還有室外機跟插座間，都要在原廠附的電源線距離內，你的意思是原廠沒附室外機到電源插座的電源線？」他：「對。」我：「…那你們一定要收的話幹嘛不乾脆把價錢加上去避免爭議！？」他：「價格很競爭，加了會沒人買啊！」我買大型家電沒附電源線？至此我已經不想跟他爭了，富士通法務部應該要上場了，有廠商指控你們賣的電器不附電源線，所以要另外加錢買才會有喔。請大家留意，Momo合作出貨的廠商很多，你如果看到價目表有這條冷氣迴路費的…自己小心點啊！他是跟我說一定會收喔！當天我就決定去Momo退貨了，反正我還沒安裝，我就去找我能接受的，這種溝通狀況，就算強調安裝保固兩年大概也沒什麼用。然後第二件事情就來了，我手賤順手點進去三菱電機的販售網頁，發現價格降了1200元左右(商品贈品條款條件均相同)，我就打去客服富士通退貨客服直接操作，反正我沒安裝。但三菱電機這個價格差異，客服說只能退「滿990折500券*2+200Momo幣」，皆需等10天以上發，且有效期大家都知道Momo的垃圾折價券根本沒用，我一共打了兩三次客服，後來也寫信去，不用退現金，只希望改成退1200 Momo幣，他們就是堅持只能這樣處理，沒錯啦我安裝了，他也吃定我退不了。請大家安裝前再去確認一下網頁價格有沒有變動，就算你裝的當天去反應差價也只會得到這種回覆喔！以上就是我買Momo的經驗，提供給大家參考，希望對大家有幫助,推,keroberyl,: 謝謝分享 正在看momo冷氣  然後去年在Y,06/20 15:55
,,,,推,popblue,: 冷氣還是找在地優良廠商裝比較好 因為日,06/20 15:57
,,,,推,Seattle995,: 兩台三菱靜音大師也是給家附近傳統電,06/20 16:00
,,,,推,savag,: 封版收1000元為什麼不合理？,06/20 16:26
,,,,推,efun0242,: 我在台南裝PX 兩台也是給你一樣 迴路費1,06/20 16:50
,,,,推,efun0242,,06/20 17:01
,,,,推,whisky520,: 一樓，日本都說內機供電,06/20 18:15
,,,,推,mike7689,: 日本跟台灣的機型不一樣 日本都是做室,06/20 18:57
,,,,推,satotatsuya,: 阿量販跟網購的手法就這樣啊，大家,06/20 19:25
,,,,推,tengerinedog,: 冷氣這種就是要找店家才找得到人,06/20 20:46
,,,,推,green198809,: 我覺得退mo幣很合理,06/20 20:51
,,,,推,siegfriedlin,: 在地冷氣行最好+1,06/20 20:54
,,,,推,pea5566,: 樓上 請問記得配合的安裝商是哪家嗎？,06/20 20:58
,,,,推,pea5566,: 呃 我是想請問60樓t大,06/20 21:01
,,,,推,flosser,: 推在地+1,06/20 21:04
,,,,推,tengerinedog,: 說的不是機型說的是冷氣安裝還有,06/20 21:24
,,,,推,SuperMoist,: 我momo買國際LJ63師傅來安裝只收室外,06/20 21:42
,,,,推,pezhan,: 冷氣沒附電源線這很正常，所有冷氣都是,06/20 21:52
,,,,推,leecoco,: 冷氣找在地 不要找電商,06/20 22:06
,,,,推,popbitch,: 我在順發買的冷氣，封冷氣孔沒有收錢,06/20 23:32
