Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
star07 (),[問題] MOMO 最近物流是爆炸了嗎？,Tue May  9 14:33:28 2023,看板上沒人發 想說來問一下順便當作取暖文（？訂貨時間如下https://i.imgur.com/sWRtr0e.jpg最新狀況是從05/05上週五晚上八點卡在中山站轉運作業中 到現在請問這還是正常的嗎？還是可以開始去跟客服吵了----Sent from BePTT--https://imgur.com/7vp1P2Thttps://imgur.com/FrEqNr1https://imgur.com/L3sqF3U,推,keyman2,: momo也有遲到賠100嗎？,05/09 14:39
,,,,推,tsugua,: 快速到貨商品5/2下午兩點下單，5/4早上收,05/09 15:25
,,,,推,hotharry,,05/09 15:56
,,,,推,keyas0403,: 我昨天訂的東西今天就到了,05/09 16:41
,,,,推,JOYJS,: momo用行動支付不算快速到貨，反正毛很多，,05/09 19:46
,,,,推,jerrytseng61,: 我正常耶,05/09 20:54
,,,,推,emily4330,: 上週買東西也是很久才到貨，客服說行動,05/09 21:40
,,,,推,Spencer22,: 真的有點久誒，有時候就是會遇到這種,05/09 22:10
,,,,推,asduio,: 對不起卡到您，我昨天下單今早和下午到貨,05/09 23:07
,,,,推,ula0806,: 我前幾天下單的是隔天就到貨，沒有延遲，,05/10 03:56
,,,,推,Horn5201,: 蝦皮的也爆炸了xd,05/10 06:36
,,,,推,roger840410,: 筆電這種大部分是廠商出的,05/10 07:11
,,,,推,Timberlake,: 我買顯卡當天送到欸,05/10 07:23
,,,,推,lehmann128,: 我的也卡在轉運2天了都沒動….,05/10 08:41
,,,,推,parislove3,: momo的算法是物流有營業的時段才算,05/10 09:41
,,,,推,taishi,: 搭版請問，我購買日貨代買FB粉專上的po貨,05/10 14:04
,,,,推,Sparks0917,: 上次買MOMO快速到貨用Line Pay超過24,05/10 17:28
,,,,推,piaoxue323,: MOMO買筆電本來就很慢,05/10 17:35
,,,,推,JOYJS,": 並沒有市面上標榜24,都用營業時間算喔，PC",05/11 00:32
,,,,推,dipsymoon,: 前天晚上也訂筆電 隔天中午就到了,05/11 17:46
,,,,推,Veronica0802,: 天母超正常  早上訂 傍晚到。,05/11 23:58
