Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
yuting850820 (yuting),[情報] Natio PChome雙11滿額優惠,Wed Nov 16 16:33:57 2022,是否已讀取發文須知並詳閱版規(Y/N)：Yhttps://i.imgur.com/V0ctPx1.jpg平常很愛用Natio的洋甘菊玫瑰柔膚水濕敷鎮靜肌膚很有感～洗完澡就會倒在化妝棉上 濕敷大概10分鐘再擦保濕水乳液早上起床要擦防曬、上底妝前 也會濕敷5分鐘然後上保濕防曬乳Natio的防曬乳是沒有潤色的 上臉比較輕透再上粉底液也不會讓妝感很厚重平常柔膚水用比較兇 濕敷不手軟XD柔膚水買比較多罐 現在有滿1111折150試過了滿2222沒有折300想問大家今年雙11有在pchome買什麼嗎分享一下～,推,bonani,: momo好像還有送正裝耶 你要不要去看一下,11/17 15:02
,,,,推,littlejo,: 看到樓上說mo送正裝馬上跑去看真的有，,11/17 18:50
,,,,推,flourella,: 推Natio,11/18 00:13
,,,,推,yacheng0923,: 感謝分享,11/18 10:21
,,,,推,sm90097,: 今年沒在PC買，感覺MOMO力度比較大 (這是,11/21 18:16
,,,,推,judy60551,: 一看到有優惠就買了5罐玫瑰柔膚水了,11/24 16:47
,,,,推,Aswift,: 我也是超愛濕敷 以前流行廣源良絲瓜水就,11/25 11:19
,,,,推,oxnessiexo,: 本來就已經cp值很高了，雙十一簡直是,11/25 18:27
,,,,推,marsaqua,: 拿來擦身體都不心疼的程度(?),12/06 13:19
,,,,→,bonani,: 你下單了嗎哈哈哈哈,11/17 15:02
,,,,→,littlejo,: 雅詩蘭黛今年的贈品也很有誠意,11/17 18:50
,,,,→,sm90097,: 可以說的嗎),11/21 18:16
,,,,→,Aswift,: 養成濕敷的習慣了 現在也是用natio 長痘,11/25 11:19
,,,,→,Aswift,: 痘都會立刻消腫,11/25 11:19
,,,,→,oxnessiexo,: 賺到了XD,11/25 18:27
pinnky (   ),[情報] Pchome 雅詩蘭黛小棕瓶100ml 特價,Wed Apr 27 08:50:54 2022,大家可以看昨天pchome的午茶賞小棕瓶100ml 才$2580 應該是到今天3點《０４／２６午茶賞》開始﹕０４／２６(星期二)１５：００結束﹕０４／２７(星期三)１５：００原價＄７９００限時價↘＄２５８０真的是看過最便宜的價格但是 為航空國際版不是寫專櫃正貨看來可能是水貨？有人買了嗎？這種deal 都是廠商跟pchome直接洽談的應該不會有假貨（？）,推,eggbox,: 2580好像是我看過最便宜的價格..,04/27 10:03
,,,,推,lovewillow,: 買過一次包裝跟正版的很多地方不一樣,04/27 10:48
,,,,推,alins1999,: 神扯的價格…,04/27 11:02
,,,,推,wooca,: 不敢買+1,04/27 11:35
,,,,推,leostw,: 那不如5/1買momo官方旗艦店的 150ml用完,04/27 15:17
,,,,推,oasis200088,: 這是因為活動才這麼便宜  之前就在,04/27 16:54
,,,,推,wunn,: 環球網站要看一下省錢板的風評,04/27 18:07
,,,,推,leostw,: pchome可不是沒有前例的唷,04/28 07:59
,,,,推,c981401,,04/28 10:10
,,,,推,happynow314,: 樓上推MOMO還是請三思,04/28 14:44
,,,,推,missmay,,04/28 18:36
,,,,推,yanniac2,: 大平台都是賣真品 有什麼好擔心的,04/29 11:53
,,,,推,kitty82404,: 應該是平輸吧?!,04/29 15:43
,,,,推,kimikoshinan,: PC、mo都會有平輸,04/29 16:35
,,,,→,eggbox,: 這一定是水貨拉,04/27 10:03
,,,,→,lovewillow,: 不敢用，直接退貨,04/27 10:48
,,,,→,leostw,: 折價卷是4550元 換算下來等於100mly大約是,04/27 15:17
,,,,→,leostw,: 3033元 貴一點點但至少是正貨,04/27 15:17
,,,,→,leostw,,04/27 15:17
,,,,→,pinnky,,04/27 15:58
,,,,→,pinnky,: 環球線上呢？100ml*2 才五千多也是超便宜,04/27 15:58
,,,,→,pinnky,: …….,04/27 15:58
,,,,→,oasis200088,: PCHOME買過 用起來跟專櫃是一樣的,04/27 16:54
,,,,→,kjjokp,: 至少是正貨哈哈哈我看了什麼？,04/27 18:01
,,,,→,kjjokp,: pchome有可能砸自己腳嗎？？,04/27 18:01
,,,,→,leostw,,04/28 07:59
,,,,→,leostw,: 46,04/28 07:59
,,,,→,leostw,,04/28 07:59
,,,,→,leostw,: 46,04/28 07:59
,,,,→,c981401,: 幫樓上leostw 大縮網址,04/28 10:10
,,,,→,leostw,: 謝謝C大 我想強調的是 如果這麼不放心 多,04/28 10:43
,,,,→,leostw,: 花一點點錢 可以確保是正貨 不用擔心 不是,04/28 10:43
,,,,→,leostw,: 更好嗎？,04/28 10:43
,,,,→,pinnky,: 真的要買旗艦店！,04/28 12:32
