Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ZengMaktub (YOYOMAK),[問卦] 現在買PCHome 早上訂 幾點會到,Tue May 30 10:22:10 2023,大家安安事情是這樣的剛剛下單了一台螢幕台北市 早上十點十分成立訂單這樣幾點會到有沒有八卦,推,a0986188522,: 十點九分,05/30 10:22
,,,,推,a5687920,: 為什麼不直接買燦坤? 4小時就到了,05/30 10:23
,,,,推,cevs,: 大約在冬季,05/30 10:23
,,,,推,s72005ming,: momo比較快吧,05/30 10:23
,,,,推,Xzcas,: 明天,05/30 10:23
,,,,推,gn01693664,: 24........23、22、21,05/30 10:24
,,,,推,abjeffop,: 你還在發文，司機都在門口等了,05/30 10:25
,,,,推,lulocke,: 明天啦 颱風下雨的話後天,05/30 10:25
,,,,推,answer012103,: 以前是下午，現在要明天下午,05/30 10:26
,,,,推,haha388,: 你可以同時在pc跟momo訂，然後備註誰先到,05/30 10:28
,,,,推,g1254501,: 24啊 分鐘 小時 日 不好說,05/30 10:30
,,,,推,vios10009,: 在PC買XBOX手把，等了三天都沒出貨，,05/30 10:43
,,,,推,vios10009,: 一樣是疫情，其他家都沒這問題，就PCH,05/30 10:46
,,,,推,woulin,: momo很慢,05/30 11:36
,,,,推,superRKO,: 明天下午 or 後天,05/30 12:00
,,,,推,arcysaint,: 我上次訂完，準備去上個廁所，送貨員,05/30 12:36
,,,,→,nikewang,: 24天,05/30 10:23
,,,,→,bill403777,: 表定24h 實際就不知道了,05/30 10:23
,,,,→,joejoe14758,: 現在一個禮拜起跳,05/30 10:23
,,,,→,cooper43,: 問就是 下週五,05/30 10:23
,,,,→,sunnywing,: 明天下午,05/30 10:23
,,,,→,nikewang,: 昨天有6%LP回饋 我想買的東西 昨天的價,05/30 10:23
,,,,→,meicon5566,: 樓下什麼時候要開雜交派對,05/30 10:24
,,,,→,nikewang,: 格比前天我看到的貴2成 我只好去MOMO買,05/30 10:24
,,,,→,sunnywing,: 趕時間就用momo 不趕才用PC,05/30 10:24
,,,,→,yzelly,: 上次24D後就沒準時過了,05/30 10:26
,,,,→,snow3804,: 兩天後,05/30 10:26
,,,,→,greg7575,: 六天,05/30 10:26
,,,,→,haha388,: 就付給誰，晚到的直接退回去,05/30 10:28
,,,,→,nikewang,: 想到疫情期節 MOMO還是正常發貨 PChome,05/30 10:31
,,,,→,nikewang,: 變成24D 然後老闆還爆出偷拍AZ,05/30 10:32
,,,,→,nikewang,: 偷打AZ,05/30 10:32
,,,,→,vios10009,: 我就退掉換其他家，兩天就送到。,05/30 10:43
,,,,→,vios10009,: ome要等這麼久，也沒比較便宜,05/30 10:46
,,,,→,reil,: 下午,05/30 11:13
,,,,→,razan,: 你想買的型號 實體通路沒賣?,05/30 11:41
,,,,→,JMichael,: 兩家都訂過，兩家都有慢過,05/30 12:18
,,,,→,dyc2008,: 今天不用想了，明天一定會到,05/30 12:20
,,,,→,arcysaint,: 就在樓下按門鈴了,05/30 12:36
,,,,噓,Himiko9975,: 不會到,05/30 10:23
,,,,噓,duckosara,: ..,05/30 10:23
,,,,噓,linda17a3,: 按門鈴了怎麼沒人,05/30 10:31
ununnihao (安安你好),[問卦]pchome早上下單，現在查無包裹資料484沒救,Sat May 20 22:17:52 2023,是這樣啦早上在pc24下單，網家速配送的，到現在還在查無包裹資料484沒救了？而且買這麼久pchome現在才發現，非北北基早上下單為啥沒24小時到貨？我晚兩個小時過中午下單反而會比較快到？這什麼智障設定 = =操--發Ｕ文不留名．．．,推,waldo34,: 收到再退貨啊 給pchome點教訓,05/20 22:25
,,,,→,kayak5566,: 100塊補償,05/20 22:18
,,,,→,rusa,: 恭喜你1個月再買別的-100,05/20 22:21
,,,,→,nikewang,: 換了女執行長後 pchome24就爛掉了 今天,05/20 23:39
,,,,→,nikewang,: 新聞說第一季由盈轉虧,05/20 23:40
,,,,噓,fly0204,: 賺100,05/20 22:18
power802762 (B.C.),[問卦] pchome活動名額是虛的卦？,Thu May 18 12:33:18 2023,最近想入手筆電各大平台都比價和看贈品刷卡優惠之類看了pchome石頭牌筆電活動還可以就關注了幾天送2800p/1500p各100名額活動從15號開始16號看大概剩5x/6x名額17號看剩4x/5x人今天18號新增了一日活動原本的2800/1500名額突然全滿了https://i.imgur.com/ibzhmCN.jpg一天之內近100位消費者在pchome購買石頭牌筆電而前幾天都是個位數減少https://i.imgur.com/RyRCTwj.jpg原本活動只有下面3個今天一日活動出來其他就額滿好奇是否不讓消費者雙重拿活動贈點呢明天19日再看看原本活動名額是否又會出現了我猜是額外加碼？,推,tools,: 喉~~~~有人打假球,05/18 12:34
,,,,推,MeeToo,: 幫你轉寄165跟pchome太過分了,05/18 12:36
,,,,推,Wardyal,: 跟館長的肌肉一樣,05/18 12:38
,,,,→,omage,: 有一日活動，所以前兩天要買的都集中在那天,05/18 12:35
,,,,→,omage,: 買，這樣不合理嗎？,05/18 12:36
,,,,→,alex00089,: 這裡是台灣,05/18 12:37
,,,,→,power802762,: 回2樓，前2天猶豫的會知道今天突然,05/18 12:39
,,,,→,power802762,: 有一日活動等到今天才買嗎？,05/18 12:40
,,,,→,kuosambition,: 靠背，看成pornhub......,05/18 12:42
,,,,→,hihjktw,: 那是內部員工拿來洗....你是內部員工嗎,05/18 12:43
,,,,→,wsxwsx77889,: 內部員工都能提早知道啊,05/18 12:46
,,,,→,power802762,: 輸給內褲員工惹,05/18 13:32
