Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
LuvFermmin (LuLu),[情報] Pchome的ColourPop眼影盤85折,Sat Sep 15 01:36:17 2018,"更正:據板友留言表示，雖然pc有賣colourpop但是比較貴，要記得比價!所以我把原本的標題改掉了!原文:剛剛滑了一下pchome24小時購物網站突然看到的嚇我一跳XD,竟然連colourpop也引進了耶! (雖然只有5盤XD覺得很驚訝所以把首po放上來了XD之前因為懶得找代購買國外品牌的彩妝, 而且通常都要等快一個月超久就試圖在台灣的電商找找看有沒有發現pchome也有賣一些國外彩妝有Too faced, Tarte, UD, OFRA, Tomford, Sigma...還蠻多品牌的但是!!高價位的國外彩妝在pchome有些都貴蠻多的在這裡買是不用像代購等那麼久, 24小時就能到貨但是要注意有些會貴個幾百塊!不過呢像Wet n wild, essence這些平價品牌就是原價了我住鄉下所以附近屈臣氏根本不可能有wnw之前眼睜睜看著wnw進駐台灣實體店面原本超開心,但等到住家附近的屈臣氏進駐wnw可能要等一百年吧呵呵..愛美妝成痴的我不甘心還是很想買到!!這陣子就靠pchome買wnw買到不想再買了XD不過pchome上面賣的品項還是比較少不如國外購物網站那樣齊全對了還想分享關於pchome超取免運的小資訊在pchome24小時購物網站上買的任何商品, 只要選取超商取貨, 是不用再負擔任何運費的之前好幾次單筆訂單只買一個wnw或只買一個美妝小物, 還曾經只買過一瓶摩斯和風沙拉醬(65元而已單筆金額都沒有100元, 但超取都沒有再額外收運費XD, 而且每次都是隔天就到貨了!很貼心的地方是, 超取免運沒有門檻就算了連包裝都蠻仔細的, 都是紙箱包裝而且會塞滿滿但是有時候只買幾十塊錢就要人家送超取覺得有點不好意思XD雖然超取無免運門檻, 但他有些東西就會比別的購物網站貴一些(例如鬧鐘會比別人貴100， 鍋子也比別人貴100因為看了上一篇版友說買不到wnw的文章下面留言發現好像蠻多人不知道pchome上也有賣wnw所以想特別打一篇文章分享給不知道的人, 希望有幫助到大家: )--Sent from my Windows",推,hellobla,: 這價錢XDDD CP 50鎂免國際運 買這賣場,09/15 01:57
,,,,推,kira1003,: Yes please 是的 請XD,09/15 02:00
,,,,推,lexi00314,: 謝謝好心分享～～,09/15 03:53
,,,,推,LYZ777,: 感謝分享～,09/15 08:39
,,,,推,rock19940201,: 感謝分享~,09/15 08:48
,,,,推,empty0307,: 我都不知道可以超取～推,09/15 09:11
,,,,推,qoq0417,: 感謝分享 我還真的不知道XD,09/15 09:28
,,,,推,ismeisme,: 也是第一次聽到覺得新奇,09/15 10:41
,,,,推,Annasui0120,: watsons&cosmed的網購也有wnw,09/15 10:52
,,,,推,shaoyanyan,: wnw 可以在康是美跟屈臣氏的網站買,09/15 22:14
,,,,推,soft17723,: 不知道超取欸！！！我每次都硬湊免運,09/16 08:14
,,,,推,lssmig,: 台灣沒代理商的品牌 不知道來源還是會擔,09/18 00:14
,,,,→,qqppq,: 不能放盈利連結,09/15 01:52
,,,,→,hellobla,: 的兩盤眼影盤的錢就能直接在官網下一單,09/15 01:57
,,,,→,hellobla,: 了,09/15 01:57
