Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
Ballardlin (-巴拉巴拉-),[情報] Acer Nitro5 AN515-58-96ED pchome$42900,Thu Dec 15 14:41:58 2022,"Acer Nitro5 AN515-58-96ED處理器：Intel® Core™ i9-12900H記憶體：16GB DDR5硬碟：512GB NVMe PCIe Gen4 SSD顯卡：NVIDIA® GeForce RTX™ 3060螢幕：15.6"" IPS/165Hz/霧面/LED背光i9 12代 3060剛剛看一下應該沒有比這還要殺的這價格是不是代表新一代機種要出來了?但蠻香的資料來源：https://i.imgur.com/BnQ5v0Y.png",推,QBRoboT,: 在半個多月就CES了，再不清庫存就會像微,12/15 14:47
,,,,推,QBRoboT,: 以效能差不多，然後就死魚價繼續死撐著賣,12/15 14:51
,,,,推,gobby3958,: 這台扣掉回饋大概37k,12/15 15:54
,,,,推,AZBTPATONY,: 4060+13代 我猜5萬起跳,12/15 16:04
,,,,推,berkeline,: 13代大貨應該還久吧zzz,12/15 17:08
,,,,推,motorone,: 11 12代還沒清完呢~,12/15 17:10
,,,,推,qamaca,: nitro這台不錯,12/15 17:32
,,,,推,opsoo,: 電池蠻小的續航太差,12/15 17:42
,,,,推,magiCard,: 這價格配備 現在來看很難要求什麼了吧,12/15 18:27
,,,,推,mymike12,: 雙12回饋全拿有7436P和抽獎,12/15 20:25
,,,,推,mymike12,: 加刷卡登記2800，不過活動過了,12/15 20:28
,,,,推,CloudyWing,: 好便宜的i9,12/15 20:44
,,,,推,hermithsieh,: 這價格沒啥好嫌了，不過13代筆電也快,12/15 21:50
,,,,推,AZBTPATONY,: 技嘉會跳 之前3080殺到一台3萬多而已,12/16 12:47
,,,,推,Roy3567,: 筆電的散熱根本撐不起i9 純粹心裡爽度,12/16 14:25
,,,,→,QBRoboT,: 星之前一堆10、11代機打著顯卡還是30系所,12/15 14:48
,,,,→,lizardc1,: 再等兩個月...快跳水了,12/15 15:01
,,,,→,gbcg9725,: 還行啊，至少不是低色域螢幕,12/15 15:08
,,,,→,gbcg9725,: 明年對岸一月底二月初13代+40系列就要,12/15 15:08
,,,,→,gbcg9725,: 出了,12/15 15:08
,,,,→,gbcg9725,: 台灣照慣例會慢一兩個月吧,12/15 15:49
,,,,→,hermithsieh,: 出來了，應該還有便宜價,12/15 21:50
,,,,→,nick761108,: 台灣感覺很難有跳水價,12/16 09:57
,,,,→,gbcg9725,: 台灣就是玩回饋而已，跳水也只是別人常,12/16 10:08
,,,,→,gbcg9725,: 態價,12/16 10:08
,,,,→,gbcg9725,: i7超了點頻就變成i9了 就噱頭,12/16 14:29
,,,,→,bmwx6,: 電競筆電看什麼續航= =,12/18 06:44
,,,,→,gbcg9725,: 看續航沒什麼問題啊，總是要需要不插電,12/18 07:07
,,,,→,gbcg9725,: 文書作業的時後，附帶一提這一點天選3,12/18 07:07
,,,,→,gbcg9725,: 做的很好，而且居然還比別家輕,12/18 07:07
,,,,→,gbcg9725,,12/18 07:09
,,,,→,gbcg9725,,12/18 07:10
,,,,→,gbcg9725,: 電價筆電續航不能當做偷料藉口,12/18 07:11
,,,,→,gbcg9725,: 電競筆電不需要續航不能當偷料藉口,12/18 07:11
,,,,→,gbcg9725,: Nitro5畢竟多了一個sata位，電池縮水還,12/18 07:13
,,,,→,gbcg9725,: 可以理解，有的直接小電池空在那邊,12/18 07:13
,,,,→,gbcg9725,,12/18 07:14
,,,,→,gbcg9725,: 可惜台版天選幾乎都爛螢幕然後要天選ai,12/18 07:27
,,,,→,gbcg9725,: r（tuf dash）才有pd充電,12/18 07:27
,,,,→,gbcg9725,": 上面偷的是MSI的,華碩反而給很足了",12/19 20:34
,,,,→,gbcg9725,: 至於螢幕是各家都偷,12/19 20:34
,,,,→,gbcg9725,: 有些人還是會拿遊戲筆電來工作的,12/19 20:35
gbcg9725 (謝謝你9725),Lenovo Legion 5i pchome特價39012,Mon Dec 12 15:02:30 2022,CPU:i7-12700HRAM:8g ddr5 x2=16g螢幕：15吋 fhd 144hz 45% ntsc硬碟：512g nvme ssd顯卡:RTX3060 6G 滿血直連保固：兩年這台散熱 效能上都沒有什麼大的缺點，現在39012再送電競耳麥有一個賣場還送現代戰爭跟世紀帝國4遊戲序號螢幕、價格沒法跟國外比（京東可買到2.5k螢幕廣色域天選3），以台灣有兩年保價格來說是還可以的售價pchome還有送p幣活動回饋多少就請自己看囉這台等於對岸y7000p找不到3060版的評測，提供3050ti版本評測參考https://youtu.be/dd5tTEtwVsQ,推,b2856088,: 目前最划算是哪台啊 之前dell g16 沒跟,12/12 16:01
,,,,推,waldo34,: 上次amazon的g16價格真的猛,12/12 19:04
,,,,推,kunyi,: 謝謝 消火了,12/12 22:40
,,,,推,j056237,: 給大家聞香一下,12/13 12:23
,,,,推,b2856088,: g16滿血有夠爽 希望明年價格能大崩啊,12/14 02:16
,,,,推,AZBTPATONY,: 40系列跟13代一起出 肯定崩的,12/14 09:49
,,,,→,b2856088,: 到唉,12/12 16:01
