Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
ideos (桤),Re: [問題] 65吋OLED 現在還是蝦皮最划算嗎?,Fri May 26 14:53:33 2023,https://imgur.com/BsVMMYn上禮拜剛在LG蝦皮買的65C2折扣價是 67900 - 2222 (LG商城折價券) = 65678蝦皮再送 5000 蝦幣 約等於 6067865678 還送5000蝦幣看起來很划算but 像我是剛裝潢好的房子壁掛好市多買的給工錢請裝潢的工班師傅幫忙裝大概在下單完過幾天接到LG蝦皮的聯絡客服說要再下單購買安裝才會派送跟安裝電視電話中我是表明已經安裝壁掛了客服還是強調需要再購買安裝並說會傳連結給我請我購買65吋懸臂式安裝金額是1800再下1800單後，星期三派送+安裝，安裝流程僅是把我買的壁掛架的兩條壁掛條鎖在電視上然後把電視掛上壁掛架收1800師傅走了後我馬上跟客服反映，客服一直強調「如果你自己找師傅安裝比1800還貴」1800安裝的內容是懸臂式壁掛架安裝，網站寫得很清楚，並註明如果牆壁材質不易施工會加價但是我這邊僅把壁掛條裝到電視上再掛到壁掛架很明顯不是屬於先將壁掛安裝到牆面，再將電視裝裝到壁掛上之後客服僅表示會轉達給主管以我的例子65678-5000蝦幣 算60678好了壁掛1000+工班安裝壁掛1800(說找外面比較貴算一樣價)+蝦皮安裝1800=460060678+4600=65278跟momo比起來真的差不多，momo有活動的時候贈品是電扇+咖啡機+線LG蝦皮贈品是吹風機+延長線+線個人覺得momo幣比蝦皮幣好用一點，momo一般商品出貨迅速，退貨方便momo可以24期零利率，蝦皮這邊結帳時只看到6期零利率如果情況跟我一樣是已經花錢裝了壁掛的，我覺得蝦皮沒有這麼優惠或是板上業代送壁掛還送安裝也是可以把服務這點考慮進去還有不用請假配合物流配送安裝的成本如果是還沒裝壁掛蝦皮有優惠一點點，如果能搶到折5000現金就真的優惠了很多都是付完了錢才知道 啊 是這樣現在想想65G2價格最好的時候原廠壁掛+安裝+面板5年保固真的屌打65C2可惜之前4月電器展的時候都問不到了非常羨慕買到65G2的鄉民，可以安心爽看5年不用擔心過保後電視馬上有問題※ 引述《sansInk (迴轉壽屍)》之銘言：: 想趁最後的時間點買C2: 一整輪看下來 C2的操作跟DV 4k 120P看起來至少一年內還是沒人追上: 一般大型電商價格不怎麼誘人: 目前是先參考板上業代價: 但除此之外 目前最佳方案還是從蝦皮入手嗎?,推,l98,: 感謝分享購買經歷!,"['05/26', '14:57']"
,,,,推,eno03,: 謝謝詳細分享 之前momo買65 師傅卸下原電視 兩條裝上新電視,"['05/26', '15:26']"
,,,,推,cjcdream,: 我是蝦皮的「LG旗艦館」購買 沒遇到強迫買壁掛問題,"['05/26', '16:23']"
,,,,推,cjcdream,,"['05/26', '16:30']"
,,,,推,nhk123871192,: 該等G3了XD,"['05/27', '01:04']"
,,,,推,deray,: 蝦幣難用,"['05/27', '08:04']"
,,,,→,eno03,: 再放回原本壁掛處 是收800元 你這樣1800感覺小貴一點,"['05/26', '15:27']"
,,,,→,cjcdream,: 我也是原有電視壁掛拆下換至新的電視上 但自己處理拆卸,"['05/26', '16:24']"
,,,,→,sazabi,: 我也是在蝦皮買，自己安裝好壁掛架，也沒被收安裝費,"['05/26', '16:34']"
,,,,→,john65240,: 我也是看G2有附安裝壁掛才買，不然本來要買C2,"['05/27', '01:23']"
,,,,→,john65240,: 壁掛安裝不好去靠北，解決還很有誠意,"['05/27', '01:24']"
,,,,→,john65240,: 看內文C2客服解決客人問題沒誠意..跟我遇到的不太一樣,"['05/27', '01:26']"
sansInk (迴轉壽屍),[問題] 65吋OLED 現在還是蝦皮最划算嗎?,Thu May 25 14:53:23 2023,想趁最後的時間點買C2一整輪看下來 C2的操作跟DV 4k 120P看起來至少一年內還是沒人追上一般大型電商價格不怎麼誘人目前是先參考板上業代價但除此之外 目前最佳方案還是從蝦皮入手嗎?,推,cjcdream,: 我剛買一個月 你蝦皮剛好配合活動才會有漂亮價格,"['05/25', '15:07']"
,,,,推,l98,: 蝦皮就是要疊連續技，但現在蝦皮優惠沒那麼好搶就很隨緣了,"['05/25', '15:24']"
,,,,推,DK3001,: 昨天半夜10秒內沒結帳成功 8.5折券就沒了…,"['05/25', '15:40']"
,,,,推,AAYUSH,: 現在C2應該也開始有點缺貨.. 蝦皮相對划算但要拼一下手氣,"['05/25', '15:52']"
,,,,推,cjcdream,: 要注意蝦皮的折價券有些可抵扣上限不同唷！,"['05/25', '16:55']"
,,,,推,kinba,: 在蝦皮的LG官方看過65500送3345蝦幣的價格,"['05/25', '17:03']"
,,,,推,nhk123871192,: G2是不是都賣完了,"['05/25', '20:48']"
,,,,推,kennytwo,,"['05/25', '22:35']"
,,,,推,sazabi,: 蝦皮55C2折下來也不用四萬，其他地方應該很難拚得過,"['05/26', '16:39']"
,,,,推,LinWilliam,: G2應該不會補貨了 現在能買到的應該只剩C2，就規格而,"['05/26', '17:08']"
,,,,推,HighFiver,,"['05/26', '17:45']"
,,,,推,NoDrinking,: G2一路等到變成要等G3路過....,"['05/26', '17:55']"
,,,,推,Warez,: 我是直接拿蝦皮的價格去附近實體店問價格，最後我同意多不,"['05/30', '04:16']"
,,,,→,cjcdream,: 但真的比外面店家漂亮很多QQ,"['05/25', '15:08']"
,,,,→,cjcdream,: 你要算入 店家折扣 蝦皮折扣 刷卡回饋,"['05/25', '15:09']"
,,,,→,cjcdream,: 有時85折可抵扣金額比9折的還要少,"['05/25', '16:56']"
,,,,→,john65240,: 一定是蝦皮，65G2只要70k..,"['05/25', '18:35']"
,,,,→,john65240,: 回樓上：對，從C1那時開始賣完好像也沒看過有再補貨,"['05/25', '20:57']"
,,,,→,kennytwo,: 凌晨有搶到92折卷，剛好旗艦店又有折扣，再算蝦幣折扣,"['05/25', '22:35']"
,,,,→,kennytwo,: 的話，應該6萬不到,"['05/25', '22:35']"
,,,,→,Fizban,: 其他家不用追上，根本沒實際用處的功能,"['05/26', '04:56']"
,,,,→,eno03,: 買高價 用9/92折家電券上限折5千 85折通常上限是2千且難搶,"['05/26', '12:12']"
,,,,→,deconu,: 蝦皮看COMBO技 有連到的話有機會划算 但C2現在的價格其實,"['05/26', '16:27']"
,,,,→,deconu,: 也已經很殺了 算上去是相對低點的話 就可以下手了,"['05/26', '16:28']"
,,,,→,LinWilliam,: 言的確也算一時之選,"['05/26', '17:08']"
,,,,→,HighFiver,: 光.. 先前有G2等過頭的例子ww 現在這時間點 C2有貨價格,"['05/26', '17:45']"
,,,,→,HighFiver,: 還可以接受就可以買了,"['05/26', '17:45']"
,,,,→,Warez,: 到1000元直接跟實體店買(算整數），當下直接機子送到家不,"['05/30', '04:16']"
,,,,→,Warez,: 用等。,"['05/30', '04:16']"
mafin0325 (mafin0325),[情報] TCL ✕ 蝦皮 5/5、5/12品牌活動,Thu May  4 19:28:46 2023,被蝦皮選中推播，看到TCL特惠資訊https://i.imgur.com/3TxAw3N.jpg蝦皮TCL官方旗艦館5/5、5/12下單指定機型有買大電視送小電視or MAJORITY聲霸的活動https://i.imgur.com/R103lmL.jpg看圖檔小電視是40吋tcl電視，我猜應該是S68A或S615系列雖是普通的FHD電視，但免錢就是爽賣掉也可以回補個幾千近期有買電視需求的人，可以等明天下單，領券還送10%蝦幣,推,leejones,: 給蝦幣還不如直接折價比較實在.,"['05/04', '19:54']"
,,,,推,callhek,: 樓上 逼你回購阿,"['05/04', '20:01']"
,,,,推,popo9076,: 75吋C835觀望中~感謝分享，晚點來看看,"['05/04', '23:47']"
,,,,推,kswb2002,: TCL品牌日買下來蠻划算的，C935跟C835還比家電展價格便,"['05/05', '00:05']"
,,,,推,widowblack02,: 剛剛看到是C935配電視、C835、C736跟P737配音響,"['05/05', '00:50']"
,,,,推,h25252911,,"['05/05', '01:10']"
,,,,推,sazabi,: 等845吧，規格好滿多的,"['05/05', '12:39']"
,,,,推,lesportac,: 有人跟過蝦皮的直播嗎，好奇除了會抽循環扇外有可能會,"['05/05', '14:07']"
,,,,推,twins790613,: 感謝分享～,"['05/05', '17:42']"
,,,,推,leejones,: 55C835好市多折完是24798元，前兩天還可以再折800元，折,"['05/05', '18:31']"
,,,,推,matt119,: 買大送小就是一台客廳，一台房間，40吋電視放房間大小滿,"['05/05', '19:03']"
,,,,推,TO3032063,: 我怎麼去Costco賣場看到是65吋還有120MHz更新率,"['05/06', '17:57']"
,,,,→,kswb2002,: 宜，75吋 C935搶到折價券的話大概68K,"['05/05', '00:05']"
,,,,→,widowblack02,: 有限組數這樣,"['05/05', '00:52']"
,,,,→,widowblack02,,"['05/05', '00:55']"
,,,,→,h25252911,: LG 55吋 C2 41500 還有4000蝦幣,"['05/05', '01:10']"
,,,,→,lesportac,: 有折扣碼嗎,"['05/05', '14:07']"
,,,,→,leejones,: 完是23998元，比蝦皮有誠意多了。,"['05/05', '18:31']"
,,,,→,eno03,,"['05/05', '18:34']"
,,,,→,matt119,: 剛好的,"['05/05', '19:03']"
,,,,→,RTX3080TI,,"['05/08', '01:57']"
,,,,→,RTX3080TI,: 索尼就好,"['05/08', '01:57']"
roceskate (rumba in the night),[問題] 在蝦皮買夏普電視有保障嗎,Sun Dec 25 05:57:18 2022,最近看上夏普4T-C60DJ1T系列電視，60-65吋，蝦皮非商城的價格比商城或其他電商便宜很多，這種賣家有保障嗎，還是出保直接找夏普？感謝-----Sent from JPTT on my Samsung SM-A528B.,推,eno03,: 60頭又大交車禮 65全家掃點數換 大約14K就有了 保固不知,"['12/25', '06:47']"
,,,,推,nickyeh779,: 我是全家點數兌換大約13000含安裝65吋,"['12/25', '10:24']"
,,,,推,nickyeh779,,"['12/25', '10:28']"
,,,,推,starinwork,: 買電視？大推蝦皮神腦,"['12/25', '11:56']"
,,,,推,yangmax,: 蝦皮神腦請問好是那邊 最近參考中,"['12/25', '12:06']"
,,,,推,h07880201,: 蝦皮神腦就搭折價券便宜而已因為是商城 你可以找更便,"['12/25', '12:59']"
,,,,推,n74042300,: 全家點數去收230萬點大勝..,"['12/25', '13:41']"
,,,,推,wudd,: 去換全家230萬點數就好了 約14K內 目前Cp王吧,"['12/25', '14:48']"
,,,,推,vn514526,: 我是用15000跟人買全家的夏普65吋。懶的收點數。 目前,"['12/25', '21:51']"
,,,,推,chenyw2005,: 蝦皮神腦，速度很慢吧，但是價格不錯的就是了，雙12買,"['12/26', '07:27']"
,,,,推,l98,: 神腦的東西就是有貨就很快，沒貨就......,"['12/26', '13:24']"
,,,,推,Jidad,: 非官方購買可能還是要看評價吧，通常建議直接在蝦皮商城官,"['12/27', '17:21']"
,,,,→,eno03,: 雷鳥iFF65U62 momo用券後16879 三年保 創維65也差不多16K,"['12/25', '06:54']"
,,,,→,nickyeh779,,"['12/25', '10:28']"
,,,,→,l98,: 送貨速度還有搭折價卷吧,"['12/25', '12:55']"
,,,,→,h07880201,: 宜的就不用,"['12/25', '12:59']"
,,,,→,n74042300,: 行情大概一元台幣可以收到170點上下,"['12/25', '13:42']"
,,,,→,n74042300,: 成本13500上下,"['12/25', '13:42']"
,,,,→,n74042300,: 一堆婆媽社團收點數換電器轉賣其他不知道這個資訊的人,"['12/25', '13:43']"
,,,,→,n74042300,: XD,"['12/25', '13:43']"
,,,,→,vn514526,: 看起來真爽！！,"['12/25', '21:51']"
,,,,→,chenyw2005,: 一台75lx980w，都有搶到券和信用卡扣完大概5萬,"['12/26', '07:27']"
,,,,→,h07880201,: 樓上看有沒有長備貨吧 我一樣雙12買lx750w 15號就到貨,"['12/26', '13:22']"
,,,,→,h07880201,: 來安裝了 一週內我覺得都還好,"['12/26', '13:22']"
,,,,→,l98,: 看看隔壁板 iPhone 神腦預購的慘案~~~~~~,"['12/26', '13:25']"
,,,,→,Jidad,: 方賣場買比較好，不然也不知道是不是平輸水貨，像雷鳥有官,"['12/27', '17:21']"
,,,,→,Jidad,: 方商城，購買3C家電會比較有保障，官方資料一查也比較快,"['12/27', '17:21']"
hn84286721 (阿偉),[討論] 蝦皮神腦C2 52900,Thu Nov 10 23:16:13 2022,這價格不知道有沒有標錯價有需要的人等等12點可以準備上了https://i.imgur.com/lgZtUMZ.jpg,推,vict1,: 家電展55c2都45k了 這哪是標錯價,"['11/10', '23:17']"
,,,,推,eno03,: 忽然跑出個1000折價券可以領,"['11/10', '23:49']"
,,,,推,shinobilin,: 這價格 再等等好了,"['11/10', '23:56']"
,,,,推,cowliu,: 提醒蝦皮3C直送有可能沒有送APPLE WATCH等贈品 網頁沒寫!,"['11/11', '00:49']"
,,,,推,cowliu,: 我之前有問過其他電視 當時是回 價格未參加原廠贈品活動,"['11/11', '01:01']"
,,,,推,vict1,: 有可能喔 有的比較便宜就是先扣贈品了啊,"['11/11', '01:02']"
,,,,推,cowliu,,"['11/11', '01:08']"
,,,,推,vict1,: 很正常啊 又要折價五千又要贈品最低價 羊毛都光了,"['11/11', '01:09']"
,,,,推,cowliu,: 所以我最後只好找蝦皮飛利浦旗艦店訂  該搶的優惠一樣都,"['11/11', '01:12']"
,,,,推,vict1,": 補充一下家電展55吋C2價格最低是43,500","['11/11', '01:12']"
,,,,推,cowliu,: 我也補一下 OLED806 搶完優惠後 43400元 再送22900的聲霸,"['11/11', '01:15']"
,,,,推,clamin,: 怎麼可能沒贈品 贈品是去松下網頁登記 不是找店家或經銷,"['11/11', '02:31']"
,,,,推,david159456,: 在蝦皮直送買65lx980w折扣後39xxx，登錄發票送Appl,"['11/11', '03:31']"
,,,,推,vict1,: 我在momo真的看過標注優惠價不參與原廠贈品活動字樣的賣場,"['11/11', '07:52']"
,,,,推,detective14r,: 不過昨天神腦買75lx980真的便宜,"['11/11', '11:22']"
,,,,推,ctes940008,: 可以再等等，現在面板廠大輪休中。公公那家更早放。,"['11/11', '12:56']"
,,,,推,popoim,: 55C2現在應該可找到45K左右不難  G2差不多落在6萬初,"['11/11', '17:00']"
,,,,推,FriYou,: 拜G2之助 C2現在的價格也差不多到了當時C1最甜蜜的區間了,"['11/11', '17:35']"
,,,,→,hn84286721,: 原來已經降成這樣了啊 我想說48價格還比55貴 抱歉抱歉,"['11/10', '23:18']"
,,,,→,hn84286721,: 不過搭-5000再拿信用卡優惠 應該還是比家電展便宜,"['11/10', '23:18']"
,,,,→,hn84286721,: 那滿cube回饋39110,"['11/10', '23:20']"
,,,,→,eno03,: LG店家的,"['11/10', '23:49']"
,,,,→,detective14r,: 一堆人跑去神腦買lz1000 結果蝦皮3c直送的更便宜,"['11/11', '00:15']"
,,,,→,wei7799,: 是找原廠登記贈品不是找蝦皮店家要@.@,"['11/11', '00:53']"
,,,,→,wei7799,: 真假的@@如果沒贈品真的有差欸,"['11/11', '01:02']"
,,,,→,cowliu,: 希望是w大講的  直接找松下登記  這樣最好,"['11/11', '01:03']"
,,,,→,wei7799,: 蝦皮直送頂多便宜一兩千而已，贈品價值沒那麼低,"['11/11', '01:03']"
