Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
arst (Arst),[問題] 蝦皮上的a34,Sun May 28 18:08:12 2023,在蝦皮看到一台a34 8G/128GB 比地標便宜1千描述以下:全新未拆台灣公司貨原廠保固一年三星 SAMSUNG Galaxy A34 5G (8G/128GB 128G) 台灣公司貨 原廠保固銀色盒裝配件齊全無法下標，只能面交照片的封條未拆，當然實際如何不知道因為又剛好在家裡附近，所以有點心動我私訊賣家，說台灣公司貨，保固 2024/05賣家評價商品: 37粉絲: 271關注中: 84評價: 5.0 (515個評價)聊聊表現: 86% (幾小時內)加入時間: 7年 前想知道這樣可以買嗎? 有什麼該注意的…我可以面交時，要求全程錄影，問說是不是正品公司貨嗎?,推,c710,: 差一千塊 我願意花一千塊買安心,"['05/28', '18:34']"
,,,,推,terry1043,: 怕就不要省,"['05/28', '18:46']"
,,,,推,elainakuo,: 怕就花1000買心安,"['05/28', '18:54']"
,,,,推,knight714,: 全新未拆的還要怕 就乖乖去買地標比較快,"['05/28', '19:16']"
,,,,推,gbls9527341,: 一樓will,"['05/28', '19:31']"
,,,,推,RoGzz,: 記得跟他要發票，或是續約的取機單,"['05/28', '19:40']"
,,,,推,yurian,: 蝦皮要抽10趴 當然不給你下xd,"['05/28', '19:41']"
,,,,推,belion,: 就，賭,"['05/28', '20:09']"
,,,,推,RoGzz,,"['05/28', '20:20']"
,,,,推,livewater,: 蝦皮高單價商品我只敢在商城買,"['05/28', '20:43']"
,,,,推,B7405,: 怕就別買,"['05/29', '08:32']"
,,,,推,jay820304,: yurian 靠已經漲到10%了喔？,"['05/29', '17:50']"
,,,,推,yurian,: 免運店家加活動的時候大概要11，12%,"['05/29', '20:36']"
,,,,→,a27588679,: 這件事我想只有賣家一個人才知道,"['05/28', '18:10']"
,,,,→,kyotaoyuan,: 這麼害怕不會去地標買,"['05/28', '18:13']"
,,,,→,waxdrasd4561,: 如果這裡有人跟你保證沒問題，那應該是賣家看到你發,"['05/28', '18:16']"
,,,,→,waxdrasd4561,: 文了,"['05/28', '18:16']"
,,,,→,spfy,: 怕就別買 買就別怕,"['05/28', '18:16']"
,,,,→,NX9999,: 而且他早就保固開始算了啊，當然比地標便宜咩,"['05/28', '18:19']"
,,,,→,NX9999,: 沒問哪間公司或貨？聯強？台哥大？,"['05/28', '18:20']"
,,,,→,EdnlYS,: 最後一句你問賣家啊，問鄉民幹麻...,"['05/28', '18:20']"
,,,,→,mdk3500,: 怕個人賣場還是買商城吧,"['05/28', '18:32']"
,,,,→,c710,: 差3千再來討論吧...,"['05/28', '18:34']"
,,,,→,terry1043,: 只差1000我會選擇門市,"['05/28', '18:46']"
,,,,→,terry1043,: 無法下標就能檢舉了,"['05/28', '18:47']"
,,,,→,knight714,: 而且還可以面交,"['05/28', '19:16']"
,,,,→,yurian,: 如果保固已經開始跑 看是不是可能是什麼抽獎的 當然有擔,"['05/28', '19:41']"
,,,,→,yurian,: 憂 地標買就好啦,"['05/28', '19:41']"
,,,,→,RoGzz,: 這有實體店面因該會安全點,"['05/28', '20:20']"
,,,,噓,NX9999,: 可以面交還有什麼好怕的？？？,"['05/28', '18:18']"
,,,,噓,vivian90369,: 全程錄影是你的權利,"['05/28', '18:27']"
,,,,噓,nsr150xx,": 潮腎推™,純噓18辣, 熱收縮膜粉便宜的喔，懂？！","['05/28', '21:53']"
minstrel99 (SHINE),[討論] 蝦皮上的全新S21+到底是？,Sat May 20 15:18:23 2023,標榜保固18個月，3個月內故障免費換新機，3-18個月內可以自己送三星原廠維修，現在原廠授權的商城都買不到全新了，這貨源難道是後面背板有佩佩豬的？,推,bandongo,: 華強北,"['05/20', '15:26']"
,,,,推,ltytw,: 想的樂觀一點是庫存機,"['05/20', '15:50']"
,,,,推,twerik,: 姜太公釣愚願者上鉤，你想當愚嗎？,"['05/20', '16:10']"
,,,,推,newline,: 可以自己送 但是不保證原廠願意修,"['05/20', '17:03']"
,,,,推,suzhou,: 華強北產業鏈,"['05/20', '17:04']"
,,,,推,a0913,: 蝦皮板上有慘案  一般蝦皮不是商城,"['05/20', '18:13']"
,,,,推,okgogogo,: 蝦皮一堆詐騙，停權而已再辦就有,"['05/20', '18:29']"
,,,,推,BlacKlonely,: 賣完直接删帳號,"['05/20', '19:51']"
