time,video_title,type,comment,video_id
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"20220714關鍵看更多a hrefhttpsbitly3yEFv2bhttpsbitly3yEFv2babr訂閱關鍵時刻頻道a hrefhttpsbitly2OlcnV7httpsbitly2OlcnV7abr您可以用行動支持關鍵時刻只要留下超級留言或超級貼圖就可以在留言區更受矚目",ZYiw9BrO8J8
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,戒433,ZYiw9BrO8J8
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,Pp,ZYiw9BrO8J8
2023-01-09,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,我覺得電商先整合好他們合作的物流吧 訂單貨物追蹤系統跟屎一樣爛 明明就是跟PCHOME訂 他們交新竹物流送 新竹物流又轉交給郵局送 NTM我要查貨還得自己經手兩大物流系統追蹤 連最基本的消費者需求心理都不懂 這電商會賺錢才有鬼,ZYiw9BrO8J8
2023-01-07,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,世界各地用淘宝网购,ZYiw9BrO8J8
2023-01-07,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,比不上大陆的淘宝京东还有拼多多,ZYiw9BrO8J8
2022-10-29,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,只要pchome跌破20br我就放鞭炮慶祝br獲利好的時後br主管眼睛都長在頭頂br高傲br心情好要留人就留人br心情差同事就就叫你下班找人事br要用人就就用人br要開除人就開除人br他們就是有一種你不做br別人也會搶著進來br薪水其實也只是法定工資加伙食津貼br徵不到正職br只能高薪請臨時工,ZYiw9BrO8J8
2022-08-02,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,PChome城邦集團城邦媒體 都是一堆外包br裡面真正有能力的人少之又少 br這種公司不重視 UI UX AI 即時策略 完全是吃老本的集團,ZYiw9BrO8J8
2022-08-01,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,東西賣得那麼貴也時常說24小時到貨現在也沒有而在關鍵時刻上一直展示你的倉儲機械化有何用處如果商品沒人買展示有何用處會增加消費者的購買慾嗎我想只會停擺,ZYiw9BrO8J8
2022-07-23,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,Mono的價格真的很實惠發貨速度快售後服務也優,ZYiw9BrO8J8
