time,video_title,type,comment,video_id,Sentiment_Score_Trans,Translated_Comment
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"●2022/07/14關鍵看更多：<a href=""https://bit.ly/3yEFv2b"">https://bit.ly/3yEFv2b </a><br>●訂閱《關鍵時刻》頻道：<a href=""https://bit.ly/2OlcnV7"">https://bit.ly/2OlcnV7 </a><br>●您可以用行動支持關鍵時刻，只要留下「超級留言或超級貼圖」就可以在留言區更受矚目！",ZYiw9BrO8J8,5,20220714 Key to see more A HREFHTTPSBITLY3YEFV2BHTTPSBITLY3YEFV2B ABR Subscription Channel A HREFHTTPSBITLY2OLCNV7HTTPSBITLY2OLCNV7 ABR. You can use action to support at key moments or at critical moments or super comments or super comments or super comments or at critical moments or super comments or super comments or super comments or at critical moments. Super stickers can be more noticeable in the message area
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,戒433,ZYiw9BrO8J8,5,Ring 433
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,Pp,ZYiw9BrO8J8,4,PP
2023-01-09,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"我覺得電商先整合好他們合作的物流吧, 訂單貨物追蹤系統跟屎一樣爛, 明明就是跟PCHOME訂, 他們交新竹物流送, 新竹物流又轉交給郵局送, NTM我要查貨還得自己經手兩大物流系統追蹤, 連最基本的消費者需求心理都不懂, 這電商會賺錢才有鬼。",ZYiw9BrO8J8,1,"I think e -commerce first integrates their cooperation logistics bar order cargo tracking system is just like shit. It is obviously that they are booked with PCHOME to send Hsinchu logistics to send Hsinchu logistics and transfer to the post office to send NTM. I have to check the goods.Tracking even the most basic consumer needs, I don’t understand that this e -commerce will make money before there is a ghost."
2023-01-07,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,世界各地用淘宝网购,ZYiw9BrO8J8,5,Use Taobao online shopping around the world
2023-01-07,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,比不上大陆的淘宝，京东还有拼多多,ZYiw9BrO8J8,3,"There is still a lot of Pinduoduo on Taobao Jingdong, which is not on the mainland"
2022-10-29,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,只要pchome跌破20<br>我就放鞭炮慶祝<br>獲利好的時後<br>主管眼睛都長在頭頂<br>高傲<br>心情好要留人就留人<br>心情差同事就就叫你下班找人事<br>要用人就就用人<br>要開除人就開除人<br>他們就是有一種你不做<br>別人也會搶著進來<br>薪水其實也只是法定工資加伙食津貼<br>徵不到正職<br>只能高薪請臨時工,ZYiw9BrO8J8,5,"As long as PCHOME falls below 20 BR, I put firecrackers to celebrate the good profit of the BR.If you want to be expelled from people, they will be expelled from people."
2022-08-02,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"PChome、城邦集團、城邦媒體... 都是一堆外包,<br>裡面真正有能力的人少之又少, <br>這種公司不重視 UI UX AI 即時策略, 完全是吃老本的集團.",ZYiw9BrO8J8,5,PChome City State Group City State Media is a bunch of outsourcing br that really capable people and fewer people and fewer BRs.
2022-08-01,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,東西賣得那麼貴！也時常說24小時到貨現在也沒有！而在關鍵時刻上一直展示你的倉儲機械化有何用處？如果商品沒人買？展示有何用處！會增加消費者的購買慾嗎？我想只會停擺,ZYiw9BrO8J8,1,"What is sold so expensive and often said that there are no 24 -hour arrival now, and there is no one at a critical moment. What are the use of your warehousing mechanization? If there is no one to buy and display the product, it will increase consumers' desire to buy?"
2022-07-23,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,Mono的價格真的很實惠，發貨速度快，售後服務也優！,ZYiw9BrO8J8,5,The price of Mono is really affordable.
2022-07-22,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,PC Home的使用介面實在太落後了。購物車竟然無法分批結算，搜索功能也很差勁，跟對岸的京東比起來，pchome的介面簡直就像活在90年代。,ZYiw9BrO8J8,2,"The use interface of PC Home is too backward. The shopping cart cannot be settled in batches. The search function is very poor. Compared with JD.com on the other side, the PCHOME interface is like living in the 1990s."
2022-07-21,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,賺久習以為常的電商～終於餓醒了,ZYiw9BrO8J8,5,"E -commerce, who has been earned for a long time, is finally awake hungry"
2022-07-21,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,App頁面難用才是重點= =,ZYiw9BrO8J8,2,The APP page is difficult to use is the focus
2022-07-21,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,自從搞什麼儲值之後就棄用了，東西全部變貴然後要參加她的行銷才能正常買到，連我這種資訊專長的都感到煩了，MOMO直接簡單完全輾壓。,ZYiw9BrO8J8,3,"After what storage value is engaged in the storage value, all things have become more expensive and they have to participate in her marketing to normally buy even my information expertise. Momo is bothering."
2022-07-20,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,網頁做得真的很爛==,ZYiw9BrO8J8,1,The webpage is really bad
2022-07-20,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,手機APP下載用用看就知道誰優誰裂了<br>一個還活在10年前,ZYiw9BrO8J8,1,You know who is good and who cracked by mobile phone app download. One is still 10 years ago
2022-07-19,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"我真的不知道為什麼PCHOME的18T硬碟可以貴到靠北,在蝦皮可以用一半以下的價錢買到= =",ZYiw9BrO8J8,2,I really don’t know why PCHOME's 18T hard disk can be expensive enough to buy in the north in shrimp skin.
2022-07-27,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,一半的價格敢買，殺頭的生意有人做….,ZYiw9BrO8J8,2,"Half of the price dare to buy a killing business, someone does it"
