time,video_title,type,comment,video_id
2023-02-24,疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒,comment,好市多東勢我做好是你們東 壞人我在做你們在做好人啊不會做好事了你們自己去做,4CFFqrujxxQ
2023-02-19,疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒,comment,很少網購真的 蝦皮只有瀏覽看看 無下單買過 松果和mono各網購一次而已 雅虎已經多年無網購 pchome 2-3年網購一次 都是便宜不重要的小商品 只要超過2千以上全都逛街實體店面試穿試用 親眼看摸商品 完全不會網購啥手機球鞋和衣服 單身時買過衣服全不能穿 很誇張又麻煩退或換 從此再也無網購衣服❗️,4CFFqrujxxQ
2023-02-18,疫情過後電商紅利熱度不再? 蝦皮傳裁員.網家財報沒,comment,最近在實體店買一雙慢跑鞋，以前只要網購，沒過多久就會接到詐騙電話，網購雖然方便，個資太容易外流，現在寧願多花點時間去實體店買。,4CFFqrujxxQ
2022-02-28,亞馬遜為什麼這麼成功？網家PChome、富邦媒mo,comment,1.對MOMO而言，海外市場根本不重要，海外巨頭多，風險太大，對於電商而言，台灣還是有很大的成長空間，看看韓國電商市場就知道了，MOMO可以擴大市佔再加上電商在零售的市佔提昇，如能保持競爭優勢，未來營收、獲利再成長3倍都很有可能。<br>2.PCHOME輸給MOMO，主因是和蝦皮的競爭嗎?當然不是，PCHOME現金很多，不會因為在C2C與蝦皮競爭的虧損就元氣大傷，PCHOME輸的主因是a.進入手機APP的速度過慢。b.專注在3C，不全面。c.MOMO太強。,RsQOqyp_cRI
2023-05-13,亞馬遜為什麼這麼成功？網家PChome、富邦媒mo,reply,.MOMO還有政治問題,RsQOqyp_cRI
2022-03-01,亞馬遜為什麼這麼成功？網家PChome、富邦媒mo,reply,@阿銀 我指的不是這個意思，是說由PCHOME電腦版轉入PCHOME手機APP版。,RsQOqyp_cRI
2022-03-01,亞馬遜為什麼這麼成功？網家PChome、富邦媒mo,reply,進入手機APP過慢也能當主因笑死，根本沒差那幾毫秒吧,RsQOqyp_cRI
2021-05-04,千元電商股！股價太委屈？電商股靠什麼成千金？ | ,comment,台灣的電商只有內需， 本益比不可高於 TSMC,PvtIULOsevg
2021-05-03,千元電商股！股價太委屈？電商股靠什麼成千金？ | ,comment,這算內需股吧? 應該跟5904的寶雅比吧?,PvtIULOsevg
2021-05-03,千元電商股！股價太委屈？電商股靠什麼成千金？ | ,comment,momo根本就不會想要去那裏買!!,PvtIULOsevg
